basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,01,2012052000, 03,EE02,  0,31.8,-78.1, 30,1012,XX
AL,01,2012052000, 03,ECMF,  0,31.9,-78.0, 31,1012,XX
AL,01,2012052000, 03,ECMF,  6,31.5,-78.7, 34,1012,XX
AL,01,2012052000, 03,EE24, 12,30.9,-79.2, 28,1013,XX
AL,01,2012052000, 03,EE04, 12,31.0,-79.0, 33,1014,XX
AL,01,2012052000, 03,EE08, 12,31.1,-79.6, 35,1013,XX
AL,01,2012052000, 03,ECMF, 12,31.2,-79.3, 36,1012,XX
AL,01,2012052000, 03,EE00, 12,31.3,-79.1, 33,1013,XX
AL,01,2012052000, 03,EE07, 12,31.4,-78.9, 32,1013,XX
AL,01,2012052000, 03,EE03, 12,31.5,-79.2, 35,1013,XX
AL,01,2012052000, 03,EE06, 12,31.6,-79.3, 39,1012,XX
AL,01,2012052000, 03,EE46, 12,31.7,-79.5, 40,1011,XX
AL,01,2012052000, 03,ECMF, 18,30.8,-79.5, 36,1013,XX
AL,01,2012052000, 03,EE46, 24,31.2,-79.9, 29,1011,XX
AL,01,2012052000, 03,EE48, 24,33.5,-80.1, 31,1014,XX
AL,01,2012052000, 03,EE11, 24,33.6,-79.6, 30,1014,XX
AL,01,2012052000, 03,EE31, 24,34.1,-79.5, 31,1015,XX
