basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,01,2012051900, 03,EE17,  0,13.6,-113.3, 19,1007,XX
EP,01,2012051900, 03,EE11,  0,13.9,-113.1, 18,1006,XX
EP,01,2012051900, 03,EE01,  0,14.0,-113.2, 15,1008,XX
EP,01,2012051900, 03,EE03,  0,14.1,-113.2, 21,1007,XX
EP,01,2012051900, 03,ECMF,  0,14.2,-113.2, 18,1007,XX
EP,01,2012051900, 03,EE02,  0,14.3,-113.2, 23,1006,XX
EP,01,2012051900, 03,EE08,  0,14.4,-113.4, 24,1008,XX
EP,01,2012051900, 03,EE10,  0,14.5,-113.2, 19,1008,XX
EP,01,2012051900, 03,EE16,  0,14.6,-113.0, 17,1008,XX
EP,01,2012051900, 03,EE27, 48,9.7,-110.4, 21,1006,XX
EP,01,2012051900, 03,EE40, 48,9.8,-111.8, 19,1007,XX
EP,01,2012051900, 03,EE37, 48,9.9,-112.0, 22,1006,XX
EP,01,2012051900, 03,EE14, 60,8.1,-116.6, 21,1009,XX
EP,01,2012051900, 03,EE37, 60,9.2,-112.1, 21,1008,XX
EP,01,2012051900, 03,EE42, 60,9.3,-111.6, 23,1007,XX
EP,01,2012051900, 03,EE17, 60,9.4,-109.8, 20,1007,XX
EP,01,2012051900, 03,EE02, 60,9.5,-110.5, 14,1008,XX
EP,01,2012051900, 03,EE20, 60,9.6,-111.2, 18,1008,XX
EP,01,2012051900, 03,EE33, 60,9.7,-112.1, 22,1008,XX
EP,01,2012051900, 03,EE16, 60,9.8,-113.4, 20,1008,XX
EP,01,2012051900, 03,EE05, 60,9.9,-111.2, 18,1008,XX
EP,01,2012051900, 03,ECMF,  6,14.4,-113.1, 22,1010,XX
EP,01,2012051900, 03,EE43, 72,8.5,-116.5, 19,1009,XX
EP,01,2012051900, 03,EE42, 72,8.7,-111.9, 20,1008,XX
EP,01,2012051900, 03,EE14, 72,9.1,-117.9, 24,1009,XX
EP,01,2012051900, 03,EE37, 72,9.3,-112.0, 18,1008,XX
EP,01,2012051900, 03,EE09, 72,9.4,-113.6, 20,1008,XX
EP,01,2012051900, 03,EE05, 72,9.5,-112.3, 20,1008,XX
EP,01,2012051900, 03,EE22, 72,9.6,-112.4, 23,1008,XX
EP,01,2012051900, 03,EE08, 72,9.7,-115.6, 20,1008,XX
EP,01,2012051900, 03,EE10, 72,9.8,-113.5, 22,1007,XX
EP,01,2012051900, 03,EE06, 72,9.9,-114.9, 19,1008,XX
EP,01,2012051900, 03,EE10, 84,7.0,-114.1, 15,1010,XX
EP,01,2012051900, 03,EE29, 84,8.0,-114.0,  9,1010,XX
EP,01,2012051900, 03,EE47, 84,8.2,-108.1, 17,1008,XX
EP,01,2012051900, 03,EE42, 84,8.5,-111.9, 22,1009,XX
EP,01,2012051900, 03,EE35, 84,8.7,-115.5, 21,1010,XX
EP,01,2012051900, 03,EE49, 84,8.8,-111.3, 15,1009,XX
EP,01,2012051900, 03,EE05, 84,9.0,-112.8, 14,1009,XX
EP,01,2012051900, 03,EE16, 84,9.2,-112.6, 14,1009,XX
EP,01,2012051900, 03,EE33, 84,9.3,-113.4, 14,1009,XX
EP,01,2012051900, 03,EE15, 84,9.4,-112.5, 13,1009,XX
EP,01,2012051900, 03,EE43, 84,9.5,-115.7, 21,1010,XX
EP,01,2012051900, 03,EE08, 84,9.8,-115.8, 13,1010,XX
EP,01,2012051900, 03,EE06, 84,9.9,-116.0, 14,1009,XX
EP,01,2012051900, 03,EE05, 96,7.1,-111.9, 13,1009,XX
EP,01,2012051900, 03,EE42, 96,7.6,-112.6, 23,1008,XX
EP,01,2012051900, 03,EE17, 96,8.1,-106.7, 32,1007,XX
EP,01,2012051900, 03,EE34, 96,8.5,-116.4, 17,1008,XX
EP,01,2012051900, 03,EE10, 96,8.6,-114.4, 19,1008,XX
EP,01,2012051900, 03,EE45, 96,8.9,-110.1, 10,1009,XX
EP,01,2012051900, 03,EE16, 96,9.0,-114.0, 18,1010,XX
EP,01,2012051900, 03,EE03, 96,9.1,-111.7, 13,1009,XX
EP,01,2012051900, 03,EE08, 96,9.3,-116.9, 15,1009,XX
EP,01,2012051900, 03,EE20, 96,9.4,-111.0, 11,1009,XX
EP,01,2012051900, 03,EE33, 96,9.5,-112.5, 17,1009,XX
EP,01,2012051900, 03,EE18, 96,9.6,-114.8, 14,1009,XX
EP,01,2012051900, 03,EE36, 96,9.7,-114.1, 13,1010,XX
EP,01,2012051900, 03,EE09, 96,9.9,-112.5, 16,1008,XX
EP,01,2012051900, 03,EE17, 12,12.9,-113.0, 22,1008,XX
EP,01,2012051900, 03,EE37, 12,13.0,-113.2, 21,1008,XX
EP,01,2012051900, 03,EE27, 12,13.3,-112.1, 23,1008,XX
EP,01,2012051900, 03,EE11, 12,13.5,-112.6, 21,1008,XX
EP,01,2012051900, 03,EE02, 12,13.7,-112.8, 21,1007,XX
EP,01,2012051900, 03,EE07, 12,13.8,-112.0, 19,1008,XX
EP,01,2012051900, 03,EE05, 12,13.9,-112.3, 21,1008,XX
EP,01,2012051900, 03,EE03, 12,14.0,-112.8, 20,1008,XX
EP,01,2012051900, 03,EE00, 12,14.1,-112.9, 19,1008,XX
EP,01,2012051900, 03,ECMF, 12,14.3,-113.0, 19,1008,XX
EP,01,2012051900, 03,EE12, 12,14.4,-113.2, 21,1008,XX
EP,01,2012051900, 03,EE04, 12,14.5,-112.9, 19,1008,XX
EP,01,2012051900, 03,EE24, 12,14.6,-112.5, 20,1007,XX
EP,01,2012051900, 03,EE01, 12,14.9,-112.6, 18,1009,XX
EP,01,2012051900, 03,EE18, 12,15.0,-112.5, 23,1008,XX
EP,01,2012051900, 03,EE28, 12,15.1,-113.7, 26,1008,XX
EP,01,2012051900, 03,EE08, 12,15.3,-113.0, 21,1009,XX
EP,01,2012051900, 03,ECMF, 18,13.9,-112.9, 22,1011,XX
EP,01,2012051900, 03,EE17, 24,11.8,-112.3, 21,1007,XX
EP,01,2012051900, 03,EE40, 24,12.1,-111.1, 23,1008,XX
EP,01,2012051900, 03,EE13, 24,12.4,-112.0, 22,1008,XX
EP,01,2012051900, 03,EE42, 24,12.7,-112.0, 22,1008,XX
EP,01,2012051900, 03,EE11, 24,12.9,-112.1, 21,1008,XX
EP,01,2012051900, 03,EE03, 24,13.0,-111.9, 22,1008,XX
EP,01,2012051900, 03,EE07, 24,13.1,-111.4, 24,1008,XX
EP,01,2012051900, 03,EE02, 24,13.3,-112.4, 21,1008,XX
EP,01,2012051900, 03,ECMF, 24,13.4,-112.6, 22,1008,XX
EP,01,2012051900, 03,EE30, 24,13.5,-112.9, 20,1009,XX
EP,01,2012051900, 03,EE01, 24,13.8,-112.4, 23,1009,XX
EP,01,2012051900, 03,EE12, 24,13.9,-112.8, 21,1008,XX
EP,01,2012051900, 03,EE06, 24,14.0,-113.9, 24,1008,XX
EP,01,2012051900, 03,EE34, 24,14.2,-112.6, 24,1008,XX
