basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
SH,01,2012101700, 03,EE16,  0,-15.1,58.4, 46, 992,XX
SH,01,2012101700, 03,EE01,  0,-15.1,58.3, 52, 993,XX
SH,01,2012101700, 03,EE03,  0,-15.0,58.4, 47, 994,XX
SH,01,2012101700, 03,ECMF,  0,-15.1,58.3, 45, 995,XX
SH,01,2012101700, 03,EE09,  0,-15.1,58.2, 44, 996,XX
SH,01,2012101700, 03,EE02,  0,-15.0,58.4, 40, 997,XX
SH,01,2012101700, 03,EE15,  0,-15.0,58.2, 41, 998,XX
SH,01,2012101700, 03,ECMF,  6,-15.3,57.5, 47,1000,XX
SH,01,2012101700, 03,EE00, 12,-15.7,56.5, 40,1000,XX
SH,01,2012101700, 03,EE21, 12,-15.7,57.1, 51, 993,XX
SH,01,2012101700, 03,EE41, 12,-15.5,56.9, 48, 994,XX
SH,01,2012101700, 03,EE01, 12,-15.4,56.9, 48, 995,XX
SH,01,2012101700, 03,EE14, 12,-15.5,56.4, 50, 996,XX
SH,01,2012101700, 03,EE05, 12,-15.6,56.6, 53, 997,XX
SH,01,2012101700, 03,EE03, 12,-15.4,57.0, 48, 998,XX
SH,01,2012101700, 03,ECMF, 12,-15.8,56.5, 42, 999,XX
SH,01,2012101700, 03,ECMF, 18,-15.8,55.5, 44,1004,XX
SH,01,2012101700, 03,ECMF, 24,-15.6,54.9, 36,1003,XX
SH,01,2012101700, 03,EE21, 24,-16.0,57.1, 45, 999,XX
SH,01,2012101700, 03,ECMF, 30,-15.6,54.1, 30,1006,XX
SH,01,2012101700, 03,ECMF, 36,-15.9,53.4, 31,1004,XX
SH,01,2012101700, 03,ECMF, 42,-16.0,52.5, 33,1008,XX
SH,01,2012101700, 03,ECMF, 48,-15.9,51.9, 30,1007,XX
SH,01,2012101700, 03,ECMF, 54,-16.1,51.0, 23,1010,XX
SH,01,2012101700, 03,ECMF, 60,-15.6,47.8, 22,1008,XX
SH,01,2012101700, 03,ECMF, 66,-18.0,43.4, 23,1012,XX
SH,01,2012101700, 03,ECMF, 72,-21.6,43.3, 17,1011,XX
SH,01,2012101700, 03,EE00, 84,-20.0,45.4, 21,1011,XX
SH,01,2012101700, 03,EE01, 96,-14.9,43.1, 20,1011,XX
SH,01,2012101700, 03,EE50,120,-15.4,45.7, 10,1012,XX
SH,01,2012101700, 03,EE46,120,-15.4,45.9, 12,1011,XX
SH,01,2012101700, 03,EE10,120,-15.9,45.0, 13,1012,XX
SH,01,2012101700, 03,EE13,120,-12.5,46.9, 14,1012,XX
SH,01,2012101700, 03,EE13,108,-15.4,47.9, 17,1009,XX
SH,01,2012101700, 03,EE10,108,-15.4,47.9, 17,1010,XX
SH,01,2012101700, 03,EE14,120,-16.9,44.0, 17,1011,XX
SH,01,2012101700, 03,EE40,108,-12.3,44.0, 17,1012,XX
SH,01,2012101700, 03,EE17,108,-15.4,47.9, 18,1009,XX
SH,01,2012101700, 03,EE17,120,-14.8,46.4, 18,1012,XX
SH,01,2012101700, 03,EE46,108,-15.4,48.1, 19,1008,XX
SH,01,2012101700, 03,EE05,108,-15.9,47.4, 19,1011,XX
SH,01,2012101700, 03,EE01,108,-15.5,39.8, 20,1008,XX
SH,01,2012101700, 03,EE40,120,-15.5,43.3, 20,1011,XX
SH,01,2012101700, 03,EE35,108,-15.1,48.0, 21,1010,XX
SH,01,2012101700, 03,EE43,120,-23.8,43.5, 21,1012,XX
SH,01,2012101700, 03,EE05,120,-17.0,50.1, 21,1016,XX
SH,01,2012101700, 03,EE32,108,-15.3,47.9, 22,1010,XX
SH,01,2012101700, 03,EE43,108,-22.0,44.8, 23,1010,XX
SH,01,2012101700, 03,EE33,120,-11.5,46.6, 23,1012,XX
SH,01,2012101700, 03,EE35,120,-12.3,46.4, 25,1012,XX
SH,01,2012101700, 03,EE50,108,-20.5,45.2, 30,1009,XX
