basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,02,2012052712, 03,ECMF,  0,30.3,-79.1, 36,1001,XX
AL,02,2012052712, 03,EE02,  0,30.4,-79.1, 33,1002,XX
AL,02,2012052712, 03,EE01,120,40.8,-60.3, 35, 999,XX
AL,02,2012052712, 03,EE31,120,43.6,-49.6, 37, 996,XX
AL,02,2012052712, 03,EE14,120,40.4,-55.8, 38, 998,XX
AL,02,2012052712, 03,EE39,120,45.9,-52.9, 39, 996,XX
AL,02,2012052712, 03,EE09,108,40.8,-59.6, 40, 998,XX
AL,02,2012052712, 03,EE04,120,43.4,-49.6, 43, 984,XX
AL,02,2012052712, 03,EE19,108,39.0,-65.1, 44, 996,XX
AL,02,2012052712, 03,EE00,108,37.3,-66.6, 45, 998,XX
AL,02,2012052712, 03,EE07,108,39.5,-63.4, 46, 997,XX
AL,02,2012052712, 03,ECMF,120,37.4,-60.4, 47, 996,XX
AL,02,2012052712, 03,EE03,120,36.7,-69.2, 48, 996,XX
AL,02,2012052712, 03,ECMF,102,36.5,-69.1, 49, 995,XX
AL,02,2012052712, 03,ECMF,114,37.3,-63.5, 50, 995,XX
AL,02,2012052712, 03,EE18,108,39.5,-65.1, 51, 991,XX
AL,02,2012052712, 03,EE24,108,40.7,-60.8, 52, 988,XX
AL,02,2012052712, 03,EE04,108,41.2,-59.1, 53, 984,XX
AL,02,2012052712, 03,EE03,108,35.4,-72.5, 54, 996,XX
AL,02,2012052712, 03,EE22,108,38.1,-70.4, 57, 993,XX
AL,02,2012052712, 03,EE17,120,37.9,-60.5, 58, 996,XX
AL,02,2012052712, 03,EE20,120,38.6,-54.6, 65, 991,XX
AL,02,2012052712, 03,ECMF,  6,30.1,-79.9, 46,1002,XX
AL,02,2012052712, 03,EE26, 12,29.9,-80.9, 44,1002,XX
AL,02,2012052712, 03,EE06, 12,30.0,-81.0, 45,1003,XX
AL,02,2012052712, 03,EE03, 12,30.1,-80.5, 47,1002,XX
AL,02,2012052712, 03,ECMF, 12,30.2,-80.8, 43,1001,XX
AL,02,2012052712, 03,EE08, 12,30.3,-81.1, 42,1002,XX
AL,02,2012052712, 03,EE02, 12,30.4,-81.0, 47,1003,XX
AL,02,2012052712, 03,EE05, 12,30.5,-80.5, 48,1002,XX
AL,02,2012052712, 03,ECMF, 18,30.1,-81.7, 43,1002,XX
AL,02,2012052712, 03,EE40, 24,29.3,-83.3, 31,1006,XX
AL,02,2012052712, 03,EE36, 24,29.5,-82.6, 31,1005,XX
AL,02,2012052712, 03,EE06, 24,29.6,-82.5, 34,1006,XX
AL,02,2012052712, 03,EE29, 24,29.7,-81.9, 33,1007,XX
AL,02,2012052712, 03,EE20, 24,29.8,-83.3, 26,1006,XX
AL,02,2012052712, 03,EE07, 24,29.9,-81.6, 40,1004,XX
AL,02,2012052712, 03,EE13, 24,30.0,-82.4, 32,1007,XX
AL,02,2012052712, 03,EE02, 24,30.1,-82.9, 33,1006,XX
AL,02,2012052712, 03,EE00, 24,30.2,-82.4, 33,1005,XX
AL,02,2012052712, 03,ECMF, 24,30.3,-82.4, 33,1005,XX
AL,02,2012052712, 03,EE04, 24,30.4,-82.5, 33,1006,XX
AL,02,2012052712, 03,EE01, 24,30.5,-81.8, 43,1003,XX
