basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,18,2012082200, 03,EE16,  0,19.1,138.8, 53, 992,XX
WP,18,2012082200, 03,EE36,  0,19.1,138.8, 52, 993,XX
WP,18,2012082200, 03,EE37,  0,19.1,138.9, 39, 994,XX
WP,18,2012082200, 03,EE17,  0,19.1,138.9, 39, 995,XX
WP,18,2012082200, 03,EE50,  0,19.2,138.8, 38, 993,XX
WP,18,2012082200, 03,EE39,  0,19.2,138.8, 38, 995,XX
WP,18,2012082200, 03,EE10,  0,19.3,138.8, 38, 992,XX
WP,18,2012082200, 03,EE03,  0,19.3,138.4, 46, 993,XX
WP,18,2012082200, 03,EE05,  0,19.3,138.8, 41, 994,XX
WP,18,2012082200, 03,EE04,  0,19.3,138.8, 36, 995,XX
WP,18,2012082200, 03,EE02,  0,19.3,138.1, 38, 996,XX
WP,18,2012082200, 03,EE01,  0,19.4,138.6, 44, 992,XX
WP,18,2012082200, 03,EE12,  0,19.4,138.6, 41, 993,XX
WP,18,2012082200, 03,ECMF,  0,19.4,138.5, 38, 994,XX
WP,18,2012082200, 03,EE09,  0,19.4,138.2, 40, 995,XX
WP,18,2012082200, 03,EE34,  0,19.4,138.5, 40, 996,XX
WP,18,2012082200, 03,EE15,  0,19.5,138.3, 35, 995,XX
WP,18,2012082200, 03,EE49,108,24.2,118.0, 27, 995,XX
WP,18,2012082200, 03,EE15,108,26.0,116.0, 29, 998,XX
WP,18,2012082200, 03,EE49,120,24.3,116.1, 31, 996,XX
WP,18,2012082200, 03,EE45,108,25.6,119.5, 37, 984,XX
WP,18,2012082200, 03,EE24,120,29.2,118.2, 38, 988,XX
WP,18,2012082200, 03,EE22,120,27.3,118.1, 40, 992,XX
WP,18,2012082200, 03,EE22,108,26.1,119.6, 43, 988,XX
WP,18,2012082200, 03,EE40,120,33.1,120.2, 47, 982,XX
WP,18,2012082200, 03,EE44,108,24.7,122.4, 49, 984,XX
WP,18,2012082200, 03,EE30,108,26.4,124.4, 52, 974,XX
WP,18,2012082200, 03,EE02,108,26.2,124.0, 53, 978,XX
WP,18,2012082200, 03,EE40,108,30.0,122.5, 54, 982,XX
WP,18,2012082200, 03,EE35,108,25.1,122.9, 57, 973,XX
WP,18,2012082200, 03,EE48,108,28.3,125.1, 58, 967,XX
WP,18,2012082200, 03,EE02,120,28.3,123.0, 59, 974,XX
WP,18,2012082200, 03,EE14,108,25.4,122.8, 60, 972,XX
WP,18,2012082200, 03,EE09,108,28.8,123.9, 62, 974,XX
WP,18,2012082200, 03,EE24,108,28.1,120.8, 63, 978,XX
WP,18,2012082200, 03,EE29,120,31.1,120.8, 64, 969,XX
WP,18,2012082200, 03,EE04,108,26.4,123.2, 65, 967,XX
WP,18,2012082200, 03,EE08,108,25.6,125.5, 66, 960,XX
WP,18,2012082200, 03,EE10,108,27.8,126.3, 67, 945,XX
WP,18,2012082200, 03,EE00,108,27.9,124.8, 68, 967,XX
WP,18,2012082200, 03,EE17,120,27.4,124.3, 69, 963,XX
WP,18,2012082200, 03,EE05,108,26.0,122.6, 70, 962,XX
WP,18,2012082200, 03,EE03,108,27.9,123.9, 71, 956,XX
WP,18,2012082200, 03,EE03,120,29.9,122.0, 72, 955,XX
WP,18,2012082200, 03,EE01,120,27.2,122.0, 73, 961,XX
WP,18,2012082200, 03,EE06,120,27.5,124.0, 74, 950,XX
WP,18,2012082200, 03,EE00,120,30.4,123.4, 75, 964,XX
WP,18,2012082200, 03,EE05,120,27.0,121.4, 76, 964,XX
WP,18,2012082200, 03,EE07,120,31.6,124.0, 77, 948,XX
WP,18,2012082200, 03,EE04,120,27.2,123.0, 78, 962,XX
WP,18,2012082200, 03,EE19,120,26.3,126.7, 80, 950,XX
WP,18,2012082200, 03,EE01,108,26.0,124.0, 81, 959,XX
WP,18,2012082200, 03,EE21,108,27.0,125.3, 82, 952,XX
WP,18,2012082200, 03,EE11,120,28.3,125.0, 83, 942,XX
WP,18,2012082200, 03,EE11,108,26.6,126.7, 84, 948,XX
WP,18,2012082200, 03,EE23,120,28.9,124.9, 85, 954,XX
WP,18,2012082200, 03,EE46,108,25.1,131.4, 91, 930,XX
