basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
SH,03,2012112500, 03,ECMF,  6,-13.8,73.0, 23,1007,XX
SH,03,2012112500, 03,ECMF, 12,-14.0,72.3, 20,1005,XX
SH,03,2012112500, 03,ECMF, 18,-14.0,71.9, 22,1008,XX
SH,03,2012112500, 03,ECMF, 24,-14.1,71.5, 21,1006,XX
SH,03,2012112500, 03,ECMF, 30,-14.3,70.5, 18,1009,XX
SH,03,2012112500, 03,ECMF, 36,-14.3,69.4, 19,1007,XX
SH,03,2012112500, 03,ECMF, 42,-14.4,68.2, 16,1010,XX
SH,03,2012112500, 03,ECMF, 48,-14.6,67.6, 17,1007,XX
SH,03,2012112500, 03,ECMF, 54,-15.1,66.9, 18,1009,XX
SH,03,2012112500, 03,ECMF, 60,-15.5,66.4, 19,1007,XX
SH,03,2012112500, 03,ECMF, 66,-15.8,65.8, 22,1010,XX
SH,03,2012112500, 03,ECMF, 72,-16.0,65.9, 19,1009,XX
SH,03,2012112500, 03,ECMF, 78,-16.5,65.8, 21,1010,XX
SH,03,2012112500, 03,ECMF, 84,-17.3,65.4, 20,1008,XX
SH,03,2012112500, 03,ECMF, 90,-17.6,65.4, 21,1012,XX
SH,03,2012112500, 03,ECMF, 96,-16.5,63.6, 19,1010,XX
SH,03,2012112500, 03,EE43,120,-13.0,61.0,  8,1011,XX
SH,03,2012112500, 03,EE37,120,-5.1,62.0,  9,1009,XX
SH,03,2012112500, 03,EE29,108,-8.4,67.4, 10,1008,XX
SH,03,2012112500, 03,EE37,108,-8.3,61.0, 10,1009,XX
SH,03,2012112500, 03,EE48,120,-12.5,64.7, 10,1010,XX
SH,03,2012112500, 03,EE09,108,-4.6,84.5, 11,1008,XX
SH,03,2012112500, 03,EE06,108,-12.5,65.8, 11,1009,XX
SH,03,2012112500, 03,EE30,108,-12.5,64.0, 11,1010,XX
SH,03,2012112500, 03,EE28,108,-11.3,64.9, 12,1007,XX
SH,03,2012112500, 03,EE11,108,-5.8,59.0, 12,1008,XX
SH,03,2012112500, 03,EE33,120,-8.0,61.1, 12,1009,XX
SH,03,2012112500, 03,EE21,108,-11.3,63.5, 13,1008,XX
SH,03,2012112500, 03,EE35,108,-14.3,68.5, 13,1009,XX
SH,03,2012112500, 03,EE06,120,-11.8,65.1, 13,1010,XX
SH,03,2012112500, 03,EE41,120,-13.3,61.5, 13,1011,XX
SH,03,2012112500, 03,EE20,120,-11.7,56.1, 14,1009,XX
SH,03,2012112500, 03,EE05,120,-17.0,59.3, 15,1010,XX
SH,03,2012112500, 03,EE05,108,-16.5,61.5, 16,1009,XX
SH,03,2012112500, 03,EE02,108,-16.5,63.9, 16,1010,XX
SH,03,2012112500, 03,EE19,108,-18.9,61.5, 17,1010,XX
SH,03,2012112500, 03,ECMF,102,-18.4,64.4, 17,1012,XX
SH,03,2012112500, 03,EE31,108,-10.0,71.2, 18,1006,XX
SH,03,2012112500, 03,EE09,120,-4.2,84.7, 18,1008,XX
SH,03,2012112500, 03,EE34,108,-19.8,61.8, 19,1009,XX
SH,03,2012112500, 03,EE03,120,-18.8,58.1, 19,1010,XX
SH,03,2012112500, 03,EE19,120,-18.6,59.4, 19,1011,XX
SH,03,2012112500, 03,EE03,108,-18.7,59.9, 20,1010,XX
SH,03,2012112500, 03,EE47,120,-20.1,60.7, 21,1010,XX
SH,03,2012112500, 03,EE07,108,-16.3,60.7, 22,1008,XX
SH,03,2012112500, 03,EE42,108,-17.9,62.2, 23,1008,XX
SH,03,2012112500, 03,EE47,108,-20.0,62.5, 23,1010,XX
SH,03,2012112500, 03,EE07,120,-17.6,58.6, 27,1008,XX
SH,03,2012112500, 03,EE16,108,-16.5,59.6, 28,1007,XX
SH,03,2012112500, 03,EE40,108,-26.4,69.1, 35,1009,XX
