basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,02,2012052412, 03,EE07,  0,15.1,-107.3, 56, 982,XX
EP,02,2012052412, 03,EE01,  0,15.1,-107.3, 57, 983,XX
EP,02,2012052412, 03,EE11,  0,15.1,-107.3, 60, 984,XX
EP,02,2012052412, 03,EE09,  0,15.1,-107.4, 50, 985,XX
EP,02,2012052412, 03,ECMF,  0,15.1,-107.4, 51, 986,XX
EP,02,2012052412, 03,EE12,  0,15.1,-107.4, 60, 987,XX
EP,02,2012052412, 03,EE02,  0,15.1,-107.4, 51, 988,XX
EP,02,2012052412, 03,EE08,  0,15.1,-107.4, 46, 989,XX
EP,02,2012052412, 03,ECMF,  6,15.6,-106.6, 66, 984,XX
EP,02,2012052412, 03,EE16, 12,16.0,-106.5, 53, 989,XX
EP,02,2012052412, 03,EE18, 12,16.0,-106.2, 52, 990,XX
EP,02,2012052412, 03,EE10, 12,16.1,-106.1, 58, 991,XX
EP,02,2012052412, 03,EE14, 12,16.1,-106.0, 56, 992,XX
EP,02,2012052412, 03,EE32, 12,16.1,-106.7, 45, 993,XX
EP,02,2012052412, 03,EE26, 12,16.2,-106.1, 57, 991,XX
EP,02,2012052412, 03,EE12, 12,16.2,-106.6, 54, 992,XX
EP,02,2012052412, 03,EE44, 12,16.2,-106.0, 54, 994,XX
EP,02,2012052412, 03,EE27, 12,16.3,-106.3, 62, 984,XX
EP,02,2012052412, 03,EE20, 12,16.3,-106.5, 58, 991,XX
EP,02,2012052412, 03,EE36, 12,16.3,-106.5, 53, 993,XX
EP,02,2012052412, 03,EE41, 12,16.4,-106.1, 66, 981,XX
EP,02,2012052412, 03,EE47, 12,16.4,-106.4, 64, 983,XX
EP,02,2012052412, 03,EE07, 12,16.4,-106.1, 62, 984,XX
EP,02,2012052412, 03,EE24, 12,16.4,-106.0, 54, 991,XX
EP,02,2012052412, 03,EE08, 12,16.4,-106.1, 53, 992,XX
EP,02,2012052412, 03,EE46, 12,16.4,-106.0, 51, 993,XX
EP,02,2012052412, 03,EE04, 12,16.4,-106.4, 47, 994,XX
EP,02,2012052412, 03,ECMF, 12,16.5,-106.0, 67, 970,XX
EP,02,2012052412, 03,EE01, 12,16.5,-106.0, 63, 982,XX
EP,02,2012052412, 03,EE05, 12,16.5,-106.1, 61, 984,XX
EP,02,2012052412, 03,EE15, 12,16.5,-106.0, 65, 985,XX
EP,02,2012052412, 03,EE09, 12,16.5,-106.5, 67, 986,XX
EP,02,2012052412, 03,EE43, 12,16.5,-106.5, 65, 987,XX
EP,02,2012052412, 03,EE00, 12,16.5,-106.1, 54, 988,XX
EP,02,2012052412, 03,EE11, 12,16.5,-105.8, 60, 989,XX
EP,02,2012052412, 03,EE06, 12,16.5,-105.6, 51, 990,XX
EP,02,2012052412, 03,EE29, 12,16.5,-106.5, 57, 991,XX
EP,02,2012052412, 03,EE02, 12,16.5,-106.6, 48, 992,XX
EP,02,2012052412, 03,EE13, 12,16.6,-106.2, 64, 983,XX
EP,02,2012052412, 03,EE03, 12,16.6,-106.3, 53, 992,XX
EP,02,2012052412, 03,EE31, 12,16.7,-105.6, 72, 983,XX
EP,02,2012052412, 03,EE23, 12,16.7,-106.4, 66, 988,XX
EP,02,2012052412, 03,EE37, 12,17.0,-106.3, 56, 986,XX
EP,02,2012052412, 03,ECMF, 18,17.3,-105.6, 71, 983,XX
EP,02,2012052412, 03,EE16, 24,17.0,-105.9, 49, 993,XX
EP,02,2012052412, 03,EE10, 24,17.1,-106.3, 48, 996,XX
EP,02,2012052412, 03,EE18, 24,17.3,-105.9, 52, 992,XX
EP,02,2012052412, 03,EE38, 24,17.3,-105.9, 45, 995,XX
EP,02,2012052412, 03,EE26, 24,17.4,-105.6, 52, 992,XX
EP,02,2012052412, 03,EE20, 24,17.4,-106.5, 45, 995,XX
EP,02,2012052412, 03,EE23, 24,17.4,-106.0, 47, 997,XX
EP,02,2012052412, 03,EE34, 24,17.4,-105.5, 43, 998,XX
EP,02,2012052412, 03,EE29, 24,17.5,-106.3, 38,1001,XX
EP,02,2012052412, 03,EE27, 24,17.5,-105.8, 52, 990,XX
EP,02,2012052412, 03,EE03, 24,17.5,-106.0, 53, 992,XX
EP,02,2012052412, 03,EE33, 24,17.5,-105.8, 49, 993,XX
EP,02,2012052412, 03,EE24, 24,17.5,-105.4, 44, 994,XX
EP,02,2012052412, 03,EE14, 24,17.5,-105.0, 48, 996,XX
EP,02,2012052412, 03,EE49, 24,17.5,-105.6, 50, 997,XX
EP,02,2012052412, 03,EE02, 24,17.5,-106.4, 37, 998,XX
EP,02,2012052412, 03,EE41, 24,17.6,-105.6, 68, 983,XX
EP,02,2012052412, 03,EE07, 24,17.6,-105.6, 53, 993,XX
EP,02,2012052412, 03,EE11, 24,17.6,-105.8, 48, 995,XX
EP,02,2012052412, 03,EE17, 24,17.7,-105.5, 51, 995,XX
EP,02,2012052412, 03,EE12, 24,17.7,-106.0, 45, 996,XX
EP,02,2012052412, 03,EE36, 24,17.8,-106.2, 43,1001,XX
EP,02,2012052412, 03,EE13, 24,17.8,-105.7, 53, 992,XX
EP,02,2012052412, 03,EE44, 24,17.8,-105.4, 45, 997,XX
EP,02,2012052412, 03,EE22, 24,17.8,-106.4, 37, 999,XX
