basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,03,2012061500, 03,EE11,  0,11.7,-94.4, 42, 998,XX
EP,03,2012061500, 03,EE13,  0,11.7,-94.4, 36, 999,XX
EP,03,2012061500, 03,EE41,  0,11.8,-94.4, 38, 996,XX
EP,03,2012061500, 03,EE01,  0,11.8,-94.4, 38, 997,XX
EP,03,2012061500, 03,EE00,  0,11.8,-94.4, 35, 998,XX
EP,03,2012061500, 03,EE04,  0,11.8,-94.4, 35, 999,XX
EP,03,2012061500, 03,EE14,  0,11.9,-94.4, 45, 996,XX
EP,03,2012061500, 03,EE03,  0,11.9,-94.4, 37, 997,XX
EP,03,2012061500, 03,ECMF,  0,11.9,-94.4, 35, 998,XX
EP,03,2012061500, 03,EE02,  0,11.9,-94.4, 33, 999,XX
EP,03,2012061500, 03,EE27,108,17.0,-99.7, 25, 998,XX
EP,03,2012061500, 03,EE46,120,28.2,-110.0, 26, 997,XX
EP,03,2012061500, 03,EE02,108,16.5,-101.5, 32, 998,XX
EP,03,2012061500, 03,EE15,108,15.6,-101.3, 35, 998,XX
EP,03,2012061500, 03,EE47,108,17.0,-100.3, 39, 997,XX
EP,03,2012061500, 03,EE19,108,15.2,-100.0, 42, 996,XX
EP,03,2012061500, 03,EE15,120,16.1,-99.7, 44, 999,XX
EP,03,2012061500, 03,EE39,108,15.5,-98.1, 45, 996,XX
EP,03,2012061500, 03,EE19,120,15.9,-100.6, 47, 994,XX
EP,03,2012061500, 03,EE02,120,16.6,-101.4, 48, 997,XX
EP,03,2012061500, 03,EE11,108,16.8,-99.5, 52, 991,XX
EP,03,2012061500, 03,ECMF,  6,12.6,-94.9, 48, 997,XX
EP,03,2012061500, 03,EE17, 12,12.7,-94.9, 52, 993,XX
EP,03,2012061500, 03,EE47, 12,12.7,-95.3, 52, 994,XX
EP,03,2012061500, 03,EE30, 12,12.8,-95.4, 50, 994,XX
EP,03,2012061500, 03,EE15, 12,12.9,-94.9, 50, 994,XX
EP,03,2012061500, 03,EE44, 12,13.0,-95.1, 45,1000,XX
EP,03,2012061500, 03,EE07, 12,13.0,-95.2, 47, 993,XX
EP,03,2012061500, 03,EE10, 12,13.0,-95.6, 56, 994,XX
EP,03,2012061500, 03,EE50, 12,13.0,-95.6, 47, 995,XX
EP,03,2012061500, 03,EE35, 12,13.0,-95.1, 48, 996,XX
EP,03,2012061500, 03,EE42, 12,13.0,-95.4, 49, 998,XX
EP,03,2012061500, 03,EE24, 12,13.0,-95.0, 42, 999,XX
