basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,03,2012062000, 03,EE39,  0,39.0,-56.9, 32,1005,XX
AL,03,2012062000, 03,ECMF,  0,39.1,-56.7, 30,1005,XX
AL,03,2012062000, 03,EE04,  0,39.2,-56.7, 31,1006,XX
AL,03,2012062000, 03,EE20,  0,39.3,-56.5, 29,1006,XX
AL,03,2012062000, 03,ECMF,  6,38.6,-55.1, 37,1004,XX
AL,03,2012062000, 03,EE15, 12,38.0,-52.9, 36,1002,XX
AL,03,2012062000, 03,EE02, 12,38.1,-53.0, 32,1004,XX
AL,03,2012062000, 03,ECMF, 12,38.2,-53.0, 32,1004,XX
AL,03,2012062000, 03,EE01, 12,38.3,-53.0, 31,1003,XX
AL,03,2012062000, 03,EE04, 12,38.4,-53.2, 33,1004,XX
AL,03,2012062000, 03,EE07, 12,38.5,-53.2, 34,1003,XX
AL,03,2012062000, 03,EE40, 12,38.6,-52.6, 34,1003,XX
AL,03,2012062000, 03,ECMF, 18,38.1,-50.5, 38,1001,XX
AL,03,2012062000, 03,EE19, 24,37.9,-48.0, 42, 999,XX
AL,03,2012062000, 03,EE17, 24,38.0,-48.4, 36,1002,XX
AL,03,2012062000, 03,EE46, 24,38.0,-48.2, 38, 999,XX
AL,03,2012062000, 03,EE36, 24,38.1,-47.8, 36,1000,XX
AL,03,2012062000, 03,EE37, 24,38.1,-48.2, 37, 999,XX
AL,03,2012062000, 03,EE11, 24,38.2,-47.7, 35,1000,XX
AL,03,2012062000, 03,EE50, 24,38.2,-47.6, 36, 999,XX
AL,03,2012062000, 03,EE02, 24,38.3,-47.5, 37,1000,XX
AL,03,2012062000, 03,EE34, 24,38.3,-47.9, 41, 996,XX
AL,03,2012062000, 03,EE15, 24,38.3,-47.9, 39, 997,XX
AL,03,2012062000, 03,EE47, 24,38.4,-48.0, 38,1000,XX
AL,03,2012062000, 03,EE26, 24,38.4,-47.8, 39, 997,XX
AL,03,2012062000, 03,EE25, 24,38.4,-47.9, 38, 998,XX
AL,03,2012062000, 03,EE08, 24,38.5,-47.6, 35,1000,XX
AL,03,2012062000, 03,EE35, 24,38.5,-47.7, 43, 995,XX
AL,03,2012062000, 03,EE10, 24,38.5,-47.6, 39, 997,XX
AL,03,2012062000, 03,EE04, 24,38.5,-47.9, 38, 998,XX
AL,03,2012062000, 03,ECMF, 24,38.5,-47.7, 38, 999,XX
AL,03,2012062000, 03,EE45, 24,38.6,-47.6, 38,1000,XX
AL,03,2012062000, 03,EE23, 24,38.6,-47.9, 42, 996,XX
AL,03,2012062000, 03,EE03, 24,38.6,-47.4, 42, 997,XX
AL,03,2012062000, 03,EE06, 24,38.6,-47.5, 41, 998,XX
AL,03,2012062000, 03,EE01, 24,38.6,-48.1, 38, 999,XX
AL,03,2012062000, 03,EE20, 24,38.7,-47.9, 37,1000,XX
AL,03,2012062000, 03,EE32, 24,38.7,-47.7, 41, 997,XX
AL,03,2012062000, 03,EE14, 24,38.7,-48.0, 39, 999,XX
AL,03,2012062000, 03,EE09, 24,38.8,-47.9, 41, 997,XX
AL,03,2012062000, 03,EE07, 24,38.8,-48.2, 41, 998,XX
AL,03,2012062000, 03,EE33, 24,38.8,-47.8, 38, 999,XX
AL,03,2012062000, 03,EE05, 24,38.9,-47.5, 43, 997,XX
AL,03,2012062000, 03,EE40, 24,39.4,-47.3, 41, 999,XX
AL,03,2012062000, 03,ECMF, 30,39.2,-45.1, 42, 995,XX
AL,03,2012062000, 03,EE39, 36,39.2,-43.5, 38, 996,XX
AL,03,2012062000, 03,EE46, 36,39.8,-43.2, 42, 995,XX
AL,03,2012062000, 03,EE17, 36,39.8,-43.2, 43, 997,XX
AL,03,2012062000, 03,EE29, 36,39.9,-43.4, 44, 995,XX
AL,03,2012062000, 03,EE02, 36,40.0,-42.9, 43, 993,XX
AL,03,2012062000, 03,EE19, 36,40.0,-43.2, 42, 995,XX
AL,03,2012062000, 03,EE31, 36,40.0,-43.0, 38, 997,XX
AL,03,2012062000, 03,EE28, 36,40.1,-42.6, 44, 994,XX
AL,03,2012062000, 03,EE11, 36,40.1,-42.5, 42, 995,XX
AL,03,2012062000, 03,EE36, 36,40.1,-44.1, 36, 996,XX
AL,03,2012062000, 03,EE12, 36,40.2,-43.7, 43, 996,XX
AL,03,2012062000, 03,EE15, 36,40.3,-43.5, 42, 990,XX
AL,03,2012062000, 03,EE26, 36,40.3,-43.9, 38, 991,XX
AL,03,2012062000, 03,EE22, 36,40.4,-44.1, 42, 993,XX
AL,03,2012062000, 03,EE14, 36,40.4,-43.8, 43, 994,XX
AL,03,2012062000, 03,EE47, 36,40.4,-43.5, 42, 995,XX
AL,03,2012062000, 03,EE08, 36,40.4,-43.0, 42, 996,XX
AL,03,2012062000, 03,EE30, 36,40.5,-43.6, 42, 993,XX
AL,03,2012062000, 03,EE25, 36,40.5,-43.1, 43, 994,XX
AL,03,2012062000, 03,EE20, 36,40.5,-43.9, 39, 995,XX
AL,03,2012062000, 03,EE10, 36,40.6,-43.1, 45, 991,XX
AL,03,2012062000, 03,ECMF, 36,40.6,-43.2, 46, 992,XX
AL,03,2012062000, 03,EE04, 36,40.6,-43.5, 42, 993,XX
AL,03,2012062000, 03,EE00, 36,40.6,-43.2, 45, 994,XX
AL,03,2012062000, 03,EE01, 36,40.7,-43.9, 44, 992,XX
AL,03,2012062000, 03,EE07, 36,40.7,-44.1, 42, 994,XX
AL,03,2012062000, 03,EE45, 36,40.7,-42.6, 40, 997,XX
AL,03,2012062000, 03,EE35, 36,40.8,-43.9, 48, 989,XX
AL,03,2012062000, 03,EE27, 36,40.8,-44.4, 42, 993,XX
AL,03,2012062000, 03,EE23, 36,40.9,-44.9, 45, 989,XX
AL,03,2012062000, 03,EE06, 36,40.9,-43.5, 41, 991,XX
AL,03,2012062000, 03,EE09, 36,40.9,-44.1, 44, 992,XX
AL,03,2012062000, 03,EE03, 36,41.0,-43.7, 42, 992,XX
AL,03,2012062000, 03,EE33, 36,41.0,-43.9, 41, 993,XX
AL,03,2012062000, 03,EE48, 36,41.0,-43.5, 41, 994,XX
AL,03,2012062000, 03,EE05, 36,41.1,-43.5, 45, 992,XX
AL,03,2012062000, 03,EE41, 36,41.3,-43.8, 45, 994,XX
AL,03,2012062000, 03,EE40, 36,42.0,-43.7, 45, 994,XX
AL,03,2012062000, 03,ECMF, 42,42.4,-42.5, 46, 989,XX
AL,03,2012062000, 03,EE39, 48,41.6,-41.8, 45, 988,XX
AL,03,2012062000, 03,EE36, 48,42.5,-42.4, 34, 993,XX
AL,03,2012062000, 03,EE18, 48,42.6,-41.7, 45, 989,XX
AL,03,2012062000, 03,EE23, 48,42.8,-45.1, 52, 983,XX
AL,03,2012062000, 03,EE12, 48,42.8,-42.5, 45, 990,XX
AL,03,2012062000, 03,EE46, 48,42.9,-41.7, 43, 989,XX
AL,03,2012062000, 03,EE29, 48,42.9,-41.4, 43, 990,XX
