basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
SH,04,2012121012, 03,EE36,  0,-17.5,73.4, 63, 967,XX
SH,04,2012121012, 03,EE05,  0,-17.6,73.4, 58, 968,XX
SH,04,2012121012, 03,EE25,  0,-17.6,73.4, 59, 969,XX
SH,04,2012121012, 03,EE13,  0,-17.6,73.4, 59, 970,XX
SH,04,2012121012, 03,ECMF,  0,-17.6,73.4, 60, 971,XX
SH,04,2012121012, 03,EE00,  0,-17.6,73.4, 54, 972,XX
SH,04,2012121012, 03,EE09,  0,-17.6,73.4, 55, 973,XX
SH,04,2012121012, 03,EE17,  0,-17.6,73.4, 53, 974,XX
SH,04,2012121012, 03,EE06,  0,-17.6,73.4, 51, 975,XX
SH,04,2012121012, 03,EE15,  0,-17.6,73.4, 49, 976,XX
SH,04,2012121012, 03,ECMF,  6,-18.0,73.0, 75, 973,XX
SH,04,2012121012, 03,EE30, 12,-19.0,73.0, 68, 972,XX
SH,04,2012121012, 03,ECMF, 12,-18.6,72.8, 73, 973,XX
SH,04,2012121012, 03,EE13, 12,-19.0,72.9, 64, 974,XX
SH,04,2012121012, 03,EE24, 12,-18.6,72.8, 71, 975,XX
SH,04,2012121012, 03,EE04, 12,-19.0,72.6, 70, 976,XX
SH,04,2012121012, 03,EE25, 12,-18.4,72.6, 72, 977,XX
SH,04,2012121012, 03,EE01, 12,-18.5,72.5, 64, 978,XX
SH,04,2012121012, 03,EE00, 12,-18.6,72.7, 65, 979,XX
SH,04,2012121012, 03,EE07, 12,-18.6,72.7, 68, 980,XX
SH,04,2012121012, 03,EE14, 12,-18.4,72.5, 62, 981,XX
SH,04,2012121012, 03,EE03, 12,-18.5,72.8, 65, 982,XX
SH,04,2012121012, 03,EE47, 12,-18.9,72.7, 58, 983,XX
SH,04,2012121012, 03,EE09, 12,-18.5,72.6, 58, 984,XX
SH,04,2012121012, 03,EE20, 12,-18.2,72.0, 57, 985,XX
SH,04,2012121012, 03,EE06, 12,-18.5,72.3, 56, 986,XX
SH,04,2012121012, 03,ECMF, 18,-19.4,72.5, 74, 976,XX
SH,04,2012121012, 03,EE01, 24,-20.0,72.0, 64, 978,XX
SH,04,2012121012, 03,ECMF, 24,-20.3,72.5, 70, 980,XX
SH,04,2012121012, 03,EE11, 24,-20.4,72.3, 62, 981,XX
SH,04,2012121012, 03,EE04, 24,-20.5,72.4, 67, 982,XX
SH,04,2012121012, 03,EE08, 24,-20.3,73.0, 68, 983,XX
SH,04,2012121012, 03,EE00, 24,-20.1,72.2, 66, 984,XX
SH,04,2012121012, 03,EE17, 24,-19.8,73.0, 66, 985,XX
SH,04,2012121012, 03,EE10, 24,-20.5,72.1, 57, 986,XX
SH,04,2012121012, 03,EE02, 24,-19.7,72.3, 65, 987,XX
SH,04,2012121012, 03,EE03, 24,-19.5,72.5, 52, 988,XX
SH,04,2012121012, 03,EE14, 24,-19.0,71.4, 51, 989,XX
SH,04,2012121012, 03,EE26, 24,-20.4,72.3, 59, 990,XX
SH,04,2012121012, 03,EE06, 24,-20.0,71.8, 53, 991,XX
SH,04,2012121012, 03,EE41, 24,-19.9,72.1, 52, 992,XX
SH,04,2012121012, 03,ECMF, 30,-21.3,72.5, 67, 986,XX
SH,04,2012121012, 03,EE45, 36,-21.4,73.4, 70, 980,XX
SH,04,2012121012, 03,EE16, 36,-22.8,72.2, 65, 982,XX
SH,04,2012121012, 03,EE24, 36,-23.4,74.0, 70, 983,XX
