basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,11,2012073000, 03,EE01,108,26.7,112.5, 16, 994,XX
WP,11,2012073000, 03,EE25,108,34.4,114.8, 17, 999,XX
WP,11,2012073000, 03,EE13,120,30.5,117.1, 19, 997,XX
WP,11,2012073000, 03,EE08,108,26.5,114.7, 20, 994,XX
WP,11,2012073000, 03,EE10,108,29.0,113.4, 22, 996,XX
WP,11,2012073000, 03,EE11,108,27.6,115.0, 23, 992,XX
WP,11,2012073000, 03,EE11,120,28.6,113.2, 24, 994,XX
WP,11,2012073000, 03,EE28,120,32.1,116.1, 25, 996,XX
WP,11,2012073000, 03,EE08,  0,25.5,145.0, 36, 992,XX
WP,11,2012073000, 03,EE01,  0,25.5,145.0, 39, 993,XX
WP,11,2012073000, 03,EE23,  0,25.6,145.0, 39, 990,XX
WP,11,2012073000, 03,EE36,  0,25.6,145.2, 42, 991,XX
WP,11,2012073000, 03,EE03,  0,25.6,145.0, 38, 992,XX
WP,11,2012073000, 03,ECMF,  0,25.6,145.1, 36, 993,XX
WP,11,2012073000, 03,EE04,  0,25.6,145.3, 34, 994,XX
WP,11,2012073000, 03,EE24,  0,25.6,145.3, 33, 995,XX
WP,11,2012073000, 03,EE02,  0,25.7,145.2, 35, 992,XX
WP,11,2012073000, 03,EE07,  0,25.7,145.3, 37, 993,XX
WP,11,2012073000, 03,EE37,  0,25.7,145.0, 45, 994,XX
WP,11,2012073000, 03,EE28,108,32.9,119.0, 26, 994,XX
WP,11,2012073000, 03,EE02,108,37.0,118.0, 27, 999,XX
WP,11,2012073000, 03,EE04,108,38.9,119.6, 29, 998,XX
WP,11,2012073000, 03,EE15,120,33.7,116.4, 31, 995,XX
WP,11,2012073000, 03,EE13,108,33.7,119.0, 33, 994,XX
WP,11,2012073000, 03,EE02,120,38.6,116.6, 35, 998,XX
WP,11,2012073000, 03,EE36,108,39.0,119.5, 36, 996,XX
WP,11,2012073000, 03,EE22,108,37.3,119.6, 37, 995,XX
WP,11,2012073000, 03,ECMF,102,38.0,119.9, 38, 992,XX
