basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,04,2012071000, 03,EE14,  0,15.6,-131.7, 48, 994,XX
EP,04,2012071000, 03,ECMF,  0,15.6,-131.6, 43, 995,XX
EP,04,2012071000, 03,EE00,  0,15.6,-131.6, 41, 996,XX
EP,04,2012071000, 03,EE19,  0,15.6,-131.6, 39, 997,XX
EP,04,2012071000, 03,EE11,  0,15.7,-131.6, 40, 995,XX
EP,04,2012071000, 03,EE09,  0,15.7,-131.6, 41, 996,XX
EP,04,2012071000, 03,EE16,  0,15.7,-131.6, 38, 997,XX
EP,04,2012071000, 03,ECMF,  6,15.5,-133.2, 46, 999,XX
EP,04,2012071000, 03,EE33, 12,15.1,-134.1, 46, 997,XX
EP,04,2012071000, 03,EE27, 12,15.1,-134.7, 42, 998,XX
EP,04,2012071000, 03,EE07, 12,15.2,-135.0, 39, 999,XX
EP,04,2012071000, 03,EE15, 12,15.3,-135.0, 43, 998,XX
EP,04,2012071000, 03,EE38, 12,15.3,-135.0, 41, 999,XX
EP,04,2012071000, 03,EE09, 12,15.4,-134.8, 36,1000,XX
EP,04,2012071000, 03,EE47, 12,15.4,-134.6, 41, 997,XX
EP,04,2012071000, 03,EE20, 12,15.4,-134.9, 43, 998,XX
EP,04,2012071000, 03,EE10, 12,15.4,-134.7, 39, 999,XX
EP,04,2012071000, 03,EE02, 12,15.5,-135.2, 36,1001,XX
EP,04,2012071000, 03,EE01, 12,15.5,-134.5, 37, 998,XX
EP,04,2012071000, 03,ECMF, 12,15.5,-134.8, 40, 999,XX
EP,04,2012071000, 03,EE03, 12,15.6,-135.7, 39,1000,XX
EP,04,2012071000, 03,EE06, 12,15.6,-134.6, 39, 998,XX
EP,04,2012071000, 03,EE37, 12,15.6,-134.7, 37, 999,XX
EP,04,2012071000, 03,EE36, 12,15.7,-134.9, 40,1000,XX
EP,04,2012071000, 03,EE14, 12,15.7,-135.2, 38, 999,XX
EP,04,2012071000, 03,EE08, 12,15.8,-134.7, 38,1001,XX
EP,04,2012071000, 03,ECMF, 18,15.6,-136.2, 44,1001,XX
EP,04,2012071000, 03,EE27, 24,15.0,-137.0, 44, 999,XX
EP,04,2012071000, 03,EE07, 24,15.3,-138.0, 40,1001,XX
EP,04,2012071000, 03,EE21, 24,15.3,-137.0, 45, 998,XX
EP,04,2012071000, 03,EE38, 24,15.4,-137.5, 43,1002,XX
EP,04,2012071000, 03,EE03, 24,15.5,-139.2, 42,1001,XX
EP,04,2012071000, 03,EE47, 24,15.5,-136.9, 41, 999,XX
EP,04,2012071000, 03,EE13, 24,15.6,-137.6, 41,1001,XX
EP,04,2012071000, 03,EE26, 24,15.6,-137.0, 44, 998,XX
EP,04,2012071000, 03,EE46, 24,15.7,-137.6, 48,1000,XX
EP,04,2012071000, 03,ECMF, 24,15.8,-137.6, 44,1000,XX
EP,04,2012071000, 03,EE00, 24,15.9,-137.6, 43,1002,XX
EP,04,2012071000, 03,EE10, 24,15.9,-137.0, 46, 998,XX
EP,04,2012071000, 03,EE01, 24,15.9,-137.1, 47, 999,XX
EP,04,2012071000, 03,EE02, 24,16.0,-138.5, 37,1004,XX
EP,04,2012071000, 03,EE22, 24,16.1,-138.3, 39,1001,XX
EP,04,2012071000, 03,EE08, 24,16.2,-137.6, 40,1002,XX
EP,04,2012071000, 03,EE04, 24,16.3,-137.1, 37,1003,XX
EP,04,2012071000, 03,EE28, 24,16.4,-137.8, 35,1004,XX
EP,04,2012071000, 03,ECMF, 30,15.9,-139.0, 46,1003,XX
EP,04,2012071000, 03,EE27, 36,15.1,-139.7, 42,1001,XX
EP,04,2012071000, 03,EE03, 36,15.5,-142.5, 36,1003,XX
EP,04,2012071000, 03,EE15, 36,15.6,-140.2, 41,1002,XX
EP,04,2012071000, 03,EE01, 36,15.8,-140.0, 43,1002,XX
EP,04,2012071000, 03,ECMF, 36,15.9,-140.4, 40,1002,XX
EP,04,2012071000, 03,EE00, 36,16.0,-140.4, 39,1003,XX
EP,04,2012071000, 03,EE42, 36,16.1,-139.7, 31,1004,XX
EP,04,2012071000, 03,EE02, 36,16.2,-142.0, 31,1007,XX
EP,04,2012071000, 03,EE19, 36,16.3,-140.0, 38,1004,XX
EP,04,2012071000, 03,EE05, 36,16.4,-140.4, 36,1006,XX
EP,04,2012071000, 03,EE04, 36,16.5,-139.5, 40,1005,XX
EP,04,2012071000, 03,EE09, 36,16.6,-140.5, 33,1007,XX
EP,04,2012071000, 03,EE17, 36,16.7,-139.6, 38,1004,XX
EP,04,2012071000, 03,ECMF, 42,16.1,-141.6, 37,1005,XX
EP,04,2012071000, 03,EE27, 48,15.1,-142.7, 40,1003,XX
EP,04,2012071000, 03,EE33, 48,15.4,-140.9, 39,1003,XX
EP,04,2012071000, 03,EE03, 48,15.5,-145.6, 33,1005,XX
EP,04,2012071000, 03,EE40, 48,15.6,-142.6, 33,1006,XX
EP,04,2012071000, 03,EE07, 48,15.7,-143.3, 35,1004,XX
EP,04,2012071000, 03,EE43, 48,15.8,-143.0, 33,1005,XX
EP,04,2012071000, 03,EE10, 48,15.9,-142.7, 37,1003,XX
EP,04,2012071000, 03,EE15, 48,16.0,-143.1, 36,1004,XX
EP,04,2012071000, 03,EE06, 48,16.1,-143.3, 38,1005,XX
EP,04,2012071000, 03,ECMF, 48,16.3,-143.0, 37,1004,XX
EP,04,2012071000, 03,EE00, 48,16.4,-143.1, 33,1005,XX
EP,04,2012071000, 03,EE12, 48,16.5,-143.9, 32,1007,XX
EP,04,2012071000, 03,EE11, 48,16.6,-141.5, 39,1006,XX
EP,04,2012071000, 03,EE16, 48,16.7,-143.2, 31,1007,XX
EP,04,2012071000, 03,EE05, 48,16.8,-142.7, 27,1008,XX
EP,04,2012071000, 03,EE08, 48,17.0,-142.2, 32,1006,XX
EP,04,2012071000, 03,EE17, 48,17.1,-142.1, 37,1005,XX
EP,04,2012071000, 03,EE22, 48,17.2,-144.6, 32,1006,XX
EP,04,2012071000, 03,EE44, 48,17.4,-143.0, 36,1007,XX
EP,04,2012071000, 03,EE04, 48,17.5,-142.2, 36,1007,XX
EP,04,2012071000, 03,ECMF, 54,16.3,-144.2, 37,1006,XX
EP,04,2012071000, 03,EE27, 60,14.5,-145.5, 34,1004,XX
EP,04,2012071000, 03,EE03, 60,15.2,-148.7, 28,1006,XX
EP,04,2012071000, 03,EE33, 60,15.4,-142.8, 33,1006,XX
EP,04,2012071000, 03,EE40, 60,15.6,-145.1, 27,1007,XX
EP,04,2012071000, 03,EE06, 60,15.8,-146.1, 36,1005,XX
EP,04,2012071000, 03,EE47, 60,15.9,-143.4, 35,1004,XX
EP,04,2012071000, 03,EE13, 60,16.0,-146.3, 31,1006,XX
EP,04,2012071000, 03,EE07, 60,16.1,-146.1, 30,1006,XX
EP,04,2012071000, 03,EE26, 60,16.2,-144.5, 30,1005,XX
EP,04,2012071000, 03,EE02, 60,16.3,-148.2, 26,1008,XX
EP,04,2012071000, 03,ECMF, 60,16.4,-145.6, 34,1005,XX
EP,04,2012071000, 03,EE12, 60,16.5,-146.8, 31,1007,XX
EP,04,2012071000, 03,EE00, 60,16.6,-146.0, 30,1006,XX
EP,04,2012071000, 03,EE16, 60,16.7,-146.1, 27,1008,XX
EP,04,2012071000, 03,EE19, 60,16.8,-146.1, 31,1007,XX
EP,04,2012071000, 03,EE05, 60,16.9,-145.2, 26,1008,XX
EP,04,2012071000, 03,EE35, 60,17.0,-144.4, 33,1006,XX
EP,04,2012071000, 03,EE09, 60,17.1,-146.6, 28,1008,XX
EP,04,2012071000, 03,EE08, 60,17.2,-144.7, 29,1008,XX
EP,04,2012071000, 03,EE34, 60,17.5,-146.0, 25,1008,XX
EP,04,2012071000, 03,EE48, 60,17.6,-148.3, 27,1008,XX
EP,04,2012071000, 03,EE28, 60,17.7,-146.1, 30,1007,XX
EP,04,2012071000, 03,EE04, 60,17.8,-145.0, 30,1008,XX
EP,04,2012071000, 03,EE22, 60,17.9,-148.1, 27,1007,XX
EP,04,2012071000, 03,ECMF, 66,16.5,-146.9, 34,1006,XX
EP,04,2012071000, 03,EE27, 72,14.2,-148.1, 35,1004,XX
EP,04,2012071000, 03,EE03, 72,14.9,-151.4, 26,1007,XX
EP,04,2012071000, 03,EE06, 72,15.0,-148.9, 35,1005,XX
EP,04,2012071000, 03,EE43, 72,15.5,-148.4, 31,1006,XX
EP,04,2012071000, 03,EE15, 72,15.7,-149.1, 31,1005,XX
EP,04,2012071000, 03,EE21, 72,16.0,-147.0, 33,1006,XX
EP,04,2012071000, 03,EE23, 72,16.2,-147.8, 34,1006,XX
EP,04,2012071000, 03,EE13, 72,16.3,-149.4, 27,1007,XX
EP,04,2012071000, 03,EE10, 72,16.4,-148.5, 30,1006,XX
EP,04,2012071000, 03,EE01, 72,16.5,-147.7, 36,1004,XX
EP,04,2012071000, 03,EE12, 72,16.6,-149.9, 31,1008,XX
EP,04,2012071000, 03,ECMF, 72,16.7,-148.3, 34,1005,XX
EP,04,2012071000, 03,EE07, 72,16.8,-149.3, 28,1006,XX
EP,04,2012071000, 03,EE00, 72,16.9,-149.0, 27,1007,XX
EP,04,2012071000, 03,EE18, 72,17.0,-150.9, 31,1008,XX
EP,04,2012071000, 03,EE20, 72,17.1,-147.9, 34,1006,XX
EP,04,2012071000, 03,EE08, 72,17.2,-147.5, 24,1008,XX
EP,04,2012071000, 03,EE49, 72,17.3,-150.5, 25,1007,XX
EP,04,2012071000, 03,EE05, 72,17.4,-148.0, 20,1009,XX
EP,04,2012071000, 03,EE37, 72,17.6,-148.1, 32,1007,XX
EP,04,2012071000, 03,EE31, 72,17.7,-149.5, 26,1007,XX
EP,04,2012071000, 03,EE17, 72,17.8,-146.9, 28,1007,XX
EP,04,2012071000, 03,EE09, 72,17.9,-150.1, 32,1008,XX
EP,04,2012071000, 03,EE04, 72,18.0,-147.9, 24,1009,XX
EP,04,2012071000, 03,EE48, 72,18.1,-152.4, 27,1009,XX
EP,04,2012071000, 03,EE28, 72,18.3,-149.0, 30,1009,XX
EP,04,2012071000, 03,EE22, 72,18.5,-151.5, 26,1007,XX
EP,04,2012071000, 03,EE44, 72,18.6,-148.8, 32,1007,XX
EP,04,2012071000, 03,ECMF, 78,16.6,-149.8, 36,1007,XX
EP,04,2012071000, 03,EE27, 84,13.6,-150.8, 30,1006,XX
EP,04,2012071000, 03,EE33, 84,14.2,-148.1, 33,1007,XX
EP,04,2012071000, 03,EE03, 84,14.4,-155.1, 18,1008,XX
EP,04,2012071000, 03,EE06, 84,14.6,-151.9, 31,1006,XX
EP,04,2012071000, 03,EE43, 84,14.8,-151.6, 26,1008,XX
