basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
SH,18,2012040212, 03,EE06,  0,-23.0,176.3, 51, 985,XX
SH,18,2012040212, 03,EE08,  0,-23.0,176.3, 46, 986,XX
SH,18,2012040212, 03,EE10,  0,-22.9,176.4, 45, 987,XX
SH,18,2012040212, 03,ECMF,  0,-22.9,176.4, 47, 988,XX
SH,18,2012040212, 03,EE09,  0,-23.0,176.2, 49, 989,XX
SH,18,2012040212, 03,EE07,  0,-22.8,176.4, 50, 990,XX
SH,18,2012040212, 03,EE05,  0,-22.9,176.4, 44, 991,XX
SH,18,2012040212, 03,ECMF,  6,-25.2,178.8, 66, 986,XX
SH,18,2012040212, 03,EE48, 12,-27.5,-179.0, 70, 986,XX
SH,18,2012040212, 03,ECMF, 12,-27.8,-179.1, 71, 987,XX
SH,18,2012040212, 03,EE02, 12,-27.6,-178.7, 65, 988,XX
SH,18,2012040212, 03,EE00, 12,-27.8,-179.1, 66, 989,XX
SH,18,2012040212, 03,EE01, 12,-28.5,-178.6, 64, 990,XX
SH,18,2012040212, 03,EE25, 12,-28.0,-178.6, 57, 991,XX
SH,18,2012040212, 03,ECMF, 18,-30.1,-177.0, 61, 988,XX
SH,18,2012040212, 03,EE11, 24,-31.6,-173.8, 50, 990,XX
SH,18,2012040212, 03,ECMF, 24,-32.0,-174.6, 52, 991,XX
SH,18,2012040212, 03,EE00, 24,-32.4,-174.9, 60, 992,XX
SH,18,2012040212, 03,EE10, 24,-31.9,-175.4, 55, 993,XX
SH,18,2012040212, 03,EE04, 24,-31.7,-175.2, 50, 994,XX
SH,18,2012040212, 03,ECMF, 30,-33.2,-172.4, 41, 994,XX
SH,18,2012040212, 03,EE19, 36,-35.7,-170.7, 46, 992,XX
SH,18,2012040212, 03,EE22, 36,-35.1,-171.2, 50, 993,XX
SH,18,2012040212, 03,EE21, 36,-35.6,-172.7, 40, 994,XX
SH,18,2012040212, 03,EE02, 36,-34.2,-171.3, 45, 995,XX
SH,18,2012040212, 03,EE00, 36,-35.1,-171.5, 42, 996,XX
SH,18,2012040212, 03,ECMF, 36,-34.3,-170.6, 48, 997,XX
SH,18,2012040212, 03,EE18, 36,-34.2,-172.3, 38, 998,XX
