basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,04,2012062900, 03,EE04,  0,32.7,-68.1, 34,1005,XX
AL,04,2012062900, 03,ECMF,  0,32.8,-68.1, 36,1004,XX
AL,04,2012062900, 03,EE02,  0,32.9,-68.1, 34,1004,XX
AL,04,2012062900, 03,ECMF,  6,33.5,-66.5, 42,1002,XX
AL,04,2012062900, 03,EE19, 12,33.6,-66.0, 42,1005,XX
AL,04,2012062900, 03,EE26, 12,33.8,-65.6, 39,1006,XX
AL,04,2012062900, 03,EE04, 12,33.9,-65.0, 41,1007,XX
AL,04,2012062900, 03,EE00, 12,34.0,-65.1, 41,1006,XX
AL,04,2012062900, 03,ECMF, 12,34.1,-65.0, 45,1004,XX
AL,04,2012062900, 03,EE03, 12,34.2,-64.9, 46,1004,XX
AL,04,2012062900, 03,EE05, 12,34.3,-64.4, 45,1007,XX
AL,04,2012062900, 03,EE12, 12,34.4,-64.9, 48,1007,XX
AL,04,2012062900, 03,EE32, 12,34.5,-64.2, 45,1006,XX
AL,04,2012062900, 03,ECMF, 18,35.0,-63.9, 47,1004,XX
AL,04,2012062900, 03,EE26, 24,35.1,-63.5, 37,1007,XX
AL,04,2012062900, 03,EE14, 24,35.2,-63.0, 39,1007,XX
AL,04,2012062900, 03,EE17, 24,35.3,-63.7, 40,1008,XX
AL,04,2012062900, 03,EE11, 24,35.4,-63.5, 37,1009,XX
AL,04,2012062900, 03,EE06, 24,35.5,-63.4, 42,1005,XX
AL,04,2012062900, 03,EE08, 24,35.6,-64.1, 40,1007,XX
AL,04,2012062900, 03,EE02, 24,35.8,-62.6, 42,1008,XX
AL,04,2012062900, 03,EE22, 24,35.9,-63.1, 40,1009,XX
AL,04,2012062900, 03,ECMF, 24,36.0,-62.9, 45,1006,XX
AL,04,2012062900, 03,EE00, 24,36.1,-62.9, 39,1008,XX
AL,04,2012062900, 03,EE18, 24,36.2,-62.9, 39,1007,XX
AL,04,2012062900, 03,EE38, 24,36.3,-63.1, 38,1007,XX
AL,04,2012062900, 03,EE15, 24,36.4,-63.6, 41,1007,XX
AL,04,2012062900, 03,EE20, 24,36.5,-61.9, 40,1009,XX
AL,04,2012062900, 03,EE36, 24,36.6,-63.5, 39,1006,XX
AL,04,2012062900, 03,EE12, 24,36.7,-62.9, 41,1008,XX
AL,04,2012062900, 03,EE05, 24,36.8,-61.8, 44,1008,XX
AL,04,2012062900, 03,EE32, 24,37.1,-62.0, 38,1007,XX
AL,04,2012062900, 03,ECMF, 30,37.1,-61.5, 48,1006,XX
AL,04,2012062900, 03,EE14, 36,37.2,-59.9, 43,1010,XX
AL,04,2012062900, 03,EE11, 36,37.4,-60.1, 36,1013,XX
AL,04,2012062900, 03,EE23, 36,37.6,-60.8, 49,1010,XX
AL,04,2012062900, 03,EE17, 36,37.7,-61.5, 47,1009,XX
AL,04,2012062900, 03,EE06, 36,37.8,-61.0, 47,1008,XX
AL,04,2012062900, 03,EE50, 36,37.9,-61.1, 46,1008,XX
AL,04,2012062900, 03,EE08, 36,38.1,-61.1, 42,1011,XX
AL,04,2012062900, 03,EE09, 36,38.2,-59.1, 43,1011,XX
AL,04,2012062900, 03,EE39, 36,38.3,-59.1, 48,1008,XX
AL,04,2012062900, 03,EE43, 36,38.4,-60.6, 46,1008,XX
AL,04,2012062900, 03,ECMF, 36,38.5,-59.7, 46,1007,XX
AL,04,2012062900, 03,EE02, 36,38.6,-59.6, 42,1010,XX
AL,04,2012062900, 03,EE01, 36,38.7,-60.6, 40,1010,XX
AL,04,2012062900, 03,EE38, 36,38.8,-60.2, 40,1010,XX
AL,04,2012062900, 03,EE18, 36,38.9,-59.1, 42,1009,XX
AL,04,2012062900, 03,EE33, 36,39.0,-59.9, 47,1009,XX
AL,04,2012062900, 03,EE00, 36,39.1,-59.8, 40,1010,XX
AL,04,2012062900, 03,EE13, 36,39.2,-60.0, 40,1010,XX
AL,04,2012062900, 03,EE47, 36,39.3,-59.6, 43,1010,XX
AL,04,2012062900, 03,EE35, 36,39.5,-59.1, 41,1008,XX
AL,04,2012062900, 03,EE07, 36,39.6,-59.6, 42,1010,XX
AL,04,2012062900, 03,EE05, 36,39.7,-58.0, 41,1010,XX
AL,04,2012062900, 03,EE40, 36,40.0,-59.2, 43,1010,XX
AL,04,2012062900, 03,EE46, 36,40.4,-58.4, 46,1008,XX
AL,04,2012062900, 03,ECMF, 42,40.3,-57.4, 48,1008,XX
AL,04,2012062900, 03,EE14, 48,41.1,-55.3, 40,1012,XX
AL,04,2012062900, 03,EE50, 48,41.6,-56.3, 48,1008,XX
AL,04,2012062900, 03,EE17, 48,41.7,-57.2, 46,1010,XX
AL,04,2012062900, 03,EE44, 48,41.9,-54.0, 41,1012,XX
AL,04,2012062900, 03,ECMF, 48,42.0,-53.9, 54,1007,XX
AL,04,2012062900, 03,EE27, 48,42.2,-53.6, 44,1010,XX
AL,04,2012062900, 03,EE47, 48,42.7,-54.1, 42,1010,XX
AL,04,2012062900, 03,EE05, 48,43.2,-51.4, 38,1011,XX
AL,04,2012062900, 03,EE36, 48,44.1,-54.2, 46,1006,XX
AL,04,2012062900, 03,EE32, 48,44.5,-52.7, 41,1009,XX
AL,04,2012062900, 03,EE46, 48,44.6,-51.9, 37,1009,XX
AL,04,2012062900, 03,ECMF, 54,43.9,-50.0, 47,1008,XX
AL,04,2012062900, 03,EE44, 60,44.2,-47.1, 37,1014,XX
AL,04,2012062900, 03,ECMF, 60,45.6,-45.7, 41,1011,XX
AL,04,2012062900, 03,EE50, 60,45.7,-48.0, 50,1007,XX
AL,04,2012062900, 03,EE05, 60,46.5,-42.5, 35,1011,XX
