basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,08,2012062612, 03,EE24,  0,14.9,129.1, 28,1004,XX
WP,08,2012062612, 03,EE04,  0,15.0,129.1, 28,1004,XX
WP,08,2012062612, 03,EE11,  0,15.1,129.0, 27,1005,XX
WP,08,2012062612, 03,EE09,  0,15.2,129.4, 29,1004,XX
WP,08,2012062612, 03,EE12,  0,15.5,130.1, 31,1003,XX
WP,08,2012062612, 03,EE01,  0,15.6,129.7, 32,1003,XX
WP,08,2012062612, 03,EE48,  0,15.7,129.2, 28,1004,XX
WP,08,2012062612, 03,EE00,  0,15.8,129.6, 29,1004,XX
WP,08,2012062612, 03,ECMF,  0,15.9,129.6, 29,1004,XX
WP,08,2012062612, 03,EE03,  0,16.0,129.9, 30,1003,XX
WP,08,2012062612, 03,EE17,  0,16.1,129.5, 31,1005,XX
WP,08,2012062612, 03,EE23,  0,16.2,130.0, 30,1004,XX
WP,08,2012062612, 03,EE13,  0,16.3,129.8, 26,1004,XX
WP,08,2012062612, 03,EE02,  0,16.5,130.0, 26,1004,XX
WP,08,2012062612, 03,EE45,120,25.8,109.5, 17, 999,XX
WP,08,2012062612, 03,EE02,120,21.6,109.3, 22, 999,XX
WP,08,2012062612, 03,EE29,120,23.4,110.4, 23, 999,XX
WP,08,2012062612, 03,EE01,120,23.9,109.6, 27, 995,XX
WP,08,2012062612, 03,EE02,108,21.0,111.6, 28, 998,XX
WP,08,2012062612, 03,EE12,120,22.5,106.6, 29, 996,XX
WP,08,2012062612, 03,EE12,108,22.9,109.8, 30, 993,XX
WP,08,2012062612, 03,EE22,108,22.2,107.0, 32, 995,XX
WP,08,2012062612, 03,EE20,120,35.2,124.3, 33, 994,XX
WP,08,2012062612, 03,EE20,108,35.9,121.5, 34, 994,XX
WP,08,2012062612, 03,EE23,120,21.6,105.5, 36, 988,XX
WP,08,2012062612, 03,EE29,108,22.0,112.1, 37, 995,XX
WP,08,2012062612, 03,EE49,108,20.6,110.4, 38, 995,XX
WP,08,2012062612, 03,EE01,108,22.5,112.0, 42, 984,XX
WP,08,2012062612, 03,EE43,120,21.0,106.4, 50, 988,XX
WP,08,2012062612, 03,EE43,108,21.0,108.5, 52, 984,XX
WP,08,2012062612, 03,EE23,108,20.9,107.8, 58, 979,XX
WP,08,2012062612, 03,ECMF,  6,15.5,129.0, 46,1001,XX
WP,08,2012062612, 03,EE42, 12,14.7,128.5, 40,1002,XX
WP,08,2012062612, 03,EE29, 12,15.2,129.3, 41,1002,XX
WP,08,2012062612, 03,EE02, 12,15.4,129.5, 36,1003,XX
WP,08,2012062612, 03,EE22, 12,15.5,129.0, 40,1003,XX
WP,08,2012062612, 03,EE23, 12,15.6,128.2, 39,1002,XX
WP,08,2012062612, 03,EE28, 12,15.7,128.5, 41,1002,XX
WP,08,2012062612, 03,EE18, 12,15.7,128.0, 47, 999,XX
WP,08,2012062612, 03,EE09, 12,15.8,129.5, 42,1002,XX
WP,08,2012062612, 03,EE12, 12,15.9,128.5, 48,1001,XX
WP,08,2012062612, 03,ECMF, 12,16.0,128.1, 45,1002,XX
WP,08,2012062612, 03,EE06, 12,16.1,128.1, 39,1001,XX
WP,08,2012062612, 03,EE04, 12,16.2,129.1, 48,1002,XX
WP,08,2012062612, 03,EE08, 12,16.3,129.8, 41,1004,XX
WP,08,2012062612, 03,EE01, 12,16.4,127.7, 43,1001,XX
WP,08,2012062612, 03,EE07, 12,16.5,128.2, 40,1000,XX
WP,08,2012062612, 03,EE41, 12,16.6,127.9, 42,1001,XX
