basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
SH,01,2012101800, 03,ECMF,  6,-16.3,54.1, 33,1006,XX
SH,01,2012101800, 03,ECMF, 12,-16.4,53.2, 31,1005,XX
SH,01,2012101800, 03,ECMF, 18,-16.5,52.4, 29,1008,XX
SH,01,2012101800, 03,ECMF, 24,-16.5,51.6, 26,1007,XX
SH,01,2012101800, 03,ECMF, 30,-16.8,50.9, 24,1011,XX
SH,01,2012101800, 03,ECMF, 36,-16.4,47.3, 18,1008,XX
SH,01,2012101800, 03,ECMF, 42,-17.4,46.0, 19,1012,XX
SH,01,2012101800, 03,EE00, 48,-16.0,50.2, 14,1014,XX
SH,01,2012101800, 03,EE00, 60,-12.8,48.8, 17,1011,XX
SH,01,2012101800, 03,EE00, 72,-14.3,47.4, 23,1012,XX
SH,01,2012101800, 03,EE00, 84,-13.3,48.9, 20,1010,XX
SH,01,2012101800, 03,EE00, 96,-12.4,46.4, 23,1011,XX
SH,01,2012101800, 03,EE50,108,-16.3,47.3, 16,1009,XX
SH,01,2012101800, 03,EE45,108,-16.1,46.1, 17,1011,XX
SH,01,2012101800, 03,EE50,120,-16.4,44.1, 18,1012,XX
SH,01,2012101800, 03,EE07,120,-17.6,49.7, 18,1015,XX
SH,01,2012101800, 03,EE43,108,-13.4,49.0, 19,1009,XX
SH,01,2012101800, 03,EE06,108,-16.9,37.1, 20,1007,XX
SH,01,2012101800, 03,EE05,108,-15.1,47.9, 20,1009,XX
SH,01,2012101800, 03,EE07,108,-16.3,47.4, 20,1010,XX
SH,01,2012101800, 03,EE45,120,-14.4,43.8, 20,1012,XX
SH,01,2012101800, 03,EE43,120,-12.4,47.3, 22,1010,XX
SH,01,2012101800, 03,EE05,120,-18.1,49.7, 26,1015,XX
