basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
SH,03,2012112600, 03,ECMF,  6,-13.2,72.0, 17,1010,XX
SH,03,2012112600, 03,ECMF, 12,-13.3,71.0, 15,1008,XX
SH,03,2012112600, 03,ECMF, 18,-13.2,69.7, 14,1010,XX
SH,03,2012112600, 03,ECMF, 24,-13.3,69.2, 16,1008,XX
SH,03,2012112600, 03,ECMF, 30,-13.6,68.4, 14,1010,XX
SH,03,2012112600, 03,ECMF, 36,-13.3,68.1, 19,1007,XX
SH,03,2012112600, 03,ECMF, 42,-13.6,67.4, 18,1011,XX
SH,03,2012112600, 03,ECMF, 48,-13.8,66.7, 19,1009,XX
SH,03,2012112600, 03,ECMF, 54,-13.9,66.3, 17,1010,XX
SH,03,2012112600, 03,ECMF, 60,-13.3,65.2, 17,1008,XX
SH,03,2012112600, 03,ECMF, 66,-13.0,64.8, 18,1011,XX
SH,03,2012112600, 03,ECMF, 72,-8.9,64.7, 14,1009,XX
SH,03,2012112600, 03,ECMF, 78,-9.1,65.0, 13,1010,XX
SH,03,2012112600, 03,ECMF, 84,-10.4,65.5, 14,1008,XX
SH,03,2012112600, 03,ECMF, 90,-9.1,63.9, 16,1011,XX
SH,03,2012112600, 03,ECMF, 96,-7.5,64.5, 12,1009,XX
SH,03,2012112600, 03,EE42,120,-9.9,59.3,  7,1010,XX
SH,03,2012112600, 03,EE45,120,-7.9,63.5,  8,1008,XX
SH,03,2012112600, 03,EE37,120,-7.5,69.5,  9,1008,XX
SH,03,2012112600, 03,EE13,120,-8.7,64.2,  9,1009,XX
SH,03,2012112600, 03,EE14,108,-8.5,62.3, 10,1008,XX
SH,03,2012112600, 03,EE14,120,-5.8,61.3, 10,1009,XX
SH,03,2012112600, 03,EE11,120,-7.6,57.1, 11,1008,XX
SH,03,2012112600, 03,EE06,120,-0.5,77.7, 11,1009,XX
SH,03,2012112600, 03,EE26,108,-6.5,71.4, 12,1008,XX
SH,03,2012112600, 03,ECMF,120,-8.6,62.6, 12,1009,XX
SH,03,2012112600, 03,ECMF,102,-8.1,64.9, 12,1011,XX
SH,03,2012112600, 03,EE04,120,-8.9,64.0, 13,1008,XX
SH,03,2012112600, 03,EE17,120,-6.6,60.2, 13,1009,XX
SH,03,2012112600, 03,EE04,108,-8.5,64.0, 14,1007,XX
SH,03,2012112600, 03,EE10,120,-3.2,70.2, 14,1008,XX
SH,03,2012112600, 03,ECMF,108,-8.6,64.0, 14,1009,XX
SH,03,2012112600, 03,ECMF,114,-8.4,63.5, 14,1011,XX
SH,03,2012112600, 03,EE11,108,-7.9,59.0, 15,1007,XX
SH,03,2012112600, 03,EE00,108,-7.5,63.5, 15,1008,XX
SH,03,2012112600, 03,EE18,108,-6.0,64.4, 16,1007,XX
SH,03,2012112600, 03,EE10,108,-4.3,67.0, 17,1008,XX
SH,03,2012112600, 03,EE18,120,-5.5,63.9, 17,1009,XX
SH,03,2012112600, 03,EE31,108,-6.1,62.3, 18,1008,XX
