basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
SH,04,2012121312, 03,EE12,  0,-30.3,78.0, 41, 995,XX
SH,04,2012121312, 03,EE01,  0,-30.4,77.9, 39, 996,XX
SH,04,2012121312, 03,ECMF,  0,-30.2,77.9, 37, 997,XX
SH,04,2012121312, 03,EE03,  0,-30.4,78.0, 37, 998,XX
SH,04,2012121312, 03,EE02,  0,-30.2,78.0, 38, 999,XX
SH,04,2012121312, 03,ECMF,  6,-31.9,79.0, 47,1001,XX
SH,04,2012121312, 03,ECMF, 12,-33.5,80.4, 45,1001,XX
SH,04,2012121312, 03,EE01, 12,-33.3,80.1, 48, 999,XX
SH,04,2012121312, 03,ECMF, 18,-35.5,82.3, 44,1001,XX
SH,04,2012121312, 03,EE03, 24,-36.7,85.0, 40,1001,XX
SH,04,2012121312, 03,EE01, 24,-37.2,85.2, 46, 996,XX
SH,04,2012121312, 03,EE37, 24,-37.6,85.4, 47, 997,XX
SH,04,2012121312, 03,EE04, 24,-37.0,85.0, 46, 998,XX
SH,04,2012121312, 03,ECMF, 24,-37.3,85.2, 45, 999,XX
