basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,08,2012081200, 03,EE06,  0,17.5,-107.8, 36, 997,XX
EP,08,2012081200, 03,EE19,  0,17.6,-107.9, 33,1001,XX
EP,08,2012081200, 03,EE16,  0,17.6,-107.9, 44, 995,XX
EP,08,2012081200, 03,EE43,  0,17.6,-107.5, 36, 996,XX
EP,08,2012081200, 03,EE01,  0,17.6,-107.6, 34, 997,XX
EP,08,2012081200, 03,EE08,  0,17.6,-107.6, 38, 998,XX
EP,08,2012081200, 03,EE12,  0,17.7,-107.7, 31,1000,XX
EP,08,2012081200, 03,EE13,  0,17.7,-107.9, 37, 995,XX
EP,08,2012081200, 03,EE29,  0,17.7,-107.9, 33, 999,XX
EP,08,2012081200, 03,EE09,  0,17.8,-107.8, 33,1000,XX
EP,08,2012081200, 03,EE20,  0,17.8,-107.9, 35, 996,XX
EP,08,2012081200, 03,EE10,  0,17.8,-108.0, 34, 997,XX
EP,08,2012081200, 03,ECMF,  0,17.8,-107.9, 31, 998,XX
EP,08,2012081200, 03,EE31,  0,17.9,-108.0, 37, 997,XX
EP,08,2012081200, 03,EE07,  0,17.9,-108.2, 33, 998,XX
EP,08,2012081200, 03,EE14,  0,18.0,-108.0, 31,1001,XX
EP,08,2012081200, 03,EE02,  0,18.0,-108.3, 33, 998,XX
EP,08,2012081200, 03,EE18,  0,18.0,-107.7, 34, 999,XX
EP,08,2012081200, 03,EE05,  0,18.1,-108.0, 33, 998,XX
EP,08,2012081200, 03,EE15,  0,18.3,-108.5, 33,1000,XX
EP,08,2012081200, 03,EE08,108,20.5,-115.5, 31, 999,XX
EP,08,2012081200, 03,EE10,108,21.0,-115.2, 32, 998,XX
EP,08,2012081200, 03,ECMF,108,20.3,-116.9, 33, 998,XX
EP,08,2012081200, 03,EE00,120,21.4,-119.5, 34, 999,XX
EP,08,2012081200, 03,EE18,120,21.5,-118.6, 35, 998,XX
