basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,05,2012071300, 03,ECMF,  0,15.5,-123.1, 54, 980,XX
EP,05,2012071300, 03,EE27,  0,15.5,-123.1, 53, 981,XX
EP,05,2012071300, 03,EE01,  0,15.5,-123.1, 53, 982,XX
EP,05,2012071300, 03,EE00,  0,15.5,-123.1, 49, 983,XX
EP,05,2012071300, 03,EE03,  0,15.5,-123.1, 47, 984,XX
EP,05,2012071300, 03,EE17,  0,15.5,-123.1, 49, 986,XX
EP,05,2012071300, 03,ECMF,  6,15.5,-124.2, 60, 989,XX
EP,05,2012071300, 03,EE01, 12,15.0,-125.4, 46, 992,XX
EP,05,2012071300, 03,EE21, 12,15.1,-125.0, 51, 992,XX
EP,05,2012071300, 03,EE03, 12,15.1,-125.5, 52, 993,XX
EP,05,2012071300, 03,EE23, 12,15.1,-125.7, 46, 995,XX
EP,05,2012071300, 03,EE18, 12,15.2,-126.0, 52, 989,XX
EP,05,2012071300, 03,EE10, 12,15.2,-125.5, 50, 993,XX
EP,05,2012071300, 03,EE47, 12,15.4,-125.2, 47, 990,XX
EP,05,2012071300, 03,EE32, 12,15.4,-125.5, 46, 994,XX
EP,05,2012071300, 03,EE43, 12,15.4,-125.5, 52, 997,XX
EP,05,2012071300, 03,ECMF, 12,15.5,-125.5, 52, 989,XX
EP,05,2012071300, 03,EE41, 12,15.5,-125.3, 48, 990,XX
EP,05,2012071300, 03,EE38, 12,15.5,-126.1, 48, 991,XX
EP,05,2012071300, 03,EE16, 12,15.5,-125.0, 46, 992,XX
EP,05,2012071300, 03,EE25, 12,15.5,-125.1, 43, 993,XX
EP,05,2012071300, 03,EE09, 12,15.5,-125.0, 46, 994,XX
EP,05,2012071300, 03,EE08, 12,15.5,-125.1, 39, 995,XX
EP,05,2012071300, 03,EE12, 12,15.5,-125.1, 41, 996,XX
EP,05,2012071300, 03,EE27, 12,15.6,-125.0, 46, 990,XX
EP,05,2012071300, 03,EE11, 12,15.6,-125.4, 52, 992,XX
EP,05,2012071300, 03,EE00, 12,15.6,-125.4, 45, 993,XX
EP,05,2012071300, 03,EE14, 12,15.6,-124.8, 46, 994,XX
EP,05,2012071300, 03,EE45, 12,15.6,-125.2, 43, 995,XX
EP,05,2012071300, 03,EE37, 12,15.6,-124.5, 39, 997,XX
EP,05,2012071300, 03,EE07, 12,15.7,-125.6, 57, 992,XX
EP,05,2012071300, 03,EE06, 12,15.7,-125.5, 47, 994,XX
EP,05,2012071300, 03,EE05, 12,15.7,-125.1, 39, 995,XX
EP,05,2012071300, 03,EE04, 12,15.9,-125.0, 41, 992,XX
EP,05,2012071300, 03,EE35, 12,15.9,-125.5, 51, 994,XX
EP,05,2012071300, 03,EE22, 12,15.9,-125.7, 42, 995,XX
EP,05,2012071300, 03,EE42, 12,15.9,-125.7, 40, 996,XX
EP,05,2012071300, 03,EE24, 12,16.0,-125.4, 43, 992,XX
EP,05,2012071300, 03,EE02, 12,16.0,-125.5, 44, 995,XX
EP,05,2012071300, 03,EE17, 12,16.0,-124.4, 40, 996,XX
EP,05,2012071300, 03,EE31, 12,16.1,-125.1, 46, 993,XX
EP,05,2012071300, 03,ECMF, 18,15.6,-126.8, 46, 996,XX
EP,05,2012071300, 03,EE23, 24,14.9,-128.0, 41, 999,XX
EP,05,2012071300, 03,EE01, 24,15.0,-127.9, 43, 997,XX
EP,05,2012071300, 03,EE43, 24,15.1,-127.5, 38,1001,XX
EP,05,2012071300, 03,EE21, 24,15.3,-127.0, 43, 997,XX
EP,05,2012071300, 03,EE15, 24,15.4,-128.3, 41,1000,XX
EP,05,2012071300, 03,EE18, 24,15.5,-128.1, 45, 995,XX
EP,05,2012071300, 03,EE38, 24,15.5,-128.5, 41, 997,XX
EP,05,2012071300, 03,EE26, 24,15.5,-128.4, 38, 998,XX
EP,05,2012071300, 03,EE47, 24,15.6,-128.1, 49, 995,XX
EP,05,2012071300, 03,EE07, 24,15.6,-128.4, 39, 997,XX
EP,05,2012071300, 03,EE36, 24,15.6,-127.4, 47, 998,XX
EP,05,2012071300, 03,EE03, 24,15.6,-128.0, 42, 999,XX
EP,05,2012071300, 03,EE41, 24,15.7,-127.9, 48, 995,XX
EP,05,2012071300, 03,EE44, 24,15.7,-127.8, 42, 998,XX
EP,05,2012071300, 03,EE39, 24,15.8,-128.6, 39, 998,XX
EP,05,2012071300, 03,EE08, 24,15.9,-127.8, 43,1000,XX
EP,05,2012071300, 03,EE10, 24,15.9,-128.1, 44, 997,XX
EP,05,2012071300, 03,EE06, 24,15.9,-128.9, 41, 999,XX
EP,05,2012071300, 03,EE42, 24,16.0,-128.5, 36,1000,XX
EP,05,2012071300, 03,ECMF, 24,16.0,-128.0, 50, 994,XX
EP,05,2012071300, 03,EE25, 24,16.0,-128.0, 45, 996,XX
EP,05,2012071300, 03,EE20, 24,16.0,-128.0, 44, 997,XX
EP,05,2012071300, 03,EE00, 24,16.0,-128.0, 43, 998,XX
EP,05,2012071300, 03,EE13, 24,16.0,-129.3, 43, 999,XX
EP,05,2012071300, 03,EE29, 24,16.1,-127.9, 39,1000,XX
EP,05,2012071300, 03,EE14, 24,16.1,-127.5, 43, 998,XX
EP,05,2012071300, 03,EE09, 24,16.2,-127.4, 39,1000,XX
EP,05,2012071300, 03,EE37, 24,16.3,-126.9, 40,1000,XX
EP,05,2012071300, 03,EE02, 24,16.4,-128.3, 39,1000,XX
EP,05,2012071300, 03,EE04, 24,16.4,-128.0, 44, 997,XX
EP,05,2012071300, 03,EE45, 24,16.4,-127.9, 45, 998,XX
EP,05,2012071300, 03,EE22, 24,16.5,-128.4, 36, 999,XX
EP,05,2012071300, 03,EE27, 24,16.6,-127.7, 50, 995,XX
EP,05,2012071300, 03,EE05, 24,16.6,-127.6, 46, 999,XX
EP,05,2012071300, 03,EE24, 24,16.7,-128.3, 44, 996,XX
EP,05,2012071300, 03,EE48, 24,17.0,-127.4, 37,1001,XX
EP,05,2012071300, 03,EE31, 24,17.0,-128.0, 44, 998,XX
EP,05,2012071300, 03,ECMF, 30,16.0,-129.5, 47, 997,XX
EP,05,2012071300, 03,EE01, 36,14.7,-129.8, 38,1001,XX
EP,05,2012071300, 03,EE23, 36,15.0,-130.0, 36,1001,XX
EP,05,2012071300, 03,EE47, 36,15.0,-130.9, 47, 997,XX
EP,05,2012071300, 03,EE15, 36,15.1,-130.6, 33,1004,XX
EP,05,2012071300, 03,EE10, 36,15.5,-131.2, 42,1000,XX
EP,05,2012071300, 03,EE07, 36,15.6,-131.0, 40,1000,XX
EP,05,2012071300, 03,EE41, 36,15.6,-130.4, 39, 999,XX
EP,05,2012071300, 03,EE32, 36,15.7,-130.9, 38,1000,XX
EP,05,2012071300, 03,EE19, 36,15.9,-131.5, 38,1001,XX
EP,05,2012071300, 03,EE03, 36,16.0,-131.1, 37,1004,XX
EP,05,2012071300, 03,ECMF, 36,16.0,-130.9, 44, 996,XX
EP,05,2012071300, 03,EE00, 36,16.1,-130.9, 39,1001,XX
EP,05,2012071300, 03,EE18, 36,16.1,-130.4, 44, 999,XX
EP,05,2012071300, 03,EE33, 36,16.2,-131.6, 43,1002,XX
EP,05,2012071300, 03,EE12, 36,16.3,-131.0, 39,1004,XX
EP,05,2012071300, 03,EE05, 36,16.4,-130.9, 39,1002,XX
EP,05,2012071300, 03,EE17, 36,16.5,-130.5, 35,1004,XX
EP,05,2012071300, 03,EE40, 36,16.5,-131.0, 44, 999,XX
EP,05,2012071300, 03,EE02, 36,16.6,-131.4, 41,1003,XX
EP,05,2012071300, 03,EE37, 36,16.8,-130.2, 34,1003,XX
EP,05,2012071300, 03,EE04, 36,16.9,-131.0, 40,1002,XX
EP,05,2012071300, 03,EE22, 36,17.0,-131.7, 43,1002,XX
EP,05,2012071300, 03,EE24, 36,17.2,-131.6, 35,1002,XX
EP,05,2012071300, 03,EE48, 36,17.7,-130.0, 31,1006,XX
EP,05,2012071300, 03,ECMF, 42,16.0,-132.2, 41,1000,XX
EP,05,2012071300, 03,EE47, 48,14.9,-132.9, 44,1000,XX
EP,05,2012071300, 03,EE01, 48,15.0,-131.2, 33,1002,XX
EP,05,2012071300, 03,EE43, 48,15.1,-132.9, 38,1004,XX
EP,05,2012071300, 03,EE30, 48,15.2,-133.0, 38,1002,XX
EP,05,2012071300, 03,EE23, 48,15.3,-132.1, 41,1002,XX
EP,05,2012071300, 03,EE10, 48,15.4,-133.3, 32,1003,XX
EP,05,2012071300, 03,EE15, 48,15.5,-133.5, 37,1004,XX
EP,05,2012071300, 03,EE08, 48,15.6,-133.4, 31,1005,XX
EP,05,2012071300, 03,EE26, 48,15.7,-133.2, 41,1001,XX
EP,05,2012071300, 03,EE14, 48,15.9,-132.6, 39,1002,XX
EP,05,2012071300, 03,EE06, 48,16.0,-135.1, 34,1004,XX
EP,05,2012071300, 03,EE00, 48,16.1,-133.7, 34,1004,XX
EP,05,2012071300, 03,EE11, 48,16.2,-133.1, 38,1005,XX
EP,05,2012071300, 03,ECMF, 48,16.2,-133.5, 47, 999,XX
EP,05,2012071300, 03,EE05, 48,16.3,-133.5, 34,1004,XX
EP,05,2012071300, 03,EE03, 48,16.4,-134.1, 30,1006,XX
EP,05,2012071300, 03,EE12, 48,16.5,-134.1, 34,1007,XX
EP,05,2012071300, 03,EE17, 48,16.6,-133.5, 30,1006,XX
EP,05,2012071300, 03,EE31, 48,16.7,-134.9, 32,1007,XX
EP,05,2012071300, 03,EE33, 48,16.8,-134.9, 35,1005,XX
EP,05,2012071300, 03,EE04, 48,16.9,-133.9, 36,1005,XX
EP,05,2012071300, 03,EE27, 48,17.1,-134.5, 41,1003,XX
EP,05,2012071300, 03,EE02, 48,17.3,-134.9, 36,1005,XX
EP,05,2012071300, 03,EE22, 48,17.4,-135.5, 33,1006,XX
EP,05,2012071300, 03,EE24, 48,18.0,-135.7, 28,1005,XX
EP,05,2012071300, 03,EE48, 48,18.4,-132.6, 26,1008,XX
EP,05,2012071300, 03,ECMF, 54,16.4,-134.9, 42,1002,XX
EP,05,2012071300, 03,EE43, 60,14.5,-135.0, 35,1007,XX
EP,05,2012071300, 03,EE25, 60,15.1,-137.8, 37,1007,XX
EP,05,2012071300, 03,EE46, 60,15.2,-136.4, 34,1006,XX
EP,05,2012071300, 03,EE47, 60,15.4,-135.0, 41,1002,XX
EP,05,2012071300, 03,EE08, 60,15.5,-135.8, 32,1006,XX
EP,05,2012071300, 03,EE23, 60,15.6,-134.7, 37,1004,XX
EP,05,2012071300, 03,EE01, 60,15.7,-133.0, 34,1004,XX
EP,05,2012071300, 03,EE11, 60,15.9,-135.7, 34,1008,XX
EP,05,2012071300, 03,EE07, 60,16.0,-137.2, 37,1005,XX
EP,05,2012071300, 03,EE12, 60,16.1,-137.1, 31,1009,XX
EP,05,2012071300, 03,EE03, 60,16.2,-137.1, 24,1009,XX
EP,05,2012071300, 03,EE00, 60,16.3,-136.7, 41,1006,XX
EP,05,2012071300, 03,EE05, 60,16.4,-136.3, 34,1007,XX
EP,05,2012071300, 03,ECMF, 60,16.5,-136.4, 48,1001,XX
EP,05,2012071300, 03,EE16, 60,16.6,-135.4, 36,1005,XX
EP,05,2012071300, 03,EE29, 60,16.9,-135.6, 27,1009,XX
EP,05,2012071300, 03,EE31, 60,17.0,-137.5, 35,1008,XX
EP,05,2012071300, 03,EE04, 60,17.1,-136.6, 36,1007,XX
EP,05,2012071300, 03,EE27, 60,17.2,-137.2, 34,1007,XX
EP,05,2012071300, 03,EE09, 60,17.3,-136.0, 26,1009,XX
EP,05,2012071300, 03,EE22, 60,17.6,-139.1, 29,1008,XX
EP,05,2012071300, 03,EE02, 60,17.7,-138.5, 26,1010,XX
EP,05,2012071300, 03,EE24, 60,18.1,-139.5, 33,1008,XX
EP,05,2012071300, 03,EE48, 60,18.2,-135.9, 29,1010,XX
EP,05,2012071300, 03,ECMF, 66,16.6,-137.9, 45,1004,XX
EP,05,2012071300, 03,EE43, 72,13.8,-137.5, 25,1007,XX
EP,05,2012071300, 03,EE39, 72,14.7,-140.0, 33,1007,XX
EP,05,2012071300, 03,EE25, 72,15.1,-140.0, 37,1006,XX
EP,05,2012071300, 03,EE46, 72,15.4,-138.7, 29,1007,XX
EP,05,2012071300, 03,EE34, 72,15.5,-136.6, 29,1007,XX
EP,05,2012071300, 03,EE08, 72,15.6,-138.1, 28,1007,XX
