basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,05,2012080712, 03,EE01,  0,17.9,-84.4, 34,1003,XX
AL,05,2012080712, 03,EE10,  0,18.0,-84.4, 34,1002,XX
AL,05,2012080712, 03,ECMF,  0,18.1,-84.2, 34,1002,XX
AL,05,2012080712, 03,EE02,  0,18.2,-84.2, 37,1002,XX
AL,05,2012080712, 03,EE01,108,16.8,-104.4, 27, 999,XX
AL,05,2012080712, 03,EE10,108,16.5,-105.0, 31, 999,XX
AL,05,2012080712, 03,EE29,108,15.3,-102.6, 32, 999,XX
AL,05,2012080712, 03,EE32,108,19.5,-107.3, 33, 998,XX
AL,05,2012080712, 03,EE46,120,16.5,-107.6, 35, 999,XX
AL,05,2012080712, 03,EE10,120,16.5,-106.6, 36, 999,XX
AL,05,2012080712, 03,EE20,108,17.1,-104.6, 38, 998,XX
AL,05,2012080712, 03,EE20,120,17.5,-106.8, 39, 994,XX
AL,05,2012080712, 03,EE01,120,16.5,-105.6, 41, 995,XX
AL,05,2012080712, 03,EE26,120,16.4,-106.3, 45, 994,XX
AL,05,2012080712, 03,EE17,120,15.9,-108.4, 46, 997,XX
AL,05,2012080712, 03,EE22,120,17.2,-107.2, 51, 984,XX
AL,05,2012080712, 03,ECMF,  6,18.6,-85.9, 38,1003,XX
AL,05,2012080712, 03,EE26, 12,18.3,-86.8, 44,1000,XX
AL,05,2012080712, 03,EE06, 12,18.4,-86.7, 41,1000,XX
AL,05,2012080712, 03,EE11, 12,18.5,-86.7, 37,1002,XX
AL,05,2012080712, 03,EE01, 12,18.6,-86.5, 41,1000,XX
AL,05,2012080712, 03,EE13, 12,18.6,-87.2, 43, 998,XX
AL,05,2012080712, 03,EE22, 12,18.6,-87.3, 36, 999,XX
AL,05,2012080712, 03,EE07, 12,18.7,-86.8, 45,1000,XX
AL,05,2012080712, 03,ECMF, 12,18.8,-86.8, 40,1001,XX
AL,05,2012080712, 03,EE08, 12,18.9,-87.1, 38,1001,XX
