basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
SH,04,2012121912, 03,EE04,  0,-23.9,178.5, 52, 988,XX
SH,04,2012121912, 03,EE08,  0,-23.7,177.8, 50, 989,XX
SH,04,2012121912, 03,EE07,  0,-24.0,178.6, 49, 990,XX
SH,04,2012121912, 03,ECMF,  0,-23.7,178.2, 45, 991,XX
SH,04,2012121912, 03,EE03,  0,-23.5,177.9, 42, 992,XX
SH,04,2012121912, 03,EE06,  0,-23.6,178.2, 39, 994,XX
SH,04,2012121912, 03,ECMF,  6,-24.3,178.0, 58, 991,XX
SH,04,2012121912, 03,EE12, 12,-25.5,178.5, 57, 988,XX
SH,04,2012121912, 03,EE05, 12,-24.9,178.0, 57, 989,XX
SH,04,2012121912, 03,EE04, 12,-25.1,178.5, 59, 990,XX
SH,04,2012121912, 03,ECMF, 12,-24.7,178.1, 61, 991,XX
SH,04,2012121912, 03,EE00, 12,-24.8,178.0, 54, 992,XX
SH,04,2012121912, 03,EE11, 12,-24.1,178.1, 50, 993,XX
SH,04,2012121912, 03,EE07, 12,-24.7,178.9, 51, 994,XX
SH,04,2012121912, 03,EE06, 12,-24.6,178.1, 52, 995,XX
SH,04,2012121912, 03,EE03, 12,-24.3,177.5, 53, 996,XX
SH,04,2012121912, 03,ECMF, 18,-25.5,178.4, 65, 990,XX
SH,04,2012121912, 03,EE24, 24,-26.4,178.1, 65, 982,XX
SH,04,2012121912, 03,EE45, 24,-26.5,178.3, 65, 984,XX
SH,04,2012121912, 03,EE04, 24,-26.2,178.0, 62, 986,XX
SH,04,2012121912, 03,EE12, 24,-27.2,177.7, 61, 987,XX
SH,04,2012121912, 03,EE16, 24,-26.1,178.6, 59, 988,XX
SH,04,2012121912, 03,EE42, 24,-27.0,178.0, 57, 989,XX
SH,04,2012121912, 03,ECMF, 24,-26.0,177.8, 67, 990,XX
SH,04,2012121912, 03,EE02, 24,-25.9,177.9, 57, 991,XX
SH,04,2012121912, 03,EE00, 24,-25.7,177.7, 58, 992,XX
SH,04,2012121912, 03,EE13, 24,-25.1,177.9, 57, 993,XX
SH,04,2012121912, 03,EE20, 24,-25.3,178.1, 58, 994,XX
SH,04,2012121912, 03,EE03, 24,-24.8,177.6, 50, 995,XX
SH,04,2012121912, 03,EE07, 24,-25.4,178.1, 54, 996,XX
SH,04,2012121912, 03,EE23, 24,-24.2,177.8, 53, 998,XX
SH,04,2012121912, 03,ECMF, 30,-26.4,177.9, 63, 987,XX
SH,04,2012121912, 03,EE45, 36,-27.6,178.3, 63, 981,XX
SH,04,2012121912, 03,EE24, 36,-27.7,177.9, 56, 982,XX
SH,04,2012121912, 03,EE28, 36,-26.3,177.8, 60, 983,XX
SH,04,2012121912, 03,EE16, 36,-27.6,177.9, 68, 984,XX
SH,04,2012121912, 03,EE04, 36,-27.2,178.6, 58, 986,XX
SH,04,2012121912, 03,EE14, 36,-26.7,176.8, 64, 987,XX
SH,04,2012121912, 03,EE32, 36,-27.0,177.8, 56, 988,XX
SH,04,2012121912, 03,ECMF, 36,-26.7,177.9, 56, 989,XX
SH,04,2012121912, 03,EE09, 36,-26.0,177.0, 65, 990,XX
SH,04,2012121912, 03,EE00, 36,-26.8,177.7, 59, 991,XX
SH,04,2012121912, 03,EE01, 36,-26.2,178.3, 55, 992,XX
SH,04,2012121912, 03,EE20, 36,-26.2,177.6, 50, 993,XX
SH,04,2012121912, 03,EE06, 36,-26.1,178.2, 52, 994,XX
SH,04,2012121912, 03,EE03, 36,-25.9,177.3, 52, 995,XX
SH,04,2012121912, 03,EE50, 36,-24.9,178.4, 41, 996,XX
SH,04,2012121912, 03,EE07, 36,-26.0,178.2, 47, 997,XX
SH,04,2012121912, 03,EE23, 36,-24.5,177.8, 49, 998,XX
SH,04,2012121912, 03,EE14,120,-35.7,172.6, 38, 997,XX
SH,04,2012121912, 03,EE17,120,-31.5,168.9, 39, 999,XX
SH,04,2012121912, 03,EE22,120,-33.0,168.5, 40, 999,XX
