basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,22,2012092900, 03,EE11,  0,34.8,145.7, 42, 991,XX
WP,22,2012092900, 03,EE01,  0,34.8,145.8, 42, 992,XX
WP,22,2012092900, 03,EE08,  0,34.8,145.8, 41, 993,XX
WP,22,2012092900, 03,EE36,  0,34.8,145.7, 39, 994,XX
WP,22,2012092900, 03,EE14,  0,34.9,145.8, 43, 990,XX
WP,22,2012092900, 03,EE06,  0,34.9,145.8, 46, 991,XX
WP,22,2012092900, 03,ECMF,  0,34.9,145.7, 43, 992,XX
WP,22,2012092900, 03,EE00,  0,34.9,145.8, 41, 993,XX
WP,22,2012092900, 03,EE02,  0,34.9,145.7, 42, 994,XX
WP,22,2012092900, 03,EE13,  0,34.9,145.8, 39, 995,XX
WP,22,2012092900, 03,ECMF,  6,36.3,147.1, 63, 993,XX
WP,22,2012092900, 03,EE11, 12,37.4,148.4, 57, 997,XX
WP,22,2012092900, 03,EE41, 12,37.5,148.8, 60, 994,XX
WP,22,2012092900, 03,EE17, 12,37.5,148.6, 57, 995,XX
WP,22,2012092900, 03,EE31, 12,37.5,148.4, 57, 998,XX
WP,22,2012092900, 03,EE36, 12,37.6,149.0, 61, 994,XX
WP,22,2012092900, 03,EE26, 12,37.6,148.8, 55, 995,XX
WP,22,2012092900, 03,EE33, 12,37.6,149.0, 61, 997,XX
WP,22,2012092900, 03,EE01, 12,37.7,148.6, 63, 996,XX
WP,22,2012092900, 03,EE40, 12,37.7,148.9, 60, 998,XX
WP,22,2012092900, 03,EE14, 12,37.8,148.9, 60, 995,XX
WP,22,2012092900, 03,EE21, 12,37.8,148.9, 60, 996,XX
WP,22,2012092900, 03,EE30, 12,37.8,148.7, 58, 997,XX
WP,22,2012092900, 03,EE16, 12,37.9,148.5, 60, 996,XX
WP,22,2012092900, 03,EE10, 12,37.9,148.9, 58, 997,XX
WP,22,2012092900, 03,EE20, 12,37.9,148.5, 56, 998,XX
WP,22,2012092900, 03,EE07, 12,38.0,148.8, 57, 995,XX
WP,22,2012092900, 03,EE46, 12,38.0,148.7, 58, 996,XX
WP,22,2012092900, 03,EE04, 12,38.0,148.5, 55, 997,XX
WP,22,2012092900, 03,EE00, 12,38.0,148.8, 56, 998,XX
WP,22,2012092900, 03,EE13, 12,38.0,148.9, 57, 999,XX
WP,22,2012092900, 03,ECMF, 12,38.1,148.7, 57, 995,XX
WP,22,2012092900, 03,EE09, 12,38.1,148.8, 57, 996,XX
WP,22,2012092900, 03,EE23, 12,38.1,148.5, 56, 997,XX
WP,22,2012092900, 03,EE15, 12,38.1,149.0, 55, 998,XX
WP,22,2012092900, 03,EE05, 12,38.1,149.0, 52, 999,XX
WP,22,2012092900, 03,EE03, 12,38.2,149.0, 58, 996,XX
WP,22,2012092900, 03,EE02, 12,38.2,148.9, 54, 998,XX
WP,22,2012092900, 03,EE29, 12,38.3,149.0, 55, 996,XX
WP,22,2012092900, 03,EE32, 12,38.5,149.4, 58, 996,XX
WP,22,2012092900, 03,EE12, 12,38.7,149.4, 59, 996,XX
WP,22,2012092900, 03,ECMF, 18,39.6,151.0, 51, 998,XX
WP,22,2012092900, 03,EE17, 24,40.1,153.3, 47,1000,XX
WP,22,2012092900, 03,EE41, 24,40.2,153.5, 48,1001,XX
WP,22,2012092900, 03,EE11, 24,40.4,153.9, 51,1000,XX
WP,22,2012092900, 03,EE26, 24,40.4,154.0, 51, 998,XX
WP,22,2012092900, 03,EE33, 24,40.5,153.6, 42,1000,XX
WP,22,2012092900, 03,EE19, 24,40.6,154.5, 46,1000,XX
WP,22,2012092900, 03,EE01, 24,40.7,153.3, 48,1001,XX
WP,22,2012092900, 03,EE32, 24,40.7,155.2, 49, 998,XX
WP,22,2012092900, 03,EE46, 24,40.7,154.2, 50, 999,XX
WP,22,2012092900, 03,EE14, 24,40.8,154.7, 54,1000,XX
WP,22,2012092900, 03,EE49, 24,40.8,154.2, 47, 998,XX
WP,22,2012092900, 03,EE07, 24,40.8,154.4, 53, 999,XX
WP,22,2012092900, 03,ECMF, 24,40.9,154.1, 49,1000,XX
