basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,06,2012071800, 03,EE01,  0,23.5,-120.9, 32,1002,XX
EP,06,2012071800, 03,ECMF,  0,23.6,-120.9, 32,1002,XX
EP,06,2012071800, 03,EE02,  0,23.7,-120.9, 34,1002,XX
EP,06,2012071800, 03,ECMF,  6,24.3,-120.9, 40,1005,XX
EP,06,2012071800, 03,EE28, 12,24.7,-120.4, 34,1005,XX
EP,06,2012071800, 03,EE03, 12,24.8,-120.9, 31,1006,XX
EP,06,2012071800, 03,EE01, 12,24.9,-120.6, 37,1006,XX
EP,06,2012071800, 03,EE10, 12,25.0,-120.8, 37,1005,XX
EP,06,2012071800, 03,EE14, 12,25.1,-121.0, 29,1006,XX
EP,06,2012071800, 03,EE06, 12,25.2,-120.5, 38,1005,XX
EP,06,2012071800, 03,ECMF, 12,25.3,-120.8, 36,1006,XX
EP,06,2012071800, 03,EE05, 12,25.4,-120.9, 32,1007,XX
EP,06,2012071800, 03,EE04, 12,25.5,-120.7, 39,1005,XX
EP,06,2012071800, 03,EE19, 12,25.6,-120.8, 34,1005,XX
EP,06,2012071800, 03,EE02, 12,25.8,-120.9, 42,1004,XX
EP,06,2012071800, 03,ECMF, 18,26.1,-120.7, 30,1009,XX
EP,06,2012071800, 03,EE21, 24,25.0,-116.2, 17,1012,XX
EP,06,2012071800, 03,EE29, 24,25.4,-120.4, 28,1009,XX
EP,06,2012071800, 03,EE20, 24,25.6,-120.4, 25,1008,XX
EP,06,2012071800, 03,EE41, 24,25.8,-120.0, 24,1009,XX
EP,06,2012071800, 03,EE01, 24,25.9,-119.8, 29,1008,XX
EP,06,2012071800, 03,EE08, 24,26.0,-120.3, 27,1008,XX
EP,06,2012071800, 03,EE15, 24,26.1,-120.4, 25,1009,XX
EP,06,2012071800, 03,EE14, 24,26.3,-120.8, 24,1010,XX
EP,06,2012071800, 03,EE26, 24,26.4,-119.8, 33,1008,XX
EP,06,2012071800, 03,EE27, 24,26.5,-120.6, 22,1009,XX
EP,06,2012071800, 03,ECMF, 24,26.6,-120.3, 27,1008,XX
EP,06,2012071800, 03,EE00, 24,26.7,-120.4, 27,1008,XX
EP,06,2012071800, 03,EE40, 24,26.8,-120.3, 26,1009,XX
EP,06,2012071800, 03,EE19, 24,26.9,-121.0, 27,1007,XX
EP,06,2012071800, 03,EE36, 24,27.0,-119.4, 26,1009,XX
EP,06,2012071800, 03,EE31, 24,27.1,-121.0, 33,1009,XX
EP,06,2012071800, 03,EE05, 24,27.2,-120.5, 26,1008,XX
EP,06,2012071800, 03,EE04, 24,27.3,-120.0, 33,1008,XX
EP,06,2012071800, 03,EE02, 24,27.5,-120.8, 34,1007,XX
EP,06,2012071800, 03,EE30, 24,27.8,-120.7, 30,1008,XX
EP,06,2012071800, 03,EE29, 36,24.9,-119.8, 26,1012,XX
EP,06,2012071800, 03,EE21, 36,25.1,-110.3, 17,1010,XX
EP,06,2012071800, 03,EE01, 36,25.8,-118.8, 21,1012,XX
EP,06,2012071800, 03,EE20, 36,25.9,-119.5, 20,1012,XX
EP,06,2012071800, 03,EE28, 36,26.0,-118.3, 23,1011,XX
EP,06,2012071800, 03,EE26, 36,26.6,-118.8, 18,1011,XX
EP,06,2012071800, 03,EE43, 36,26.9,-118.3, 20,1012,XX
EP,06,2012071800, 03,EE13, 36,27.0,-119.3, 19,1011,XX
EP,06,2012071800, 03,EE31, 36,27.1,-120.0, 20,1013,XX
EP,06,2012071800, 03,EE10, 36,27.3,-119.0, 16,1012,XX
EP,06,2012071800, 03,EE19, 36,27.4,-120.3, 20,1010,XX
EP,06,2012071800, 03,EE02, 36,27.5,-119.5, 22,1012,XX
EP,06,2012071800, 03,EE04, 36,27.8,-119.4, 22,1013,XX
EP,06,2012071800, 03,EE11, 36,27.9,-121.0, 19,1013,XX
EP,06,2012071800, 03,EE30, 36,28.6,-119.8, 19,1011,XX
EP,06,2012071800, 03,EE22, 36,28.7,-119.4, 22,1012,XX
EP,06,2012071800, 03,EE21, 48,22.2,-105.6, 13,1009,XX
EP,06,2012071800, 03,EE01, 48,25.3,-117.1, 19,1013,XX
EP,06,2012071800, 03,EE20, 48,25.5,-117.8, 21,1013,XX
EP,06,2012071800, 03,EE02, 48,27.5,-117.8, 20,1014,XX
EP,06,2012071800, 03,EE10, 48,27.6,-117.3, 15,1014,XX
EP,06,2012071800, 03,EE22, 48,29.5,-117.7, 18,1014,XX
EP,06,2012071800, 03,EE28, 48,29.6,-113.4, 19,1009,XX
EP,06,2012071800, 03,EE13, 48,30.6,-114.4, 16,1009,XX
EP,06,2012071800, 03,EE21, 60,17.8,-103.5, 13,1011,XX
EP,06,2012071800, 03,EE33, 60,30.7,-114.4, 20,1010,XX
EP,06,2012071800, 03,EE43, 60,30.8,-114.4, 17,1008,XX
EP,06,2012071800, 03,EE10, 60,31.0,-114.4, 16,1010,XX
EP,06,2012071800, 03,EE28, 60,31.1,-114.4, 19,1008,XX
EP,06,2012071800, 03,EE13, 60,32.9,-113.3, 19,1010,XX
EP,06,2012071800, 03,EE13, 72,32.2,-114.9, 22,1007,XX
EP,06,2012071800, 03,EE33, 72,32.8,-115.4, 23,1008,XX
EP,06,2012071800, 03,EE43, 72,33.4,-112.1, 17,1005,XX
EP,06,2012071800, 03,EE33, 84,31.1,-114.4, 20,1009,XX
EP,06,2012071800, 03,EE13, 84,31.3,-114.4, 25,1008,XX
EP,06,2012071800, 03,EE43, 84,32.8,-115.5, 22,1009,XX
EP,06,2012071800, 03,EE13, 96,32.6,-114.7, 20,1006,XX
EP,06,2012071800, 03,EE43, 96,35.0,-116.1, 19,1008,XX
EP,06,2012071800, 03,EE33,108,31.0,-114.4, 15,1007,XX
EP,06,2012071800, 03,EE33,120,33.4,-112.1, 17,1008,XX
EP,06,2012071800, 03,EE13,120,33.0,-115.7, 22,1006,XX
EP,06,2012071800, 03,EE13,108,32.9,-115.5, 24,1008,XX
EP,06,2012071800, 03,EE43,108,36.4,-119.7, 32,1009,XX
EP,06,2012071800, 03,EE43,120,39.6,-122.0, 42,1004,XX
