basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,15,2012100400, 03,EE05,  0,18.8,-41.1, 29,1010,XX
AL,15,2012100400, 03,ECMF,  0,18.9,-41.9, 32,1010,XX
AL,15,2012100400, 03,EE01,  0,19.0,-40.7, 32,1009,XX
AL,15,2012100400, 03,EE03,  0,19.1,-41.9, 34,1009,XX
AL,15,2012100400, 03,EE23,  0,19.2,-41.9, 33,1010,XX
AL,15,2012100400, 03,ECMF,  6,20.4,-42.4, 36,1006,XX
AL,15,2012100400, 03,EE07, 12,19.6,-42.2, 43,1005,XX
AL,15,2012100400, 03,EE12, 12,19.7,-42.3, 38,1005,XX
AL,15,2012100400, 03,EE34, 12,19.8,-42.3, 42,1005,XX
AL,15,2012100400, 03,EE05, 12,19.9,-42.9, 46,1008,XX
AL,15,2012100400, 03,ECMF, 12,20.0,-42.4, 43,1006,XX
AL,15,2012100400, 03,EE00, 12,20.1,-42.5, 43,1006,XX
AL,15,2012100400, 03,EE04, 12,20.2,-42.3, 41,1006,XX
AL,15,2012100400, 03,EE19, 12,20.3,-42.9, 42,1007,XX
AL,15,2012100400, 03,EE16, 12,20.4,-42.5, 44,1008,XX
AL,15,2012100400, 03,EE28, 12,20.5,-42.8, 42,1007,XX
AL,15,2012100400, 03,EE02, 12,20.6,-43.0, 38,1006,XX
AL,15,2012100400, 03,EE11, 12,20.7,-42.6, 45,1008,XX
AL,15,2012100400, 03,EE31, 12,21.0,-42.4, 43,1007,XX
AL,15,2012100400, 03,ECMF, 18,20.9,-41.6, 45,1004,XX
AL,15,2012100400, 03,EE25, 24,21.0,-40.7, 45,1004,XX
AL,15,2012100400, 03,EE35, 24,21.2,-41.3, 52,1003,XX
AL,15,2012100400, 03,EE18, 24,21.3,-41.0, 46,1004,XX
AL,15,2012100400, 03,EE09, 24,21.4,-41.5, 49,1005,XX
AL,15,2012100400, 03,EE07, 24,21.5,-40.6, 48,1004,XX
AL,15,2012100400, 03,EE12, 24,21.6,-41.0, 45,1004,XX
AL,15,2012100400, 03,EE16, 24,21.7,-41.6, 40,1006,XX
AL,15,2012100400, 03,EE20, 24,21.8,-41.0, 46,1003,XX
AL,15,2012100400, 03,EE15, 24,21.9,-41.2, 49,1004,XX
AL,15,2012100400, 03,EE05, 24,22.0,-41.9, 39,1007,XX
AL,15,2012100400, 03,EE02, 24,22.1,-42.0, 43,1005,XX
AL,15,2012100400, 03,EE00, 24,22.2,-41.0, 46,1005,XX
AL,15,2012100400, 03,EE37, 24,22.3,-40.9, 44,1005,XX
AL,15,2012100400, 03,ECMF, 24,22.4,-40.9, 45,1004,XX
AL,15,2012100400, 03,EE01, 24,22.5,-39.8, 47,1004,XX
AL,15,2012100400, 03,EE11, 24,22.6,-41.1, 46,1006,XX
AL,15,2012100400, 03,EE28, 24,22.7,-41.6, 43,1006,XX
AL,15,2012100400, 03,EE10, 24,22.8,-40.3, 48,1005,XX
AL,15,2012100400, 03,EE39, 24,22.9,-41.2, 48,1006,XX
AL,15,2012100400, 03,EE36, 24,23.0,-41.4, 48,1005,XX
AL,15,2012100400, 03,EE31, 24,23.1,-40.9, 47,1005,XX
AL,15,2012100400, 03,EE38, 24,23.4,-41.9, 44,1006,XX
AL,15,2012100400, 03,EE08, 24,23.7,-40.7, 38,1007,XX
AL,15,2012100400, 03,ECMF, 30,23.5,-40.0, 51,1001,XX
AL,15,2012100400, 03,EE16, 36,19.2,-41.0, 33,1009,XX
AL,15,2012100400, 03,EE25, 36,22.5,-38.9, 44,1002,XX
AL,15,2012100400, 03,EE35, 36,23.0,-38.6, 49,1000,XX
AL,15,2012100400, 03,EE46, 36,23.1,-38.7, 48,1003,XX
AL,15,2012100400, 03,EE40, 36,23.2,-38.2, 51,1000,XX
AL,15,2012100400, 03,EE24, 36,23.4,-38.7, 49,1001,XX
AL,15,2012100400, 03,EE15, 36,23.7,-37.8, 49,1002,XX
AL,15,2012100400, 03,EE09, 36,23.9,-39.5, 42,1004,XX
AL,15,2012100400, 03,EE21, 36,24.0,-36.9, 51,1001,XX
AL,15,2012100400, 03,EE07, 36,24.3,-38.5, 49,1001,XX
AL,15,2012100400, 03,EE14, 36,24.5,-38.8, 51,1000,XX
AL,15,2012100400, 03,EE04, 36,24.6,-38.2, 47,1002,XX
AL,15,2012100400, 03,EE20, 36,24.7,-37.7, 55,1002,XX
AL,15,2012100400, 03,EE11, 36,25.3,-37.9, 50,1002,XX
AL,15,2012100400, 03,EE00, 36,25.5,-37.6, 45,1003,XX
AL,15,2012100400, 03,EE28, 36,25.6,-37.4, 51,1000,XX
AL,15,2012100400, 03,EE06, 36,25.9,-38.2, 55,1000,XX
AL,15,2012100400, 03,EE43, 36,26.0,-37.6, 50,1001,XX
AL,15,2012100400, 03,EE42, 36,26.3,-37.7, 48,1001,XX
AL,15,2012100400, 03,EE03, 36,26.4,-38.1, 53,1000,XX
AL,15,2012100400, 03,EE37, 36,26.5,-36.9, 46,1002,XX
AL,15,2012100400, 03,EE10, 36,26.6,-36.5, 51,1001,XX
AL,15,2012100400, 03,EE26, 36,26.7,-36.0, 49,1001,XX
AL,15,2012100400, 03,EE36, 36,27.1,-37.2, 49, 998,XX
AL,15,2012100400, 03,EE16, 48,19.6,-39.3, 20,1011,XX
AL,15,2012100400, 03,EE40, 48,26.2,-33.6, 58, 999,XX
AL,15,2012100400, 03,EE35, 48,27.5,-33.5, 53,1001,XX
AL,15,2012100400, 03,EE15, 48,28.0,-32.0, 59, 998,XX
AL,15,2012100400, 03,EE24, 48,28.0,-34.1, 52, 999,XX
AL,15,2012100400, 03,EE07, 48,29.0,-32.6, 61, 995,XX
AL,15,2012100400, 03,EE42, 48,30.5,-31.2, 59, 995,XX
AL,15,2012100400, 03,EE37, 48,31.2,-30.6, 60, 995,XX
AL,15,2012100400, 03,EE28, 48,31.6,-29.6, 62, 994,XX
AL,15,2012100400, 03,EE36, 48,32.6,-29.8, 61, 992,XX
AL,15,2012100400, 03,EE10, 48,34.0,-28.9, 68, 990,XX
AL,15,2012100400, 03,EE40, 60,33.6,-27.6, 58,1000,XX
AL,15,2012100400, 03,EE35, 60,33.9,-27.1, 64, 997,XX
AL,15,2012100400, 03,EE24, 60,34.2,-27.5, 61, 998,XX
AL,15,2012100400, 03,EE15, 60,35.6,-25.6, 68, 988,XX
AL,15,2012100400, 03,EE07, 60,35.7,-26.4, 71, 988,XX
AL,15,2012100400, 03,EE37, 60,38.0,-23.8, 61, 994,XX
AL,15,2012100400, 03,EE42, 60,38.6,-24.5, 68, 984,XX
AL,15,2012100400, 03,EE47, 60,38.8,-23.1, 55, 998,XX
AL,15,2012100400, 03,EE28, 60,39.9,-23.4, 66, 985,XX
AL,15,2012100400, 03,EE36, 60,41.6,-22.9, 69, 986,XX
AL,15,2012100400, 03,EE07, 72,44.5,-22.0, 61, 989,XX
AL,15,2012100400, 03,EE42, 72,46.4,-20.6, 54, 988,XX
