basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,05,2012080200, 03,ECMF,  0,12.5,-49.9, 28,1010,XX
AL,05,2012080200, 03,EE03,  0,12.6,-49.9, 25,1011,XX
AL,05,2012080200, 03,ECMF,  6,13.0,-51.4, 34,1008,XX
AL,05,2012080200, 03,EE41, 72,9.6,-71.6, 17,1009,XX
AL,05,2012080200, 03,EE43, 96,8.3,-79.0, 12,1009,XX
AL,05,2012080200, 03,EE18, 96,9.7,-78.0, 11,1010,XX
AL,05,2012080200, 03,EE45, 12,12.4,-52.1, 32,1011,XX
AL,05,2012080200, 03,EE25, 12,12.6,-52.6, 33,1012,XX
AL,05,2012080200, 03,EE05, 12,12.7,-52.2, 37,1012,XX
AL,05,2012080200, 03,EE34, 12,12.8,-51.8, 39,1010,XX
AL,05,2012080200, 03,EE01, 12,12.9,-53.1, 30,1012,XX
AL,05,2012080200, 03,EE21, 12,13.0,-52.9, 32,1012,XX
AL,05,2012080200, 03,EE32, 12,13.1,-52.6, 36,1011,XX
AL,05,2012080200, 03,EE12, 12,13.2,-52.6, 38,1011,XX
AL,05,2012080200, 03,EE18, 12,13.3,-52.6, 39,1011,XX
AL,05,2012080200, 03,EE04, 12,13.4,-53.4, 37,1010,XX
AL,05,2012080200, 03,ECMF, 12,13.5,-52.7, 36,1010,XX
AL,05,2012080200, 03,EE08, 12,13.6,-53.2, 30,1011,XX
AL,05,2012080200, 03,EE13, 12,13.8,-52.7, 35,1010,XX
AL,05,2012080200, 03,EE06, 12,13.9,-52.6, 38,1010,XX
AL,05,2012080200, 03,EE02, 12,14.0,-52.7, 39,1010,XX
AL,05,2012080200, 03,EE26, 12,14.1,-52.4, 36,1010,XX
AL,05,2012080200, 03,ECMF, 18,14.0,-54.3, 38,1009,XX
AL,05,2012080200, 03,EE01, 24,13.4,-56.6, 28,1010,XX
AL,05,2012080200, 03,EE16, 24,13.5,-56.4, 26,1010,XX
AL,05,2012080200, 03,EE49, 24,13.6,-56.7, 27,1009,XX
AL,05,2012080200, 03,EE21, 24,13.7,-56.5, 26,1011,XX
AL,05,2012080200, 03,EE04, 24,13.8,-57.2, 27,1010,XX
AL,05,2012080200, 03,EE05, 24,13.9,-55.1, 27,1011,XX
AL,05,2012080200, 03,EE14, 24,14.0,-55.4, 33,1011,XX
AL,05,2012080200, 03,EE12, 24,14.1,-55.6, 33,1010,XX
AL,05,2012080200, 03,ECMF, 24,14.2,-56.1, 28,1010,XX
AL,05,2012080200, 03,EE00, 24,14.3,-56.1, 29,1011,XX
AL,05,2012080200, 03,EE10, 24,14.4,-56.4, 24,1012,XX
AL,05,2012080200, 03,EE07, 24,14.5,-55.3, 27,1011,XX
AL,05,2012080200, 03,EE42, 24,14.6,-55.9, 36,1009,XX
AL,05,2012080200, 03,EE06, 24,14.8,-56.4, 36,1009,XX
AL,05,2012080200, 03,EE03, 24,14.9,-54.8, 30,1012,XX
AL,05,2012080200, 03,EE02, 24,15.0,-56.0, 35,1009,XX
AL,05,2012080200, 03,EE15, 24,15.1,-55.0, 39,1010,XX
AL,05,2012080200, 03,EE22, 24,15.2,-56.0, 35,1010,XX
AL,05,2012080200, 03,ECMF, 30,14.5,-58.0, 28,1008,XX
AL,05,2012080200, 03,EE01, 36,13.4,-60.5, 30,1010,XX
AL,05,2012080200, 03,EE21, 36,13.5,-60.5, 22,1011,XX
AL,05,2012080200, 03,EE13, 36,13.6,-59.4, 29,1009,XX
AL,05,2012080200, 03,EE04, 36,13.8,-61.6, 23,1010,XX
AL,05,2012080200, 03,EE25, 36,13.9,-59.5, 24,1011,XX
AL,05,2012080200, 03,EE18, 36,14.0,-59.7, 24,1010,XX
AL,05,2012080200, 03,EE05, 36,14.3,-58.7, 22,1010,XX
AL,05,2012080200, 03,EE12, 36,14.4,-59.0, 28,1010,XX
AL,05,2012080200, 03,EE47, 36,14.6,-57.7, 31,1010,XX
AL,05,2012080200, 03,EE39, 36,14.7,-61.0, 35,1008,XX
AL,05,2012080200, 03,EE00, 36,14.8,-59.7, 26,1011,XX
AL,05,2012080200, 03,ECMF, 36,14.9,-59.7, 24,1011,XX
AL,05,2012080200, 03,EE11, 36,15.0,-60.0, 29,1011,XX
AL,05,2012080200, 03,EE09, 36,15.1,-59.1, 28,1010,XX
AL,05,2012080200, 03,EE14, 36,15.3,-58.6, 32,1011,XX
AL,05,2012080200, 03,EE07, 36,15.4,-58.3, 26,1011,XX
AL,05,2012080200, 03,EE17, 36,15.5,-59.1, 30,1010,XX
AL,05,2012080200, 03,EE46, 36,15.7,-60.1, 27,1010,XX
AL,05,2012080200, 03,EE03, 36,15.9,-57.9, 26,1012,XX
AL,05,2012080200, 03,EE35, 36,16.0,-59.4, 32,1012,XX
AL,05,2012080200, 03,EE26, 36,16.2,-58.5, 24,1012,XX
