basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,06,2012080412, 03,EE10,  0,14.8,-30.0, 30,1008,XX
AL,06,2012080412, 03,ECMF,  0,14.9,-30.0, 33,1007,XX
AL,06,2012080412, 03,ECMF,  6,15.0,-31.0, 41,1004,XX
AL,06,2012080412, 03,EE22, 12,14.4,-31.9, 38,1007,XX
AL,06,2012080412, 03,EE17, 12,14.6,-32.0, 31,1009,XX
AL,06,2012080412, 03,EE02, 12,14.7,-32.0, 36,1007,XX
AL,06,2012080412, 03,EE37, 12,14.8,-31.8, 33,1010,XX
AL,06,2012080412, 03,EE34, 12,14.9,-31.9, 34,1006,XX
AL,06,2012080412, 03,EE04, 12,15.0,-31.6, 38,1007,XX
AL,06,2012080412, 03,EE03, 12,15.1,-31.9, 31,1009,XX
AL,06,2012080412, 03,EE10, 12,15.2,-31.5, 30,1010,XX
AL,06,2012080412, 03,EE07, 12,15.3,-31.0, 42,1006,XX
AL,06,2012080412, 03,EE00, 12,15.4,-32.0, 33,1008,XX
AL,06,2012080412, 03,ECMF, 12,15.5,-32.0, 38,1006,XX
AL,06,2012080412, 03,EE18, 12,15.6,-32.0, 43,1005,XX
AL,06,2012080412, 03,EE21, 12,15.7,-32.1, 31,1010,XX
AL,06,2012080412, 03,EE08, 12,15.9,-32.4, 31,1010,XX
AL,06,2012080412, 03,EE01, 12,16.0,-32.0, 29,1008,XX
AL,06,2012080412, 03,EE28, 12,16.1,-32.6, 35,1010,XX
AL,06,2012080412, 03,ECMF, 18,15.6,-32.9, 35,1006,XX
AL,06,2012080412, 03,EE27, 24,14.1,-33.0, 33,1010,XX
AL,06,2012080412, 03,EE09, 24,14.7,-34.2, 38,1007,XX
AL,06,2012080412, 03,EE22, 24,14.9,-32.9, 34,1007,XX
AL,06,2012080412, 03,EE17, 24,15.0,-32.8, 32,1010,XX
AL,06,2012080412, 03,EE02, 24,15.1,-33.3, 32,1009,XX
AL,06,2012080412, 03,EE03, 24,15.2,-32.5, 24,1010,XX
AL,06,2012080412, 03,EE40, 24,15.3,-33.7, 32,1009,XX
AL,06,2012080412, 03,EE15, 24,15.4,-33.8, 34,1009,XX
AL,06,2012080412, 03,EE10, 24,15.5,-33.9, 32,1010,XX
AL,06,2012080412, 03,EE00, 24,15.6,-33.9, 29,1009,XX
AL,06,2012080412, 03,ECMF, 24,15.7,-34.0, 35,1008,XX
AL,06,2012080412, 03,EE50, 24,15.8,-34.5, 28,1011,XX
AL,06,2012080412, 03,EE14, 24,15.9,-34.0, 33,1009,XX
AL,06,2012080412, 03,EE06, 24,16.0,-33.5, 23,1011,XX
AL,06,2012080412, 03,EE26, 24,16.1,-33.9, 29,1010,XX
AL,06,2012080412, 03,EE05, 24,16.2,-33.5, 38,1006,XX
AL,06,2012080412, 03,EE21, 24,16.4,-34.9, 29,1011,XX
AL,06,2012080412, 03,EE28, 24,16.5,-35.7, 28,1010,XX
AL,06,2012080412, 03,EE01, 24,16.6,-33.9, 27,1011,XX
AL,06,2012080412, 03,ECMF, 30,15.6,-34.6, 32,1007,XX
AL,06,2012080412, 03,EE27, 36,13.9,-33.3, 22,1011,XX
AL,06,2012080412, 03,EE33, 36,14.6,-35.0, 24,1013,XX
AL,06,2012080412, 03,EE44, 36,14.7,-34.6, 27,1011,XX
AL,06,2012080412, 03,EE09, 36,14.9,-34.7, 34,1008,XX
AL,06,2012080412, 03,EE02, 36,15.0,-34.5, 33,1010,XX
AL,06,2012080412, 03,EE10, 36,15.1,-35.2, 30,1011,XX
AL,06,2012080412, 03,EE22, 36,15.2,-33.6, 36,1008,XX
AL,06,2012080412, 03,EE03, 36,15.3,-32.7, 23,1012,XX
AL,06,2012080412, 03,EE07, 36,15.4,-33.5, 27,1010,XX
AL,06,2012080412, 03,EE18, 36,15.5,-34.7, 29,1009,XX
AL,06,2012080412, 03,ECMF, 36,15.6,-35.5, 31,1009,XX
AL,06,2012080412, 03,EE31, 36,15.7,-35.0, 27,1011,XX
AL,06,2012080412, 03,EE04, 36,15.9,-34.9, 31,1010,XX
AL,06,2012080412, 03,EE11, 36,16.0,-35.0, 32,1012,XX
AL,06,2012080412, 03,EE08, 36,16.1,-34.9, 21,1013,XX
AL,06,2012080412, 03,EE06, 36,16.2,-35.5, 24,1012,XX
AL,06,2012080412, 03,EE21, 36,16.3,-36.5, 24,1012,XX
AL,06,2012080412, 03,EE05, 36,16.4,-35.1, 37,1008,XX
AL,06,2012080412, 03,EE28, 36,16.5,-37.7, 32,1010,XX
AL,06,2012080412, 03,EE36, 36,16.6,-35.7, 34,1009,XX
AL,06,2012080412, 03,EE01, 36,16.8,-35.9, 23,1013,XX
AL,06,2012080412, 03,EE48, 36,17.0,-37.1, 27,1011,XX
AL,06,2012080412, 03,EE42, 36,17.1,-34.7, 40,1005,XX
AL,06,2012080412, 03,ECMF, 42,15.5,-36.1, 29,1006,XX
