basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,04,2012070500, 03,EE48,  0,13.4,-108.1, 26,1006,XX
EP,04,2012070500, 03,EE08,  0,13.5,-108.1, 27,1006,XX
EP,04,2012070500, 03,EE11,  0,13.6,-108.4, 25,1005,XX
EP,04,2012070500, 03,EE24,  0,13.7,-108.6, 23,1005,XX
EP,04,2012070500, 03,EE04,  0,13.8,-108.7, 23,1004,XX
EP,04,2012070500, 03,EE14,  0,13.9,-108.8, 28,1003,XX
EP,04,2012070500, 03,ECMF,  0,14.0,-108.7, 25,1005,XX
EP,04,2012070500, 03,EE05,  0,14.1,-108.7, 23,1005,XX
EP,04,2012070500, 03,EE12,  0,14.2,-108.8, 25,1004,XX
EP,04,2012070500, 03,EE03,  0,14.3,-108.6, 29,1005,XX
EP,04,2012070500, 03,EE46,120,15.6,-132.9, 39, 999,XX
EP,04,2012070500, 03,EE21,108,13.4,-129.6, 40, 997,XX
EP,04,2012070500, 03,EE14,120,18.0,-131.5, 41, 997,XX
EP,04,2012070500, 03,EE21,120,13.9,-132.4, 42, 997,XX
EP,04,2012070500, 03,EE00,108,15.4,-128.4, 43, 999,XX
EP,04,2012070500, 03,EE05,108,16.1,-127.0, 44, 999,XX
EP,04,2012070500, 03,EE10,108,16.7,-127.6, 45, 994,XX
EP,04,2012070500, 03,EE30,108,15.1,-128.5, 46, 998,XX
EP,04,2012070500, 03,EE19,108,14.1,-125.5, 47, 995,XX
EP,04,2012070500, 03,EE10,120,17.3,-130.5, 48, 998,XX
EP,04,2012070500, 03,EE11,108,13.2,-126.0, 49, 995,XX
EP,04,2012070500, 03,EE01,108,17.1,-129.0, 50, 997,XX
EP,04,2012070500, 03,EE15,108,16.7,-126.9, 51, 992,XX
EP,04,2012070500, 03,EE22,108,16.8,-129.1, 52, 996,XX
EP,04,2012070500, 03,EE14,108,17.5,-128.5, 53, 993,XX
EP,04,2012070500, 03,EE06,120,16.6,-132.3, 54, 990,XX
EP,04,2012070500, 03,ECMF,114,15.9,-129.1, 57, 992,XX
EP,04,2012070500, 03,ECMF,120,16.3,-130.3, 59, 990,XX
EP,04,2012070500, 03,ECMF,108,15.9,-127.8, 60, 988,XX
EP,04,2012070500, 03,ECMF,102,15.5,-126.5, 63, 991,XX
EP,04,2012070500, 03,ECMF,  6,13.6,-109.2, 30,1006,XX
EP,04,2012070500, 03,EE06, 12,13.2,-110.7, 38,1003,XX
EP,04,2012070500, 03,EE15, 12,13.4,-110.5, 38,1002,XX
EP,04,2012070500, 03,EE11, 12,13.5,-110.1, 27,1004,XX
EP,04,2012070500, 03,EE01, 12,13.6,-110.7, 36,1003,XX
EP,04,2012070500, 03,ECMF, 12,13.7,-110.7, 34,1004,XX
EP,04,2012070500, 03,EE02, 12,13.8,-110.5, 28,1004,XX
EP,04,2012070500, 03,EE00, 12,13.9,-110.6, 31,1004,XX
EP,04,2012070500, 03,EE10, 12,14.0,-110.9, 32,1004,XX
EP,04,2012070500, 03,EE09, 12,14.1,-109.6, 30,1004,XX
EP,04,2012070500, 03,EE36, 12,14.2,-110.2, 26,1005,XX
EP,04,2012070500, 03,EE07, 12,14.3,-110.5, 35,1003,XX
EP,04,2012070500, 03,EE05, 12,14.4,-110.5, 29,1004,XX
EP,04,2012070500, 03,EE04, 12,14.5,-110.1, 37,1004,XX
EP,04,2012070500, 03,ECMF, 18,14.0,-111.9, 33,1005,XX
EP,04,2012070500, 03,EE46, 24,13.0,-112.8, 38,1001,XX
EP,04,2012070500, 03,EE17, 24,13.2,-113.1, 39,1002,XX
EP,04,2012070500, 03,EE48, 24,13.3,-113.3, 32,1002,XX
EP,04,2012070500, 03,EE11, 24,13.4,-112.6, 31,1002,XX
EP,04,2012070500, 03,EE22, 24,13.4,-112.9, 38, 998,XX
EP,04,2012070500, 03,EE31, 24,13.5,-113.5, 30,1003,XX
EP,04,2012070500, 03,EE06, 24,13.6,-113.0, 41,1001,XX
EP,04,2012070500, 03,EE15, 24,13.6,-112.7, 44, 999,XX
EP,04,2012070500, 03,EE25, 24,13.7,-112.9, 32,1004,XX
EP,04,2012070500, 03,EE10, 24,13.9,-113.1, 38,1000,XX
EP,04,2012070500, 03,EE29, 24,13.9,-112.2, 40, 999,XX
EP,04,2012070500, 03,EE01, 24,14.0,-112.7, 31,1002,XX
EP,04,2012070500, 03,ECMF, 24,14.1,-112.7, 38,1002,XX
EP,04,2012070500, 03,EE14, 24,14.1,-112.6, 46, 996,XX
EP,04,2012070500, 03,EE04, 24,14.2,-112.7, 42,1002,XX
EP,04,2012070500, 03,EE13, 24,14.3,-113.0, 30,1005,XX
EP,04,2012070500, 03,EE02, 24,14.4,-112.6, 39,1002,XX
EP,04,2012070500, 03,EE21, 24,14.5,-113.3, 31,1004,XX
EP,04,2012070500, 03,EE05, 24,14.6,-112.5, 37,1004,XX
EP,04,2012070500, 03,EE24, 24,14.7,-113.2, 38,1003,XX
EP,04,2012070500, 03,EE27, 24,14.8,-113.1, 37,1004,XX
EP,04,2012070500, 03,EE50, 24,15.4,-113.9, 37,1004,XX
EP,04,2012070500, 03,ECMF, 30,14.2,-114.3, 36,1004,XX
EP,04,2012070500, 03,EE17, 36,12.9,-115.6, 42,1000,XX
EP,04,2012070500, 03,EE31, 36,13.1,-115.9, 35,1002,XX
EP,04,2012070500, 03,EE46, 36,13.2,-114.8, 44, 997,XX
EP,04,2012070500, 03,EE23, 36,13.3,-115.0, 39, 998,XX
EP,04,2012070500, 03,EE11, 36,13.4,-114.8, 38,1000,XX
EP,04,2012070500, 03,EE19, 36,13.4,-115.4, 40, 999,XX
EP,04,2012070500, 03,EE43, 36,13.5,-114.5, 38,1000,XX
EP,04,2012070500, 03,EE22, 36,13.5,-115.4, 42, 996,XX
EP,04,2012070500, 03,EE37, 36,13.5,-115.0, 47, 998,XX
EP,04,2012070500, 03,EE35, 36,13.5,-115.9, 42, 999,XX
EP,04,2012070500, 03,EE13, 36,13.6,-115.5, 33,1004,XX
EP,04,2012070500, 03,EE49, 36,13.6,-114.4, 46, 998,XX
EP,04,2012070500, 03,EE10, 36,13.6,-115.2, 42, 999,XX
EP,04,2012070500, 03,EE30, 36,13.8,-115.4, 41,1000,XX
EP,04,2012070500, 03,EE06, 36,13.8,-114.9, 41, 999,XX
EP,04,2012070500, 03,EE05, 36,13.9,-114.6, 38,1002,XX
EP,04,2012070500, 03,EE15, 36,13.9,-114.6, 45, 997,XX
