basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,14,2012091200, 03,EE03,  0,17.4,-44.5, 33,1006,XX
AL,14,2012091200, 03,ECMF,  0,17.5,-44.6, 31,1006,XX
AL,14,2012091200, 03,EE10,120,33.5,-50.8, 38, 994,XX
AL,14,2012091200, 03,EE36,120,27.5,-50.1, 39, 996,XX
AL,14,2012091200, 03,EE31,108,31.3,-51.2, 40, 995,XX
AL,14,2012091200, 03,EE25,108,25.6,-54.0, 41, 998,XX
AL,14,2012091200, 03,EE10,108,32.4,-52.2, 42, 996,XX
AL,14,2012091200, 03,EE14,108,30.4,-52.1, 43, 990,XX
AL,14,2012091200, 03,EE14,120,30.8,-50.9, 44, 989,XX
AL,14,2012091200, 03,EE08,120,30.1,-46.6, 45, 996,XX
AL,14,2012091200, 03,EE39,108,32.5,-52.9, 47, 994,XX
AL,14,2012091200, 03,EE36,108,27.1,-51.9, 48, 995,XX
AL,14,2012091200, 03,EE07,108,30.5,-51.4, 49, 986,XX
AL,14,2012091200, 03,ECMF,102,29.1,-50.6, 50, 990,XX
AL,14,2012091200, 03,EE11,108,26.6,-48.5, 51, 996,XX
AL,14,2012091200, 03,EE09,108,27.0,-48.3, 52, 994,XX
AL,14,2012091200, 03,EE16,120,33.4,-48.7, 53, 996,XX
AL,14,2012091200, 03,ECMF,114,29.5,-48.3, 54, 986,XX
AL,14,2012091200, 03,ECMF,108,29.2,-49.5, 55, 989,XX
AL,14,2012091200, 03,EE03,120,31.2,-47.5, 56, 984,XX
AL,14,2012091200, 03,EE03,108,30.9,-49.9, 57, 987,XX
AL,14,2012091200, 03,EE00,108,29.4,-48.9, 58, 989,XX
AL,14,2012091200, 03,EE11,120,26.9,-46.2, 59, 994,XX
AL,14,2012091200, 03,EE01,108,28.6,-48.5, 60, 982,XX
AL,14,2012091200, 03,ECMF,120,29.5,-46.6, 61, 984,XX
AL,14,2012091200, 03,EE02,108,28.4,-46.8, 62, 984,XX
AL,14,2012091200, 03,EE01,120,29.4,-46.0, 63, 978,XX
AL,14,2012091200, 03,EE06,108,30.7,-50.4, 64, 980,XX
AL,14,2012091200, 03,EE15,120,29.5,-47.5, 65, 978,XX
AL,14,2012091200, 03,EE18,108,30.3,-47.3, 66, 982,XX
AL,14,2012091200, 03,EE02,120,29.0,-43.1, 67, 980,XX
AL,14,2012091200, 03,EE32,120,30.0,-40.9, 68, 975,XX
AL,14,2012091200, 03,EE04,120,30.7,-40.9, 69, 976,XX
AL,14,2012091200, 03,EE22,120,31.0,-48.3, 70, 966,XX
AL,14,2012091200, 03,EE06,120,30.5,-47.8, 72, 967,XX
AL,14,2012091200, 03,EE38,108,33.9,-50.5, 74, 976,XX
AL,14,2012091200, 03,EE26,108,30.9,-45.0, 76, 968,XX
AL,14,2012091200, 03,EE20,120,30.6,-42.0, 77, 958,XX
AL,14,2012091200, 03,EE29,108,27.6,-45.2, 78, 963,XX
AL,14,2012091200, 03,EE29,120,28.7,-42.4, 80, 956,XX
AL,14,2012091200, 03,EE20,108,28.6,-45.1, 82, 961,XX
AL,14,2012091200, 03,ECMF,  6,17.9,-46.3, 34,1002,XX
AL,14,2012091200, 03,EE27, 12,17.5,-47.6, 35,1006,XX
AL,14,2012091200, 03,EE07, 12,17.9,-47.1, 43,1005,XX
AL,14,2012091200, 03,EE22, 12,18.0,-47.1, 43,1002,XX
AL,14,2012091200, 03,EE11, 12,18.1,-47.3, 39,1005,XX
AL,14,2012091200, 03,EE01, 12,18.2,-47.7, 39,1006,XX
AL,14,2012091200, 03,EE04, 12,18.3,-47.6, 37,1005,XX
AL,14,2012091200, 03,ECMF, 12,18.4,-47.2, 41,1003,XX
AL,14,2012091200, 03,EE00, 12,18.5,-47.3, 42,1004,XX
AL,14,2012091200, 03,EE06, 12,18.6,-47.6, 36,1007,XX
AL,14,2012091200, 03,EE02, 12,18.7,-46.8, 42,1003,XX
AL,14,2012091200, 03,EE33, 12,18.8,-47.2, 39,1007,XX
AL,14,2012091200, 03,EE37, 12,18.9,-47.5, 38,1006,XX
AL,14,2012091200, 03,EE28, 12,19.4,-47.0, 44,1003,XX
AL,14,2012091200, 03,ECMF, 18,19.2,-48.3, 44,1001,XX
AL,14,2012091200, 03,EE27, 24,18.3,-49.3, 41,1005,XX
