basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
SH,03,2012122912, 03,EE27,  0,-13.0,159.9, 44, 986,XX
SH,03,2012122912, 03,EE06,  0,-13.0,159.9, 47, 987,XX
SH,03,2012122912, 03,ECMF,  0,-13.0,160.0, 44, 988,XX
SH,03,2012122912, 03,EE01,  0,-12.9,160.0, 44, 989,XX
SH,03,2012122912, 03,EE05,  0,-13.0,160.0, 38, 990,XX
SH,03,2012122912, 03,EE28,  0,-13.0,160.0, 40, 991,XX
SH,03,2012122912, 03,ECMF,  6,-13.3,159.9, 58, 984,XX
SH,03,2012122912, 03,EE40, 12,-13.3,160.6, 68, 979,XX
SH,03,2012122912, 03,EE03, 12,-13.6,160.7, 63, 980,XX
SH,03,2012122912, 03,EE27, 12,-13.6,160.2, 65, 981,XX
SH,03,2012122912, 03,EE06, 12,-13.1,159.7, 67, 982,XX
SH,03,2012122912, 03,EE11, 12,-13.6,159.9, 66, 983,XX
SH,03,2012122912, 03,ECMF, 12,-13.7,159.9, 63, 984,XX
SH,03,2012122912, 03,EE09, 12,-13.4,160.5, 62, 985,XX
SH,03,2012122912, 03,EE00, 12,-13.8,160.0, 57, 986,XX
SH,03,2012122912, 03,EE01, 12,-13.6,160.0, 62, 987,XX
SH,03,2012122912, 03,EE08, 12,-13.8,160.2, 56, 988,XX
SH,03,2012122912, 03,EE05, 12,-14.3,159.8, 54, 989,XX
SH,03,2012122912, 03,EE28, 12,-13.8,159.9, 54, 990,XX
SH,03,2012122912, 03,EE32, 12,-13.5,159.6, 52, 991,XX
SH,03,2012122912, 03,ECMF, 18,-13.7,160.2, 72, 981,XX
SH,03,2012122912, 03,EE27, 24,-14.6,161.1, 72, 971,XX
SH,03,2012122912, 03,EE13, 24,-14.5,159.9, 69, 975,XX
SH,03,2012122912, 03,EE06, 24,-13.8,160.5, 66, 976,XX
SH,03,2012122912, 03,EE37, 24,-13.9,160.5, 69, 977,XX
