basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,24,2012100500, 03,EE12,  0,14.8,116.5, 42, 997,XX
WP,24,2012100500, 03,EE03,  0,14.8,116.5, 37, 998,XX
WP,24,2012100500, 03,EE01,  0,14.8,116.5, 39, 999,XX
WP,24,2012100500, 03,EE11,  0,14.9,116.5, 31,1000,XX
WP,24,2012100500, 03,EE10,  0,14.9,116.5, 38, 998,XX
WP,24,2012100500, 03,ECMF,  0,14.9,116.5, 33, 999,XX
WP,24,2012100500, 03,ECMF,  6,14.8,115.6, 38, 999,XX
WP,24,2012100500, 03,EE36, 84,9.8,108.8, 15,1008,XX
WP,24,2012100500, 03,EE44, 96,8.6,116.0, 13,1008,XX
WP,24,2012100500, 03,EE38, 96,8.7,101.4, 15,1009,XX
WP,24,2012100500, 03,EE36, 96,9.4,110.1, 15,1009,XX
WP,24,2012100500, 03,EE06, 12,14.1,114.7, 35,1000,XX
WP,24,2012100500, 03,EE37, 12,14.1,114.4, 41, 999,XX
WP,24,2012100500, 03,EE16, 12,14.2,114.8, 31,1002,XX
WP,24,2012100500, 03,EE27, 12,14.2,114.3, 39, 998,XX
WP,24,2012100500, 03,EE43, 12,14.3,114.5, 36,1000,XX
WP,24,2012100500, 03,EE24, 12,14.3,114.3, 43, 998,XX
WP,24,2012100500, 03,EE41, 12,14.3,114.8, 39, 999,XX
WP,24,2012100500, 03,EE09, 12,14.4,114.4, 37,1000,XX
WP,24,2012100500, 03,EE03, 12,14.4,114.5, 38, 999,XX
WP,24,2012100500, 03,ECMF, 12,14.5,114.4, 37,1000,XX
WP,24,2012100500, 03,EE26, 12,14.5,114.5, 38, 998,XX
WP,24,2012100500, 03,EE12, 12,14.5,114.5, 38, 999,XX
WP,24,2012100500, 03,EE01, 12,14.6,114.9, 35,1000,XX
WP,24,2012100500, 03,EE40, 12,14.6,114.9, 39, 999,XX
WP,24,2012100500, 03,EE17, 12,14.7,114.5, 38,1001,XX
WP,24,2012100500, 03,EE42, 12,14.7,114.1, 40, 999,XX
WP,24,2012100500, 03,EE10, 12,14.8,114.3, 33,1000,XX
WP,24,2012100500, 03,EE05, 12,14.9,114.3, 37,1000,XX
WP,24,2012100500, 03,EE15, 12,14.9,114.4, 39, 999,XX
WP,24,2012100500, 03,EE19, 12,15.0,114.2, 34,1000,XX
WP,24,2012100500, 03,ECMF, 18,14.5,113.1, 40, 998,XX
WP,24,2012100500, 03,EE37, 24,13.6,112.4, 38,1002,XX
WP,24,2012100500, 03,EE50, 24,13.8,112.6, 34,1002,XX
WP,24,2012100500, 03,EE45, 24,13.9,113.1, 39,1000,XX
WP,24,2012100500, 03,EE27, 24,13.9,112.5, 46, 997,XX
WP,24,2012100500, 03,EE16, 24,14.0,112.5, 38,1004,XX
WP,24,2012100500, 03,EE32, 24,14.0,112.0, 45, 998,XX
WP,24,2012100500, 03,EE06, 24,14.1,113.1, 37,1001,XX
WP,24,2012100500, 03,EE18, 24,14.2,112.8, 39,1001,XX
WP,24,2012100500, 03,EE04, 24,14.3,112.3, 33,1003,XX
WP,24,2012100500, 03,EE03, 24,14.3,112.0, 43, 998,XX
WP,24,2012100500, 03,EE26, 24,14.3,111.5, 45, 999,XX
WP,24,2012100500, 03,EE07, 24,14.4,112.7, 33,1004,XX
WP,24,2012100500, 03,ECMF, 24,14.5,112.5, 38,1001,XX
WP,24,2012100500, 03,EE01, 24,14.6,112.0, 40,1002,XX
WP,24,2012100500, 03,EE17, 24,14.7,111.8, 38,1003,XX
WP,24,2012100500, 03,EE49, 24,14.8,111.4, 39,1001,XX
WP,24,2012100500, 03,EE13, 24,14.9,112.1, 35,1001,XX
WP,24,2012100500, 03,EE10, 24,15.0,111.8, 35,1002,XX
WP,24,2012100500, 03,EE11, 24,15.1,112.4, 35,1003,XX
WP,24,2012100500, 03,EE35, 24,15.2,112.4, 38,1002,XX
WP,24,2012100500, 03,EE21, 24,15.3,111.9, 38,1003,XX
WP,24,2012100500, 03,EE40, 24,15.4,112.5, 37,1002,XX
WP,24,2012100500, 03,EE38, 24,15.5,112.5, 36,1002,XX
WP,24,2012100500, 03,ECMF, 30,14.4,111.0, 43,1001,XX
WP,24,2012100500, 03,EE37, 36,12.5,110.5, 41,1001,XX
WP,24,2012100500, 03,EE16, 36,12.8,111.3, 32,1003,XX
WP,24,2012100500, 03,EE50, 36,12.9,111.5, 40,1002,XX
WP,24,2012100500, 03,EE24, 36,13.1,110.5, 42,1001,XX
WP,24,2012100500, 03,EE01, 36,13.2,110.0, 40,1000,XX
WP,24,2012100500, 03,EE48, 36,13.2,110.4, 44, 998,XX
WP,24,2012100500, 03,EE32, 36,13.3,110.2, 44,1000,XX
WP,24,2012100500, 03,EE14, 36,13.4,110.6, 45,1000,XX
WP,24,2012100500, 03,EE07, 36,13.5,111.1, 30,1003,XX
WP,24,2012100500, 03,EE03, 36,13.5,110.0, 34, 999,XX
WP,24,2012100500, 03,ECMF, 36,13.6,110.1, 34,1001,XX
WP,24,2012100500, 03,EE02, 36,13.7,110.2, 33,1002,XX
WP,24,2012100500, 03,EE33, 36,13.7,110.7, 45, 998,XX
WP,24,2012100500, 03,EE41, 36,13.7,110.9, 41, 999,XX
WP,24,2012100500, 03,EE43, 36,13.8,111.0, 33,1002,XX
WP,24,2012100500, 03,EE27, 36,13.8,111.5, 40, 999,XX
