basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,07,2012081112, 03,EE39,  0,19.6,-120.0, 25,1000,XX
EP,07,2012081112, 03,EE01,  0,19.6,-120.0, 24, 998,XX
EP,07,2012081112, 03,EE09,  0,19.6,-120.0, 28, 999,XX
EP,07,2012081112, 03,EE17,  0,19.7,-120.0, 27,1000,XX
EP,07,2012081112, 03,ECMF,  0,19.7,-120.0, 29, 998,XX
EP,07,2012081112, 03,EE00,  0,19.7,-120.0, 28, 999,XX
EP,07,2012081112, 03,ECMF,  6,20.2,-120.1, 33,1003,XX
EP,07,2012081112, 03,EE47, 12,20.4,-119.9, 25,1003,XX
EP,07,2012081112, 03,EE01, 12,20.5,-120.2, 25,1004,XX
EP,07,2012081112, 03,EE16, 12,20.6,-120.1, 23,1005,XX
EP,07,2012081112, 03,EE20, 12,20.7,-120.2, 31,1002,XX
EP,07,2012081112, 03,EE07, 12,20.8,-120.1, 28,1004,XX
EP,07,2012081112, 03,EE00, 12,20.9,-120.3, 25,1003,XX
EP,07,2012081112, 03,ECMF, 12,21.0,-120.4, 27,1003,XX
EP,07,2012081112, 03,EE02, 12,21.1,-120.4, 30,1003,XX
EP,07,2012081112, 03,EE43, 12,21.2,-120.0, 31,1002,XX
EP,07,2012081112, 03,EE50, 12,21.3,-120.4, 28,1003,XX
EP,07,2012081112, 03,EE35, 12,21.4,-120.5, 28,1003,XX
EP,07,2012081112, 03,ECMF, 18,21.4,-120.5, 25,1007,XX
EP,07,2012081112, 03,EE47, 24,20.6,-119.7, 24,1006,XX
EP,07,2012081112, 03,EE39, 24,20.9,-122.2, 23,1007,XX
EP,07,2012081112, 03,EE04, 24,21.0,-120.9, 23,1008,XX
EP,07,2012081112, 03,EE18, 24,21.1,-120.7, 24,1007,XX
EP,07,2012081112, 03,EE16, 24,21.2,-119.9, 22,1008,XX
EP,07,2012081112, 03,EE14, 24,21.3,-119.7, 20,1008,XX
EP,07,2012081112, 03,EE42, 24,21.4,-120.6, 22,1007,XX
EP,07,2012081112, 03,EE11, 24,21.5,-120.4, 23,1007,XX
EP,07,2012081112, 03,EE01, 24,21.6,-119.9, 20,1008,XX
EP,07,2012081112, 03,EE00, 24,21.7,-120.5, 22,1008,XX
EP,07,2012081112, 03,ECMF, 24,21.8,-120.5, 22,1007,XX
EP,07,2012081112, 03,EE12, 24,21.9,-120.6, 20,1008,XX
EP,07,2012081112, 03,EE02, 24,22.0,-121.1, 22,1007,XX
EP,07,2012081112, 03,EE10, 24,22.1,-122.1, 24,1007,XX
EP,07,2012081112, 03,EE03, 24,22.2,-120.5, 24,1007,XX
EP,07,2012081112, 03,EE43, 24,22.3,-120.5, 22,1007,XX
EP,07,2012081112, 03,EE46, 24,22.4,-120.8, 18,1008,XX
EP,07,2012081112, 03,EE41, 24,22.5,-121.1, 21,1008,XX
EP,07,2012081112, 03,EE35, 24,22.6,-120.5, 19,1007,XX
EP,07,2012081112, 03,ECMF, 30,21.9,-120.6, 20,1010,XX
EP,07,2012081112, 03,EE47, 36,20.3,-119.9, 19,1008,XX
EP,07,2012081112, 03,EE05, 36,20.5,-120.3, 23,1008,XX
EP,07,2012081112, 03,EE36, 36,20.6,-119.4, 20,1008,XX
EP,07,2012081112, 03,EE04, 36,20.9,-121.5, 17,1008,XX
EP,07,2012081112, 03,EE16, 36,21.0,-120.4, 18,1008,XX
EP,07,2012081112, 03,EE42, 36,21.1,-121.0, 18,1008,XX
EP,07,2012081112, 03,EE24, 36,21.2,-121.3, 17,1008,XX
EP,07,2012081112, 03,EE26, 36,21.4,-122.6, 19,1008,XX
EP,07,2012081112, 03,EE08, 36,21.5,-120.9, 18,1008,XX
EP,07,2012081112, 03,EE19, 36,21.6,-121.5, 15,1009,XX
