basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,08,2012081712, 03,ECMF,  0,34.5,-47.0, 41,1001,XX
AL,08,2012081712, 03,EE10,  0,34.5,-47.0, 43, 999,XX
AL,08,2012081712, 03,EE48,120,56.3,-2.0, 47, 982,XX
AL,08,2012081712, 03,EE20,108,51.6,-6.5, 49, 988,XX
AL,08,2012081712, 03,EE48,108,53.4,-6.1, 50, 986,XX
AL,08,2012081712, 03,EE33,108,51.6,-7.4, 57, 985,XX
AL,08,2012081712, 03,ECMF,  6,34.5,-45.2, 44, 999,XX
AL,08,2012081712, 03,EE02, 12,33.9,-42.7, 43,1000,XX
AL,08,2012081712, 03,EE50, 12,33.9,-43.3, 46, 998,XX
AL,08,2012081712, 03,EE12, 12,34.0,-43.5, 42,1004,XX
AL,08,2012081712, 03,EE10, 12,34.0,-43.1, 52, 995,XX
AL,08,2012081712, 03,EE07, 12,34.0,-43.4, 45, 998,XX
AL,08,2012081712, 03,EE42, 12,34.0,-43.6, 43, 999,XX
AL,08,2012081712, 03,EE06, 12,34.1,-43.5, 38,1003,XX
AL,08,2012081712, 03,EE30, 12,34.1,-43.2, 49, 996,XX
AL,08,2012081712, 03,EE45, 12,34.1,-43.4, 45, 998,XX
AL,08,2012081712, 03,EE35, 12,34.1,-43.5, 46, 999,XX
AL,08,2012081712, 03,EE00, 12,34.2,-43.4, 42,1001,XX
AL,08,2012081712, 03,ECMF, 12,34.2,-43.3, 46, 999,XX
AL,08,2012081712, 03,EE04, 12,34.3,-43.5, 45,1002,XX
AL,08,2012081712, 03,EE13, 12,34.3,-42.9, 44, 999,XX
AL,08,2012081712, 03,EE08, 12,34.4,-43.3, 44,1000,XX
AL,08,2012081712, 03,EE39, 12,34.4,-43.2, 46, 997,XX
AL,08,2012081712, 03,EE11, 12,34.4,-43.1, 45, 999,XX
AL,08,2012081712, 03,EE01, 12,34.5,-43.9, 45,1001,XX
AL,08,2012081712, 03,EE18, 12,34.6,-43.4, 37,1002,XX
AL,08,2012081712, 03,EE44, 12,34.6,-43.3, 45, 998,XX
AL,08,2012081712, 03,ECMF, 18,34.1,-41.6, 55, 995,XX
AL,08,2012081712, 03,EE17, 24,33.6,-39.8, 52, 999,XX
AL,08,2012081712, 03,EE29, 24,33.7,-40.5, 42,1000,XX
AL,08,2012081712, 03,EE50, 24,33.7,-39.9, 57, 994,XX
AL,08,2012081712, 03,EE02, 24,33.7,-39.0, 52, 998,XX
AL,08,2012081712, 03,EE09, 24,33.8,-40.7, 41,1001,XX
AL,08,2012081712, 03,EE45, 24,33.8,-39.5, 57, 993,XX
AL,08,2012081712, 03,EE14, 24,33.9,-40.2, 45,1001,XX
AL,08,2012081712, 03,EE47, 24,33.9,-39.6, 58, 995,XX
AL,08,2012081712, 03,EE15, 24,33.9,-40.5, 52, 996,XX
AL,08,2012081712, 03,EE34, 24,33.9,-40.1, 53, 997,XX
AL,08,2012081712, 03,EE06, 24,34.0,-40.2, 48,1000,XX
AL,08,2012081712, 03,ECMF, 24,34.0,-39.6, 53, 994,XX
AL,08,2012081712, 03,EE03, 24,34.0,-40.0, 52, 996,XX
AL,08,2012081712, 03,EE24, 24,34.0,-40.2, 45, 998,XX
AL,08,2012081712, 03,EE36, 24,34.0,-39.5, 50, 999,XX
AL,08,2012081712, 03,EE33, 24,34.1,-39.9, 43,1002,XX
AL,08,2012081712, 03,EE10, 24,34.1,-39.7, 63, 993,XX
AL,08,2012081712, 03,EE07, 24,34.1,-39.6, 53, 994,XX
AL,08,2012081712, 03,EE11, 24,34.1,-39.3, 59, 995,XX
AL,08,2012081712, 03,EE00, 24,34.1,-39.8, 51, 998,XX
AL,08,2012081712, 03,EE04, 24,34.2,-40.0, 49,1001,XX
AL,08,2012081712, 03,EE19, 24,34.2,-39.9, 61, 993,XX
AL,08,2012081712, 03,EE05, 24,34.2,-39.9, 59, 994,XX
AL,08,2012081712, 03,EE13, 24,34.2,-39.0, 53, 995,XX
AL,08,2012081712, 03,EE48, 24,34.2,-40.0, 53, 997,XX
AL,08,2012081712, 03,EE16, 24,34.2,-39.1, 53, 998,XX
AL,08,2012081712, 03,EE20, 24,34.2,-39.6, 57, 999,XX
AL,08,2012081712, 03,EE22, 24,34.3,-39.7, 57, 994,XX
AL,08,2012081712, 03,EE08, 24,34.3,-39.6, 52, 997,XX
AL,08,2012081712, 03,EE01, 24,34.3,-40.7, 50, 999,XX
AL,08,2012081712, 03,EE37, 24,34.4,-39.9, 55, 996,XX
AL,08,2012081712, 03,EE32, 24,34.4,-40.1, 49, 998,XX
AL,08,2012081712, 03,EE39, 24,34.5,-39.4, 59, 992,XX
AL,08,2012081712, 03,EE30, 24,34.5,-39.5, 60, 993,XX
AL,08,2012081712, 03,EE44, 24,34.5,-39.9, 52, 996,XX
AL,08,2012081712, 03,EE28, 24,34.5,-39.0, 51, 999,XX
AL,08,2012081712, 03,EE49, 24,34.9,-40.1, 41,1001,XX
AL,08,2012081712, 03,EE18, 24,34.9,-39.6, 52, 996,XX
AL,08,2012081712, 03,ECMF, 30,34.1,-37.5, 64, 990,XX
AL,08,2012081712, 03,EE29, 36,33.5,-36.7, 41,1002,XX
AL,08,2012081712, 03,EE38, 36,33.7,-36.5, 43,1004,XX
AL,08,2012081712, 03,EE45, 36,33.8,-36.0, 53, 995,XX
AL,08,2012081712, 03,EE17, 36,33.8,-35.7, 48, 999,XX
AL,08,2012081712, 03,EE09, 36,33.9,-36.5, 47,1001,XX
AL,08,2012081712, 03,EE42, 36,33.9,-36.5, 56, 997,XX
AL,08,2012081712, 03,EE14, 36,34.0,-36.6, 42,1003,XX
AL,08,2012081712, 03,EE47, 36,34.0,-35.5, 57, 994,XX
AL,08,2012081712, 03,EE02, 36,34.0,-34.5, 53, 998,XX
AL,08,2012081712, 03,EE24, 36,34.1,-36.4, 43,1001,XX
AL,08,2012081712, 03,EE15, 36,34.1,-36.2, 65, 994,XX
AL,08,2012081712, 03,EE11, 36,34.1,-34.7, 55, 996,XX
AL,08,2012081712, 03,EE06, 36,34.2,-36.8, 42,1003,XX
AL,08,2012081712, 03,EE21, 36,34.3,-35.3, 48,1000,XX
AL,08,2012081712, 03,EE43, 36,34.3,-34.9, 59, 995,XX
AL,08,2012081712, 03,EE04, 36,34.4,-36.0, 47,1002,XX
AL,08,2012081712, 03,ECMF, 36,34.4,-35.1, 65, 985,XX
AL,08,2012081712, 03,EE35, 36,34.4,-35.8, 58, 992,XX
AL,08,2012081712, 03,EE41, 36,34.4,-34.9, 62, 994,XX
AL,08,2012081712, 03,EE34, 36,34.4,-36.3, 54, 995,XX
AL,08,2012081712, 03,EE36, 36,34.4,-35.3, 51, 999,XX
AL,08,2012081712, 03,EE40, 36,34.5,-35.9, 40,1006,XX
AL,08,2012081712, 03,EE03, 36,34.5,-36.1, 56, 995,XX
AL,08,2012081712, 03,EE00, 36,34.5,-35.4, 53, 999,XX
AL,08,2012081712, 03,EE23, 36,34.6,-34.1, 49, 999,XX
AL,08,2012081712, 03,EE28, 36,34.7,-35.0, 41,1004,XX
AL,08,2012081712, 03,EE32, 36,34.7,-35.6, 51, 999,XX
AL,08,2012081712, 03,EE20, 36,34.8,-35.5, 49,1000,XX
AL,08,2012081712, 03,EE22, 36,34.8,-35.2, 61, 991,XX
AL,08,2012081712, 03,EE39, 36,34.9,-35.5, 60, 987,XX
AL,08,2012081712, 03,EE10, 36,34.9,-35.6, 66, 990,XX
AL,08,2012081712, 03,EE05, 36,34.9,-35.0, 64, 991,XX
AL,08,2012081712, 03,EE07, 36,34.9,-35.5, 56, 992,XX
AL,08,2012081712, 03,EE44, 36,34.9,-35.8, 53, 994,XX
AL,08,2012081712, 03,EE01, 36,34.9,-36.0, 60, 996,XX
AL,08,2012081712, 03,EE08, 36,34.9,-35.0, 54, 997,XX
AL,08,2012081712, 03,EE48, 36,35.0,-35.0, 58, 996,XX
AL,08,2012081712, 03,EE16, 36,35.0,-34.7, 54, 997,XX
AL,08,2012081712, 03,EE13, 36,35.1,-34.5, 58, 992,XX
AL,08,2012081712, 03,EE37, 36,35.1,-35.2, 55, 995,XX
AL,08,2012081712, 03,EE26, 36,35.2,-35.6, 50,1000,XX
AL,08,2012081712, 03,EE49, 36,35.3,-35.6, 43,1003,XX
AL,08,2012081712, 03,EE30, 36,35.5,-35.0, 62, 988,XX
AL,08,2012081712, 03,EE18, 36,35.5,-35.0, 48, 998,XX
AL,08,2012081712, 03,ECMF, 42,34.8,-33.0, 81, 983,XX
AL,08,2012081712, 03,EE38, 48,33.6,-33.0, 44, 999,XX
AL,08,2012081712, 03,EE29, 48,33.9,-33.0, 44,1002,XX
AL,08,2012081712, 03,EE17, 48,34.2,-33.0, 47,1000,XX
AL,08,2012081712, 03,EE25, 48,34.3,-32.3, 48,1001,XX
AL,08,2012081712, 03,EE45, 48,34.3,-31.9, 63, 990,XX
AL,08,2012081712, 03,EE47, 48,34.3,-31.3, 58, 994,XX
AL,08,2012081712, 03,EE31, 48,34.3,-31.3, 54, 997,XX
AL,08,2012081712, 03,EE09, 48,34.5,-32.9, 44,1001,XX
AL,08,2012081712, 03,EE50, 48,34.5,-32.4, 59, 990,XX
AL,08,2012081712, 03,EE24, 48,34.5,-33.2, 49, 998,XX
AL,08,2012081712, 03,EE14, 48,34.5,-32.9, 53, 999,XX
AL,08,2012081712, 03,EE11, 48,34.6,-30.0, 67, 987,XX
AL,08,2012081712, 03,EE04, 48,34.7,-32.8, 40,1003,XX
AL,08,2012081712, 03,EE15, 48,34.7,-32.5, 59, 991,XX
AL,08,2012081712, 03,EE46, 48,34.8,-32.6, 45,1004,XX
AL,08,2012081712, 03,EE43, 48,34.8,-30.2, 62, 988,XX
AL,08,2012081712, 03,EE06, 48,34.9,-33.1, 46,1002,XX
AL,08,2012081712, 03,EE39, 48,34.9,-32.2, 56, 989,XX
AL,08,2012081712, 03,EE02, 48,34.9,-31.1, 47, 999,XX
AL,08,2012081712, 03,EE41, 48,35.0,-30.1, 57, 995,XX
AL,08,2012081712, 03,ECMF, 48,35.1,-31.0, 70, 988,XX
AL,08,2012081712, 03,EE42, 48,35.1,-33.8, 52, 998,XX
AL,08,2012081712, 03,EE34, 48,35.3,-32.5, 54, 994,XX
AL,08,2012081712, 03,EE40, 48,35.4,-31.4, 40,1006,XX
AL,08,2012081712, 03,EE44, 48,35.4,-31.7, 62, 990,XX
AL,08,2012081712, 03,EE00, 48,35.4,-31.5, 51, 997,XX
AL,08,2012081712, 03,EE20, 48,35.5,-31.0, 50,1000,XX
AL,08,2012081712, 03,EE07, 48,35.5,-31.2, 58, 991,XX
AL,08,2012081712, 03,EE35, 48,35.5,-31.9, 60, 992,XX
AL,08,2012081712, 03,EE32, 48,35.6,-31.5, 45,1000,XX
AL,08,2012081712, 03,EE19, 48,35.6,-31.4, 57, 990,XX
AL,08,2012081712, 03,EE23, 48,35.6,-29.4, 48, 999,XX
AL,08,2012081712, 03,EE03, 48,35.8,-31.5, 60, 994,XX
AL,08,2012081712, 03,EE22, 48,35.9,-30.5, 66, 983,XX
AL,08,2012081712, 03,EE12, 48,36.1,-32.2, 49,1000,XX
AL,08,2012081712, 03,EE05, 48,36.3,-30.0, 61, 987,XX
AL,08,2012081712, 03,EE49, 48,36.4,-30.4, 45,1001,XX
AL,08,2012081712, 03,EE28, 48,36.4,-30.9, 53, 998,XX
AL,08,2012081712, 03,EE10, 48,36.5,-32.1, 60, 988,XX
AL,08,2012081712, 03,EE48, 48,36.5,-30.4, 54, 993,XX
AL,08,2012081712, 03,EE08, 48,36.5,-31.0, 55, 996,XX
AL,08,2012081712, 03,EE13, 48,36.6,-29.6, 78, 986,XX
AL,08,2012081712, 03,EE37, 48,36.7,-30.3, 61, 991,XX
AL,08,2012081712, 03,EE01, 48,36.7,-31.2, 55, 994,XX
AL,08,2012081712, 03,EE26, 48,36.9,-32.2, 47, 999,XX
AL,08,2012081712, 03,EE18, 48,37.3,-30.0, 53, 995,XX
AL,08,2012081712, 03,EE30, 48,37.5,-30.7, 66, 988,XX
AL,08,2012081712, 03,ECMF, 54,36.0,-29.0, 66, 988,XX
AL,08,2012081712, 03,EE38, 60,33.9,-28.8, 43,1002,XX
AL,08,2012081712, 03,EE17, 60,34.6,-30.5, 37,1005,XX
AL,08,2012081712, 03,EE27, 60,34.8,-30.4, 46,1003,XX
AL,08,2012081712, 03,EE14, 60,34.9,-29.1, 45, 999,XX
AL,08,2012081712, 03,EE15, 60,35.0,-29.2, 49, 996,XX
AL,08,2012081712, 03,EE47, 60,35.3,-28.5, 56,1002,XX
AL,08,2012081712, 03,EE31, 60,35.3,-28.4, 51, 998,XX
AL,08,2012081712, 03,EE24, 60,35.4,-30.1, 46,1001,XX
AL,08,2012081712, 03,EE04, 60,35.5,-29.0, 38,1007,XX
AL,08,2012081712, 03,EE50, 60,35.5,-29.0, 62, 986,XX
AL,08,2012081712, 03,EE45, 60,35.6,-28.0, 58, 990,XX
AL,08,2012081712, 03,EE09, 60,35.8,-30.1, 39,1005,XX
AL,08,2012081712, 03,EE25, 60,35.9,-29.3, 43,1004,XX
AL,08,2012081712, 03,EE39, 60,35.9,-29.1, 59, 991,XX
AL,08,2012081712, 03,EE02, 60,36.0,-28.7, 42,1003,XX
AL,08,2012081712, 03,EE11, 60,36.0,-26.4, 59, 992,XX
AL,08,2012081712, 03,EE43, 60,36.0,-26.2, 53, 995,XX
AL,08,2012081712, 03,EE36, 60,36.1,-29.2, 41,1005,XX
AL,08,2012081712, 03,EE19, 60,36.4,-27.7, 54, 995,XX
AL,08,2012081712, 03,EE41, 60,36.4,-26.0, 59, 998,XX
AL,08,2012081712, 03,EE06, 60,36.6,-29.5, 42,1004,XX
AL,08,2012081712, 03,EE07, 60,36.6,-28.0, 51, 998,XX
AL,08,2012081712, 03,EE00, 60,36.8,-28.1, 47,1002,XX
AL,08,2012081712, 03,EE23, 60,36.9,-24.9, 51,1004,XX
AL,08,2012081712, 03,EE42, 60,37.0,-31.5, 45,1000,XX
AL,08,2012081712, 03,ECMF, 60,37.0,-27.3, 65, 994,XX
AL,08,2012081712, 03,EE34, 60,37.0,-29.0, 53, 997,XX
AL,08,2012081712, 03,EE44, 60,37.3,-28.1, 54, 994,XX
AL,08,2012081712, 03,EE40, 60,37.4,-26.8, 40,1007,XX
AL,08,2012081712, 03,EE22, 60,37.5,-26.5, 64, 990,XX
AL,08,2012081712, 03,EE35, 60,37.5,-28.4, 51, 995,XX
AL,08,2012081712, 03,EE20, 60,37.7,-26.7, 46,1000,XX
AL,08,2012081712, 03,EE28, 60,37.7,-26.6, 56, 998,XX
AL,08,2012081712, 03,EE26, 60,37.8,-28.9, 47,1002,XX
AL,08,2012081712, 03,EE33, 60,37.9,-27.0, 45, 998,XX
AL,08,2012081712, 03,EE32, 60,37.9,-27.7, 54, 999,XX
AL,08,2012081712, 03,EE10, 60,38.1,-28.1, 74, 985,XX
AL,08,2012081712, 03,EE05, 60,38.3,-26.3, 60, 989,XX
AL,08,2012081712, 03,EE03, 60,38.5,-26.4, 51,1000,XX
AL,08,2012081712, 03,EE49, 60,38.9,-26.0, 46,1001,XX
AL,08,2012081712, 03,EE08, 60,39.0,-27.2, 54,1003,XX
AL,08,2012081712, 03,EE48, 60,39.1,-26.4, 58, 988,XX
AL,08,2012081712, 03,EE18, 60,39.1,-26.0, 53, 995,XX
AL,08,2012081712, 03,EE16, 60,39.3,-25.2, 48, 997,XX
AL,08,2012081712, 03,EE01, 60,39.5,-27.0, 55, 994,XX
AL,08,2012081712, 03,EE13, 60,39.5,-25.4, 63, 995,XX
AL,08,2012081712, 03,EE30, 60,40.4,-27.2, 60, 991,XX
AL,08,2012081712, 03,EE37, 60,40.4,-25.5, 57, 993,XX
AL,08,2012081712, 03,ECMF, 66,37.9,-25.0, 59, 995,XX
AL,08,2012081712, 03,EE27, 72,35.0,-28.9, 42,1010,XX
AL,08,2012081712, 03,EE17, 72,35.1,-28.9, 41,1008,XX
AL,08,2012081712, 03,EE38, 72,35.3,-26.0, 52,1002,XX
AL,08,2012081712, 03,EE14, 72,35.5,-27.0, 43,1002,XX
AL,08,2012081712, 03,EE15, 72,35.9,-26.4, 59, 998,XX
AL,08,2012081712, 03,EE47, 72,36.2,-27.2, 40,1006,XX
AL,08,2012081712, 03,EE21, 72,36.4,-26.4, 38,1008,XX
AL,08,2012081712, 03,EE50, 72,36.5,-26.0, 61, 995,XX
AL,08,2012081712, 03,EE29, 72,36.8,-27.0, 45,1003,XX
AL,08,2012081712, 03,EE09, 72,36.9,-27.4, 40,1007,XX
AL,08,2012081712, 03,EE04, 72,37.0,-26.5, 39,1009,XX
AL,08,2012081712, 03,EE31, 72,37.1,-25.7, 48,1002,XX
AL,08,2012081712, 03,EE39, 72,37.1,-26.5, 60, 996,XX
AL,08,2012081712, 03,EE36, 72,37.4,-27.5, 35,1008,XX
AL,08,2012081712, 03,EE19, 72,37.5,-25.0, 50,1000,XX
AL,08,2012081712, 03,EE11, 72,37.6,-23.2, 49,1001,XX
AL,08,2012081712, 03,EE45, 72,37.6,-24.9, 60, 993,XX
AL,08,2012081712, 03,EE43, 72,37.6,-23.1, 53, 999,XX
AL,08,2012081712, 03,EE23, 72,38.1,-21.6, 45,1008,XX
AL,08,2012081712, 03,EE07, 72,38.2,-25.2, 61, 998,XX
AL,08,2012081712, 03,EE02, 72,38.4,-26.0, 47,1004,XX
AL,08,2012081712, 03,EE42, 72,38.7,-28.8, 51, 997,XX
AL,08,2012081712, 03,EE00, 72,38.9,-25.0, 48,1000,XX
AL,08,2012081712, 03,ECMF, 72,39.0,-23.2, 61, 997,XX
AL,08,2012081712, 03,EE32, 72,39.3,-23.8, 49,1000,XX
AL,08,2012081712, 03,EE06, 72,39.4,-26.0, 41,1003,XX
AL,08,2012081712, 03,EE28, 72,39.7,-22.6, 45,1003,XX
AL,08,2012081712, 03,EE44, 72,39.7,-24.6, 61, 994,XX
AL,08,2012081712, 03,EE34, 72,39.9,-26.2, 53, 995,XX
AL,08,2012081712, 03,EE26, 72,40.0,-25.3, 44,1005,XX
AL,08,2012081712, 03,EE10, 72,40.0,-25.0, 56, 993,XX
AL,08,2012081712, 03,EE22, 72,40.0,-22.6, 57, 994,XX
AL,08,2012081712, 03,EE40, 72,40.2,-22.8, 51,1005,XX
AL,08,2012081712, 03,EE12, 72,40.3,-24.9, 37,1006,XX
AL,08,2012081712, 03,EE05, 72,40.4,-22.4, 55, 994,XX
AL,08,2012081712, 03,EE18, 72,40.7,-21.6, 48,1003,XX
AL,08,2012081712, 03,EE03, 72,40.8,-22.0, 46,1002,XX
AL,08,2012081712, 03,EE33, 72,41.0,-23.3, 48, 997,XX
AL,08,2012081712, 03,EE20, 72,41.0,-22.2, 50, 998,XX
AL,08,2012081712, 03,EE49, 72,41.1,-22.3, 50, 998,XX
AL,08,2012081712, 03,EE48, 72,42.0,-22.6, 59, 990,XX
AL,08,2012081712, 03,EE16, 72,42.2,-20.6, 52, 998,XX
AL,08,2012081712, 03,EE13, 72,42.5,-21.2, 48,1001,XX
AL,08,2012081712, 03,EE01, 72,42.5,-23.0, 53, 997,XX
AL,08,2012081712, 03,EE08, 72,42.6,-22.6, 52,1001,XX
AL,08,2012081712, 03,EE30, 72,42.9,-23.2, 55, 997,XX
AL,08,2012081712, 03,EE37, 72,45.0,-22.4, 52, 994,XX
AL,08,2012081712, 03,ECMF, 78,39.8,-21.2, 52,1000,XX
AL,08,2012081712, 03,EE27, 84,34.9,-27.8, 34,1014,XX
AL,08,2012081712, 03,EE38, 84,35.3,-24.0, 45,1007,XX
AL,08,2012081712, 03,EE17, 84,35.8,-28.0, 34,1011,XX
AL,08,2012081712, 03,EE14, 84,36.0,-25.4, 39,1009,XX
