basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,06,2012061700, 03,EE13,  0,17.4,127.5, 49, 979,XX
WP,06,2012061700, 03,EE19,  0,17.4,127.5, 48, 980,XX
WP,06,2012061700, 03,EE12,  0,17.4,127.5, 58, 981,XX
WP,06,2012061700, 03,ECMF,  0,17.4,127.5, 45, 982,XX
WP,06,2012061700, 03,EE00,  0,17.4,127.5, 45, 983,XX
WP,06,2012061700, 03,EE01,  0,17.4,127.5, 44, 984,XX
WP,06,2012061700, 03,EE11,  0,17.4,127.5, 41, 985,XX
WP,06,2012061700, 03,EE10,  0,17.4,127.4, 43, 986,XX
WP,06,2012061700, 03,EE14,  0,17.4,127.4, 42, 987,XX
WP,06,2012061700, 03,EE09,  0,17.5,127.5, 50, 980,XX
WP,06,2012061700, 03,EE05,  0,17.5,127.4, 51, 983,XX
WP,06,2012061700, 03,EE25,  0,17.5,127.4, 51, 984,XX
WP,06,2012061700, 03,EE07,108,44.8,144.3, 36, 993,XX
WP,06,2012061700, 03,EE07,120,45.3,144.0, 38, 997,XX
WP,06,2012061700, 03,EE28,108,43.9,141.1, 41, 996,XX
WP,06,2012061700, 03,ECMF,  6,18.5,127.1, 64, 979,XX
WP,06,2012061700, 03,EE12, 12,19.2,126.8, 74, 977,XX
WP,06,2012061700, 03,EE32, 12,19.4,126.8, 73, 979,XX
WP,06,2012061700, 03,EE36, 12,19.6,127.0, 75, 978,XX
WP,06,2012061700, 03,EE01, 12,19.6,126.8, 70, 980,XX
WP,06,2012061700, 03,EE26, 12,19.6,127.2, 69, 981,XX
WP,06,2012061700, 03,EE23, 12,19.6,127.3, 68, 983,XX
WP,06,2012061700, 03,EE06, 12,19.6,127.1, 71, 984,XX
WP,06,2012061700, 03,EE08, 12,19.6,126.6, 65, 985,XX
WP,06,2012061700, 03,EE20, 12,19.6,126.7, 67, 986,XX
WP,06,2012061700, 03,EE13, 12,19.7,127.1, 77, 973,XX
WP,06,2012061700, 03,EE03, 12,19.7,127.0, 69, 983,XX
WP,06,2012061700, 03,EE50, 12,19.7,126.9, 61, 985,XX
WP,06,2012061700, 03,EE09, 12,19.8,126.9, 76, 976,XX
WP,06,2012061700, 03,EE02, 12,19.8,127.1, 78, 977,XX
WP,06,2012061700, 03,EE00, 12,19.8,127.0, 71, 981,XX
WP,06,2012061700, 03,EE15, 12,19.8,126.9, 69, 982,XX
WP,06,2012061700, 03,EE38, 12,19.8,126.9, 69, 984,XX
WP,06,2012061700, 03,EE30, 12,19.8,127.0, 65, 985,XX
WP,06,2012061700, 03,EE28, 12,19.8,126.7, 69, 986,XX
WP,06,2012061700, 03,EE07, 12,19.9,127.1, 78, 975,XX
WP,06,2012061700, 03,EE27, 12,19.9,127.4, 72, 976,XX
WP,06,2012061700, 03,ECMF, 12,19.9,127.0, 71, 977,XX
WP,06,2012061700, 03,EE21, 12,19.9,127.0, 71, 981,XX
WP,06,2012061700, 03,EE35, 12,19.9,126.9, 72, 982,XX
WP,06,2012061700, 03,EE10, 12,19.9,126.8, 60, 986,XX
WP,06,2012061700, 03,EE34, 12,19.9,126.8, 60, 987,XX
WP,06,2012061700, 03,EE14, 12,19.9,126.5, 59, 988,XX
WP,06,2012061700, 03,EE17, 12,20.0,127.1, 73, 978,XX
WP,06,2012061700, 03,EE25, 12,20.0,126.9, 69, 982,XX
WP,06,2012061700, 03,EE22, 12,20.0,126.9, 71, 983,XX
WP,06,2012061700, 03,EE40, 12,20.0,126.7, 60, 988,XX
WP,06,2012061700, 03,EE33, 12,20.1,127.2, 76, 976,XX
WP,06,2012061700, 03,EE19, 12,20.1,127.2, 73, 977,XX
WP,06,2012061700, 03,EE05, 12,20.1,126.9, 71, 982,XX
WP,06,2012061700, 03,EE04, 12,20.2,126.9, 68, 980,XX
WP,06,2012061700, 03,EE42, 12,20.2,127.0, 70, 982,XX
WP,06,2012061700, 03,EE31, 12,20.3,126.9, 68, 983,XX
WP,06,2012061700, 03,EE11, 12,20.3,127.0, 68, 984,XX
WP,06,2012061700, 03,EE45, 12,20.3,127.4, 69, 985,XX
WP,06,2012061700, 03,EE44, 12,20.4,126.8, 68, 981,XX
WP,06,2012061700, 03,ECMF, 18,21.4,126.8, 74, 974,XX
WP,06,2012061700, 03,EE16, 24,21.8,127.0, 75, 975,XX
WP,06,2012061700, 03,EE32, 24,21.9,126.6, 78, 971,XX
WP,06,2012061700, 03,EE36, 24,22.0,126.8, 72, 977,XX
WP,06,2012061700, 03,EE01, 24,22.0,126.7, 66, 978,XX
WP,06,2012061700, 03,EE43, 24,22.0,127.3, 75, 979,XX
WP,06,2012061700, 03,EE03, 24,22.0,127.1, 71, 982,XX
WP,06,2012061700, 03,EE12, 24,22.1,126.8, 70, 976,XX
WP,06,2012061700, 03,EE23, 24,22.1,127.4, 68, 980,XX
WP,06,2012061700, 03,EE50, 24,22.3,127.2, 70, 980,XX
WP,06,2012061700, 03,EE08, 24,22.3,126.9, 67, 983,XX
WP,06,2012061700, 03,EE13, 24,22.4,127.4, 73, 975,XX
WP,06,2012061700, 03,EE26, 24,22.4,126.9, 69, 977,XX
WP,06,2012061700, 03,EE30, 24,22.4,127.2, 69, 980,XX
WP,06,2012061700, 03,EE41, 24,22.4,127.0, 70, 981,XX
WP,06,2012061700, 03,EE28, 24,22.4,126.9, 68, 983,XX
WP,06,2012061700, 03,EE40, 24,22.4,127.0, 68, 984,XX
WP,06,2012061700, 03,EE10, 24,22.5,127.0, 72, 981,XX
WP,06,2012061700, 03,EE38, 24,22.5,126.8, 66, 982,XX
WP,06,2012061700, 03,EE20, 24,22.5,126.7, 59, 983,XX
WP,06,2012061700, 03,EE09, 24,22.6,126.8, 76, 971,XX
WP,06,2012061700, 03,EE27, 24,22.6,127.3, 78, 972,XX
WP,06,2012061700, 03,EE47, 24,22.6,126.5, 72, 976,XX
WP,06,2012061700, 03,EE21, 24,22.6,127.2, 67, 978,XX
