basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,13,2012080412, 03,ECMF,120,30.0,116.3, 14, 996,XX
WP,13,2012080412, 03,ECMF,102,29.9,116.5, 16, 994,XX
WP,13,2012080412, 03,EE04,120,32.0,116.4, 17, 995,XX
WP,13,2012080412, 03,EE18,108,28.0,115.1, 18, 996,XX
WP,13,2012080412, 03,EE00,120,29.9,113.6, 19, 996,XX
WP,13,2012080412, 03,EE02,108,29.1,117.0, 20, 994,XX
WP,13,2012080412, 03,EE11,108,29.0,116.9, 21, 997,XX
WP,13,2012080412, 03,ECMF,108,29.9,116.5, 22, 996,XX
WP,13,2012080412, 03,EE20,108,30.4,115.6, 23, 993,XX
WP,13,2012080412, 03,EE04,108,31.9,116.6, 24, 993,XX
WP,13,2012080412, 03,EE36,108,30.1,116.3, 25, 992,XX
WP,13,2012080412, 03,EE01,  0,25.9,131.6, 38, 985,XX
WP,13,2012080412, 03,EE08,  0,25.9,131.4, 41, 986,XX
WP,13,2012080412, 03,EE17,  0,25.9,131.4, 38, 987,XX
WP,13,2012080412, 03,EE49,  0,26.0,131.4, 38, 984,XX
WP,13,2012080412, 03,EE09,  0,26.0,131.4, 37, 985,XX
WP,13,2012080412, 03,EE06,  0,26.0,131.5, 38, 986,XX
WP,13,2012080412, 03,ECMF,  0,26.1,131.5, 39, 986,XX
WP,13,2012080412, 03,EE10,  0,26.1,131.8, 39, 987,XX
WP,13,2012080412, 03,EE18,  0,26.2,131.6, 45, 985,XX
WP,13,2012080412, 03,EE07,  0,26.2,131.8, 42, 986,XX
WP,13,2012080412, 03,EE02,  0,26.2,131.5, 41, 987,XX
WP,13,2012080412, 03,EE15,  0,26.3,131.6, 38, 986,XX
WP,13,2012080412, 03,EE10,108,31.9,116.7, 27, 996,XX
WP,13,2012080412, 03,EE02,120,28.6,116.8, 28, 997,XX
WP,13,2012080412, 03,EE06,120,31.9,119.1, 29, 990,XX
WP,13,2012080412, 03,EE01,120,35.0,118.7, 30, 996,XX
WP,13,2012080412, 03,EE19,108,30.9,118.1, 31, 995,XX
WP,13,2012080412, 03,EE14,120,34.2,117.7, 32, 991,XX
WP,13,2012080412, 03,EE14,108,33.0,118.5, 34, 988,XX
WP,13,2012080412, 03,EE06,108,32.3,120.1, 35, 989,XX
WP,13,2012080412, 03,EE22,108,31.5,118.8, 37, 992,XX
WP,13,2012080412, 03,EE24,108,30.3,120.8, 38, 991,XX
WP,13,2012080412, 03,EE12,120,33.3,119.6, 40, 987,XX
WP,13,2012080412, 03,EE48,120,32.8,121.5, 41, 989,XX
WP,13,2012080412, 03,EE12,108,33.0,119.6, 42, 982,XX
WP,13,2012080412, 03,EE01,108,34.3,119.5, 43, 991,XX
WP,13,2012080412, 03,EE21,108,32.0,120.5, 44, 981,XX
WP,13,2012080412, 03,EE39,120,32.6,122.2, 45, 987,XX
WP,13,2012080412, 03,EE32,120,38.8,123.0, 49, 986,XX
WP,13,2012080412, 03,EE38,120,34.0,121.1, 53, 979,XX
WP,13,2012080412, 03,EE39,108,31.7,122.1, 54, 984,XX
WP,13,2012080412, 03,EE32,108,37.5,121.3, 55, 986,XX
WP,13,2012080412, 03,EE08,108,33.2,122.0, 56, 979,XX
WP,13,2012080412, 03,EE08,120,33.8,122.6, 58, 978,XX
WP,13,2012080412, 03,EE49,108,31.6,121.8, 62, 972,XX
WP,13,2012080412, 03,ECMF,  6,27.2,130.1, 48, 985,XX
WP,13,2012080412, 03,EE39, 12,26.4,129.1, 48, 984,XX
WP,13,2012080412, 03,EE34, 12,26.5,129.1, 45, 984,XX
WP,13,2012080412, 03,EE14, 12,26.7,129.1, 48, 984,XX
WP,13,2012080412, 03,EE44, 12,26.8,129.3, 45, 986,XX
WP,13,2012080412, 03,EE10, 12,26.9,129.0, 45, 986,XX
WP,13,2012080412, 03,EE05, 12,27.0,129.0, 45, 984,XX
WP,13,2012080412, 03,EE27, 12,27.0,128.7, 47, 985,XX
WP,13,2012080412, 03,EE31, 12,27.0,128.9, 42, 986,XX
WP,13,2012080412, 03,EE49, 12,27.1,129.3, 48, 983,XX
WP,13,2012080412, 03,EE08, 12,27.1,129.2, 47, 984,XX
WP,13,2012080412, 03,EE16, 12,27.1,129.2, 51, 985,XX
WP,13,2012080412, 03,EE04, 12,27.1,129.4, 48, 986,XX
WP,13,2012080412, 03,EE24, 12,27.1,129.2, 45, 987,XX
WP,13,2012080412, 03,EE25, 12,27.2,129.1, 47, 984,XX
WP,13,2012080412, 03,EE30, 12,27.2,129.0, 43, 985,XX
WP,13,2012080412, 03,EE38, 12,27.3,128.7, 48, 983,XX
WP,13,2012080412, 03,ECMF, 12,27.3,129.2, 47, 984,XX
WP,13,2012080412, 03,EE00, 12,27.3,129.0, 44, 985,XX
WP,13,2012080412, 03,EE02, 12,27.4,128.2, 52, 982,XX
WP,13,2012080412, 03,EE22, 12,27.4,128.5, 48, 983,XX
WP,13,2012080412, 03,EE11, 12,27.4,128.5, 45, 984,XX
WP,13,2012080412, 03,EE06, 12,27.4,129.0, 45, 986,XX
WP,13,2012080412, 03,EE18, 12,27.5,128.3, 49, 980,XX
WP,13,2012080412, 03,EE35, 12,27.5,128.4, 48, 983,XX
WP,13,2012080412, 03,EE43, 12,27.5,129.1, 46, 984,XX
WP,13,2012080412, 03,EE03, 12,27.5,128.9, 45, 985,XX
WP,13,2012080412, 03,EE21, 12,27.5,129.3, 48, 986,XX
WP,13,2012080412, 03,EE37, 12,27.5,129.5, 44, 987,XX
WP,13,2012080412, 03,EE23, 12,27.6,128.8, 45, 984,XX
WP,13,2012080412, 03,EE01, 12,27.6,129.2, 49, 986,XX
WP,13,2012080412, 03,EE41, 12,27.6,129.1, 45, 987,XX
WP,13,2012080412, 03,EE20, 12,27.7,129.1, 51, 984,XX
WP,13,2012080412, 03,EE13, 12,27.9,128.6, 44, 984,XX
WP,13,2012080412, 03,EE40, 12,28.0,129.1, 48, 986,XX
WP,13,2012080412, 03,EE33, 12,28.2,128.9, 46, 984,XX
