basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,08,2012081312, 03,EE36,  0,17.9,-111.6, 34, 995,XX
EP,08,2012081312, 03,EE08,  0,17.9,-111.7, 33, 996,XX
EP,08,2012081312, 03,EE48,  0,17.9,-111.7, 33, 997,XX
EP,08,2012081312, 03,EE05,  0,18.0,-111.6, 35, 994,XX
EP,08,2012081312, 03,EE14,  0,18.0,-111.7, 35, 995,XX
EP,08,2012081312, 03,ECMF,  0,18.0,-111.7, 32, 996,XX
EP,08,2012081312, 03,EE01,  0,18.0,-111.7, 37, 997,XX
EP,08,2012081312, 03,EE30,  0,18.0,-111.7, 30, 998,XX
EP,08,2012081312, 03,EE02,  0,18.1,-111.6, 35, 996,XX
EP,08,2012081312, 03,EE18,  0,18.1,-111.8, 42, 997,XX
EP,08,2012081312, 03,EE13,  0,18.1,-111.6, 37, 998,XX
EP,08,2012081312, 03,EE06,  0,18.1,-111.7, 32, 999,XX
EP,08,2012081312, 03,EE15,  0,18.2,-111.8, 44, 997,XX
EP,08,2012081312, 03,EE35,  0,18.2,-111.8, 44, 998,XX
EP,08,2012081312, 03,ECMF,  6,18.1,-112.9, 41, 998,XX
EP,08,2012081312, 03,EE31, 12,17.0,-112.9, 43, 995,XX
EP,08,2012081312, 03,EE11, 12,17.2,-112.9, 44, 996,XX
EP,08,2012081312, 03,EE39, 12,17.2,-113.0, 35, 997,XX
EP,08,2012081312, 03,EE23, 12,17.3,-113.9, 47, 992,XX
EP,08,2012081312, 03,EE29, 12,17.5,-112.7, 47, 992,XX
EP,08,2012081312, 03,EE48, 12,17.5,-113.2, 32, 996,XX
EP,08,2012081312, 03,EE08, 12,17.5,-113.2, 30, 997,XX
EP,08,2012081312, 03,EE06, 12,17.6,-113.7, 29,1000,XX
EP,08,2012081312, 03,EE03, 12,17.6,-113.9, 41, 993,XX
EP,08,2012081312, 03,EE09, 12,17.6,-113.4, 42, 994,XX
EP,08,2012081312, 03,EE14, 12,17.6,-113.1, 41, 996,XX
EP,08,2012081312, 03,EE19, 12,17.6,-113.2, 38, 997,XX
EP,08,2012081312, 03,EE26, 12,17.6,-113.5, 31, 999,XX
EP,08,2012081312, 03,EE10, 12,17.7,-114.2, 35, 996,XX
EP,08,2012081312, 03,EE21, 12,17.8,-113.2, 31, 998,XX
EP,08,2012081312, 03,EE02, 12,17.9,-113.6, 38, 994,XX
EP,08,2012081312, 03,ECMF, 12,17.9,-113.5, 39, 996,XX
EP,08,2012081312, 03,EE00, 12,17.9,-113.5, 33, 997,XX
EP,08,2012081312, 03,EE33, 12,17.9,-113.5, 28, 998,XX
EP,08,2012081312, 03,EE34, 12,18.0,-113.3, 37, 994,XX
EP,08,2012081312, 03,EE18, 12,18.0,-113.1, 37, 996,XX
EP,08,2012081312, 03,EE38, 12,18.0,-113.2, 31, 997,XX
EP,08,2012081312, 03,EE30, 12,18.0,-113.6, 29, 998,XX
EP,08,2012081312, 03,EE46, 12,18.0,-113.8, 30, 999,XX
EP,08,2012081312, 03,EE25, 12,18.1,-113.5, 39, 993,XX
EP,08,2012081312, 03,EE20, 12,18.1,-113.6, 40, 995,XX
EP,08,2012081312, 03,EE43, 12,18.1,-113.8, 41, 996,XX
EP,08,2012081312, 03,EE04, 12,18.1,-113.1, 35, 997,XX
EP,08,2012081312, 03,EE32, 12,18.2,-113.5, 42, 996,XX
EP,08,2012081312, 03,EE41, 12,18.2,-113.5, 33, 997,XX
EP,08,2012081312, 03,EE01, 12,18.2,-113.6, 32, 998,XX
EP,08,2012081312, 03,EE40, 12,18.3,-113.6, 33, 997,XX
EP,08,2012081312, 03,EE05, 12,18.4,-113.0, 39, 994,XX
EP,08,2012081312, 03,EE24, 12,18.5,-113.0, 31, 997,XX
EP,08,2012081312, 03,EE13, 12,18.5,-113.7, 31, 998,XX
EP,08,2012081312, 03,EE35, 12,18.6,-114.1, 30, 998,XX
EP,08,2012081312, 03,EE15, 12,18.7,-113.9, 31, 998,XX
EP,08,2012081312, 03,ECMF, 18,18.0,-113.7, 44, 999,XX
EP,08,2012081312, 03,EE06, 24,16.7,-112.5, 32,1002,XX
EP,08,2012081312, 03,EE09, 24,17.1,-114.0, 52, 993,XX
EP,08,2012081312, 03,EE26, 24,17.1,-113.2, 31, 999,XX
EP,08,2012081312, 03,EE42, 24,17.2,-114.5, 44, 994,XX
EP,08,2012081312, 03,EE23, 24,17.2,-114.0, 40, 997,XX
EP,08,2012081312, 03,EE16, 24,17.4,-112.9, 46, 998,XX
EP,08,2012081312, 03,EE03, 24,17.5,-114.1, 44, 996,XX
EP,08,2012081312, 03,EE20, 24,17.6,-114.4, 45, 997,XX
EP,08,2012081312, 03,EE11, 24,17.6,-114.2, 35, 998,XX
EP,08,2012081312, 03,EE44, 24,17.7,-113.4, 43, 996,XX
EP,08,2012081312, 03,EE17, 24,17.7,-113.5, 38, 997,XX
EP,08,2012081312, 03,EE40, 24,17.7,-114.9, 38, 998,XX
EP,08,2012081312, 03,EE33, 24,17.8,-113.6, 30, 999,XX
EP,08,2012081312, 03,EE49, 24,17.9,-113.2, 40, 997,XX
EP,08,2012081312, 03,EE08, 24,17.9,-112.9, 44, 998,XX
EP,08,2012081312, 03,EE29, 24,18.0,-112.4, 52, 993,XX
EP,08,2012081312, 03,EE10, 24,18.0,-115.2, 38, 995,XX
EP,08,2012081312, 03,EE35, 24,18.0,-115.1, 41, 997,XX
EP,08,2012081312, 03,EE39, 24,18.0,-113.0, 39, 998,XX
EP,08,2012081312, 03,EE01, 24,18.0,-114.2, 40, 999,XX
EP,08,2012081312, 03,EE45, 24,18.1,-114.1, 45, 994,XX
EP,08,2012081312, 03,EE12, 24,18.1,-114.5, 41, 995,XX
EP,08,2012081312, 03,ECMF, 24,18.1,-114.3, 38, 997,XX
EP,08,2012081312, 03,EE00, 24,18.1,-113.8, 39, 998,XX
EP,08,2012081312, 03,EE15, 24,18.1,-115.1, 40, 999,XX
EP,08,2012081312, 03,EE02, 24,18.2,-115.0, 40, 995,XX
EP,08,2012081312, 03,EE04, 24,18.2,-113.8, 43, 997,XX
EP,08,2012081312, 03,EE47, 24,18.3,-113.9, 31, 999,XX
EP,08,2012081312, 03,EE37, 24,18.4,-114.1, 41, 994,XX
EP,08,2012081312, 03,EE14, 24,18.4,-113.7, 39, 997,XX
EP,08,2012081312, 03,EE27, 24,18.5,-114.9, 37,1000,XX
EP,08,2012081312, 03,EE34, 24,18.5,-114.5, 43, 996,XX
EP,08,2012081312, 03,EE43, 24,18.5,-115.1, 32, 998,XX
EP,08,2012081312, 03,EE32, 24,18.5,-114.3, 32, 999,XX
EP,08,2012081312, 03,EE07, 24,18.6,-113.5, 34,1000,XX
EP,08,2012081312, 03,EE19, 24,18.6,-114.1, 42, 997,XX
EP,08,2012081312, 03,EE25, 24,18.7,-114.9, 48, 994,XX
EP,08,2012081312, 03,EE41, 24,18.7,-114.4, 39, 999,XX
EP,08,2012081312, 03,EE24, 24,18.9,-114.0, 43, 997,XX
EP,08,2012081312, 03,EE05, 24,19.2,-113.8, 48, 996,XX
EP,08,2012081312, 03,ECMF, 30,18.1,-114.5, 52, 998,XX
EP,08,2012081312, 03,EE42, 36,16.8,-115.0, 37, 995,XX
EP,08,2012081312, 03,EE06, 36,16.9,-111.5, 35,1001,XX
EP,08,2012081312, 03,EE11, 36,16.9,-115.7, 39, 995,XX
EP,08,2012081312, 03,EE26, 36,17.0,-112.4, 32, 999,XX
EP,08,2012081312, 03,EE20, 36,17.1,-115.0, 35, 996,XX
EP,08,2012081312, 03,EE44, 36,17.6,-113.7, 46, 995,XX
EP,08,2012081312, 03,EE09, 36,17.6,-113.7, 42, 996,XX
EP,08,2012081312, 03,EE15, 36,17.6,-115.2, 35, 997,XX
EP,08,2012081312, 03,EE02, 36,17.7,-116.3, 35, 996,XX
EP,08,2012081312, 03,EE03, 36,17.7,-113.8, 35, 997,XX
EP,08,2012081312, 03,EE40, 36,17.7,-115.6, 31, 998,XX
EP,08,2012081312, 03,EE31, 36,17.8,-114.7, 48, 996,XX
EP,08,2012081312, 03,EE47, 36,17.8,-115.0, 37, 997,XX
EP,08,2012081312, 03,EE22, 36,17.9,-115.2, 42, 995,XX
EP,08,2012081312, 03,EE33, 36,17.9,-113.2, 31, 998,XX
EP,08,2012081312, 03,EE27, 36,18.0,-116.1, 31,1000,XX
EP,08,2012081312, 03,EE49, 36,18.0,-113.7, 37, 996,XX
EP,08,2012081312, 03,EE16, 36,18.0,-113.3, 38, 997,XX
EP,08,2012081312, 03,EE37, 36,18.1,-116.2, 37, 994,XX
