basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,07,2012081900, 03,ECMF,  0,20.6,-97.4, 14,1008,XX
AL,07,2012081900, 03,EE11,  0,20.7,-97.4, 12,1008,XX
AL,07,2012081900, 03,EE02,  0,22.3,-98.4, 17,1007,XX
AL,07,2012081900, 03,EE43,  0,22.4,-98.4, 16,1007,XX
AL,07,2012081900, 03,EE03,  0,25.5,-99.5, 20,1004,XX
AL,07,2012081900, 03,ECMF,  6,24.0,-98.9, 21,1010,XX
AL,07,2012081900, 03,EE09, 12,20.6,-97.0, 24,1009,XX
AL,07,2012081900, 03,EE00, 12,20.7,-97.0, 24,1009,XX
AL,07,2012081900, 03,EE01, 12,21.0,-96.8, 23,1010,XX
AL,07,2012081900, 03,EE38, 12,21.3,-96.6, 27,1008,XX
AL,07,2012081900, 03,EE22, 12,21.5,-96.6, 23,1009,XX
AL,07,2012081900, 03,EE29, 12,24.0,-98.9, 21,1010,XX
AL,07,2012081900, 03,EE46, 12,25.3,-99.4, 19,1010,XX
AL,07,2012081900, 03,EE35, 12,25.4,-99.4, 21,1010,XX
AL,07,2012081900, 03,ECMF, 12,25.5,-99.5, 22,1009,XX
AL,07,2012081900, 03,ECMF, 18,24.0,-98.9, 24,1009,XX
AL,07,2012081900, 03,EE24, 24,18.1,-95.9, 20,1008,XX
AL,07,2012081900, 03,EE02, 24,18.2,-95.9, 19,1007,XX
AL,07,2012081900, 03,EE21, 24,18.7,-96.3, 20,1007,XX
AL,07,2012081900, 03,EE08, 24,20.6,-96.9, 20,1008,XX
AL,07,2012081900, 03,ECMF, 24,20.7,-97.4, 20,1008,XX
AL,07,2012081900, 03,EE27, 24,21.1,-96.2, 21,1007,XX
AL,07,2012081900, 03,EE01, 24,21.7,-98.4, 21,1007,XX
AL,07,2012081900, 03,EE32, 24,22.2,-98.5, 21,1005,XX
AL,07,2012081900, 03,EE04, 24,24.0,-98.9, 16,1007,XX
AL,07,2012081900, 03,EE25, 24,24.1,-98.8, 18,1006,XX
AL,07,2012081900, 03,EE29, 24,24.5,-98.2, 16,1008,XX
AL,07,2012081900, 03,EE39, 24,26.1,-101.0, 16,1007,XX
AL,07,2012081900, 03,ECMF, 30,20.1,-96.4, 23,1010,XX
AL,07,2012081900, 03,EE09, 36,18.1,-95.9, 27,1010,XX
AL,07,2012081900, 03,EE21, 36,18.2,-95.9, 24,1010,XX
AL,07,2012081900, 03,EE20, 36,18.6,-96.3, 26,1010,XX
AL,07,2012081900, 03,EE38, 36,19.1,-95.3, 24,1008,XX
AL,07,2012081900, 03,EE01, 36,19.8,-95.3, 19,1010,XX
AL,07,2012081900, 03,EE00, 36,20.0,-95.9, 20,1010,XX
AL,07,2012081900, 03,EE05, 36,20.6,-96.5, 19,1010,XX
AL,07,2012081900, 03,EE07, 36,20.7,-96.9, 25,1010,XX
AL,07,2012081900, 03,ECMF, 36,20.9,-96.5, 22,1010,XX
AL,07,2012081900, 03,EE12, 36,21.0,-96.8, 23,1009,XX
