basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,09,2012090212, 03,ECMF,  0,22.5,-122.1, 31,1001,XX
EP,09,2012090212, 03,EE00,  0,22.6,-122.1, 30,1001,XX
EP,09,2012090212, 03,ECMF,  6,22.5,-123.2, 39,1005,XX
EP,09,2012090212, 03,EE16, 12,21.6,-124.4, 37,1005,XX
EP,09,2012090212, 03,EE14, 12,21.8,-123.9, 40,1004,XX
EP,09,2012090212, 03,EE03, 12,21.9,-124.3, 41,1005,XX
EP,09,2012090212, 03,EE01, 12,22.0,-124.5, 41,1005,XX
EP,09,2012090212, 03,EE08, 12,22.1,-124.2, 38,1005,XX
EP,09,2012090212, 03,ECMF, 12,22.2,-124.3, 41,1004,XX
EP,09,2012090212, 03,EE07, 12,22.3,-124.3, 40,1005,XX
EP,09,2012090212, 03,EE02, 12,22.4,-123.9, 43,1004,XX
EP,09,2012090212, 03,EE04, 12,22.5,-124.0, 39,1004,XX
EP,09,2012090212, 03,EE13, 12,22.6,-124.5, 40,1004,XX
EP,09,2012090212, 03,ECMF, 18,21.9,-125.1, 37,1007,XX
EP,09,2012090212, 03,EE05, 24,20.6,-126.1, 36,1007,XX
EP,09,2012090212, 03,EE16, 24,20.9,-125.7, 25,1008,XX
EP,09,2012090212, 03,EE01, 24,21.1,-126.5, 33,1007,XX
EP,09,2012090212, 03,EE11, 24,21.2,-125.6, 31,1007,XX
EP,09,2012090212, 03,EE03, 24,21.3,-126.0, 32,1007,XX
EP,09,2012090212, 03,EE36, 24,21.4,-126.2, 32,1007,XX
EP,09,2012090212, 03,EE21, 24,21.5,-126.9, 29,1008,XX
EP,09,2012090212, 03,EE07, 24,21.6,-126.4, 31,1007,XX
EP,09,2012090212, 03,ECMF, 24,21.7,-126.0, 34,1006,XX
EP,09,2012090212, 03,EE19, 24,21.8,-125.8, 37,1008,XX
EP,09,2012090212, 03,EE09, 24,21.9,-126.0, 35,1006,XX
EP,09,2012090212, 03,EE02, 24,22.0,-125.5, 37,1006,XX
EP,09,2012090212, 03,EE15, 24,22.1,-126.1, 35,1007,XX
EP,09,2012090212, 03,EE18, 24,22.3,-126.0, 33,1008,XX
EP,09,2012090212, 03,EE06, 24,22.4,-126.0, 33,1007,XX
EP,09,2012090212, 03,EE33, 24,22.6,-126.0, 33,1008,XX
EP,09,2012090212, 03,ECMF, 30,21.5,-126.9, 33,1009,XX
EP,09,2012090212, 03,EE05, 36,19.3,-127.5, 36,1007,XX
EP,09,2012090212, 03,EE01, 36,20.3,-128.1, 32,1007,XX
EP,09,2012090212, 03,EE17, 36,20.4,-127.5, 26,1008,XX
