basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,09,2012082200, 03,EE10,  0,15.2,-55.1, 31,1009,XX
AL,09,2012082200, 03,EE12,  0,15.3,-55.1, 30,1009,XX
AL,09,2012082200, 03,EE01,  0,15.4,-55.0, 28,1009,XX
AL,09,2012082200, 03,ECMF,  0,15.5,-55.0, 29,1008,XX
AL,09,2012082200, 03,EE07,  0,15.6,-54.8, 32,1008,XX
AL,09,2012082200, 03,EE02,  0,15.7,-55.1, 33,1008,XX
AL,09,2012082200, 03,EE03,  0,15.8,-55.6, 32,1008,XX
AL,09,2012082200, 03,EE29,120,20.4,-78.6, 35, 999,XX
AL,09,2012082200, 03,EE25,120,20.0,-78.0, 39, 999,XX
AL,09,2012082200, 03,EE22,120,22.3,-81.8, 40, 998,XX
AL,09,2012082200, 03,EE14,120,19.0,-78.0, 41, 998,XX
AL,09,2012082200, 03,EE08,120,22.2,-82.1, 42, 991,XX
AL,09,2012082200, 03,EE02,120,20.4,-77.2, 43, 998,XX
AL,09,2012082200, 03,EE18,120,21.0,-76.8, 44, 992,XX
AL,09,2012082200, 03,EE08,108,21.5,-79.2, 46, 994,XX
AL,09,2012082200, 03,EE18,108,20.1,-74.7, 48, 995,XX
AL,09,2012082200, 03,EE11,108,21.7,-76.6, 49, 991,XX
AL,09,2012082200, 03,EE04,120,18.6,-76.1, 50, 996,XX
AL,09,2012082200, 03,EE21,108,19.0,-75.7, 51, 992,XX
AL,09,2012082200, 03,EE04,108,17.8,-73.5, 52, 997,XX
AL,09,2012082200, 03,EE07,108,22.6,-76.2, 53, 996,XX
AL,09,2012082200, 03,EE01,120,18.8,-75.6, 54, 992,XX
AL,09,2012082200, 03,EE07,120,23.8,-78.2, 56, 992,XX
AL,09,2012082200, 03,EE01,108,18.4,-73.5, 57, 994,XX
AL,09,2012082200, 03,EE15,120,19.3,-76.6, 67, 985,XX
AL,09,2012082200, 03,ECMF,  6,15.8,-56.6, 33,1006,XX
AL,09,2012082200, 03,EE30, 12,15.0,-58.4, 31,1006,XX
AL,09,2012082200, 03,EE27, 12,15.2,-58.4, 41,1007,XX
AL,09,2012082200, 03,EE20, 12,15.3,-58.4, 35,1008,XX
AL,09,2012082200, 03,EE01, 12,15.4,-58.3, 32,1006,XX
AL,09,2012082200, 03,EE03, 12,15.5,-58.9, 32,1007,XX
AL,09,2012082200, 03,EE02, 12,15.6,-58.8, 38,1006,XX
AL,09,2012082200, 03,EE11, 12,15.7,-58.3, 37,1005,XX
AL,09,2012082200, 03,EE05, 12,15.8,-58.5, 35,1006,XX
AL,09,2012082200, 03,EE04, 12,15.9,-58.1, 34,1008,XX
AL,09,2012082200, 03,ECMF, 12,16.0,-58.5, 32,1007,XX
AL,09,2012082200, 03,EE09, 12,16.1,-58.4, 31,1007,XX
AL,09,2012082200, 03,EE31, 12,16.2,-58.3, 31,1009,XX
AL,09,2012082200, 03,EE44, 12,16.3,-57.6, 38,1008,XX
AL,09,2012082200, 03,EE28, 12,16.4,-58.6, 36,1007,XX
AL,09,2012082200, 03,EE24, 12,16.5,-58.3, 34,1008,XX
AL,09,2012082200, 03,EE19, 12,16.8,-58.9, 34,1008,XX
AL,09,2012082200, 03,ECMF, 18,15.8,-60.2, 31,1005,XX
AL,09,2012082200, 03,EE14, 24,15.0,-61.4, 32,1005,XX
AL,09,2012082200, 03,EE01, 24,15.1,-60.6, 35,1004,XX
AL,09,2012082200, 03,EE27, 24,15.2,-60.7, 43,1005,XX
AL,09,2012082200, 03,EE30, 24,15.3,-61.1, 31,1005,XX
AL,09,2012082200, 03,EE17, 24,15.4,-61.5, 32,1006,XX
AL,09,2012082200, 03,EE10, 24,15.5,-61.3, 38,1005,XX
AL,09,2012082200, 03,EE15, 24,15.6,-61.1, 30,1005,XX
AL,09,2012082200, 03,EE05, 24,15.7,-61.1, 39,1004,XX
AL,09,2012082200, 03,EE04, 24,15.8,-60.8, 33,1006,XX
AL,09,2012082200, 03,ECMF, 24,15.9,-61.7, 31,1006,XX
AL,09,2012082200, 03,EE00, 24,16.0,-61.9, 31,1006,XX
AL,09,2012082200, 03,EE03, 24,16.1,-62.1, 31,1006,XX
AL,09,2012082200, 03,EE09, 24,16.2,-61.1, 33,1006,XX
AL,09,2012082200, 03,EE12, 24,16.3,-62.1, 28,1007,XX
AL,09,2012082200, 03,EE16, 24,16.4,-61.0, 39,1005,XX
AL,09,2012082200, 03,EE44, 24,16.5,-60.6, 36,1006,XX
