basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,21,2012092900, 03,EE01,  0,25.9,127.2, 71, 949,XX
WP,21,2012092900, 03,EE04,  0,25.9,127.2, 65, 950,XX
WP,21,2012092900, 03,ECMF,  0,25.9,127.2, 66, 952,XX
WP,21,2012092900, 03,EE06,  0,25.9,127.1, 63, 953,XX
WP,21,2012092900, 03,EE13,  0,25.9,127.1, 60, 954,XX
WP,21,2012092900, 03,EE10,  0,25.9,127.0, 61, 955,XX
WP,21,2012092900, 03,EE20,  0,25.9,127.2, 61, 957,XX
WP,21,2012092900, 03,EE15,  0,25.9,127.1, 60, 958,XX
WP,21,2012092900, 03,EE16,  0,26.0,127.2, 75, 946,XX
WP,21,2012092900, 03,EE08,  0,26.0,127.2, 72, 947,XX
WP,21,2012092900, 03,EE09,  0,26.0,127.3, 78, 948,XX
WP,21,2012092900, 03,EE14,  0,26.0,127.2, 69, 949,XX
WP,21,2012092900, 03,EE11,  0,26.0,127.3, 66, 950,XX
WP,21,2012092900, 03,EE05,  0,26.0,127.2, 64, 951,XX
WP,21,2012092900, 03,EE00,  0,26.0,127.2, 63, 952,XX
WP,21,2012092900, 03,EE18,  0,26.0,127.3, 67, 953,XX
WP,21,2012092900, 03,EE03,  0,26.0,127.1, 63, 954,XX
WP,21,2012092900, 03,EE07,  0,26.0,127.2, 61, 956,XX
WP,21,2012092900, 03,EE02,  0,26.1,127.1, 64, 954,XX
WP,21,2012092900, 03,EE37,120,49.6,-176.1, 39, 980,XX
WP,21,2012092900, 03,EE37,108,48.6,178.4, 41, 975,XX
WP,21,2012092900, 03,EE49,108,54.6,-175.9, 48, 969,XX
WP,21,2012092900, 03,ECMF,  6,27.0,128.7, 97, 949,XX
WP,21,2012092900, 03,EE01, 12,27.8,130.2, 97, 947,XX
WP,21,2012092900, 03,EE45, 12,27.8,129.9, 92, 955,XX
WP,21,2012092900, 03,EE07, 12,27.9,130.0,106, 948,XX
WP,21,2012092900, 03,EE11, 12,27.9,130.5, 99, 944,XX
WP,21,2012092900, 03,EE06, 12,27.9,130.1, 95, 946,XX
WP,21,2012092900, 03,EE30, 12,27.9,130.1, 93, 950,XX
WP,21,2012092900, 03,EE25, 12,27.9,130.0, 82, 952,XX
WP,21,2012092900, 03,EE15, 12,27.9,130.0, 86, 953,XX
WP,21,2012092900, 03,EE32, 12,27.9,129.8, 93, 954,XX
WP,21,2012092900, 03,EE43, 12,27.9,130.3, 87, 957,XX
WP,21,2012092900, 03,EE23, 12,27.9,130.1, 86, 958,XX
WP,21,2012092900, 03,EE18, 12,28.0,130.7,102, 947,XX
WP,21,2012092900, 03,EE04, 12,28.0,130.1, 92, 945,XX
WP,21,2012092900, 03,EE20, 12,28.0,130.0, 89, 947,XX
WP,21,2012092900, 03,EE14, 12,28.0,130.0, 90, 948,XX
WP,21,2012092900, 03,EE10, 12,28.0,130.0, 94, 949,XX
WP,21,2012092900, 03,EE00, 12,28.0,130.2, 96, 950,XX
WP,21,2012092900, 03,EE27, 12,28.0,130.1, 88, 952,XX
WP,21,2012092900, 03,EE03, 12,28.0,130.2, 84, 956,XX
WP,21,2012092900, 03,EE17, 12,28.1,130.0, 98, 938,XX
WP,21,2012092900, 03,EE29, 12,28.1,130.2, 94, 946,XX
WP,21,2012092900, 03,EE12, 12,28.1,130.1, 95, 947,XX
WP,21,2012092900, 03,EE28, 12,28.1,130.1, 89, 948,XX
WP,21,2012092900, 03,EE05, 12,28.1,130.3, 92, 952,XX
WP,21,2012092900, 03,EE35, 12,28.1,130.3, 98, 954,XX
WP,21,2012092900, 03,EE22, 12,28.1,130.0, 82, 956,XX
WP,21,2012092900, 03,EE02, 12,28.2,130.4,106, 950,XX
WP,21,2012092900, 03,EE24, 12,28.2,130.2, 92, 947,XX
WP,21,2012092900, 03,EE36, 12,28.2,130.0, 90, 948,XX
WP,21,2012092900, 03,ECMF, 12,28.2,130.3, 95, 949,XX
WP,21,2012092900, 03,EE48, 12,28.2,130.4, 92, 952,XX
WP,21,2012092900, 03,EE31, 12,28.3,130.6,100, 952,XX
WP,21,2012092900, 03,EE49, 12,28.3,130.5, 94, 955,XX
WP,21,2012092900, 03,EE13, 12,28.4,130.3,108, 956,XX
WP,21,2012092900, 03,EE08, 12,28.4,130.5, 91, 950,XX
WP,21,2012092900, 03,ECMF, 18,29.6,132.1, 93, 953,XX
WP,21,2012092900, 03,EE45, 24,29.8,132.5, 73, 975,XX
WP,21,2012092900, 03,EE07, 24,29.9,132.5, 75, 967,XX
WP,21,2012092900, 03,EE36, 24,30.1,133.1, 79, 967,XX
WP,21,2012092900, 03,EE37, 24,30.1,132.9, 80, 972,XX
WP,21,2012092900, 03,EE01, 24,30.2,133.6, 80, 972,XX
WP,21,2012092900, 03,EE10, 24,30.3,132.6, 63, 987,XX
WP,21,2012092900, 03,EE20, 24,30.4,133.5, 91, 962,XX
WP,21,2012092900, 03,EE15, 24,30.4,132.7, 87, 965,XX
WP,21,2012092900, 03,EE17, 24,30.4,132.9, 82, 969,XX
WP,21,2012092900, 03,EE42, 24,30.4,133.1, 75, 973,XX
WP,21,2012092900, 03,EE29, 24,30.5,133.5, 84, 957,XX
WP,21,2012092900, 03,EE43, 24,30.5,133.5, 85, 959,XX
WP,21,2012092900, 03,EE05, 24,30.5,133.5, 82, 966,XX
WP,21,2012092900, 03,EE04, 24,30.5,133.4, 84, 968,XX
WP,21,2012092900, 03,EE21, 24,30.5,133.4, 79, 970,XX
WP,21,2012092900, 03,EE14, 24,30.6,132.9, 82, 960,XX
WP,21,2012092900, 03,EE28, 24,30.6,133.3, 81, 965,XX
WP,21,2012092900, 03,EE00, 24,30.7,133.4, 93, 959,XX
WP,21,2012092900, 03,EE39, 24,30.7,133.8, 89, 963,XX
WP,21,2012092900, 03,EE44, 24,30.8,133.3, 82, 964,XX
WP,21,2012092900, 03,EE33, 24,30.9,133.5, 80, 964,XX
WP,21,2012092900, 03,EE23, 24,30.9,133.0, 85, 965,XX
WP,21,2012092900, 03,EE40, 24,31.0,133.4, 83, 956,XX
WP,21,2012092900, 03,EE06, 24,31.0,132.9, 81, 960,XX
WP,21,2012092900, 03,EE30, 24,31.0,133.5, 85, 967,XX
WP,21,2012092900, 03,EE27, 24,31.1,133.5, 85, 958,XX
WP,21,2012092900, 03,EE12, 24,31.1,133.5, 87, 962,XX
WP,21,2012092900, 03,EE11, 24,31.1,133.8, 87, 964,XX
WP,21,2012092900, 03,EE13, 24,31.1,133.6, 76, 971,XX
WP,21,2012092900, 03,EE24, 24,31.2,133.4, 88, 966,XX
WP,21,2012092900, 03,ECMF, 24,31.3,133.8, 91, 959,XX
WP,21,2012092900, 03,EE03, 24,31.3,133.4, 80, 960,XX
WP,21,2012092900, 03,EE34, 24,31.3,133.4, 85, 962,XX
WP,21,2012092900, 03,EE18, 24,31.3,134.3, 86, 964,XX
WP,21,2012092900, 03,EE48, 24,31.3,133.3, 82, 965,XX
WP,21,2012092900, 03,EE22, 24,31.3,133.1, 74, 968,XX
WP,21,2012092900, 03,EE08, 24,31.3,134.3, 94, 970,XX
WP,21,2012092900, 03,EE35, 24,31.4,133.6, 89, 956,XX
