basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,10,2012090500, 03,EE19,  0,24.2,-118.2, 25,1004,XX
EP,10,2012090500, 03,EE05,  0,24.3,-118.5, 26,1006,XX
EP,10,2012090500, 03,ECMF,  0,24.4,-118.4, 24,1005,XX
EP,10,2012090500, 03,EE03,  0,24.5,-118.4, 25,1005,XX
EP,10,2012090500, 03,EE20,  0,24.6,-118.4, 26,1006,XX
EP,10,2012090500, 03,ECMF,  6,24.7,-119.1, 29,1008,XX
EP,10,2012090500, 03,EE36, 12,24.2,-120.4, 24,1008,XX
EP,10,2012090500, 03,EE04, 12,24.7,-120.1, 27,1007,XX
EP,10,2012090500, 03,EE01, 12,24.9,-119.5, 28,1007,XX
EP,10,2012090500, 03,EE05, 12,25.0,-119.9, 25,1008,XX
EP,10,2012090500, 03,EE19, 12,25.1,-119.7, 29,1007,XX
EP,10,2012090500, 03,EE03, 12,25.2,-120.0, 26,1006,XX
EP,10,2012090500, 03,EE00, 12,25.3,-120.0, 26,1007,XX
EP,10,2012090500, 03,ECMF, 12,25.4,-120.0, 27,1007,XX
EP,10,2012090500, 03,EE12, 12,25.5,-120.0, 25,1007,XX
EP,10,2012090500, 03,EE42, 12,25.6,-119.7, 27,1007,XX
EP,10,2012090500, 03,EE32, 12,25.8,-119.9, 27,1007,XX
EP,10,2012090500, 03,EE15, 12,26.0,-119.7, 29,1006,XX
EP,10,2012090500, 03,ECMF, 18,25.8,-120.6, 31,1009,XX
EP,10,2012090500, 03,EE36, 24,25.0,-120.2, 28,1008,XX
EP,10,2012090500, 03,EE07, 24,25.5,-121.5, 31,1006,XX
EP,10,2012090500, 03,EE04, 24,25.6,-121.5, 29,1006,XX
EP,10,2012090500, 03,EE29, 24,25.7,-120.3, 30,1008,XX
EP,10,2012090500, 03,EE09, 24,25.9,-120.3, 27,1008,XX
EP,10,2012090500, 03,EE01, 24,26.0,-120.5, 29,1007,XX
EP,10,2012090500, 03,EE03, 24,26.1,-120.9, 26,1007,XX
EP,10,2012090500, 03,ECMF, 24,26.2,-121.0, 26,1007,XX
EP,10,2012090500, 03,EE06, 24,26.3,-120.8, 29,1007,XX
EP,10,2012090500, 03,EE18, 24,26.4,-120.8, 25,1007,XX
EP,10,2012090500, 03,EE17, 24,26.5,-121.1, 23,1007,XX
EP,10,2012090500, 03,EE02, 24,26.6,-121.5, 28,1007,XX
EP,10,2012090500, 03,EE13, 24,26.7,-121.0, 34,1006,XX
EP,10,2012090500, 03,EE20, 24,26.8,-121.2, 23,1008,XX
EP,10,2012090500, 03,EE12, 24,26.9,-121.0, 31,1007,XX
EP,10,2012090500, 03,EE35, 24,27.0,-121.2, 26,1006,XX
EP,10,2012090500, 03,EE32, 24,27.1,-120.7, 26,1007,XX
EP,10,2012090500, 03,EE15, 24,27.2,-120.6, 26,1006,XX
EP,10,2012090500, 03,ECMF, 30,26.5,-121.4, 25,1010,XX
EP,10,2012090500, 03,EE41, 36,25.4,-122.6, 29,1009,XX
EP,10,2012090500, 03,EE27, 36,25.6,-122.1, 25,1009,XX
EP,10,2012090500, 03,EE07, 36,25.9,-122.2, 23,1009,XX
EP,10,2012090500, 03,EE31, 36,26.0,-121.5, 23,1009,XX
EP,10,2012090500, 03,EE01, 36,26.1,-120.8, 25,1008,XX
EP,10,2012090500, 03,EE34, 36,26.2,-121.0, 27,1008,XX
EP,10,2012090500, 03,EE23, 36,26.3,-122.1, 25,1010,XX
EP,10,2012090500, 03,EE04, 36,26.4,-122.2, 25,1008,XX
EP,10,2012090500, 03,EE03, 36,26.5,-121.9, 24,1008,XX
EP,10,2012090500, 03,EE10, 36,26.6,-122.5, 23,1009,XX
EP,10,2012090500, 03,EE00, 36,26.7,-121.6, 24,1009,XX
EP,10,2012090500, 03,EE09, 36,26.8,-120.1, 22,1010,XX
EP,10,2012090500, 03,ECMF, 36,26.9,-121.5, 25,1009,XX
EP,10,2012090500, 03,EE02, 36,27.0,-122.0, 29,1009,XX
EP,10,2012090500, 03,EE06, 36,27.1,-121.7, 23,1008,XX
EP,10,2012090500, 03,EE08, 36,27.2,-120.6, 24,1009,XX
EP,10,2012090500, 03,EE28, 36,27.4,-121.5, 25,1008,XX
EP,10,2012090500, 03,EE20, 36,27.5,-121.4, 23,1009,XX
EP,10,2012090500, 03,EE33, 36,27.6,-122.3, 27,1008,XX
EP,10,2012090500, 03,EE12, 36,27.7,-121.5, 25,1009,XX
EP,10,2012090500, 03,EE32, 36,27.8,-120.9, 25,1009,XX
EP,10,2012090500, 03,EE35, 36,27.9,-120.9, 26,1008,XX
EP,10,2012090500, 03,EE42, 36,28.2,-120.4, 19,1010,XX
EP,10,2012090500, 03,EE15, 36,28.4,-120.5, 23,1009,XX
EP,10,2012090500, 03,EE46, 36,28.6,-121.2, 25,1008,XX
EP,10,2012090500, 03,ECMF, 42,27.3,-121.6, 23,1012,XX
EP,10,2012090500, 03,EE27, 48,25.9,-122.7, 23,1011,XX
EP,10,2012090500, 03,EE23, 48,26.3,-122.9, 23,1012,XX
EP,10,2012090500, 03,EE47, 48,26.5,-122.8, 22,1010,XX
EP,10,2012090500, 03,EE07, 48,26.6,-123.0, 23,1011,XX
EP,10,2012090500, 03,EE04, 48,26.7,-122.4, 24,1010,XX
EP,10,2012090500, 03,EE03, 48,26.8,-122.3, 22,1010,XX
EP,10,2012090500, 03,EE01, 48,26.9,-120.6, 21,1011,XX
EP,10,2012090500, 03,EE21, 48,27.0,-121.3, 22,1011,XX
EP,10,2012090500, 03,EE25, 48,27.1,-121.3, 24,1011,XX
EP,10,2012090500, 03,EE37, 48,27.2,-122.1, 22,1011,XX
EP,10,2012090500, 03,EE50, 48,27.3,-121.5, 22,1010,XX
EP,10,2012090500, 03,EE00, 48,27.5,-121.5, 21,1011,XX
EP,10,2012090500, 03,ECMF, 48,27.6,-121.5, 22,1011,XX
EP,10,2012090500, 03,EE19, 48,27.7,-122.4, 26,1012,XX
EP,10,2012090500, 03,EE17, 48,27.8,-122.1, 21,1010,XX
EP,10,2012090500, 03,EE16, 48,28.0,-122.0, 20,1011,XX
EP,10,2012090500, 03,EE06, 48,28.1,-121.7, 20,1011,XX
EP,10,2012090500, 03,EE33, 48,28.2,-122.6, 20,1010,XX
EP,10,2012090500, 03,EE12, 48,28.3,-121.5, 24,1011,XX
EP,10,2012090500, 03,EE08, 48,28.4,-120.4, 20,1012,XX
EP,10,2012090500, 03,EE20, 48,28.5,-121.0, 20,1011,XX
EP,10,2012090500, 03,EE48, 48,28.6,-121.0, 20,1011,XX
EP,10,2012090500, 03,EE35, 48,28.7,-120.6, 21,1011,XX
EP,10,2012090500, 03,EE32, 48,28.8,-120.9, 20,1012,XX
EP,10,2012090500, 03,EE15, 48,29.2,-120.0, 23,1011,XX
EP,10,2012090500, 03,EE42, 48,29.3,-120.0, 16,1012,XX
EP,10,2012090500, 03,EE46, 48,30.1,-120.7, 19,1011,XX
EP,10,2012090500, 03,EE23, 60,25.9,-123.2, 21,1014,XX
EP,10,2012090500, 03,EE27, 60,26.0,-122.7, 21,1014,XX
EP,10,2012090500, 03,EE41, 60,26.2,-123.5, 23,1014,XX
EP,10,2012090500, 03,EE03, 60,26.6,-121.6, 21,1012,XX
EP,10,2012090500, 03,EE05, 60,26.9,-121.7, 21,1014,XX
EP,10,2012090500, 03,EE07, 60,27.0,-123.6, 20,1013,XX
EP,10,2012090500, 03,EE04, 60,27.2,-121.8, 18,1013,XX
EP,10,2012090500, 03,EE01, 60,27.4,-120.3, 19,1012,XX
EP,10,2012090500, 03,EE17, 60,28.0,-121.9, 19,1012,XX
EP,10,2012090500, 03,EE12, 60,28.2,-121.0, 22,1014,XX
EP,10,2012090500, 03,EE06, 60,28.5,-121.3, 17,1013,XX
EP,10,2012090500, 03,EE14, 60,28.8,-122.1, 16,1013,XX
EP,10,2012090500, 03,EE33, 60,28.9,-122.4, 16,1012,XX
EP,10,2012090500, 03,EE32, 60,29.5,-120.5, 16,1014,XX
EP,10,2012090500, 03,EE46, 60,30.9,-120.0, 14,1013,XX
EP,10,2012090500, 03,EE41, 72,25.8,-123.8, 22,1015,XX
EP,10,2012090500, 03,EE27, 72,25.9,-123.1, 18,1014,XX
EP,10,2012090500, 03,EE03, 72,26.5,-120.5, 18,1013,XX
EP,10,2012090500, 03,EE07, 72,26.8,-123.5, 21,1014,XX
EP,10,2012090500, 03,EE39, 72,27.3,-122.8, 19,1014,XX
EP,10,2012090500, 03,EE04, 72,27.4,-120.3, 17,1015,XX
EP,10,2012090500, 03,EE47, 72,27.6,-122.6, 14,1015,XX
EP,10,2012090500, 03,EE17, 72,27.7,-121.5, 17,1012,XX
EP,10,2012090500, 03,EE12, 72,27.9,-120.3, 21,1015,XX
EP,10,2012090500, 03,EE26, 72,28.1,-121.0, 18,1014,XX
EP,10,2012090500, 03,EE33, 72,29.1,-122.0, 16,1014,XX
EP,10,2012090500, 03,EE46, 72,32.7,-115.4, 16,1007,XX
EP,10,2012090500, 03,EE30, 84,25.2,-124.9, 20,1016,XX
EP,10,2012090500, 03,EE07, 84,26.3,-123.2, 21,1014,XX
EP,10,2012090500, 03,EE47, 84,27.4,-121.5, 17,1015,XX
