basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,10,2012082412, 03,EE07,  0,17.0,-47.0, 25,1012,XX
AL,10,2012082412, 03,EE20,  0,17.1,-47.0, 26,1011,XX
AL,10,2012082412, 03,EE12,  0,17.2,-46.9, 27,1012,XX
AL,10,2012082412, 03,ECMF,  0,17.3,-47.0, 25,1012,XX
AL,10,2012082412, 03,EE03,  0,17.4,-47.4, 25,1012,XX
AL,10,2012082412, 03,EE08,  0,17.5,-47.1, 26,1011,XX
AL,10,2012082412, 03,EE08,120,40.1,-49.1, 43, 998,XX
AL,10,2012082412, 03,EE01,120,33.6,-58.4, 47, 999,XX
AL,10,2012082412, 03,ECMF,  6,18.1,-47.8, 26,1010,XX
AL,10,2012082412, 03,EE40, 12,17.6,-49.8, 17,1013,XX
AL,10,2012082412, 03,EE07, 12,17.7,-50.4, 17,1012,XX
AL,10,2012082412, 03,EE06, 12,17.8,-50.0, 21,1013,XX
AL,10,2012082412, 03,EE13, 12,18.0,-50.4, 18,1012,XX
AL,10,2012082412, 03,EE27, 12,18.1,-50.4, 17,1013,XX
AL,10,2012082412, 03,ECMF, 12,18.2,-50.3, 17,1012,XX
AL,10,2012082412, 03,EE22, 12,18.3,-50.1, 19,1012,XX
AL,10,2012082412, 03,EE03, 12,18.4,-50.8, 19,1012,XX
AL,10,2012082412, 03,EE12, 12,18.5,-49.0, 17,1012,XX
AL,10,2012082412, 03,EE18, 12,18.6,-50.8, 18,1012,XX
AL,10,2012082412, 03,EE02, 12,18.7,-48.7, 21,1012,XX
AL,10,2012082412, 03,EE09, 12,18.8,-49.7, 19,1012,XX
AL,10,2012082412, 03,EE00, 12,18.9,-49.6, 19,1012,XX
AL,10,2012082412, 03,EE23, 12,19.0,-50.3, 24,1012,XX
AL,10,2012082412, 03,EE08, 12,19.1,-50.8, 24,1010,XX
AL,10,2012082412, 03,EE05, 12,19.3,-50.1, 24,1011,XX
AL,10,2012082412, 03,EE46, 12,19.4,-48.8, 20,1012,XX
AL,10,2012082412, 03,EE19, 12,19.5,-50.7, 21,1011,XX
AL,10,2012082412, 03,ECMF, 18,19.1,-51.0, 23,1011,XX
AL,10,2012082412, 03,EE12, 24,18.2,-51.7, 17,1014,XX
AL,10,2012082412, 03,EE07, 24,18.3,-53.5, 16,1014,XX
AL,10,2012082412, 03,EE50, 24,18.4,-52.8, 16,1014,XX
AL,10,2012082412, 03,EE16, 24,18.6,-53.2, 23,1013,XX
AL,10,2012082412, 03,EE24, 24,18.7,-51.9, 20,1014,XX
AL,10,2012082412, 03,EE13, 24,18.9,-52.4, 17,1014,XX
AL,10,2012082412, 03,EE06, 24,19.0,-52.3, 17,1014,XX
AL,10,2012082412, 03,EE47, 24,19.1,-52.6, 22,1013,XX
AL,10,2012082412, 03,EE25, 24,19.2,-53.9, 20,1014,XX
AL,10,2012082412, 03,EE00, 24,19.3,-52.2, 21,1014,XX
AL,10,2012082412, 03,EE31, 24,19.4,-52.1, 22,1014,XX
AL,10,2012082412, 03,EE09, 24,19.5,-52.3, 22,1014,XX
AL,10,2012082412, 03,EE26, 24,19.6,-51.7, 18,1014,XX
AL,10,2012082412, 03,EE21, 24,19.7,-52.9, 25,1011,XX
AL,10,2012082412, 03,EE42, 24,19.8,-53.3, 24,1013,XX
AL,10,2012082412, 03,EE18, 24,19.9,-53.0, 22,1014,XX
AL,10,2012082412, 03,EE04, 24,20.0,-51.5, 23,1013,XX
AL,10,2012082412, 03,EE19, 24,20.1,-52.2, 21,1013,XX
AL,10,2012082412, 03,EE15, 24,20.4,-53.8, 17,1014,XX
AL,10,2012082412, 03,EE02, 24,20.5,-52.7, 17,1014,XX
AL,10,2012082412, 03,EE05, 24,20.6,-53.2, 28,1013,XX
AL,10,2012082412, 03,EE36, 24,20.7,-52.4, 26,1011,XX
AL,10,2012082412, 03,ECMF, 24,20.8,-53.5, 23,1014,XX
AL,10,2012082412, 03,EE38, 24,20.9,-54.1, 24,1013,XX
AL,10,2012082412, 03,EE23, 24,21.0,-52.6, 26,1013,XX
AL,10,2012082412, 03,EE08, 24,21.1,-53.0, 31,1011,XX
AL,10,2012082412, 03,EE01, 24,21.5,-53.9, 30,1012,XX
AL,10,2012082412, 03,EE49, 24,23.5,-51.2, 21,1015,XX
AL,10,2012082412, 03,ECMF, 30,21.0,-53.0, 21,1013,XX
AL,10,2012082412, 03,EE06, 36,18.1,-53.4, 15,1014,XX
AL,10,2012082412, 03,EE12, 36,18.6,-54.5, 11,1014,XX
AL,10,2012082412, 03,EE50, 36,18.8,-53.8, 12,1015,XX
AL,10,2012082412, 03,EE24, 36,19.2,-55.6, 18,1013,XX
AL,10,2012082412, 03,EE16, 36,19.3,-54.9, 17,1014,XX
AL,10,2012082412, 03,EE33, 36,20.0,-54.1, 18,1014,XX
AL,10,2012082412, 03,EE20, 36,20.9,-56.3, 19,1014,XX
AL,10,2012082412, 03,EE07, 36,21.3,-56.6, 13,1015,XX
AL,10,2012082412, 03,EE02, 36,21.4,-54.7, 17,1016,XX
AL,10,2012082412, 03,EE39, 36,21.5,-57.0, 16,1014,XX
AL,10,2012082412, 03,EE34, 36,21.6,-57.1, 21,1012,XX
AL,10,2012082412, 03,EE48, 36,22.1,-55.7, 22,1014,XX
AL,10,2012082412, 03,EE11, 36,22.3,-56.7, 23,1014,XX
AL,10,2012082412, 03,EE04, 36,22.4,-53.6, 21,1014,XX
AL,10,2012082412, 03,EE36, 36,22.5,-55.0, 22,1012,XX
AL,10,2012082412, 03,EE43, 36,22.6,-55.9, 16,1016,XX
AL,10,2012082412, 03,EE00, 36,22.8,-57.3, 19,1014,XX
AL,10,2012082412, 03,EE05, 36,22.9,-56.2, 24,1013,XX
AL,10,2012082412, 03,EE38, 36,23.2,-57.6, 20,1015,XX
AL,10,2012082412, 03,EE23, 36,23.5,-55.6, 21,1014,XX
AL,10,2012082412, 03,EE01, 36,23.6,-57.1, 28,1013,XX
AL,10,2012082412, 03,EE41, 36,23.8,-56.2, 19,1015,XX
AL,10,2012082412, 03,EE08, 36,23.9,-55.9, 30,1011,XX
AL,10,2012082412, 03,EE06, 48,18.3,-55.6, 17,1015,XX
AL,10,2012082412, 03,EE12, 48,18.4,-57.4, 11,1015,XX
AL,10,2012082412, 03,EE50, 48,18.5,-56.2, 13,1016,XX
AL,10,2012082412, 03,EE16, 48,20.0,-59.1, 15,1016,XX
AL,10,2012082412, 03,EE33, 48,21.3,-56.8, 17,1016,XX
AL,10,2012082412, 03,EE14, 48,22.4,-59.4, 15,1015,XX
AL,10,2012082412, 03,EE39, 48,22.8,-59.3, 20,1014,XX
AL,10,2012082412, 03,EE20, 48,23.4,-60.4, 18,1015,XX
AL,10,2012082412, 03,EE25, 48,23.5,-60.1, 18,1015,XX
AL,10,2012082412, 03,EE11, 48,23.8,-60.4, 22,1015,XX
AL,10,2012082412, 03,EE02, 48,24.4,-58.6, 17,1016,XX
AL,10,2012082412, 03,EE00, 48,24.6,-60.1, 20,1016,XX
AL,10,2012082412, 03,EE30, 48,24.8,-60.7, 23,1015,XX
AL,10,2012082412, 03,EE05, 48,24.9,-59.7, 26,1014,XX
AL,10,2012082412, 03,EE48, 48,25.3,-61.0, 24,1016,XX
AL,10,2012082412, 03,EE38, 48,25.4,-60.8, 24,1016,XX
AL,10,2012082412, 03,EE23, 48,25.8,-59.1, 19,1016,XX
AL,10,2012082412, 03,EE08, 48,26.5,-59.4, 35,1012,XX
AL,10,2012082412, 03,EE01, 48,26.8,-61.4, 28,1012,XX
AL,10,2012082412, 03,EE06, 60,18.8,-59.1, 10,1016,XX
AL,10,2012082412, 03,EE50, 60,19.3,-58.1, 10,1018,XX
AL,10,2012082412, 03,EE25, 60,24.5,-63.1, 21,1016,XX
AL,10,2012082412, 03,EE39, 60,24.8,-63.1, 17,1016,XX
AL,10,2012082412, 03,EE00, 60,26.6,-63.6, 20,1017,XX
AL,10,2012082412, 03,EE05, 60,26.8,-62.4, 25,1016,XX
AL,10,2012082412, 03,EE38, 60,26.9,-63.5, 22,1017,XX
AL,10,2012082412, 03,EE23, 60,27.3,-62.6, 22,1017,XX
AL,10,2012082412, 03,EE01, 60,28.2,-64.0, 26,1014,XX
AL,10,2012082412, 03,EE08, 60,29.3,-62.7, 31,1012,XX
AL,10,2012082412, 03,EE06, 72,20.0,-62.6, 11,1016,XX
AL,10,2012082412, 03,EE38, 72,28.4,-65.5, 22,1018,XX
AL,10,2012082412, 03,EE05, 72,28.6,-64.1, 24,1017,XX
AL,10,2012082412, 03,EE01, 72,29.1,-65.3, 32,1013,XX
AL,10,2012082412, 03,EE30, 72,29.3,-67.2, 24,1017,XX
AL,10,2012082412, 03,EE00, 72,29.4,-65.1, 25,1018,XX
AL,10,2012082412, 03,EE42, 72,29.5,-66.0, 23,1016,XX
AL,10,2012082412, 03,EE23, 72,29.8,-64.6, 21,1018,XX
AL,10,2012082412, 03,EE08, 72,31.2,-63.8, 37,1013,XX
AL,10,2012082412, 03,EE01, 84,29.6,-65.1, 31,1011,XX
AL,10,2012082412, 03,EE05, 84,30.3,-64.4, 23,1016,XX
AL,10,2012082412, 03,EE42, 84,31.7,-67.3, 20,1016,XX
AL,10,2012082412, 03,EE30, 84,32.3,-66.6, 27,1016,XX
AL,10,2012082412, 03,EE23, 84,32.5,-65.0, 23,1017,XX
AL,10,2012082412, 03,EE08, 84,32.9,-62.3, 37,1012,XX
AL,10,2012082412, 03,EE01, 96,30.4,-63.6, 37,1008,XX
AL,10,2012082412, 03,EE05, 96,31.0,-63.4, 24,1015,XX
AL,10,2012082412, 03,EE42, 96,33.5,-65.2, 25,1016,XX
AL,10,2012082412, 03,EE23, 96,34.7,-61.1, 27,1014,XX
AL,10,2012082412, 03,EE08, 96,35.1,-58.9, 41,1009,XX
AL,10,2012082412, 03,EE05,108,31.6,-61.8, 20,1013,XX
AL,10,2012082412, 03,EE05,120,34.0,-59.9, 23,1012,XX
AL,10,2012082412, 03,EE42,120,36.0,-56.8, 28,1010,XX
AL,10,2012082412, 03,EE42,108,34.7,-61.5, 31,1012,XX
AL,10,2012082412, 03,EE23,120,37.1,-49.7, 34,1008,XX
AL,10,2012082412, 03,EE30,120,38.4,-53.4, 36,1005,XX
AL,10,2012082412, 03,EE30,108,37.1,-58.2, 36,1008,XX
AL,10,2012082412, 03,EE08,108,37.6,-54.2, 41,1006,XX
AL,10,2012082412, 03,EE01,108,32.0,-61.0, 44,1002,XX
