basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,16,2012081512, 03,EE06,  0,18.5,119.4, 42, 992,XX
WP,16,2012081512, 03,EE14,  0,18.5,119.5, 38, 993,XX
WP,16,2012081512, 03,EE03,  0,18.5,119.4, 37, 994,XX
WP,16,2012081512, 03,EE01,  0,18.5,119.5, 34, 995,XX
WP,16,2012081512, 03,EE18,  0,18.5,119.5, 28, 996,XX
WP,16,2012081512, 03,EE09,  0,18.6,119.4, 33, 994,XX
WP,16,2012081512, 03,ECMF,  0,18.6,119.5, 30, 995,XX
WP,16,2012081512, 03,EE04,  0,18.6,119.8, 27, 996,XX
WP,16,2012081512, 03,EE13,  0,18.6,119.5, 30, 997,XX
WP,16,2012081512, 03,EE05,  0,18.6,119.7, 29, 998,XX
WP,16,2012081512, 03,EE07,  0,18.7,119.6, 31, 995,XX
WP,16,2012081512, 03,ECMF,  6,19.2,118.1, 45, 993,XX
WP,16,2012081512, 03,EE48, 12,19.2,117.3, 44, 992,XX
WP,16,2012081512, 03,EE12, 12,19.2,117.0, 41, 994,XX
WP,16,2012081512, 03,EE14, 12,19.4,116.9, 49, 987,XX
WP,16,2012081512, 03,EE49, 12,19.4,116.5, 45, 990,XX
WP,16,2012081512, 03,EE27, 12,19.4,117.1, 42, 991,XX
WP,16,2012081512, 03,EE22, 12,19.4,116.5, 39, 992,XX
WP,16,2012081512, 03,EE05, 12,19.4,117.0, 37, 994,XX
WP,16,2012081512, 03,EE11, 12,19.5,116.9, 44, 989,XX
WP,16,2012081512, 03,EE17, 12,19.5,117.1, 43, 991,XX
WP,16,2012081512, 03,EE35, 12,19.5,117.9, 51, 992,XX
WP,16,2012081512, 03,EE37, 12,19.5,117.0, 39, 993,XX
WP,16,2012081512, 03,EE44, 12,19.5,118.0, 40, 994,XX
WP,16,2012081512, 03,EE25, 12,19.5,117.4, 39, 995,XX
WP,16,2012081512, 03,EE34, 12,19.6,116.9, 56, 988,XX
WP,16,2012081512, 03,EE40, 12,19.6,116.9, 54, 989,XX
WP,16,2012081512, 03,EE03, 12,19.6,116.3, 46, 990,XX
WP,16,2012081512, 03,EE15, 12,19.6,117.5, 48, 992,XX
WP,16,2012081512, 03,EE00, 12,19.6,116.9, 39, 993,XX
WP,16,2012081512, 03,EE08, 12,19.6,117.0, 42, 994,XX
WP,16,2012081512, 03,EE39, 12,19.6,117.5, 38, 996,XX
WP,16,2012081512, 03,EE31, 12,19.7,116.7, 49, 989,XX
WP,16,2012081512, 03,EE23, 12,19.7,116.6, 40, 991,XX
WP,16,2012081512, 03,EE07, 12,19.7,116.6, 44, 992,XX
WP,16,2012081512, 03,EE01, 12,19.7,117.0, 40, 994,XX
WP,16,2012081512, 03,EE32, 12,19.7,117.0, 39, 996,XX
WP,16,2012081512, 03,EE29, 12,19.8,116.5, 43, 991,XX
WP,16,2012081512, 03,EE09, 12,19.8,116.6, 40, 993,XX
WP,16,2012081512, 03,EE13, 12,19.8,117.0, 37, 997,XX
WP,16,2012081512, 03,ECMF, 12,19.9,117.0, 43, 992,XX
WP,16,2012081512, 03,EE04, 12,19.9,117.7, 45, 994,XX
WP,16,2012081512, 03,EE30, 12,19.9,118.0, 39, 995,XX
WP,16,2012081512, 03,EE36, 12,20.0,116.2, 40, 992,XX
WP,16,2012081512, 03,EE16, 12,20.0,116.7, 40, 995,XX
WP,16,2012081512, 03,EE33, 12,20.0,116.6, 38, 996,XX
WP,16,2012081512, 03,EE26, 12,20.1,116.6, 58, 989,XX
WP,16,2012081512, 03,EE06, 12,20.1,116.6, 52, 991,XX
WP,16,2012081512, 03,EE21, 12,20.1,117.2, 40, 995,XX
WP,16,2012081512, 03,ECMF, 18,20.1,115.7, 46, 991,XX
