basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,09,2012071812, 03,EE05,  0,33.8,126.1, 41, 992,XX
WP,09,2012071812, 03,EE32,  0,33.8,126.1, 39, 993,XX
WP,09,2012071812, 03,EE10,  0,33.8,126.1, 39, 994,XX
WP,09,2012071812, 03,EE22,  0,33.9,126.1, 41, 991,XX
WP,09,2012071812, 03,ECMF,  0,33.9,126.1, 40, 992,XX
WP,09,2012071812, 03,EE00,  0,33.9,126.1, 39, 993,XX
WP,09,2012071812, 03,EE01,  0,33.9,126.1, 37, 994,XX
WP,09,2012071812, 03,ECMF,  6,35.5,126.1, 37, 992,XX
WP,09,2012071812, 03,EE05, 12,36.9,126.7, 38, 993,XX
WP,09,2012071812, 03,EE32, 12,36.9,126.6, 34, 995,XX
WP,09,2012071812, 03,EE28, 12,37.0,127.1, 36, 991,XX
WP,09,2012071812, 03,EE45, 12,37.0,126.6, 35, 992,XX
WP,09,2012071812, 03,EE03, 12,37.0,126.6, 43, 993,XX
WP,09,2012071812, 03,EE23, 12,37.0,126.7, 42, 994,XX
WP,09,2012071812, 03,EE20, 12,37.0,126.8, 28, 996,XX
WP,09,2012071812, 03,EE15, 12,37.1,126.6, 41, 993,XX
WP,09,2012071812, 03,EE09, 12,37.1,127.0, 32, 994,XX
WP,09,2012071812, 03,EE33, 12,37.1,127.0, 33, 995,XX
WP,09,2012071812, 03,EE08, 12,37.2,127.0, 34, 992,XX
WP,09,2012071812, 03,EE34, 12,37.2,126.2, 35, 994,XX
WP,09,2012071812, 03,EE00, 12,37.3,126.8, 36, 994,XX
WP,09,2012071812, 03,EE29, 12,37.4,127.0, 34, 990,XX
WP,09,2012071812, 03,EE02, 12,37.4,126.9, 39, 993,XX
WP,09,2012071812, 03,EE36, 12,37.4,127.0, 33, 994,XX
WP,09,2012071812, 03,EE21, 12,37.4,126.5, 37, 995,XX
WP,09,2012071812, 03,EE01, 12,37.4,126.5, 36, 996,XX
WP,09,2012071812, 03,EE07, 12,37.4,126.5, 31, 997,XX
WP,09,2012071812, 03,EE16, 12,37.5,126.5, 38, 992,XX
WP,09,2012071812, 03,EE30, 12,37.5,126.4, 32, 993,XX
WP,09,2012071812, 03,ECMF, 12,37.5,126.9, 40, 994,XX
WP,09,2012071812, 03,EE10, 12,37.5,126.4, 30, 995,XX
WP,09,2012071812, 03,EE47, 12,37.5,126.9, 32, 996,XX
WP,09,2012071812, 03,EE17, 12,37.6,126.3, 34, 994,XX
WP,09,2012071812, 03,EE19, 12,37.6,127.0, 31, 995,XX
WP,09,2012071812, 03,EE06, 12,37.6,126.8, 32, 996,XX
WP,09,2012071812, 03,EE41, 12,37.7,126.6, 30, 994,XX
WP,09,2012071812, 03,EE31, 12,37.7,126.6, 33, 995,XX
WP,09,2012071812, 03,ECMF, 18,39.1,127.7, 34, 996,XX
WP,09,2012071812, 03,EE32, 24,38.9,128.4, 31,1001,XX
WP,09,2012071812, 03,EE45, 24,39.0,127.6, 29,1001,XX
WP,09,2012071812, 03,EE48, 24,39.0,128.0, 34, 996,XX
WP,09,2012071812, 03,EE25, 24,39.0,128.2, 33, 997,XX
WP,09,2012071812, 03,EE23, 24,39.1,128.1, 27,1001,XX
WP,09,2012071812, 03,EE05, 24,39.1,128.0, 31, 996,XX
WP,09,2012071812, 03,EE03, 24,39.1,128.0, 27, 999,XX
WP,09,2012071812, 03,EE20, 24,39.2,129.1, 45, 996,XX
WP,09,2012071812, 03,EE01, 24,39.3,128.0, 25,1002,XX
WP,09,2012071812, 03,EE28, 24,39.3,128.5, 39, 997,XX
WP,09,2012071812, 03,EE07, 24,39.4,127.9, 25,1003,XX
WP,09,2012071812, 03,EE08, 24,39.4,128.7, 33, 998,XX
WP,09,2012071812, 03,EE15, 24,39.4,128.0, 26, 999,XX
WP,09,2012071812, 03,EE11, 24,39.5,128.1, 30,1000,XX
WP,09,2012071812, 03,EE49, 24,39.5,129.0, 41, 996,XX
WP,09,2012071812, 03,EE13, 24,39.5,129.0, 36, 997,XX
WP,09,2012071812, 03,EE00, 24,39.5,128.0, 28, 999,XX
WP,09,2012071812, 03,ECMF, 24,39.6,128.1, 29,1001,XX
WP,09,2012071812, 03,EE36, 24,39.6,129.0, 39, 995,XX
WP,09,2012071812, 03,EE38, 24,39.6,128.0, 30, 998,XX
WP,09,2012071812, 03,EE12, 24,39.7,127.7, 32,1000,XX
WP,09,2012071812, 03,EE40, 24,39.7,129.0, 37, 997,XX
WP,09,2012071812, 03,EE04, 24,39.8,128.1, 30,1000,XX
WP,09,2012071812, 03,EE33, 24,39.8,128.7, 38, 997,XX
WP,09,2012071812, 03,EE29, 24,39.8,128.1, 31, 998,XX
WP,09,2012071812, 03,EE02, 24,39.9,128.2, 26,1003,XX
WP,09,2012071812, 03,EE46, 24,40.0,129.0, 32,1001,XX
WP,09,2012071812, 03,EE47, 24,40.0,129.4, 37, 999,XX
WP,09,2012071812, 03,EE06, 24,41.1,126.4, 23,1003,XX
WP,09,2012071812, 03,ECMF, 30,40.0,129.0, 23,1003,XX
WP,09,2012071812, 03,EE21, 36,38.0,129.6, 21,1007,XX
WP,09,2012071812, 03,ECMF, 36,38.6,128.6, 19,1006,XX
WP,09,2012071812, 03,EE25, 36,39.4,129.1, 38,1001,XX
WP,09,2012071812, 03,EE03, 36,39.5,129.1, 33,1004,XX
WP,09,2012071812, 03,EE12, 36,39.6,127.6, 19,1006,XX
WP,09,2012071812, 03,EE16, 36,39.7,127.6, 18,1005,XX
WP,09,2012071812, 03,EE31, 36,39.8,127.7, 25,1004,XX
WP,09,2012071812, 03,EE14, 36,39.9,129.6, 29,1005,XX
WP,09,2012071812, 03,EE08, 36,40.0,130.4, 45,1000,XX
WP,09,2012071812, 03,EE01, 36,40.2,130.1, 33,1005,XX
WP,09,2012071812, 03,EE20, 36,40.3,130.3, 45,1000,XX
WP,09,2012071812, 03,EE18, 36,40.4,129.9, 21,1007,XX
WP,09,2012071812, 03,EE37, 36,40.5,129.9, 23,1004,XX
WP,09,2012071812, 03,EE09, 36,40.6,130.0, 27,1006,XX
WP,09,2012071812, 03,EE00, 36,40.8,130.1, 18,1006,XX
WP,09,2012071812, 03,EE49, 36,40.9,130.1, 22,1003,XX
