basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,11,2012082900, 03,ECMF,  0,23.7,-45.5, 28,1013,XX
AL,11,2012082900, 03,EE00,  0,23.8,-45.5, 27,1013,XX
AL,11,2012082900, 03,EE08,  0,23.9,-45.5, 29,1013,XX
AL,11,2012082900, 03,EE08,120,49.7,-37.7, 58, 999,XX
AL,11,2012082900, 03,EE18,108,41.0,-46.6, 69, 996,XX
AL,11,2012082900, 03,ECMF,  6,23.6,-46.6, 31,1011,XX
AL,11,2012082900, 03,EE02, 12,23.0,-47.6, 24,1013,XX
AL,11,2012082900, 03,EE03, 12,23.1,-47.8, 28,1012,XX
AL,11,2012082900, 03,EE48, 12,23.2,-47.3, 26,1013,XX
AL,11,2012082900, 03,EE08, 12,23.3,-47.7, 25,1014,XX
AL,11,2012082900, 03,EE05, 12,23.4,-47.4, 24,1013,XX
AL,11,2012082900, 03,EE00, 12,23.5,-47.6, 25,1013,XX
AL,11,2012082900, 03,ECMF, 12,23.6,-47.6, 26,1013,XX
AL,11,2012082900, 03,EE06, 12,23.7,-47.6, 25,1013,XX
AL,11,2012082900, 03,EE12, 12,23.8,-46.7, 24,1013,XX
AL,11,2012082900, 03,EE41, 12,23.9,-47.5, 25,1014,XX
AL,11,2012082900, 03,EE37, 12,24.0,-46.7, 25,1013,XX
AL,11,2012082900, 03,ECMF, 18,23.7,-48.4, 25,1012,XX
AL,11,2012082900, 03,EE05, 24,22.8,-48.8, 25,1014,XX
AL,11,2012082900, 03,EE25, 24,22.9,-49.7, 22,1013,XX
AL,11,2012082900, 03,EE38, 24,23.1,-49.6, 24,1014,XX
AL,11,2012082900, 03,EE03, 24,23.2,-49.7, 21,1014,XX
AL,11,2012082900, 03,EE49, 24,23.3,-49.1, 22,1015,XX
AL,11,2012082900, 03,EE28, 24,23.4,-48.1, 23,1014,XX
AL,11,2012082900, 03,EE08, 24,23.5,-49.4, 25,1015,XX
AL,11,2012082900, 03,EE40, 24,23.6,-49.2, 22,1014,XX
AL,11,2012082900, 03,EE10, 24,23.7,-50.4, 23,1012,XX
AL,11,2012082900, 03,EE11, 24,23.8,-49.7, 20,1015,XX
AL,11,2012082900, 03,ECMF, 24,23.9,-49.2, 21,1014,XX
AL,11,2012082900, 03,EE07, 24,24.0,-49.1, 25,1014,XX
AL,11,2012082900, 03,EE19, 24,24.1,-48.1, 26,1014,XX
AL,11,2012082900, 03,EE39, 24,24.2,-49.5, 25,1014,XX
AL,11,2012082900, 03,EE21, 24,24.3,-49.5, 25,1015,XX
AL,11,2012082900, 03,EE01, 24,24.4,-48.9, 28,1014,XX
AL,11,2012082900, 03,EE17, 24,24.7,-48.2, 26,1014,XX
AL,11,2012082900, 03,EE06, 24,25.1,-49.4, 29,1014,XX
AL,11,2012082900, 03,ECMF, 30,24.4,-50.3, 26,1012,XX
AL,11,2012082900, 03,EE05, 36,23.2,-50.6, 22,1014,XX
AL,11,2012082900, 03,EE25, 36,23.6,-51.6, 23,1014,XX
AL,11,2012082900, 03,EE45, 36,23.8,-51.1, 23,1015,XX
AL,11,2012082900, 03,EE42, 36,23.9,-50.7, 21,1015,XX
AL,11,2012082900, 03,EE16, 36,24.0,-51.5, 23,1014,XX
AL,11,2012082900, 03,EE03, 36,24.2,-51.7, 28,1014,XX
AL,11,2012082900, 03,EE04, 36,24.3,-51.0, 22,1016,XX
AL,11,2012082900, 03,EE10, 36,24.4,-53.0, 27,1014,XX
AL,11,2012082900, 03,EE09, 36,24.5,-49.2, 23,1016,XX
AL,11,2012082900, 03,EE15, 36,24.6,-50.6, 21,1015,XX
AL,11,2012082900, 03,EE22, 36,24.7,-51.1, 24,1014,XX
AL,11,2012082900, 03,EE11, 36,24.8,-51.5, 22,1016,XX
AL,11,2012082900, 03,ECMF, 36,24.9,-51.3, 25,1015,XX
AL,11,2012082900, 03,EE00, 36,25.0,-51.1, 24,1015,XX
AL,11,2012082900, 03,EE48, 36,25.2,-50.1, 28,1014,XX
AL,11,2012082900, 03,EE01, 36,25.3,-50.8, 24,1016,XX
AL,11,2012082900, 03,EE19, 36,25.4,-49.8, 25,1015,XX
AL,11,2012082900, 03,EE39, 36,25.5,-51.4, 28,1016,XX
AL,11,2012082900, 03,EE32, 36,25.7,-50.4, 28,1015,XX
AL,11,2012082900, 03,EE02, 36,25.8,-51.0, 37,1014,XX
AL,11,2012082900, 03,EE41, 36,26.1,-50.3, 30,1016,XX
AL,11,2012082900, 03,EE06, 36,26.7,-50.7, 31,1015,XX
AL,11,2012082900, 03,ECMF, 42,25.4,-52.3, 24,1014,XX
AL,11,2012082900, 03,EE36, 48,24.4,-54.0, 17,1015,XX
AL,11,2012082900, 03,EE42, 48,24.5,-52.8, 17,1016,XX
AL,11,2012082900, 03,EE16, 48,24.7,-53.5, 23,1015,XX
AL,11,2012082900, 03,EE25, 48,24.8,-54.0, 23,1014,XX
AL,11,2012082900, 03,EE40, 48,25.0,-52.9, 21,1016,XX
AL,11,2012082900, 03,EE10, 48,25.2,-55.1, 25,1014,XX
AL,11,2012082900, 03,EE03, 48,25.3,-54.0, 22,1014,XX
AL,11,2012082900, 03,EE38, 48,25.4,-54.3, 23,1015,XX
AL,11,2012082900, 03,EE01, 48,25.5,-52.3, 25,1015,XX
AL,11,2012082900, 03,EE43, 48,25.6,-52.9, 24,1014,XX
AL,11,2012082900, 03,EE14, 48,25.8,-51.5, 19,1018,XX
AL,11,2012082900, 03,EE22, 48,25.9,-52.7, 22,1016,XX
AL,11,2012082900, 03,ECMF, 48,26.0,-53.0, 25,1015,XX
AL,11,2012082900, 03,EE30, 48,26.1,-53.0, 29,1015,XX
AL,11,2012082900, 03,EE13, 48,26.2,-53.8, 27,1014,XX
AL,11,2012082900, 03,EE00, 48,26.3,-52.8, 27,1016,XX
AL,11,2012082900, 03,EE18, 48,26.4,-52.9, 31,1012,XX
AL,11,2012082900, 03,EE07, 48,26.5,-52.5, 28,1016,XX
AL,11,2012082900, 03,EE34, 48,26.6,-52.1, 25,1015,XX
AL,11,2012082900, 03,EE33, 48,26.7,-53.0, 29,1016,XX
AL,11,2012082900, 03,EE08, 48,26.8,-52.5, 26,1017,XX
AL,11,2012082900, 03,EE21, 48,27.0,-52.7, 30,1015,XX
AL,11,2012082900, 03,EE17, 48,27.2,-50.7, 27,1017,XX
AL,11,2012082900, 03,EE32, 48,27.3,-51.8, 25,1016,XX
AL,11,2012082900, 03,EE39, 48,27.7,-52.4, 32,1016,XX
AL,11,2012082900, 03,EE41, 48,28.1,-51.3, 27,1017,XX
AL,11,2012082900, 03,EE02, 48,28.3,-52.2, 35,1016,XX
AL,11,2012082900, 03,EE06, 48,28.4,-51.6, 32,1016,XX
AL,11,2012082900, 03,ECMF, 54,27.0,-53.9, 27,1014,XX
AL,11,2012082900, 03,EE36, 60,24.2,-56.3, 19,1016,XX
AL,11,2012082900, 03,EE25, 60,25.1,-56.1, 26,1015,XX
AL,11,2012082900, 03,EE16, 60,26.2,-55.4, 27,1015,XX
AL,11,2012082900, 03,EE03, 60,26.3,-56.0, 27,1013,XX
AL,11,2012082900, 03,EE01, 60,26.5,-54.0, 21,1017,XX
AL,11,2012082900, 03,EE28, 60,26.9,-53.3, 25,1015,XX
AL,11,2012082900, 03,EE43, 60,27.0,-54.2, 29,1014,XX
AL,11,2012082900, 03,EE27, 60,27.1,-55.3, 27,1017,XX
AL,11,2012082900, 03,EE10, 60,27.3,-56.7, 34,1015,XX
AL,11,2012082900, 03,EE47, 60,27.4,-54.7, 30,1016,XX
AL,11,2012082900, 03,EE37, 60,27.5,-53.5, 28,1016,XX
AL,11,2012082900, 03,EE18, 60,27.8,-53.8, 41,1010,XX
AL,11,2012082900, 03,ECMF, 60,27.9,-54.5, 29,1014,XX
AL,11,2012082900, 03,EE23, 60,28.0,-54.2, 36,1012,XX
AL,11,2012082900, 03,EE00, 60,28.1,-54.1, 31,1015,XX
AL,11,2012082900, 03,EE07, 60,28.4,-53.3, 38,1014,XX
AL,11,2012082900, 03,EE19, 60,28.5,-52.0, 35,1014,XX
AL,11,2012082900, 03,EE21, 60,29.0,-53.5, 39,1014,XX
AL,11,2012082900, 03,EE17, 60,29.1,-52.1, 31,1018,XX
AL,11,2012082900, 03,EE32, 60,29.6,-52.6, 36,1015,XX
AL,11,2012082900, 03,EE35, 60,29.9,-53.1, 41,1014,XX
AL,11,2012082900, 03,EE41, 60,30.0,-52.0, 33,1017,XX
AL,11,2012082900, 03,EE39, 60,30.5,-51.9, 37,1015,XX
AL,11,2012082900, 03,EE02, 60,30.6,-52.4, 41,1015,XX
AL,11,2012082900, 03,EE06, 60,31.1,-51.4, 37,1014,XX
AL,11,2012082900, 03,ECMF, 66,28.8,-54.9, 35,1013,XX
AL,11,2012082900, 03,EE25, 72,25.3,-57.5, 26,1012,XX
AL,11,2012082900, 03,EE40, 72,27.1,-56.0, 28,1015,XX
AL,11,2012082900, 03,EE03, 72,27.8,-56.6, 30,1013,XX
AL,11,2012082900, 03,EE16, 72,27.9,-56.0, 29,1014,XX
AL,11,2012082900, 03,EE43, 72,28.3,-55.0, 30,1014,XX
AL,11,2012082900, 03,EE47, 72,28.9,-55.2, 27,1016,XX
AL,11,2012082900, 03,EE37, 72,29.1,-54.8, 23,1016,XX
AL,11,2012082900, 03,EE27, 72,29.3,-56.0, 30,1016,XX
AL,11,2012082900, 03,EE18, 72,29.5,-53.8, 44,1008,XX
AL,11,2012082900, 03,EE10, 72,29.6,-57.4, 35,1014,XX
AL,11,2012082900, 03,ECMF, 72,29.9,-54.9, 38,1013,XX
AL,11,2012082900, 03,EE12, 72,30.0,-53.1, 33,1015,XX
AL,11,2012082900, 03,EE13, 72,30.1,-55.5, 39,1012,XX
AL,11,2012082900, 03,EE00, 72,30.4,-54.2, 34,1014,XX
AL,11,2012082900, 03,EE22, 72,30.5,-55.1, 27,1016,XX
AL,11,2012082900, 03,EE07, 72,30.8,-53.0, 39,1013,XX
AL,11,2012082900, 03,EE17, 72,31.0,-52.4, 29,1018,XX
AL,11,2012082900, 03,EE31, 72,31.1,-53.6, 35,1015,XX
AL,11,2012082900, 03,EE08, 72,31.3,-53.1, 34,1016,XX
AL,11,2012082900, 03,EE32, 72,31.5,-52.0, 36,1014,XX
AL,11,2012082900, 03,EE21, 72,31.8,-52.7, 45,1013,XX
AL,11,2012082900, 03,EE48, 72,32.1,-51.1, 43,1014,XX
AL,11,2012082900, 03,EE33, 72,32.3,-52.6, 37,1015,XX
AL,11,2012082900, 03,EE41, 72,32.6,-50.3, 33,1017,XX
AL,11,2012082900, 03,EE35, 72,33.0,-52.0, 40,1014,XX
AL,11,2012082900, 03,EE39, 72,33.4,-49.7, 37,1013,XX
AL,11,2012082900, 03,EE02, 72,33.5,-51.0, 43,1013,XX
AL,11,2012082900, 03,EE06, 72,34.3,-48.9, 37,1014,XX
AL,11,2012082900, 03,ECMF, 78,31.4,-54.5, 44,1011,XX
AL,11,2012082900, 03,EE25, 84,26.3,-58.1, 27,1012,XX
AL,11,2012082900, 03,EE40, 84,28.3,-56.9, 35,1013,XX
AL,11,2012082900, 03,EE50, 84,29.4,-57.2, 28,1014,XX
AL,11,2012082900, 03,EE03, 84,29.8,-56.9, 34,1011,XX
AL,11,2012082900, 03,EE43, 84,30.6,-55.2, 31,1014,XX
AL,11,2012082900, 03,EE16, 84,30.9,-56.0, 39,1012,XX
AL,11,2012082900, 03,EE27, 84,31.2,-55.7, 29,1016,XX
AL,11,2012082900, 03,EE12, 84,32.0,-52.5, 36,1014,XX
AL,11,2012082900, 03,EE18, 84,32.4,-53.1, 55,1005,XX
AL,11,2012082900, 03,EE30, 84,32.6,-54.1, 41,1012,XX
AL,11,2012082900, 03,EE10, 84,32.8,-57.1, 37,1013,XX
AL,11,2012082900, 03,ECMF, 84,33.0,-53.9, 43,1011,XX
AL,11,2012082900, 03,EE13, 84,33.5,-54.9, 40,1012,XX
AL,11,2012082900, 03,EE00, 84,33.6,-53.0, 38,1013,XX
AL,11,2012082900, 03,EE26, 84,34.0,-50.8, 29,1017,XX
AL,11,2012082900, 03,EE07, 84,34.2,-51.8, 42,1010,XX
AL,11,2012082900, 03,EE19, 84,34.5,-50.0, 52,1009,XX
AL,11,2012082900, 03,EE08, 84,34.6,-49.8, 41,1013,XX
AL,11,2012082900, 03,EE31, 84,35.1,-50.6, 35,1014,XX
AL,11,2012082900, 03,EE21, 84,35.5,-50.6, 43,1009,XX
AL,11,2012082900, 03,EE35, 84,35.7,-49.4, 42,1013,XX
AL,11,2012082900, 03,EE02, 84,35.9,-48.6, 45,1010,XX
AL,11,2012082900, 03,EE33, 84,36.0,-49.9, 34,1015,XX
AL,11,2012082900, 03,EE39, 84,36.2,-47.5, 41,1010,XX
AL,11,2012082900, 03,EE06, 84,37.5,-45.1, 38,1012,XX
AL,11,2012082900, 03,ECMF, 90,34.8,-52.8, 46,1010,XX
AL,11,2012082900, 03,EE25, 96,26.2,-57.4, 23,1012,XX
AL,11,2012082900, 03,EE40, 96,29.9,-57.5, 25,1013,XX
AL,11,2012082900, 03,EE50, 96,31.4,-56.6, 28,1012,XX
AL,11,2012082900, 03,EE03, 96,32.4,-55.6, 34,1009,XX
AL,11,2012082900, 03,EE27, 96,33.5,-53.7, 23,1015,XX
AL,11,2012082900, 03,EE16, 96,33.8,-54.9, 37,1013,XX
