basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,15,2012080800, 03,EE44,120,62.4,142.7, 27, 996,XX
WP,15,2012080800, 03,EE26,120,62.6,146.2, 30, 989,XX
WP,15,2012080800, 03,EE32,  0,31.3,159.3, 41, 993,XX
WP,15,2012080800, 03,EE01,  0,31.3,159.4, 42, 994,XX
WP,15,2012080800, 03,EE45,  0,31.4,159.4, 45, 992,XX
WP,15,2012080800, 03,EE05,  0,31.4,159.4, 44, 993,XX
WP,15,2012080800, 03,ECMF,  0,31.4,159.3, 41, 994,XX
WP,15,2012080800, 03,EE06,  0,31.4,159.1, 40, 995,XX
WP,15,2012080800, 03,EE18,  0,31.4,159.3, 43, 996,XX
WP,15,2012080800, 03,EE16,  0,31.5,159.2, 42, 993,XX
WP,15,2012080800, 03,EE02,  0,31.5,159.2, 41, 994,XX
WP,15,2012080800, 03,EE11,  0,31.5,159.2, 40, 995,XX
WP,15,2012080800, 03,EE26,108,60.0,145.2, 32, 986,XX
WP,15,2012080800, 03,EE44,108,59.1,143.4, 39, 990,XX
WP,15,2012080800, 03,ECMF,  6,32.1,158.4, 40, 994,XX
WP,15,2012080800, 03,EE42, 12,32.1,157.4, 40, 994,XX
WP,15,2012080800, 03,EE32, 12,32.3,157.2, 41, 993,XX
WP,15,2012080800, 03,EE22, 12,32.3,157.0, 36, 996,XX
WP,15,2012080800, 03,EE28, 12,32.4,157.8, 44, 992,XX
WP,15,2012080800, 03,EE03, 12,32.4,157.4, 40, 993,XX
WP,15,2012080800, 03,EE20, 12,32.4,157.7, 42, 994,XX
WP,15,2012080800, 03,EE24, 12,32.4,157.6, 39, 995,XX
WP,15,2012080800, 03,EE10, 12,32.5,157.7, 42, 992,XX
WP,15,2012080800, 03,EE30, 12,32.5,157.8, 43, 993,XX
WP,15,2012080800, 03,EE18, 12,32.5,157.5, 45, 994,XX
WP,15,2012080800, 03,EE11, 12,32.5,157.5, 42, 995,XX
WP,15,2012080800, 03,EE04, 12,32.5,157.6, 44, 996,XX
WP,15,2012080800, 03,EE29, 12,32.5,157.1, 37, 997,XX
WP,15,2012080800, 03,EE15, 12,32.5,157.3, 37, 998,XX
WP,15,2012080800, 03,EE16, 12,32.6,157.6, 44, 992,XX
WP,15,2012080800, 03,EE43, 12,32.6,157.4, 41, 993,XX
WP,15,2012080800, 03,ECMF, 12,32.6,157.4, 39, 994,XX
WP,15,2012080800, 03,EE00, 12,32.6,157.5, 40, 995,XX
WP,15,2012080800, 03,EE02, 12,32.6,157.1, 36, 996,XX
WP,15,2012080800, 03,EE46, 12,32.6,157.6, 37, 999,XX
WP,15,2012080800, 03,EE45, 12,32.7,157.4, 45, 992,XX
WP,15,2012080800, 03,EE50, 12,32.7,157.7, 43, 993,XX
WP,15,2012080800, 03,EE37, 12,32.7,157.4, 44, 995,XX
WP,15,2012080800, 03,EE14, 12,32.7,157.6, 39, 996,XX
WP,15,2012080800, 03,EE05, 12,32.8,157.6, 48, 992,XX
WP,15,2012080800, 03,EE23, 12,32.8,157.4, 45, 993,XX
WP,15,2012080800, 03,EE01, 12,32.8,157.6, 45, 994,XX
WP,15,2012080800, 03,EE07, 12,32.8,157.5, 39, 996,XX
WP,15,2012080800, 03,EE09, 12,32.8,157.2, 41, 997,XX
WP,15,2012080800, 03,EE06, 12,32.8,157.1, 36, 998,XX
WP,15,2012080800, 03,EE48, 12,32.9,157.7, 45, 994,XX
WP,15,2012080800, 03,EE25, 12,32.9,157.3, 41, 995,XX
WP,15,2012080800, 03,EE36, 12,33.0,157.3, 41, 995,XX
WP,15,2012080800, 03,EE27, 12,33.0,157.1, 38, 997,XX
WP,15,2012080800, 03,EE49, 12,33.0,157.0, 37, 998,XX
WP,15,2012080800, 03,EE21, 12,33.1,157.8, 44, 995,XX
WP,15,2012080800, 03,EE19, 12,33.1,157.1, 41, 996,XX
WP,15,2012080800, 03,EE41, 12,33.1,157.7, 43, 997,XX
WP,15,2012080800, 03,ECMF, 18,33.3,156.5, 43, 993,XX
WP,15,2012080800, 03,EE42, 24,33.3,155.4, 41, 993,XX
WP,15,2012080800, 03,EE28, 24,33.5,155.5, 43, 992,XX
WP,15,2012080800, 03,EE03, 24,33.6,155.7, 47, 993,XX
WP,15,2012080800, 03,EE02, 24,33.6,155.1, 40, 996,XX
WP,15,2012080800, 03,EE20, 24,33.7,155.7, 48, 993,XX
WP,15,2012080800, 03,EE24, 24,33.7,155.9, 48, 995,XX
WP,15,2012080800, 03,EE22, 24,33.8,154.9, 42, 996,XX
WP,15,2012080800, 03,EE32, 24,33.9,155.5, 48, 991,XX
WP,15,2012080800, 03,EE10, 24,33.9,155.9, 48, 992,XX
WP,15,2012080800, 03,EE40, 24,33.9,155.0, 46, 993,XX
WP,15,2012080800, 03,EE31, 24,33.9,155.5, 48, 994,XX
WP,15,2012080800, 03,EE11, 24,33.9,155.6, 50, 995,XX
WP,15,2012080800, 03,EE47, 24,34.0,155.4, 46, 995,XX
WP,15,2012080800, 03,EE17, 24,34.1,155.6, 42, 994,XX
WP,15,2012080800, 03,EE29, 24,34.1,155.3, 44, 998,XX
WP,15,2012080800, 03,EE50, 24,34.2,155.8, 47, 993,XX
WP,15,2012080800, 03,ECMF, 24,34.2,155.4, 45, 994,XX
WP,15,2012080800, 03,EE00, 24,34.2,155.5, 46, 995,XX
WP,15,2012080800, 03,EE15, 24,34.2,155.3, 42, 998,XX
WP,15,2012080800, 03,EE46, 24,34.2,156.1, 43, 999,XX
WP,15,2012080800, 03,EE23, 24,34.3,155.0, 54, 990,XX
WP,15,2012080800, 03,EE30, 24,34.3,155.5, 46, 992,XX
WP,15,2012080800, 03,EE08, 24,34.3,155.1, 45, 994,XX
WP,15,2012080800, 03,EE04, 24,34.3,155.6, 49, 996,XX
WP,15,2012080800, 03,EE35, 24,34.3,155.4, 43, 997,XX
WP,15,2012080800, 03,EE45, 24,34.4,154.9, 45, 991,XX
WP,15,2012080800, 03,EE18, 24,34.4,155.2, 44, 995,XX
WP,15,2012080800, 03,EE13, 24,34.4,155.1, 46, 996,XX
WP,15,2012080800, 03,EE06, 24,34.4,155.1, 39, 999,XX
WP,15,2012080800, 03,EE16, 24,34.5,155.6, 54, 990,XX
WP,15,2012080800, 03,EE05, 24,34.5,155.3, 45, 992,XX
WP,15,2012080800, 03,EE12, 24,34.5,155.1, 43, 994,XX
WP,15,2012080800, 03,EE14, 24,34.5,155.6, 41, 997,XX
WP,15,2012080800, 03,EE25, 24,34.6,154.5, 44, 994,XX
WP,15,2012080800, 03,EE38, 24,34.6,155.2, 45, 997,XX
WP,15,2012080800, 03,EE01, 24,34.9,155.4, 50, 993,XX
WP,15,2012080800, 03,EE39, 24,34.9,155.4, 43, 996,XX
WP,15,2012080800, 03,EE19, 24,35.0,155.0, 43, 996,XX
WP,15,2012080800, 03,EE09, 24,35.0,155.0, 44, 998,XX
WP,15,2012080800, 03,EE49, 24,35.0,154.3, 41, 999,XX
WP,15,2012080800, 03,EE07, 24,35.1,155.2, 40, 998,XX
WP,15,2012080800, 03,EE27, 24,35.2,154.7, 42, 998,XX
WP,15,2012080800, 03,EE21, 24,35.3,155.6, 48, 994,XX
WP,15,2012080800, 03,EE41, 24,35.3,155.2, 45, 996,XX
WP,15,2012080800, 03,ECMF, 30,35.4,154.3, 50, 994,XX
WP,15,2012080800, 03,EE42, 36,35.1,153.6, 47, 994,XX
WP,15,2012080800, 03,EE28, 36,35.5,153.6, 43, 995,XX
WP,15,2012080800, 03,EE22, 36,35.8,152.4, 43, 997,XX
WP,15,2012080800, 03,EE03, 36,35.9,153.9, 48, 996,XX
WP,15,2012080800, 03,EE02, 36,35.9,153.1, 39, 999,XX
WP,15,2012080800, 03,EE40, 36,36.0,152.5, 48, 994,XX
WP,15,2012080800, 03,EE32, 36,36.1,153.4, 49, 992,XX
WP,15,2012080800, 03,EE10, 36,36.2,154.0, 46, 994,XX
WP,15,2012080800, 03,EE20, 36,36.2,153.6, 48, 996,XX
WP,15,2012080800, 03,EE26, 36,36.2,154.0, 41, 997,XX
WP,15,2012080800, 03,EE31, 36,36.2,153.5, 40, 999,XX
WP,15,2012080800, 03,EE50, 36,36.3,153.5, 45, 995,XX
WP,15,2012080800, 03,EE17, 36,36.4,153.4, 47, 994,XX
WP,15,2012080800, 03,EE47, 36,36.4,152.9, 45, 997,XX
WP,15,2012080800, 03,EE33, 36,36.5,152.7, 47, 996,XX
WP,15,2012080800, 03,EE11, 36,36.5,153.3, 45, 998,XX
WP,15,2012080800, 03,EE30, 36,36.6,153.5, 50, 994,XX
WP,15,2012080800, 03,ECMF, 36,36.7,153.1, 46, 995,XX
WP,15,2012080800, 03,EE08, 36,36.7,153.0, 45, 996,XX
WP,15,2012080800, 03,EE00, 36,36.7,153.2, 45, 997,XX
WP,15,2012080800, 03,EE29, 36,36.8,152.4, 38,1001,XX
WP,15,2012080800, 03,EE45, 36,36.8,152.6, 52, 992,XX
WP,15,2012080800, 03,EE05, 36,36.8,153.1, 51, 995,XX
WP,15,2012080800, 03,EE44, 36,36.8,152.9, 42, 996,XX
WP,15,2012080800, 03,EE35, 36,36.8,153.1, 42, 998,XX
WP,15,2012080800, 03,EE04, 36,36.8,153.1, 43, 999,XX
WP,15,2012080800, 03,EE15, 36,36.9,153.0, 37,1001,XX
WP,15,2012080800, 03,EE46, 36,37.0,154.1, 43,1002,XX
WP,15,2012080800, 03,EE23, 36,37.0,152.9, 51, 992,XX
WP,15,2012080800, 03,EE12, 36,37.0,153.0, 49, 995,XX
WP,15,2012080800, 03,EE34, 36,37.0,153.4, 42, 998,XX
WP,15,2012080800, 03,EE14, 36,37.0,153.3, 39, 999,XX
WP,15,2012080800, 03,EE37, 36,37.1,153.1, 45, 997,XX
WP,15,2012080800, 03,EE38, 36,37.1,152.9, 39, 999,XX
WP,15,2012080800, 03,EE06, 36,37.2,153.1, 38,1002,XX
WP,15,2012080800, 03,EE18, 36,37.2,152.8, 44, 997,XX
WP,15,2012080800, 03,EE25, 36,37.3,152.0, 49, 996,XX
WP,15,2012080800, 03,EE16, 36,37.4,153.0, 53, 993,XX
WP,15,2012080800, 03,EE39, 36,37.4,153.8, 43, 999,XX
WP,15,2012080800, 03,EE36, 36,37.5,152.4, 50, 997,XX
WP,15,2012080800, 03,EE07, 36,37.7,152.9, 42,1000,XX
WP,15,2012080800, 03,EE01, 36,37.7,152.9, 50, 994,XX
WP,15,2012080800, 03,EE27, 36,37.7,151.9, 48, 999,XX
WP,15,2012080800, 03,EE19, 36,37.8,152.5, 45, 999,XX
WP,15,2012080800, 03,EE48, 36,37.9,153.0, 49, 996,XX
WP,15,2012080800, 03,EE49, 36,38.1,151.6, 40,1003,XX
WP,15,2012080800, 03,EE21, 36,38.1,153.4, 50, 996,XX
WP,15,2012080800, 03,EE09, 36,38.2,151.9, 41,1001,XX
WP,15,2012080800, 03,EE41, 36,38.8,152.4, 50, 996,XX
WP,15,2012080800, 03,ECMF, 42,38.4,151.7, 46, 994,XX
WP,15,2012080800, 03,EE42, 48,37.0,151.6, 47, 992,XX
WP,15,2012080800, 03,EE02, 48,38.1,151.1, 40, 999,XX
WP,15,2012080800, 03,EE28, 48,38.3,151.1, 44, 995,XX
WP,15,2012080800, 03,EE22, 48,38.4,150.6, 41, 997,XX
WP,15,2012080800, 03,EE26, 48,38.5,152.1, 37, 998,XX
WP,15,2012080800, 03,EE03, 48,38.8,151.8, 49, 997,XX
WP,15,2012080800, 03,EE50, 48,38.9,151.5, 45, 994,XX
WP,15,2012080800, 03,EE10, 48,39.0,151.6, 44, 994,XX
WP,15,2012080800, 03,EE24, 48,39.0,151.3, 46, 995,XX
WP,15,2012080800, 03,EE32, 48,39.1,151.5, 46, 994,XX
WP,15,2012080800, 03,EE31, 48,39.2,151.5, 40,1000,XX
WP,15,2012080800, 03,EE40, 48,39.2,149.8, 49, 993,XX
WP,15,2012080800, 03,EE17, 48,39.3,151.5, 44, 995,XX
WP,15,2012080800, 03,EE20, 48,39.3,151.1, 43, 998,XX
WP,15,2012080800, 03,EE47, 48,39.4,149.9, 41, 996,XX
WP,15,2012080800, 03,EE44, 48,39.8,150.4, 50, 994,XX
WP,15,2012080800, 03,EE43, 48,39.8,151.0, 46, 998,XX
WP,15,2012080800, 03,EE05, 48,39.9,151.0, 47, 996,XX
WP,15,2012080800, 03,EE35, 48,39.9,151.1, 38, 999,XX
WP,15,2012080800, 03,EE04, 48,40.0,150.5, 41, 997,XX
WP,15,2012080800, 03,EE11, 48,40.0,150.4, 45, 998,XX
WP,15,2012080800, 03,EE46, 48,40.1,152.0, 37,1003,XX
WP,15,2012080800, 03,EE13, 48,40.1,149.6, 45, 994,XX
WP,15,2012080800, 03,EE00, 48,40.1,150.5, 44, 997,XX
WP,15,2012080800, 03,EE29, 48,40.3,149.8, 34,1002,XX
WP,15,2012080800, 03,EE45, 48,40.3,149.2, 45, 992,XX
WP,15,2012080800, 03,EE30, 48,40.3,151.1, 46, 994,XX
WP,15,2012080800, 03,ECMF, 48,40.4,150.4, 50, 995,XX
WP,15,2012080800, 03,EE37, 48,40.4,150.5, 43, 998,XX
WP,15,2012080800, 03,EE38, 48,40.5,150.8, 38,1001,XX
WP,15,2012080800, 03,EE08, 48,40.5,151.0, 44, 996,XX
WP,15,2012080800, 03,EE06, 48,40.6,150.5, 35,1003,XX
WP,15,2012080800, 03,EE12, 48,40.6,150.4, 46, 994,XX
WP,15,2012080800, 03,EE14, 48,40.6,151.0, 40, 998,XX
WP,15,2012080800, 03,EE34, 48,40.6,151.3, 41, 999,XX
WP,15,2012080800, 03,EE39, 48,40.7,152.1, 40,1000,XX
WP,15,2012080800, 03,EE27, 48,40.9,148.9, 42, 999,XX
WP,15,2012080800, 03,EE16, 48,41.1,149.6, 47, 994,XX
WP,15,2012080800, 03,EE01, 48,41.4,149.6, 51, 993,XX
WP,15,2012080800, 03,EE25, 48,41.4,149.3, 46, 996,XX
WP,15,2012080800, 03,EE36, 48,41.4,149.5, 46, 997,XX
WP,15,2012080800, 03,EE19, 48,41.7,150.1, 42,1000,XX
WP,15,2012080800, 03,EE21, 48,42.0,150.9, 48, 996,XX
WP,15,2012080800, 03,EE49, 48,42.5,149.3, 38,1004,XX
WP,15,2012080800, 03,EE09, 48,42.7,149.0, 43,1000,XX
WP,15,2012080800, 03,EE41, 48,42.9,148.8, 45, 997,XX
WP,15,2012080800, 03,ECMF, 54,42.5,148.8, 46, 995,XX
WP,15,2012080800, 03,EE42, 60,39.5,150.2, 47, 993,XX
WP,15,2012080800, 03,EE02, 60,40.8,149.8, 40,1003,XX
WP,15,2012080800, 03,EE28, 60,41.7,149.6, 45, 999,XX
WP,15,2012080800, 03,EE22, 60,41.8,149.1, 38,1000,XX
WP,15,2012080800, 03,EE26, 60,41.9,150.9, 44, 999,XX
WP,15,2012080800, 03,EE10, 60,42.7,148.4, 46, 992,XX
WP,15,2012080800, 03,EE50, 60,42.7,149.7, 49, 994,XX
WP,15,2012080800, 03,EE03, 60,42.8,149.6, 45,1000,XX
WP,15,2012080800, 03,EE20, 60,42.9,148.0, 45, 997,XX
WP,15,2012080800, 03,EE47, 60,43.1,147.0, 46, 997,XX
WP,15,2012080800, 03,EE17, 60,43.3,149.9, 43,1000,XX
WP,15,2012080800, 03,EE40, 60,43.3,147.2, 52, 995,XX
WP,15,2012080800, 03,EE32, 60,43.4,148.5, 48, 994,XX
WP,15,2012080800, 03,EE24, 60,43.4,148.5, 44, 996,XX
WP,15,2012080800, 03,EE04, 60,43.9,148.5, 37,1003,XX
WP,15,2012080800, 03,EE05, 60,43.9,148.4, 48, 997,XX
WP,15,2012080800, 03,EE30, 60,44.0,146.7, 45, 990,XX
WP,15,2012080800, 03,EE45, 60,44.0,146.3, 45, 993,XX
WP,15,2012080800, 03,EE33, 60,44.1,147.0, 47, 997,XX
WP,15,2012080800, 03,EE07, 60,44.2,148.5, 33,1004,XX
WP,15,2012080800, 03,EE00, 60,44.4,147.7, 48, 997,XX
WP,15,2012080800, 03,EE46, 60,44.5,150.0, 38,1003,XX
WP,15,2012080800, 03,EE16, 60,44.5,146.6, 48, 995,XX
WP,15,2012080800, 03,EE44, 60,44.5,147.8, 41, 997,XX
WP,15,2012080800, 03,EE12, 60,44.6,146.9, 43, 994,XX
WP,15,2012080800, 03,EE35, 60,44.6,148.5, 45, 995,XX
WP,15,2012080800, 03,EE13, 60,44.6,147.1, 50, 997,XX
WP,15,2012080800, 03,EE38, 60,44.7,148.6, 37,1002,XX
WP,15,2012080800, 03,ECMF, 60,44.7,147.4, 43, 998,XX
WP,15,2012080800, 03,EE11, 60,44.9,149.0, 54,1000,XX
WP,15,2012080800, 03,EE14, 60,45.0,148.3, 38,1000,XX
WP,15,2012080800, 03,EE27, 60,45.2,146.8, 39,1003,XX
WP,15,2012080800, 03,EE06, 60,45.4,148.4, 36,1004,XX
WP,15,2012080800, 03,EE34, 60,45.4,148.5, 42, 998,XX
WP,15,2012080800, 03,EE15, 60,45.4,148.0, 44, 999,XX
WP,15,2012080800, 03,EE36, 60,45.5,147.5, 38,1003,XX
WP,15,2012080800, 03,EE39, 60,45.5,150.0, 41, 999,XX
WP,15,2012080800, 03,EE25, 60,45.6,147.0, 48, 996,XX
WP,15,2012080800, 03,EE01, 60,45.6,146.5, 44, 998,XX
WP,15,2012080800, 03,EE08, 60,45.9,149.0, 42, 996,XX
WP,15,2012080800, 03,EE19, 60,46.1,148.3, 37,1002,XX
