basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,11,2012091600, 03,ECMF,  0,23.5,-116.0, 38,1000,XX
EP,11,2012091600, 03,EE22,  0,23.5,-116.0, 38, 998,XX
EP,11,2012091600, 03,EE02,  0,23.5,-116.0, 37, 999,XX
EP,11,2012091600, 03,ECMF,  6,24.0,-116.7, 47,1002,XX
EP,11,2012091600, 03,EE05, 12,24.1,-117.6, 44,1002,XX
EP,11,2012091600, 03,EE03, 12,24.2,-117.7, 42,1002,XX
EP,11,2012091600, 03,EE02, 12,24.3,-117.2, 40,1001,XX
EP,11,2012091600, 03,EE15, 12,24.4,-116.9, 43,1002,XX
EP,11,2012091600, 03,ECMF, 12,24.5,-117.5, 47,1002,XX
EP,11,2012091600, 03,EE00, 12,24.6,-117.5, 42,1002,XX
EP,11,2012091600, 03,EE16, 12,24.7,-118.1, 39,1002,XX
EP,11,2012091600, 03,EE01, 12,24.8,-118.0, 43,1004,XX
EP,11,2012091600, 03,EE46, 12,24.9,-117.2, 42,1003,XX
EP,11,2012091600, 03,EE06, 12,25.0,-117.3, 48,1002,XX
EP,11,2012091600, 03,ECMF, 18,25.0,-118.2, 39,1005,XX
EP,11,2012091600, 03,EE30, 24,24.9,-119.6, 37,1004,XX
EP,11,2012091600, 03,EE03, 24,25.0,-118.9, 38,1001,XX
EP,11,2012091600, 03,EE02, 24,25.1,-117.7, 38,1004,XX
EP,11,2012091600, 03,EE31, 24,25.2,-118.0, 38,1004,XX
EP,11,2012091600, 03,EE23, 24,25.3,-119.2, 35,1004,XX
EP,11,2012091600, 03,EE07, 24,25.4,-119.0, 37,1004,XX
EP,11,2012091600, 03,EE09, 24,25.5,-117.9, 34,1006,XX
EP,11,2012091600, 03,ECMF, 24,25.6,-118.6, 40,1003,XX
EP,11,2012091600, 03,EE19, 24,25.7,-118.5, 40,1003,XX
EP,11,2012091600, 03,EE17, 24,25.8,-118.9, 34,1005,XX
EP,11,2012091600, 03,EE10, 24,25.9,-119.1, 35,1006,XX
EP,11,2012091600, 03,EE04, 24,26.0,-118.4, 35,1004,XX
EP,11,2012091600, 03,EE01, 24,26.1,-119.2, 31,1007,XX
EP,11,2012091600, 03,EE29, 24,26.2,-117.4, 37,1006,XX
EP,11,2012091600, 03,EE06, 24,26.4,-118.4, 38,1004,XX
EP,11,2012091600, 03,ECMF, 30,26.0,-118.7, 36,1006,XX
EP,11,2012091600, 03,EE30, 36,25.2,-120.6, 33,1007,XX
EP,11,2012091600, 03,EE50, 36,25.4,-118.8, 30,1006,XX
EP,11,2012091600, 03,EE03, 36,25.6,-119.0, 34,1005,XX
EP,11,2012091600, 03,EE13, 36,25.7,-118.1, 30,1006,XX
EP,11,2012091600, 03,EE25, 36,25.9,-119.2, 32,1006,XX
EP,11,2012091600, 03,EE08, 36,26.0,-118.7, 37,1005,XX
EP,11,2012091600, 03,EE02, 36,26.1,-117.5, 31,1006,XX
EP,11,2012091600, 03,EE07, 36,26.2,-119.4, 33,1006,XX
EP,11,2012091600, 03,EE11, 36,26.4,-118.5, 30,1008,XX
EP,11,2012091600, 03,ECMF, 36,26.5,-118.9, 35,1006,XX
EP,11,2012091600, 03,EE10, 36,26.6,-119.6, 29,1008,XX
EP,11,2012091600, 03,EE41, 36,26.7,-119.7, 27,1008,XX
EP,11,2012091600, 03,EE19, 36,26.8,-118.5, 30,1006,XX
EP,11,2012091600, 03,EE04, 36,26.9,-118.9, 31,1007,XX
EP,11,2012091600, 03,EE14, 36,27.0,-119.3, 30,1008,XX
EP,11,2012091600, 03,EE29, 36,27.2,-117.7, 30,1008,XX
EP,11,2012091600, 03,EE34, 36,27.3,-118.0, 28,1007,XX
EP,11,2012091600, 03,EE01, 36,27.5,-119.6, 31,1009,XX
EP,11,2012091600, 03,EE06, 36,27.9,-118.7, 29,1008,XX
EP,11,2012091600, 03,ECMF, 42,26.9,-118.8, 30,1009,XX
EP,11,2012091600, 03,EE30, 48,25.3,-121.1, 33,1010,XX
EP,11,2012091600, 03,EE05, 48,25.6,-119.6, 31,1009,XX
EP,11,2012091600, 03,EE13, 48,25.9,-117.8, 29,1008,XX
EP,11,2012091600, 03,EE40, 48,26.0,-118.9, 28,1010,XX
EP,11,2012091600, 03,EE31, 48,26.1,-117.0, 30,1009,XX
EP,11,2012091600, 03,EE02, 48,26.3,-116.9, 31,1007,XX
EP,11,2012091600, 03,EE21, 48,26.4,-118.5, 26,1011,XX
EP,11,2012091600, 03,EE03, 48,26.5,-118.6, 37,1006,XX
EP,11,2012091600, 03,EE15, 48,26.6,-118.5, 32,1006,XX
EP,11,2012091600, 03,EE11, 48,26.7,-117.9, 29,1010,XX
EP,11,2012091600, 03,EE26, 48,26.8,-117.3, 27,1009,XX
EP,11,2012091600, 03,EE18, 48,26.9,-117.6, 27,1008,XX
EP,11,2012091600, 03,EE00, 48,27.0,-118.3, 30,1009,XX
EP,11,2012091600, 03,ECMF, 48,27.1,-118.4, 33,1008,XX
EP,11,2012091600, 03,EE07, 48,27.2,-119.2, 26,1008,XX
EP,11,2012091600, 03,EE10, 48,27.3,-118.8, 26,1009,XX
EP,11,2012091600, 03,EE04, 48,27.4,-118.9, 34,1008,XX
EP,11,2012091600, 03,EE24, 48,27.5,-117.3, 26,1009,XX
EP,11,2012091600, 03,EE41, 48,27.6,-119.4, 26,1010,XX
EP,11,2012091600, 03,EE27, 48,27.8,-117.9, 27,1009,XX
EP,11,2012091600, 03,EE14, 48,27.9,-118.4, 24,1009,XX
EP,11,2012091600, 03,EE16, 48,28.0,-119.8, 22,1010,XX
EP,11,2012091600, 03,EE17, 48,28.1,-118.8, 21,1010,XX
EP,11,2012091600, 03,EE39, 48,28.2,-117.8, 27,1009,XX
EP,11,2012091600, 03,EE01, 48,28.4,-119.6, 22,1010,XX
EP,11,2012091600, 03,EE06, 48,28.8,-118.5, 25,1009,XX
EP,11,2012091600, 03,ECMF, 54,27.0,-117.9, 27,1011,XX
EP,11,2012091600, 03,EE05, 60,24.7,-119.7, 26,1011,XX
