basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
SH,14,2012060612, 03,EE50,  0,-10.4,57.8, 56, 990,XX
SH,14,2012060612, 03,EE06,  0,-10.4,57.8, 47, 991,XX
SH,14,2012060612, 03,EE13,  0,-10.5,57.9, 45, 992,XX
SH,14,2012060612, 03,EE04,  0,-10.4,57.7, 45, 993,XX
SH,14,2012060612, 03,ECMF,  0,-10.4,57.7, 42, 994,XX
SH,14,2012060612, 03,EE02,  0,-10.4,57.7, 45, 995,XX
SH,14,2012060612, 03,EE03,  0,-10.4,57.9, 38, 996,XX
SH,14,2012060612, 03,EE05,  0,-10.4,57.8, 38, 997,XX
SH,14,2012060612, 03,EE09,  0,-10.5,57.8, 34, 998,XX
SH,14,2012060612, 03,ECMF,  6,-10.5,57.2, 60, 996,XX
SH,14,2012060612, 03,EE00, 12,-10.1,56.4, 47,1000,XX
SH,14,2012060612, 03,EE37, 12,-11.0,56.8, 56, 992,XX
SH,14,2012060612, 03,EE30, 12,-11.1,57.6, 68, 993,XX
SH,14,2012060612, 03,ECMF, 12,-10.5,56.6, 64, 994,XX
SH,14,2012060612, 03,EE21, 12,-10.9,56.8, 56, 995,XX
SH,14,2012060612, 03,EE01, 12,-10.5,56.7, 58, 996,XX
SH,14,2012060612, 03,EE08, 12,-9.9,57.7, 56, 997,XX
SH,14,2012060612, 03,EE06, 12,-10.1,56.6, 49, 998,XX
SH,14,2012060612, 03,EE12, 12,-9.8,56.9, 48, 999,XX
SH,14,2012060612, 03,ECMF, 18,-10.3,55.9, 35,1002,XX
SH,14,2012060612, 03,ECMF, 24,-10.5,55.0, 32,1002,XX
SH,14,2012060612, 03,EE37, 24,-12.4,56.1, 58, 994,XX
SH,14,2012060612, 03,EE33, 24,-12.1,54.5, 50, 996,XX
SH,14,2012060612, 03,EE30, 24,-11.4,55.9, 53, 997,XX
SH,14,2012060612, 03,EE19, 24,-11.3,55.2, 45, 998,XX
SH,14,2012060612, 03,EE06, 24,-9.9,55.4, 47, 999,XX
SH,14,2012060612, 03,ECMF, 30,-10.6,54.4, 32,1006,XX
SH,14,2012060612, 03,ECMF, 36,-10.9,53.0, 42,1002,XX
SH,14,2012060612, 03,EE06, 36,-9.9,53.6, 50, 997,XX
SH,14,2012060612, 03,EE30, 36,-11.1,54.6, 51, 998,XX
SH,14,2012060612, 03,ECMF, 42,-10.2,52.6, 34,1008,XX
SH,14,2012060612, 03,ECMF, 48,-10.0,52.0, 34,1006,XX
SH,14,2012060612, 03,EE06, 48,-10.1,52.4, 63, 998,XX
SH,14,2012060612, 03,ECMF, 54,-9.8,51.1, 29,1010,XX
SH,14,2012060612, 03,ECMF, 60,-9.1,50.4, 28,1008,XX
SH,14,2012060612, 03,ECMF, 66,-8.5,49.6, 24,1012,XX
SH,14,2012060612, 03,ECMF, 72,-7.7,48.9, 25,1010,XX
SH,14,2012060612, 03,ECMF, 78,-6.5,48.4, 25,1012,XX
SH,14,2012060612, 03,ECMF, 84,-5.3,47.7, 25,1010,XX
SH,14,2012060612, 03,ECMF, 90,-3.0,51.0, 13,1014,XX
SH,14,2012060612, 03,EE00, 96,-1.1,48.2, 22,1010,XX
SH,14,2012060612, 03,EE38, 72,0.1,55.7, 21,1008,XX
SH,14,2012060612, 03,EE46, 96,0.1,51.3, 24,1009,XX
SH,14,2012060612, 03,ECMF, 96,0.2,55.2, 13,1009,XX
SH,14,2012060612, 03,EE08, 96,0.4,49.7, 24,1010,XX
SH,14,2012060612, 03,EE22,108,0.4,58.1, 15,1009,XX
SH,14,2012060612, 03,EE42,120,0.4,57.2, 17,1008,XX
SH,14,2012060612, 03,EE11,108,-0.5,52.6, 17,1010,XX
SH,14,2012060612, 03,EE07,108,-0.5,49.3, 19,1010,XX
SH,14,2012060612, 03,EE19,108,-3.4,46.4, 21,1010,XX
SH,14,2012060612, 03,EE30,108,-2.4,49.0, 22,1010,XX
SH,14,2012060612, 03,EE01,108,-1.9,48.5, 23,1010,XX
SH,14,2012060612, 03,EE10,120,2.7,44.2, 24,1009,XX
SH,14,2012060612, 03,EE48,120,-0.8,45.4, 24,1010,XX
SH,14,2012060612, 03,EE48,108,-3.2,45.5, 25,1011,XX
SH,14,2012060612, 03,EE09,108,0.5,47.1, 26,1010,XX
SH,14,2012060612, 03,EE10,108,-2.5,44.1, 26,1012,XX
SH,14,2012060612, 03,EE06,108,1.4,45.1, 27,1010,XX
SH,14,2012060612, 03,EE50,108,-4.0,45.6, 27,1011,XX
SH,14,2012060612, 03,EE13,108,-3.9,43.8, 28,1012,XX
SH,14,2012060612, 03,EE33,108,-4.4,47.5, 29,1009,XX
SH,14,2012060612, 03,EE23,108,-1.5,46.2, 29,1010,XX
SH,14,2012060612, 03,EE31,108,-3.4,42.8, 29,1011,XX
SH,14,2012060612, 03,EE13,120,0.3,41.5, 30,1009,XX
SH,14,2012060612, 03,EE39,108,-3.1,43.7, 30,1011,XX
SH,14,2012060612, 03,EE21,108,-5.0,43.0, 30,1012,XX
SH,14,2012060612, 03,EE37,108,-10.6,43.5, 35,1012,XX
SH,14,2012060612, 03,EE37,120,-8.6,42.5, 44,1013,XX
