basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,12,2012091600, 03,ECMF,  0,13.5,-124.0, 26,1003,XX
EP,12,2012091600, 03,EE01,  0,13.6,-124.0, 25,1003,XX
EP,12,2012091600, 03,ECMF,  6,13.5,-124.5, 43,1004,XX
EP,12,2012091600, 03,EE32, 12,13.2,-125.1, 44,1001,XX
EP,12,2012091600, 03,EE03, 12,13.3,-125.0, 48,1002,XX
EP,12,2012091600, 03,EE06, 12,13.5,-124.4, 38,1002,XX
EP,12,2012091600, 03,EE26, 12,13.6,-125.0, 35,1002,XX
EP,12,2012091600, 03,EE13, 12,13.7,-125.1, 42,1002,XX
EP,12,2012091600, 03,EE02, 12,13.8,-125.6, 41,1002,XX
EP,12,2012091600, 03,EE28, 12,13.9,-124.6, 38,1004,XX
EP,12,2012091600, 03,ECMF, 12,14.0,-125.1, 38,1002,XX
EP,12,2012091600, 03,EE00, 12,14.1,-125.1, 36,1003,XX
EP,12,2012091600, 03,EE27, 12,14.1,-125.7, 52, 999,XX
EP,12,2012091600, 03,EE01, 12,14.2,-125.1, 38,1003,XX
EP,12,2012091600, 03,EE29, 12,14.3,-124.7, 40,1003,XX
EP,12,2012091600, 03,EE18, 12,14.5,-125.8, 46,1002,XX
EP,12,2012091600, 03,EE04, 12,14.6,-125.4, 35,1004,XX
EP,12,2012091600, 03,EE11, 12,14.7,-125.5, 37,1004,XX
EP,12,2012091600, 03,EE45, 12,15.0,-125.7, 43,1004,XX
EP,12,2012091600, 03,EE05, 12,15.1,-126.0, 38,1004,XX
EP,12,2012091600, 03,ECMF, 18,14.5,-125.6, 41,1005,XX
EP,12,2012091600, 03,EE32, 24,13.9,-126.0, 36,1000,XX
EP,12,2012091600, 03,EE02, 24,14.3,-126.6, 44,1002,XX
EP,12,2012091600, 03,EE47, 24,14.4,-126.5, 42,1000,XX
EP,12,2012091600, 03,EE46, 24,14.5,-125.4, 39,1002,XX
EP,12,2012091600, 03,EE27, 24,14.5,-127.0, 47, 998,XX
EP,12,2012091600, 03,EE06, 24,14.6,-125.4, 35,1001,XX
EP,12,2012091600, 03,EE23, 24,14.6,-125.5, 48, 998,XX
EP,12,2012091600, 03,EE17, 24,14.7,-125.4, 29,1003,XX
EP,12,2012091600, 03,EE36, 24,14.7,-125.7, 44, 999,XX
EP,12,2012091600, 03,EE12, 24,14.8,-125.5, 44,1002,XX
EP,12,2012091600, 03,EE07, 24,14.9,-126.5, 41,1002,XX
EP,12,2012091600, 03,EE00, 24,15.0,-126.2, 37,1003,XX
EP,12,2012091600, 03,ECMF, 24,15.1,-126.2, 41,1002,XX
EP,12,2012091600, 03,EE42, 24,15.2,-127.0, 45,1002,XX
EP,12,2012091600, 03,EE01, 24,15.3,-126.0, 42,1003,XX
EP,12,2012091600, 03,EE04, 24,15.4,-126.9, 41,1003,XX
EP,12,2012091600, 03,EE15, 24,15.5,-126.2, 40,1005,XX
EP,12,2012091600, 03,EE18, 24,15.6,-126.6, 40,1002,XX
EP,12,2012091600, 03,EE50, 24,15.7,-126.4, 39,1003,XX
EP,12,2012091600, 03,EE34, 24,15.9,-126.6, 44,1005,XX
EP,12,2012091600, 03,EE45, 24,16.0,-127.1, 37,1006,XX
EP,12,2012091600, 03,ECMF, 30,15.5,-127.0, 43,1005,XX
EP,12,2012091600, 03,EE32, 36,14.1,-127.3, 38,1000,XX
EP,12,2012091600, 03,EE03, 36,14.7,-127.3, 40,1000,XX
EP,12,2012091600, 03,EE02, 36,15.0,-127.6, 39,1003,XX
EP,12,2012091600, 03,EE06, 36,15.1,-126.5, 39,1000,XX
EP,12,2012091600, 03,EE37, 36,15.4,-126.2, 43,1002,XX
EP,12,2012091600, 03,EE12, 36,15.5,-126.3, 40,1002,XX
EP,12,2012091600, 03,EE24, 36,15.6,-128.7, 39,1004,XX
EP,12,2012091600, 03,EE16, 36,15.6,-127.3, 46, 999,XX
EP,12,2012091600, 03,EE00, 36,15.7,-127.6, 38,1003,XX
EP,12,2012091600, 03,EE10, 36,15.8,-126.9, 40,1002,XX
EP,12,2012091600, 03,EE29, 36,15.9,-126.1, 37,1004,XX
EP,12,2012091600, 03,EE23, 36,15.9,-126.1, 51, 998,XX
EP,12,2012091600, 03,ECMF, 36,16.0,-127.6, 38,1002,XX
EP,12,2012091600, 03,EE08, 36,16.1,-126.5, 33,1005,XX
EP,12,2012091600, 03,EE43, 36,16.2,-127.6, 44,1001,XX
EP,12,2012091600, 03,EE19, 36,16.3,-127.0, 42, 999,XX
EP,12,2012091600, 03,EE09, 36,16.4,-128.0, 36,1004,XX
EP,12,2012091600, 03,EE05, 36,16.5,-130.4, 44,1006,XX
EP,12,2012091600, 03,EE11, 36,16.7,-127.4, 33,1005,XX
EP,12,2012091600, 03,EE22, 36,16.8,-126.1, 50,1002,XX
EP,12,2012091600, 03,EE18, 36,17.0,-126.9, 45,1003,XX
EP,12,2012091600, 03,EE48, 36,17.4,-127.9, 36,1002,XX
EP,12,2012091600, 03,ECMF, 42,16.5,-128.2, 38,1005,XX
EP,12,2012091600, 03,EE32, 48,15.2,-128.8, 36,1001,XX
EP,12,2012091600, 03,EE17, 48,15.8,-126.9, 34,1002,XX
EP,12,2012091600, 03,EE20, 48,15.9,-130.6, 28,1005,XX
EP,12,2012091600, 03,EE47, 48,16.0,-128.5, 41,1000,XX
EP,12,2012091600, 03,EE03, 48,16.0,-127.9, 48, 999,XX
EP,12,2012091600, 03,EE06, 48,16.3,-126.6, 49, 998,XX
EP,12,2012091600, 03,EE02, 48,16.4,-128.8, 35,1002,XX
EP,12,2012091600, 03,EE07, 48,16.5,-127.4, 37,1002,XX
EP,12,2012091600, 03,EE13, 48,16.5,-126.5, 46, 997,XX
EP,12,2012091600, 03,EE12, 48,16.8,-126.3, 41,1002,XX
EP,12,2012091600, 03,EE44, 48,16.9,-128.1, 33,1004,XX
EP,12,2012091600, 03,EE10, 48,17.0,-127.1, 36,1004,XX
EP,12,2012091600, 03,EE16, 48,17.0,-128.4, 47, 999,XX
EP,12,2012091600, 03,EE26, 48,17.1,-127.9, 42,1001,XX
