basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,12,2012090500, 03,EE15,  0,25.3,-62.5, 55, 988,XX
AL,12,2012090500, 03,EE22,  0,25.3,-62.5, 46, 991,XX
AL,12,2012090500, 03,EE04,  0,25.4,-62.5, 56, 987,XX
AL,12,2012090500, 03,EE25,  0,25.4,-62.5, 52, 988,XX
AL,12,2012090500, 03,EE18,  0,25.4,-62.5, 52, 989,XX
AL,12,2012090500, 03,ECMF,  0,25.4,-62.5, 47, 990,XX
AL,12,2012090500, 03,EE00,  0,25.4,-62.5, 46, 991,XX
AL,12,2012090500, 03,EE07,  0,25.4,-62.5, 43, 992,XX
AL,12,2012090500, 03,EE03,  0,25.4,-62.5, 42, 994,XX
AL,12,2012090500, 03,EE23,  0,25.4,-62.5, 41, 995,XX
AL,12,2012090500, 03,EE16,  0,25.5,-62.5, 44, 994,XX
AL,12,2012090500, 03,EE06,108,32.5,-68.0, 56, 992,XX
AL,12,2012090500, 03,EE06,120,35.9,-66.2, 60, 989,XX
AL,12,2012090500, 03,EE15,108,34.0,-65.0, 61, 981,XX
AL,12,2012090500, 03,EE22,108,34.2,-68.5, 62, 968,XX
AL,12,2012090500, 03,EE28,120,34.0,-65.4, 64, 978,XX
AL,12,2012090500, 03,EE28,108,31.6,-66.0, 65, 981,XX
AL,12,2012090500, 03,EE10,120,38.6,-64.1, 66, 978,XX
AL,12,2012090500, 03,EE24,120,43.4,-57.2, 67, 987,XX
AL,12,2012090500, 03,EE20,120,39.2,-62.9, 68, 972,XX
AL,12,2012090500, 03,EE23,108,33.5,-65.6, 69, 973,XX
AL,12,2012090500, 03,EE04,108,33.9,-67.0, 70, 972,XX
AL,12,2012090500, 03,EE12,108,31.5,-63.6, 71, 963,XX
AL,12,2012090500, 03,EE07,108,35.0,-66.9, 72, 972,XX
AL,12,2012090500, 03,EE12,120,33.0,-62.1, 73, 957,XX
AL,12,2012090500, 03,EE09,120,36.0,-66.6, 74, 970,XX
AL,12,2012090500, 03,EE13,120,35.5,-63.9, 75, 968,XX
AL,12,2012090500, 03,EE03,108,36.1,-64.1, 76, 972,XX
AL,12,2012090500, 03,EE03,120,39.5,-62.5, 77, 972,XX
AL,12,2012090500, 03,EE34,108,33.5,-64.9, 78, 961,XX
AL,12,2012090500, 03,EE00,108,33.7,-65.6, 79, 962,XX
AL,12,2012090500, 03,EE13,108,32.6,-65.4, 80, 964,XX
AL,12,2012090500, 03,EE14,120,33.4,-65.6, 81, 960,XX
AL,12,2012090500, 03,EE23,120,37.0,-64.1, 82, 966,XX
AL,12,2012090500, 03,EE00,120,37.0,-65.2, 83, 960,XX
AL,12,2012090500, 03,EE05,120,38.0,-63.8, 84, 974,XX
AL,12,2012090500, 03,EE01,108,33.0,-64.8, 85, 966,XX
AL,12,2012090500, 03,EE04,120,37.5,-65.1, 86, 966,XX
AL,12,2012090500, 03,EE27,120,38.0,-64.0, 87, 959,XX
AL,12,2012090500, 03,ECMF,102,32.6,-65.6, 88, 939,XX
AL,12,2012090500, 03,EE40,108,36.1,-63.8, 92, 949,XX
AL,12,2012090500, 03,ECMF,114,35.4,-65.7, 93, 935,XX
