basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,23,2012100300, 03,EE21,  0,24.0,141.2, 41, 988,XX
WP,23,2012100300, 03,EE01,  0,24.0,141.2, 41, 989,XX
WP,23,2012100300, 03,EE04,  0,24.0,141.3, 36, 990,XX
WP,23,2012100300, 03,EE14,  0,24.1,141.3, 41, 987,XX
WP,23,2012100300, 03,EE05,  0,24.1,141.4, 40, 988,XX
WP,23,2012100300, 03,ECMF,  0,24.1,141.3, 38, 989,XX
WP,23,2012100300, 03,EE08,  0,24.1,141.4, 39, 990,XX
WP,23,2012100300, 03,EE13,  0,24.1,141.3, 35, 991,XX
WP,23,2012100300, 03,EE03,  0,24.2,141.3, 40, 988,XX
WP,23,2012100300, 03,EE02,  0,24.2,141.4, 38, 989,XX
WP,23,2012100300, 03,EE06,  0,24.2,141.1, 39, 990,XX
WP,23,2012100300, 03,ECMF,  6,26.4,141.4, 52, 986,XX
WP,23,2012100300, 03,EE46, 12,27.7,141.8, 60, 990,XX
WP,23,2012100300, 03,EE09, 12,27.8,141.9, 62, 989,XX
WP,23,2012100300, 03,EE40, 12,27.9,141.9, 60, 987,XX
WP,23,2012100300, 03,EE18, 12,27.9,141.7, 59, 988,XX
WP,23,2012100300, 03,EE13, 12,27.9,141.0, 58, 990,XX
WP,23,2012100300, 03,EE29, 12,28.0,142.0, 61, 989,XX
WP,23,2012100300, 03,EE27, 12,28.1,141.5, 55, 987,XX
WP,23,2012100300, 03,EE04, 12,28.1,141.6, 57, 988,XX
WP,23,2012100300, 03,EE38, 12,28.2,141.9, 57, 986,XX
WP,23,2012100300, 03,EE20, 12,28.2,142.0, 61, 987,XX
WP,23,2012100300, 03,EE32, 12,28.2,141.2, 61, 988,XX
WP,23,2012100300, 03,EE07, 12,28.4,141.6, 71, 985,XX
WP,23,2012100300, 03,EE15, 12,28.4,141.7, 59, 986,XX
WP,23,2012100300, 03,EE12, 12,28.4,141.3, 65, 988,XX
WP,23,2012100300, 03,EE35, 12,28.5,141.8, 55, 985,XX
WP,23,2012100300, 03,EE44, 12,28.5,141.9, 61, 986,XX
WP,23,2012100300, 03,EE24, 12,28.5,141.8, 58, 987,XX
WP,23,2012100300, 03,EE47, 12,28.6,141.3, 57, 986,XX
WP,23,2012100300, 03,EE03, 12,28.6,142.1, 56, 987,XX
WP,23,2012100300, 03,EE08, 12,28.6,141.8, 54, 988,XX
WP,23,2012100300, 03,EE23, 12,28.7,141.8, 57, 986,XX
WP,23,2012100300, 03,EE00, 12,28.7,141.6, 56, 987,XX
WP,23,2012100300, 03,EE30, 12,28.7,141.3, 54, 988,XX
WP,23,2012100300, 03,EE43, 12,28.8,141.5, 56, 987,XX
WP,23,2012100300, 03,EE28, 12,28.8,141.9, 58, 988,XX
WP,23,2012100300, 03,EE05, 12,28.9,141.7, 54, 984,XX
WP,23,2012100300, 03,ECMF, 12,28.9,141.7, 59, 985,XX
WP,23,2012100300, 03,EE19, 12,28.9,141.4, 55, 988,XX
WP,23,2012100300, 03,EE25, 12,29.0,142.2, 58, 984,XX
WP,23,2012100300, 03,EE50, 12,29.0,141.6, 58, 985,XX
WP,23,2012100300, 03,EE10, 12,29.0,141.8, 55, 986,XX
WP,23,2012100300, 03,EE34, 12,29.0,141.9, 54, 987,XX
WP,23,2012100300, 03,EE06, 12,29.0,141.5, 57, 988,XX
WP,23,2012100300, 03,EE36, 12,29.1,141.6, 56, 985,XX
WP,23,2012100300, 03,EE14, 12,29.1,142.0, 61, 986,XX
WP,23,2012100300, 03,EE16, 12,29.2,141.5, 55, 987,XX
WP,23,2012100300, 03,EE11, 12,29.3,142.4, 63, 984,XX
WP,23,2012100300, 03,EE22, 12,29.3,141.5, 59, 986,XX
WP,23,2012100300, 03,EE42, 12,29.5,142.0, 56, 987,XX
WP,23,2012100300, 03,EE17, 12,29.6,141.4, 55, 986,XX
WP,23,2012100300, 03,EE21, 12,29.8,139.5, 54, 985,XX
WP,23,2012100300, 03,EE39, 12,29.8,141.4, 55, 987,XX
WP,23,2012100300, 03,EE02, 12,29.9,141.6, 60, 984,XX
WP,23,2012100300, 03,EE37, 12,29.9,141.4, 57, 987,XX
WP,23,2012100300, 03,EE01, 12,30.0,139.6, 53, 986,XX
WP,23,2012100300, 03,ECMF, 18,31.6,142.9, 67, 982,XX
WP,23,2012100300, 03,EE41, 24,33.4,141.0, 62, 993,XX
WP,23,2012100300, 03,EE20, 24,34.0,144.2, 68, 983,XX
WP,23,2012100300, 03,EE32, 24,34.1,142.8, 69, 980,XX
WP,23,2012100300, 03,EE40, 24,34.1,144.1, 62, 981,XX
WP,23,2012100300, 03,EE34, 24,34.1,142.7, 72, 982,XX
WP,23,2012100300, 03,EE13, 24,34.1,143.8, 72, 985,XX
WP,23,2012100300, 03,EE18, 24,34.2,142.7, 63, 976,XX
WP,23,2012100300, 03,EE27, 24,34.3,143.6, 63, 980,XX
WP,23,2012100300, 03,EE04, 24,34.4,144.6, 72, 980,XX
