basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,23,2012101912, 03,EE19,  0,31.3,159.8, 29,1008,XX
WP,23,2012101912, 03,EE05,  0,31.4,159.6, 25,1008,XX
WP,23,2012101912, 03,ECMF,  0,31.5,159.6, 26,1008,XX
WP,23,2012101912, 03,EE20,  0,31.6,159.6, 27,1007,XX
WP,23,2012101912, 03,ECMF,  6,31.7,160.3, 31,1008,XX
WP,23,2012101912, 03,EE01, 12,32.7,160.9, 34,1008,XX
WP,23,2012101912, 03,EE28, 12,33.0,161.0, 36,1008,XX
WP,23,2012101912, 03,EE03, 12,33.1,160.9, 38,1008,XX
WP,23,2012101912, 03,EE49, 12,33.2,161.0, 42,1008,XX
WP,23,2012101912, 03,EE42, 12,33.3,160.9, 40,1009,XX
WP,23,2012101912, 03,EE34, 12,33.6,160.4, 38,1009,XX
WP,23,2012101912, 03,EE37, 12,33.8,160.8, 37,1009,XX
