basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
WP,05,2012060200, 03,EE10,  0,16.9,124.0, 48, 994,XX
WP,05,2012060200, 03,EE02,  0,16.9,124.1, 38, 995,XX
WP,05,2012060200, 03,EE04,  0,16.9,123.9, 40, 996,XX
WP,05,2012060200, 03,EE07,  0,16.9,123.8, 36, 998,XX
WP,05,2012060200, 03,EE13,  0,16.9,123.8, 33, 999,XX
WP,05,2012060200, 03,EE34,  0,17.0,124.0, 48, 993,XX
WP,05,2012060200, 03,EE06,  0,17.0,124.0, 37, 994,XX
WP,05,2012060200, 03,EE16,  0,17.0,124.0, 40, 995,XX
WP,05,2012060200, 03,ECMF,  0,17.0,123.9, 34, 996,XX
WP,05,2012060200, 03,EE01,  0,17.0,123.6, 34, 997,XX
WP,05,2012060200, 03,EE05,  0,17.0,123.8, 33, 998,XX
WP,05,2012060200, 03,EE17,  0,17.1,123.7, 33, 997,XX
WP,05,2012060200, 03,EE19,  0,17.1,123.8, 31, 998,XX
WP,05,2012060200, 03,EE16,120,27.8,134.7, 35, 992,XX
WP,05,2012060200, 03,EE49,108,27.9,136.0, 36, 997,XX
WP,05,2012060200, 03,EE34,120,30.9,132.5, 39, 990,XX
WP,05,2012060200, 03,EE37,120,30.1,140.0, 40, 999,XX
WP,05,2012060200, 03,EE04,120,30.0,135.3, 41, 988,XX
WP,05,2012060200, 03,EE05,120,30.7,133.8, 42, 991,XX
WP,05,2012060200, 03,EE06,120,32.0,143.1, 43, 993,XX
WP,05,2012060200, 03,EE01,108,30.6,132.4, 44, 983,XX
WP,05,2012060200, 03,EE00,120,29.9,137.6, 45, 990,XX
WP,05,2012060200, 03,EE13,108,30.4,139.0, 46, 987,XX
WP,05,2012060200, 03,EE00,108,29.5,134.8, 47, 986,XX
WP,05,2012060200, 03,EE13,120,31.2,142.7, 48, 991,XX
WP,05,2012060200, 03,EE01,120,31.2,135.0, 49, 986,XX
WP,05,2012060200, 03,EE09,108,30.6,133.9, 50, 983,XX
WP,05,2012060200, 03,EE04,108,28.7,133.1, 51, 986,XX
WP,05,2012060200, 03,ECMF,114,30.0,140.0, 52, 984,XX
WP,05,2012060200, 03,EE08,120,36.3,147.3, 53, 983,XX
WP,05,2012060200, 03,EE03,108,30.2,136.2, 54, 983,XX
WP,05,2012060200, 03,EE07,108,27.9,130.1, 55, 981,XX
WP,05,2012060200, 03,ECMF,108,29.4,137.7, 57, 982,XX
WP,05,2012060200, 03,EE03,120,31.1,140.4, 58, 988,XX
WP,05,2012060200, 03,EE30,120,34.3,143.3, 59, 976,XX
WP,05,2012060200, 03,EE12,120,29.8,133.0, 60, 974,XX
WP,05,2012060200, 03,EE20,120,35.2,144.8, 61, 976,XX
WP,05,2012060200, 03,EE40,108,30.3,134.6, 62, 977,XX
WP,05,2012060200, 03,EE35,120,36.0,152.2, 63, 978,XX
WP,05,2012060200, 03,EE28,108,33.3,140.5, 64, 981,XX
