basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,13,2012091112, 03,ECMF,  0,38.0,-47.6, 39,1004,XX
AL,13,2012091112, 03,ECMF,  6,40.1,-46.6, 55,1006,XX
AL,13,2012091112, 03,EE06, 12,41.9,-45.5, 44,1010,XX
AL,13,2012091112, 03,EE02, 12,42.0,-45.1, 46,1008,XX
AL,13,2012091112, 03,EE04, 12,42.1,-45.3, 45,1009,XX
AL,13,2012091112, 03,EE00, 12,42.2,-45.1, 47,1009,XX
AL,13,2012091112, 03,EE19, 12,42.3,-45.1, 48,1008,XX
AL,13,2012091112, 03,ECMF, 12,42.4,-45.1, 48,1008,XX
AL,13,2012091112, 03,EE01, 12,42.5,-45.1, 47,1010,XX
AL,13,2012091112, 03,EE05, 12,42.6,-45.1, 46,1008,XX
AL,13,2012091112, 03,EE12, 12,42.7,-44.7, 49,1010,XX
AL,13,2012091112, 03,EE47, 12,42.9,-45.2, 47,1008,XX
AL,13,2012091112, 03,ECMF, 18,44.8,-43.1, 56,1006,XX
AL,13,2012091112, 03,EE39, 24,46.0,-40.7, 45,1007,XX
AL,13,2012091112, 03,EE48, 24,46.1,-41.2, 46,1008,XX
AL,13,2012091112, 03,EE06, 24,46.2,-41.5, 46,1009,XX
AL,13,2012091112, 03,EE24, 24,46.3,-41.2, 43,1010,XX
AL,13,2012091112, 03,EE15, 24,46.4,-40.3, 45,1010,XX
AL,13,2012091112, 03,EE02, 24,46.5,-41.0, 50,1005,XX
AL,13,2012091112, 03,EE21, 24,46.6,-40.6, 48,1008,XX
AL,13,2012091112, 03,EE10, 24,46.7,-41.8, 49,1007,XX
AL,13,2012091112, 03,EE14, 24,47.0,-40.6, 46,1008,XX
AL,13,2012091112, 03,EE04, 24,47.1,-41.5, 54,1007,XX
AL,13,2012091112, 03,EE00, 24,47.2,-40.7, 50,1007,XX
AL,13,2012091112, 03,EE07, 24,47.3,-40.5, 49,1007,XX
AL,13,2012091112, 03,EE22, 24,47.4,-41.2, 52,1007,XX
AL,13,2012091112, 03,EE11, 24,47.5,-41.6, 53,1005,XX
AL,13,2012091112, 03,ECMF, 24,47.6,-40.5, 54,1006,XX
AL,13,2012091112, 03,EE05, 24,47.7,-41.2, 48,1007,XX
AL,13,2012091112, 03,EE01, 24,47.9,-40.7, 50,1008,XX
AL,13,2012091112, 03,EE12, 24,48.1,-39.9, 51,1009,XX
AL,13,2012091112, 03,EE23, 24,48.2,-40.9, 55,1004,XX
AL,13,2012091112, 03,EE46, 24,48.4,-40.3, 52,1007,XX
AL,13,2012091112, 03,EE47, 24,48.5,-40.1, 53,1006,XX
AL,13,2012091112, 03,ECMF, 30,50.6,-36.5, 50,1006,XX
AL,13,2012091112, 03,EE18, 36,50.5,-35.0, 43,1009,XX
AL,13,2012091112, 03,EE24, 36,50.8,-33.4, 41,1012,XX
AL,13,2012091112, 03,EE42, 36,51.1,-33.9, 41,1009,XX
AL,13,2012091112, 03,EE25, 36,51.3,-33.4, 43,1008,XX
AL,13,2012091112, 03,EE29, 36,51.5,-33.3, 42,1010,XX
AL,13,2012091112, 03,EE15, 36,51.6,-32.4, 42,1009,XX
AL,13,2012091112, 03,EE14, 36,51.8,-32.4, 41,1010,XX
AL,13,2012091112, 03,EE45, 36,52.1,-33.4, 42,1007,XX
