basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,13,2012092700, 03,EE02,  0,21.1,-115.8, 44, 988,XX
EP,13,2012092700, 03,EE14,  0,21.2,-115.7, 44, 988,XX
EP,13,2012092700, 03,EE34,  0,21.2,-115.7, 44, 989,XX
EP,13,2012092700, 03,EE12,  0,21.3,-115.7, 66, 981,XX
EP,13,2012092700, 03,EE17,  0,21.3,-115.7, 57, 982,XX
EP,13,2012092700, 03,EE04,  0,21.3,-115.7, 54, 983,XX
EP,13,2012092700, 03,ECMF,  0,21.3,-115.8, 45, 984,XX
EP,13,2012092700, 03,EE03,  0,21.3,-115.7, 49, 985,XX
EP,13,2012092700, 03,EE18,  0,21.3,-115.7, 41, 986,XX
EP,13,2012092700, 03,EE11,  0,21.3,-115.7, 43, 987,XX
EP,13,2012092700, 03,EE09,  0,21.3,-115.7, 45, 988,XX
EP,13,2012092700, 03,EE01,  0,21.4,-115.7, 61, 979,XX
EP,13,2012092700, 03,EE10,  0,21.4,-115.7, 67, 980,XX
EP,13,2012092700, 03,EE30,  0,21.4,-115.7, 68, 981,XX
EP,13,2012092700, 03,EE28,  0,21.4,-115.7, 52, 982,XX
EP,13,2012092700, 03,EE08,  0,21.4,-115.7, 52, 983,XX
EP,13,2012092700, 03,EE20,  0,21.4,-115.7, 45, 984,XX
EP,13,2012092700, 03,EE15,  0,21.4,-115.7, 52, 985,XX
EP,13,2012092700, 03,ECMF,  6,21.5,-116.1, 55, 988,XX
EP,13,2012092700, 03,EE29, 12,21.4,-116.6, 43, 994,XX
EP,13,2012092700, 03,EE14, 12,21.5,-116.8, 50, 991,XX
EP,13,2012092700, 03,EE11, 12,21.5,-116.7, 44, 994,XX
EP,13,2012092700, 03,EE36, 12,21.6,-116.5, 53, 987,XX
EP,13,2012092700, 03,EE02, 12,21.6,-116.5, 47, 991,XX
EP,13,2012092700, 03,EE49, 12,21.6,-116.9, 49, 993,XX
EP,13,2012092700, 03,EE22, 12,21.8,-116.7, 48, 991,XX
EP,13,2012092700, 03,EE04, 12,21.8,-116.6, 52, 992,XX
EP,13,2012092700, 03,EE09, 12,21.8,-116.5, 46, 993,XX
EP,13,2012092700, 03,EE34, 12,21.8,-117.2, 46, 995,XX
EP,13,2012092700, 03,EE16, 12,21.9,-116.1, 59, 986,XX
EP,13,2012092700, 03,EE25, 12,21.9,-117.0, 50, 990,XX
EP,13,2012092700, 03,EE45, 12,21.9,-116.8, 46, 991,XX
EP,13,2012092700, 03,EE05, 12,21.9,-116.9, 48, 993,XX
EP,13,2012092700, 03,EE38, 12,21.9,-116.6, 45, 994,XX
EP,13,2012092700, 03,EE10, 12,22.0,-116.6, 52, 988,XX
EP,13,2012092700, 03,ECMF, 12,22.0,-116.4, 50, 990,XX
EP,13,2012092700, 03,EE18, 12,22.0,-116.2, 49, 992,XX
EP,13,2012092700, 03,EE42, 12,22.0,-116.7, 46, 993,XX
EP,13,2012092700, 03,EE23, 12,22.1,-116.6, 50, 991,XX
EP,13,2012092700, 03,EE15, 12,22.1,-116.5, 49, 992,XX
EP,13,2012092700, 03,EE19, 12,22.2,-116.1, 57, 987,XX
EP,13,2012092700, 03,EE17, 12,22.2,-116.5, 52, 989,XX
EP,13,2012092700, 03,EE03, 12,22.2,-116.2, 54, 990,XX
EP,13,2012092700, 03,EE13, 12,22.3,-116.0, 56, 987,XX
EP,13,2012092700, 03,EE50, 12,22.3,-115.8, 54, 989,XX
EP,13,2012092700, 03,EE26, 12,22.3,-115.9, 54, 990,XX
EP,13,2012092700, 03,EE46, 12,22.3,-116.2, 55, 991,XX
EP,13,2012092700, 03,EE33, 12,22.4,-115.9, 62, 986,XX
EP,13,2012092700, 03,EE08, 12,22.4,-116.1, 52, 987,XX
EP,13,2012092700, 03,EE43, 12,22.4,-116.6, 49, 992,XX
EP,13,2012092700, 03,EE35, 12,22.4,-116.3, 56, 993,XX
EP,13,2012092700, 03,EE41, 12,22.5,-116.1, 56, 987,XX
EP,13,2012092700, 03,EE21, 12,22.5,-116.0, 54, 988,XX
EP,13,2012092700, 03,EE01, 12,22.5,-116.3, 54, 989,XX
EP,13,2012092700, 03,EE30, 12,22.5,-116.1, 54, 991,XX
EP,13,2012092700, 03,EE12, 12,22.7,-116.2, 60, 989,XX
EP,13,2012092700, 03,ECMF, 18,22.5,-116.6, 46, 995,XX
EP,13,2012092700, 03,EE31, 24,21.7,-117.3, 37, 998,XX
EP,13,2012092700, 03,EE36, 24,21.8,-116.9, 45, 994,XX
EP,13,2012092700, 03,EE02, 24,22.1,-116.6, 37, 996,XX
EP,13,2012092700, 03,EE29, 24,22.1,-117.2, 36, 998,XX
