basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
SH,06,2012123012, 03,EE02,  0,-24.0,109.7, 42, 994,XX
SH,06,2012123012, 03,EE03,  0,-24.1,109.7, 38, 995,XX
SH,06,2012123012, 03,ECMF,  0,-24.0,109.7, 36, 996,XX
SH,06,2012123012, 03,EE01,  0,-23.9,109.6, 35, 997,XX
SH,06,2012123012, 03,ECMF,  6,-25.4,108.8, 44, 995,XX
SH,06,2012123012, 03,EE02, 12,-27.0,108.6, 47, 995,XX
SH,06,2012123012, 03,EE03, 12,-26.9,108.1, 45, 996,XX
SH,06,2012123012, 03,ECMF, 12,-26.9,108.3, 44, 997,XX
SH,06,2012123012, 03,EE00, 12,-26.8,108.2, 44, 998,XX
SH,06,2012123012, 03,EE24, 12,-26.1,108.4, 38, 999,XX
SH,06,2012123012, 03,ECMF, 18,-28.9,108.0, 42, 998,XX
SH,06,2012123012, 03,EE01, 24,-29.5,107.6, 31,1000,XX
SH,06,2012123012, 03,EE22, 24,-30.1,108.4, 41, 996,XX
SH,06,2012123012, 03,EE02, 24,-29.9,109.0, 41, 997,XX
SH,06,2012123012, 03,ECMF, 24,-29.6,108.5, 36, 998,XX
SH,06,2012123012, 03,EE07, 24,-29.7,109.0, 37, 999,XX
SH,06,2012123012, 03,ECMF, 30,-30.6,109.9, 38,1000,XX
SH,06,2012123012, 03,ECMF, 36,-32.0,111.5, 41,1002,XX
SH,06,2012123012, 03,ECMF, 42,-33.6,113.5, 33,1003,XX
SH,06,2012123012, 03,ECMF, 48,-35.6,115.7, 29,1004,XX
SH,06,2012123012, 03,EE13, 60,-35.1,128.1, 31,1010,XX
