basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
IO,01,2012102600, 03,ECMF,  0,9.4,50.0, 22,1005,XX
IO,01,2012102600, 03,EE13,  0,9.5,50.0, 31,1006,XX
IO,01,2012102600, 03,EE33, 12,6.0,47.3, 23,1006,XX
IO,01,2012102600, 03,EE15, 12,6.8,48.4, 21,1007,XX
IO,01,2012102600, 03,EE07, 12,6.9,48.9, 18,1007,XX
IO,01,2012102600, 03,EE04, 12,7.0,45.5, 21,1007,XX
IO,01,2012102600, 03,EE38, 12,7.2,47.1, 23,1005,XX
IO,01,2012102600, 03,EE20, 12,7.3,45.9, 23,1006,XX
IO,01,2012102600, 03,EE00, 12,7.4,45.6, 19,1007,XX
IO,01,2012102600, 03,EE01, 12,7.5,47.1, 23,1006,XX
IO,01,2012102600, 03,EE28, 12,7.6,45.3, 20,1005,XX
IO,01,2012102600, 03,EE46, 12,7.7,45.6, 21,1006,XX
IO,01,2012102600, 03,EE19, 12,7.9,45.2, 22,1007,XX
IO,01,2012102600, 03,EE31, 12,9.0,47.4, 25,1006,XX
IO,01,2012102600, 03,EE43, 12,9.1,47.1, 21,1006,XX
IO,01,2012102600, 03,ECMF, 12,9.3,47.4, 20,1007,XX
IO,01,2012102600, 03,EE44, 12,9.4,47.5, 22,1007,XX
IO,01,2012102600, 03,EE18, 24,2.9,47.5, 17,1008,XX
IO,01,2012102600, 03,EE23, 24,3.3,47.6, 22,1008,XX
IO,01,2012102600, 03,EE16, 24,3.4,47.6, 19,1009,XX
IO,01,2012102600, 03,EE27, 24,3.8,48.6, 16,1008,XX
IO,01,2012102600, 03,EE13, 24,3.9,48.0, 17,1009,XX
IO,01,2012102600, 03,EE33, 24,4.0,48.1, 19,1009,XX
IO,01,2012102600, 03,EE30, 24,4.1,42.0, 19,1009,XX
IO,01,2012102600, 03,EE36, 24,4.2,42.1, 23,1009,XX
IO,01,2012102600, 03,EE25, 24,4.4,46.6, 18,1009,XX
IO,01,2012102600, 03,EE01, 24,4.9,46.7, 18,1009,XX
IO,01,2012102600, 03,EE17, 24,5.1,44.6, 17,1010,XX
IO,01,2012102600, 03,EE49, 24,5.2,44.5, 17,1008,XX
IO,01,2012102600, 03,EE04, 24,5.3,47.2, 18,1009,XX
IO,01,2012102600, 03,EE05, 24,5.4,49.1, 13,1009,XX
IO,01,2012102600, 03,EE11, 24,6.0,43.2, 18,1009,XX
IO,01,2012102600, 03,EE38, 24,6.1,43.5, 23,1009,XX
IO,01,2012102600, 03,EE20, 24,7.4,45.2, 18,1010,XX
IO,01,2012102600, 03,EE15, 24,7.9,45.9, 19,1009,XX
IO,01,2012102600, 03,EE14, 24,8.0,45.1, 20,1009,XX
IO,01,2012102600, 03,EE47, 24,8.4,45.4, 17,1010,XX
IO,01,2012102600, 03,EE50, 36,1.1,42.4, 22,1006,XX
IO,01,2012102600, 03,EE36, 36,1.2,38.1, 16,1007,XX
IO,01,2012102600, 03,EE27, 36,2.0,51.4, 13,1009,XX
IO,01,2012102600, 03,EE17, 36,2.5,44.8, 17,1008,XX
IO,01,2012102600, 03,EE04, 36,2.9,44.9, 21,1008,XX
IO,01,2012102600, 03,EE28, 36,3.2,45.5, 18,1008,XX
IO,01,2012102600, 03,EE20, 36,3.9,42.1, 20,1007,XX
IO,01,2012102600, 03,EE01, 36,4.0,47.1, 18,1008,XX
IO,01,2012102600, 03,EE18, 36,4.3,48.1, 16,1008,XX
IO,01,2012102600, 03,EE23, 36,4.8,48.5, 17,1008,XX
IO,01,2012102600, 03,EE13, 36,4.9,48.6, 14,1009,XX
IO,01,2012102600, 03,EE48, 36,5.5,49.6, 17,1009,XX
IO,01,2012102600, 03,EE33, 36,7.5,50.1, 11,1009,XX
IO,01,2012102600, 03,EE04, 48,2.9,40.8, 16,1011,XX
IO,01,2012102600, 03,EE17, 48,3.4,42.5, 16,1011,XX
IO,01,2012102600, 03,EE28, 48,3.9,42.4, 16,1010,XX
IO,01,2012102600, 03,EE16, 48,4.0,49.1, 13,1009,XX
IO,01,2012102600, 03,EE37, 48,4.3,49.5, 11,1010,XX
IO,01,2012102600, 03,EE13, 48,5.4,49.2, 12,1009,XX
IO,01,2012102600, 03,EE28, 60,3.5,42.5, 17,1008,XX
IO,01,2012102600, 03,EE37, 60,5.8,49.1, 14,1009,XX
IO,01,2012102600, 03,EE13, 60,6.0,50.5, 16,1008,XX
IO,01,2012102600, 03,ECMF,  6,11.6,49.5, 25,1011,XX
IO,01,2012102600, 03,EE13, 72,4.1,54.0, 16,1009,XX
IO,01,2012102600, 03,EE37, 72,4.5,48.7, 14,1009,XX
IO,01,2012102600, 03,EE13, 84,1.9,57.7, 14,1007,XX
IO,01,2012102600, 03,EE03, 12,11.6,47.5, 23,1007,XX
IO,01,2012102600, 03,EE12, 12,11.7,47.7, 17,1007,XX
IO,01,2012102600, 03,EE06, 12,13.4,46.6, 23,1007,XX
IO,01,2012102600, 03,ECMF, 18,11.1,46.9, 20,1009,XX
IO,01,2012102600, 03,EE35, 24,11.1,46.5, 23,1009,XX
IO,01,2012102600, 03,EE31, 24,11.2,46.4, 25,1008,XX
IO,01,2012102600, 03,EE12, 24,11.6,48.0, 16,1009,XX
IO,01,2012102600, 03,ECMF, 24,13.7,42.9, 29,1007,XX
IO,01,2012102600, 03,EE03, 24,14.0,40.6, 26,1008,XX
IO,01,2012102600, 03,EE29, 24,14.6,41.5, 29,1008,XX
IO,01,2012102600, 03,EE06, 24,15.0,40.9, 27,1007,XX
IO,01,2012102600, 03,ECMF, 30,17.5,37.4, 23,1010,XX
IO,01,2012102600, 03,EE15, 36,10.0,40.6, 22,1006,XX
IO,01,2012102600, 03,EE14, 36,10.1,40.6, 25,1005,XX
IO,01,2012102600, 03,EE12, 36,13.1,43.4, 24,1006,XX
IO,01,2012102600, 03,EE22, 36,13.2,43.3, 24,1007,XX
IO,01,2012102600, 03,EE41, 36,13.5,43.4, 30,1006,XX
IO,01,2012102600, 03,EE26, 36,13.6,42.9, 23,1008,XX
IO,01,2012102600, 03,EE31, 36,13.7,40.6, 24,1004,XX
IO,01,2012102600, 03,EE44, 36,13.9,42.0, 28,1006,XX
IO,01,2012102600, 03,EE03, 36,14.2,36.1, 19,1003,XX
IO,01,2012102600, 03,EE29, 36,14.3,36.0, 18,1004,XX
IO,01,2012102600, 03,EE06, 36,14.7,36.4, 17,1004,XX
IO,01,2012102600, 03,EE32, 36,14.8,36.1, 18,1004,XX
IO,01,2012102600, 03,ECMF, 36,22.9,35.6, 22,1010,XX
IO,01,2012102600, 03,EE33, 48,11.7,48.8, 10,1010,XX
