basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,14,2012091400, 03,EE03,  0,24.5,-53.0, 50, 994,XX
AL,14,2012091400, 03,EE23,  0,24.5,-53.0, 50, 995,XX
AL,14,2012091400, 03,EE02,  0,24.5,-53.1, 51, 996,XX
AL,14,2012091400, 03,EE18,  0,24.5,-53.2, 51, 997,XX
AL,14,2012091400, 03,EE07,  0,24.5,-53.2, 47, 998,XX
AL,14,2012091400, 03,EE08,  0,24.6,-53.1, 52, 994,XX
AL,14,2012091400, 03,EE17,  0,24.6,-53.1, 49, 995,XX
AL,14,2012091400, 03,ECMF,  0,24.6,-53.2, 51, 996,XX
AL,14,2012091400, 03,EE04,  0,24.6,-53.3, 52, 997,XX
AL,14,2012091400, 03,EE29,108,29.4,-37.3, 45, 999,XX
AL,14,2012091400, 03,EE40,120,30.2,-35.9, 46, 998,XX
AL,14,2012091400, 03,EE40,108,30.4,-38.3, 47, 998,XX
AL,14,2012091400, 03,EE10,108,30.5,-36.0, 49, 997,XX
AL,14,2012091400, 03,EE50,108,30.9,-40.8, 50, 991,XX
AL,14,2012091400, 03,EE29,120,29.9,-34.0, 51, 999,XX
AL,14,2012091400, 03,EE22,108,30.8,-35.2, 52, 996,XX
AL,14,2012091400, 03,EE27,108,31.3,-33.0, 54, 996,XX
AL,14,2012091400, 03,EE39,120,34.6,-31.2, 55, 989,XX
AL,14,2012091400, 03,EE27,120,32.9,-29.0, 56, 993,XX
AL,14,2012091400, 03,EE18,108,30.9,-37.4, 57, 994,XX
AL,14,2012091400, 03,EE31,108,32.8,-36.1, 58, 984,XX
AL,14,2012091400, 03,EE18,120,32.2,-35.0, 59, 989,XX
AL,14,2012091400, 03,EE36,108,34.8,-42.6, 60, 988,XX
AL,14,2012091400, 03,EE21,108,31.5,-34.2, 61, 988,XX
AL,14,2012091400, 03,EE47,120,34.1,-42.6, 62, 976,XX
AL,14,2012091400, 03,EE15,108,31.2,-38.4, 63, 985,XX
AL,14,2012091400, 03,EE23,120,34.6,-31.5, 64, 980,XX
AL,14,2012091400, 03,EE04,108,31.8,-34.8, 65, 984,XX
AL,14,2012091400, 03,EE01,120,35.0,-35.9, 66, 976,XX
AL,14,2012091400, 03,EE23,108,32.2,-34.5, 67, 979,XX
AL,14,2012091400, 03,EE03,108,31.5,-33.5, 68, 982,XX
AL,14,2012091400, 03,EE07,120,35.5,-37.4, 69, 982,XX
AL,14,2012091400, 03,EE04,120,33.4,-31.9, 70, 981,XX
AL,14,2012091400, 03,EE00,120,32.5,-33.0, 71, 971,XX
AL,14,2012091400, 03,EE09,120,33.5,-42.6, 72, 970,XX
AL,14,2012091400, 03,EE00,108,31.0,-36.2, 73, 971,XX
AL,14,2012091400, 03,EE02,108,33.6,-37.3, 74, 967,XX
AL,14,2012091400, 03,ECMF,120,34.0,-30.8, 75, 960,XX
AL,14,2012091400, 03,EE16,120,34.6,-27.5, 76, 984,XX
AL,14,2012091400, 03,ECMF,102,31.5,-35.5, 77, 956,XX
AL,14,2012091400, 03,EE11,108,31.2,-36.9, 78, 977,XX
AL,14,2012091400, 03,EE11,120,33.1,-33.4, 79, 979,XX
AL,14,2012091400, 03,EE46,120,32.9,-32.1, 80, 970,XX
AL,14,2012091400, 03,EE16,108,32.1,-31.5, 87, 978,XX
AL,14,2012091400, 03,ECMF,114,33.0,-32.4, 89, 956,XX
AL,14,2012091400, 03,ECMF,108,32.2,-34.0, 92, 960,XX
AL,14,2012091400, 03,ECMF,  6,25.7,-53.5, 77, 988,XX
AL,14,2012091400, 03,EE46, 12,26.3,-54.1, 62, 997,XX
AL,14,2012091400, 03,EE13, 12,26.4,-54.0, 66, 994,XX
AL,14,2012091400, 03,EE38, 12,26.4,-53.6, 61, 996,XX
AL,14,2012091400, 03,EE04, 12,26.5,-54.0, 50,1002,XX
AL,14,2012091400, 03,EE28, 12,26.5,-53.5, 70, 991,XX
AL,14,2012091400, 03,EE08, 12,26.5,-54.1, 64, 992,XX
AL,14,2012091400, 03,EE33, 12,26.5,-53.6, 63, 994,XX
AL,14,2012091400, 03,EE06, 12,26.5,-53.5, 64, 995,XX
AL,14,2012091400, 03,EE41, 12,26.5,-53.7, 63, 997,XX
AL,14,2012091400, 03,EE21, 12,26.6,-54.2, 52,1000,XX
AL,14,2012091400, 03,EE12, 12,26.6,-53.6, 70, 992,XX
AL,14,2012091400, 03,EE11, 12,26.6,-54.1, 57, 998,XX
AL,14,2012091400, 03,EE07, 12,26.7,-53.7, 48,1002,XX
