basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
IO,02,2012103100, 03,EE08,  0,10.8,81.4, 43, 994,XX
IO,02,2012103100, 03,EE21,  0,10.9,81.1, 41, 991,XX
IO,02,2012103100, 03,EE01,  0,10.9,81.1, 41, 992,XX
IO,02,2012103100, 03,EE09,  0,10.9,81.4, 38, 993,XX
IO,02,2012103100, 03,EE03,  0,10.9,81.3, 35, 994,XX
IO,02,2012103100, 03,EE04,  0,11.0,81.2, 44, 991,XX
IO,02,2012103100, 03,ECMF,  0,11.0,81.3, 37, 992,XX
IO,02,2012103100, 03,EE00,  0,11.0,81.2, 36, 993,XX
IO,02,2012103100, 03,EE05,  0,11.0,81.3, 34, 994,XX
IO,02,2012103100, 03,EE07,  0,11.1,81.2, 44, 991,XX
IO,02,2012103100, 03,ECMF,  6,11.7,80.8, 57, 992,XX
IO,02,2012103100, 03,EE21, 12,12.0,79.5, 56, 988,XX
IO,02,2012103100, 03,EE15, 12,12.0,80.0, 50, 993,XX
IO,02,2012103100, 03,EE34, 12,12.0,79.0, 44, 995,XX
IO,02,2012103100, 03,EE01, 12,12.1,79.5, 56, 989,XX
IO,02,2012103100, 03,EE25, 12,12.1,79.8, 50, 995,XX
IO,02,2012103100, 03,EE35, 12,12.2,79.9, 55, 993,XX
IO,02,2012103100, 03,EE14, 12,12.2,78.4, 39, 996,XX
IO,02,2012103100, 03,EE41, 12,12.3,79.7, 58, 990,XX
IO,02,2012103100, 03,EE44, 12,12.3,79.5, 43, 992,XX
IO,02,2012103100, 03,EE08, 12,12.3,80.9, 48, 993,XX
IO,02,2012103100, 03,EE06, 12,12.4,80.4, 59, 989,XX
IO,02,2012103100, 03,EE17, 12,12.4,79.8, 48, 992,XX
IO,02,2012103100, 03,EE45, 12,12.4,80.0, 43, 993,XX
IO,02,2012103100, 03,EE46, 12,12.5,79.6, 66, 986,XX
IO,02,2012103100, 03,EE13, 12,12.5,80.7, 54, 988,XX
IO,02,2012103100, 03,EE40, 12,12.5,80.2, 63, 989,XX
IO,02,2012103100, 03,EE20, 12,12.5,79.9, 54, 990,XX
IO,02,2012103100, 03,EE24, 12,12.5,79.5, 60, 991,XX
IO,02,2012103100, 03,EE00, 12,12.5,80.0, 53, 992,XX
IO,02,2012103100, 03,EE12, 12,12.5,80.4, 47, 993,XX
IO,02,2012103100, 03,EE23, 12,12.5,80.4, 47, 994,XX
IO,02,2012103100, 03,EE09, 12,12.5,80.5, 51, 995,XX
IO,02,2012103100, 03,EE10, 12,12.6,80.0, 58, 990,XX
IO,02,2012103100, 03,ECMF, 12,12.6,80.0, 56, 991,XX
IO,02,2012103100, 03,EE07, 12,12.6,79.5, 53, 992,XX
IO,02,2012103100, 03,EE11, 12,12.6,79.7, 57, 993,XX
IO,02,2012103100, 03,EE05, 12,12.6,80.0, 49, 996,XX
IO,02,2012103100, 03,EE16, 12,12.7,80.1, 49, 992,XX
IO,02,2012103100, 03,EE18, 12,12.7,80.0, 62, 993,XX
IO,02,2012103100, 03,EE03, 12,12.7,80.6, 48, 994,XX
IO,02,2012103100, 03,EE22, 12,12.7,80.0, 43, 995,XX
IO,02,2012103100, 03,EE33, 12,12.8,80.9, 54, 988,XX
IO,02,2012103100, 03,EE02, 12,12.8,80.0, 51, 992,XX
IO,02,2012103100, 03,EE42, 12,12.8,80.3, 46, 995,XX
IO,02,2012103100, 03,ECMF, 18,13.0,78.4, 38, 996,XX
IO,02,2012103100, 03,EE17, 24,12.5,77.4, 25,1000,XX
IO,02,2012103100, 03,EE01, 24,12.6,77.2, 26,1000,XX
IO,02,2012103100, 03,EE15, 24,12.6,77.4, 29, 998,XX
IO,02,2012103100, 03,EE14, 24,13.0,74.9, 29,1001,XX
IO,02,2012103100, 03,EE35, 24,13.0,76.8, 25, 997,XX
IO,02,2012103100, 03,EE08, 24,13.0,78.0, 33, 998,XX
IO,02,2012103100, 03,EE40, 24,13.0,77.5, 29, 999,XX
IO,02,2012103100, 03,EE04, 24,13.1,76.5, 23,1000,XX
IO,02,2012103100, 03,EE20, 24,13.1,77.1, 22, 998,XX
IO,02,2012103100, 03,EE21, 24,13.1,76.8, 32, 999,XX
IO,02,2012103100, 03,EE05, 24,13.2,77.0, 27,1001,XX
IO,02,2012103100, 03,EE41, 24,13.2,77.0, 24, 998,XX
IO,02,2012103100, 03,EE13, 24,13.3,77.8, 35, 996,XX
IO,02,2012103100, 03,EE11, 24,13.4,76.5, 25,1001,XX
IO,02,2012103100, 03,EE28, 24,13.4,77.5, 27, 999,XX
IO,02,2012103100, 03,EE06, 24,13.5,78.3, 36, 995,XX
IO,02,2012103100, 03,EE23, 24,13.6,77.9, 41,1000,XX
IO,02,2012103100, 03,ECMF, 24,13.6,77.0, 24, 997,XX
IO,02,2012103100, 03,EE00, 24,13.6,77.2, 30, 998,XX
IO,02,2012103100, 03,EE37, 24,13.7,77.1, 24,1000,XX
IO,02,2012103100, 03,EE26, 24,13.8,77.6, 31, 996,XX
IO,02,2012103100, 03,EE29, 24,13.8,77.3, 27, 998,XX
IO,02,2012103100, 03,EE19, 24,13.9,77.1, 27,1001,XX
IO,02,2012103100, 03,EE33, 24,13.9,77.8, 41, 996,XX
IO,02,2012103100, 03,EE07, 24,14.0,76.7, 31,1001,XX
IO,02,2012103100, 03,EE47, 24,14.0,76.8, 33, 998,XX
IO,02,2012103100, 03,EE02, 24,14.0,76.1, 24, 999,XX
IO,02,2012103100, 03,EE09, 24,14.2,78.5, 27,1000,XX
IO,02,2012103100, 03,EE49, 24,14.3,76.4, 28, 999,XX
IO,02,2012103100, 03,EE16, 24,14.4,76.6, 26, 999,XX
IO,02,2012103100, 03,EE36, 24,14.5,77.4, 32, 995,XX
IO,02,2012103100, 03,EE03, 24,14.5,78.6, 40, 998,XX
IO,02,2012103100, 03,EE43, 24,14.7,77.4, 33, 999,XX
IO,02,2012103100, 03,ECMF, 30,14.0,75.7, 26,1003,XX
IO,02,2012103100, 03,EE01, 36,12.9,76.6, 21,1004,XX
IO,02,2012103100, 03,EE38, 36,13.0,74.6, 28,1001,XX
IO,02,2012103100, 03,EE34, 36,13.1,73.8, 28,1001,XX
IO,02,2012103100, 03,EE08, 36,13.5,76.4, 19,1002,XX
IO,02,2012103100, 03,EE04, 36,13.5,74.0, 34, 999,XX
IO,02,2012103100, 03,EE29, 36,13.6,74.6, 33,1000,XX
IO,02,2012103100, 03,EE20, 36,13.7,74.4, 24,1003,XX
IO,02,2012103100, 03,EE35, 36,13.8,74.5, 28,1000,XX
IO,02,2012103100, 03,EE13, 36,13.9,76.7, 27,1000,XX
IO,02,2012103100, 03,EE11, 36,14.0,73.8, 28,1000,XX
IO,02,2012103100, 03,ECMF, 36,14.1,74.5, 25,1002,XX
IO,02,2012103100, 03,EE06, 36,14.2,77.2, 29,1001,XX
IO,02,2012103100, 03,EE00, 36,14.3,74.5, 24,1001,XX
IO,02,2012103100, 03,EE18, 36,14.3,73.9, 35, 999,XX
IO,02,2012103100, 03,EE02, 36,14.4,73.6, 31,1002,XX
IO,02,2012103100, 03,EE05, 36,14.5,73.9, 23,1003,XX
IO,02,2012103100, 03,EE49, 36,14.5,73.0, 33, 999,XX
IO,02,2012103100, 03,EE09, 36,14.6,75.8, 18,1004,XX
IO,02,2012103100, 03,EE07, 36,14.7,73.9, 25,1003,XX
IO,02,2012103100, 03,EE03, 36,14.9,78.4, 36,1003,XX
IO,02,2012103100, 03,EE33, 36,15.1,76.1, 19,1000,XX
IO,02,2012103100, 03,EE39, 36,15.4,73.8, 25,1004,XX
IO,02,2012103100, 03,EE37, 36,15.5,73.9, 28,1003,XX
IO,02,2012103100, 03,EE36, 36,15.9,75.5, 20,1005,XX
IO,02,2012103100, 03,EE27, 36,17.5,73.0, 25,1004,XX
IO,02,2012103100, 03,ECMF, 42,14.6,74.2, 23,1004,XX
IO,02,2012103100, 03,EE38, 48,13.5,74.4, 28,1000,XX
IO,02,2012103100, 03,EE23, 48,13.6,74.5, 24,1003,XX
IO,02,2012103100, 03,EE34, 48,13.7,72.9, 36,1000,XX
IO,02,2012103100, 03,EE19, 48,13.9,73.4, 27,1004,XX
IO,02,2012103100, 03,EE08, 48,14.1,76.0, 21,1004,XX
IO,02,2012103100, 03,EE42, 48,14.2,73.0, 33,1000,XX
IO,02,2012103100, 03,EE04, 48,14.2,73.5, 35, 999,XX
IO,02,2012103100, 03,EE20, 48,14.3,74.0, 19,1004,XX
IO,02,2012103100, 03,EE17, 48,14.5,74.0, 25,1004,XX
IO,02,2012103100, 03,EE01, 48,14.6,78.1, 27,1006,XX
IO,02,2012103100, 03,ECMF, 48,14.7,74.0, 18,1003,XX
