basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,09,2012082112, 03,EE07,  0,14.9,-52.5, 27,1009,XX
AL,09,2012082112, 03,EE01,  0,15.1,-52.5, 28,1009,XX
AL,09,2012082112, 03,ECMF,  0,15.2,-52.5, 26,1010,XX
AL,09,2012082112, 03,EE11,  0,15.3,-52.3, 28,1009,XX
AL,09,2012082112, 03,EE03,  0,15.4,-52.5, 26,1010,XX
AL,09,2012082112, 03,EE06,108,19.5,-74.8, 38, 995,XX
AL,09,2012082112, 03,EE34,120,19.1,-76.0, 39, 995,XX
AL,09,2012082112, 03,EE34,108,18.5,-74.4, 40, 995,XX
AL,09,2012082112, 03,EE30,108,18.0,-73.4, 41, 994,XX
AL,09,2012082112, 03,EE25,108,16.1,-71.8, 42, 997,XX
AL,09,2012082112, 03,EE10,108,16.9,-74.9, 43, 995,XX
AL,09,2012082112, 03,EE06,120,20.4,-77.3, 44, 997,XX
AL,09,2012082112, 03,EE11,108,16.8,-74.0, 45, 995,XX
AL,09,2012082112, 03,EE30,120,19.0,-74.9, 46, 992,XX
AL,09,2012082112, 03,EE25,120,17.0,-73.4, 47, 992,XX
AL,09,2012082112, 03,EE36,108,17.9,-70.5, 48, 997,XX
AL,09,2012082112, 03,EE10,120,17.4,-77.0, 50, 992,XX
AL,09,2012082112, 03,EE16,108,16.5,-69.7, 54, 989,XX
AL,09,2012082112, 03,EE11,120,17.0,-75.4, 55, 991,XX
AL,09,2012082112, 03,EE16,120,17.9,-70.4, 65, 989,XX
AL,09,2012082112, 03,ECMF,  6,15.5,-53.7, 33,1008,XX
AL,09,2012082112, 03,EE18, 12,14.8,-54.6, 37,1007,XX
AL,09,2012082112, 03,EE01, 12,14.9,-54.6, 41,1006,XX
AL,09,2012082112, 03,EE16, 12,15.0,-54.5, 31,1008,XX
AL,09,2012082112, 03,EE06, 12,15.1,-55.1, 43,1006,XX
AL,09,2012082112, 03,EE24, 12,15.2,-55.2, 37,1007,XX
AL,09,2012082112, 03,EE19, 12,15.3,-55.3, 31,1008,XX
