basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,19,2012102300, 03,EE05,  0,21.7,-52.4, 17,1008,XX
AL,19,2012102300, 03,EE28,  0,21.8,-52.6, 16,1009,XX
AL,19,2012102300, 03,EE08,  0,21.9,-52.2, 16,1009,XX
AL,19,2012102300, 03,EE01,  0,22.0,-52.3, 18,1009,XX
AL,19,2012102300, 03,EE03,  0,22.1,-52.2, 17,1008,XX
AL,19,2012102300, 03,ECMF,  0,22.2,-52.3, 17,1009,XX
AL,19,2012102300, 03,EE13,  0,22.3,-52.6, 17,1009,XX
AL,19,2012102300, 03,EE02,  0,22.4,-52.2, 17,1008,XX
AL,19,2012102300, 03,EE33,  0,22.5,-52.9, 17,1009,XX
AL,19,2012102300, 03,EE12,  0,22.8,-53.3, 18,1009,XX
AL,19,2012102300, 03,EE04,  0,22.9,-52.1, 19,1009,XX
AL,19,2012102300, 03,EE34,108,38.6,-29.0, 35, 997,XX
AL,19,2012102300, 03,ECMF,  6,23.1,-52.1, 27,1007,XX
AL,19,2012102300, 03,EE48, 12,23.1,-51.9, 26,1009,XX
AL,19,2012102300, 03,EE01, 12,23.7,-52.7, 25,1010,XX
AL,19,2012102300, 03,EE40, 12,23.8,-52.2, 28,1008,XX
AL,19,2012102300, 03,EE20, 12,23.9,-52.3, 28,1008,XX
AL,19,2012102300, 03,EE08, 12,24.0,-51.6, 26,1010,XX
AL,19,2012102300, 03,EE02, 12,24.1,-51.2, 32,1007,XX
AL,19,2012102300, 03,EE13, 12,24.2,-52.5, 25,1009,XX
AL,19,2012102300, 03,EE00, 12,24.3,-51.9, 26,1008,XX
AL,19,2012102300, 03,ECMF, 12,24.4,-52.3, 27,1009,XX
AL,19,2012102300, 03,EE06, 12,24.5,-52.3, 27,1009,XX
AL,19,2012102300, 03,EE04, 12,24.6,-52.0, 27,1008,XX
AL,19,2012102300, 03,EE14, 12,24.7,-51.6, 31,1008,XX
AL,19,2012102300, 03,EE30, 12,24.8,-52.5, 28,1009,XX
AL,19,2012102300, 03,EE03, 12,24.9,-51.8, 30,1008,XX
AL,19,2012102300, 03,EE19, 12,25.0,-52.0, 27,1009,XX
AL,19,2012102300, 03,EE39, 12,25.2,-51.9, 30,1008,XX
AL,19,2012102300, 03,EE07, 12,25.3,-51.7, 33,1008,XX
AL,19,2012102300, 03,ECMF, 18,25.4,-51.0, 28,1007,XX
AL,19,2012102300, 03,EE01, 24,24.0,-52.1, 22,1010,XX
AL,19,2012102300, 03,EE17, 24,25.0,-51.3, 25,1009,XX
AL,19,2012102300, 03,EE13, 24,25.1,-51.8, 25,1009,XX
AL,19,2012102300, 03,EE12, 24,25.2,-50.9, 26,1010,XX
AL,19,2012102300, 03,EE48, 24,25.4,-50.1, 32,1010,XX
AL,19,2012102300, 03,EE37, 24,25.5,-50.5, 30,1007,XX
AL,19,2012102300, 03,EE00, 24,25.6,-50.5, 27,1009,XX
AL,19,2012102300, 03,EE28, 24,25.8,-50.5, 27,1010,XX
AL,19,2012102300, 03,EE07, 24,25.9,-51.3, 29,1008,XX
AL,19,2012102300, 03,EE05, 24,26.0,-49.7, 29,1009,XX
AL,19,2012102300, 03,EE03, 24,26.1,-50.6, 32,1008,XX
AL,19,2012102300, 03,ECMF, 24,26.2,-50.5, 27,1009,XX
AL,19,2012102300, 03,EE47, 24,26.3,-50.8, 32,1008,XX
AL,19,2012102300, 03,EE16, 24,26.4,-50.4, 30,1008,XX
AL,19,2012102300, 03,EE04, 24,26.5,-50.4, 26,1010,XX
AL,19,2012102300, 03,EE49, 24,26.6,-49.0, 35,1007,XX
AL,19,2012102300, 03,EE38, 24,26.7,-50.3, 31,1008,XX
AL,19,2012102300, 03,EE18, 24,26.8,-49.4, 34,1006,XX
AL,19,2012102300, 03,EE23, 24,26.9,-50.9, 29,1008,XX
AL,19,2012102300, 03,EE14, 24,27.1,-49.6, 33,1008,XX
AL,19,2012102300, 03,EE21, 24,27.4,-50.0, 31,1009,XX
AL,19,2012102300, 03,EE41, 24,28.4,-49.0, 30,1010,XX
AL,19,2012102300, 03,ECMF, 30,26.9,-49.8, 29,1008,XX
AL,19,2012102300, 03,EE13, 36,25.5,-50.5, 25,1010,XX
AL,19,2012102300, 03,EE10, 36,26.0,-52.2, 24,1012,XX
AL,19,2012102300, 03,EE44, 36,26.1,-49.5, 28,1009,XX
AL,19,2012102300, 03,EE12, 36,26.5,-48.4, 29,1012,XX
AL,19,2012102300, 03,EE37, 36,26.9,-48.2, 34,1008,XX
AL,19,2012102300, 03,EE39, 36,27.0,-49.0, 32,1010,XX
AL,19,2012102300, 03,ECMF, 36,27.1,-48.5, 30,1011,XX
AL,19,2012102300, 03,EE42, 36,27.2,-48.7, 32,1009,XX
AL,19,2012102300, 03,EE06, 36,27.3,-49.4, 29,1010,XX
AL,19,2012102300, 03,EE40, 36,27.4,-48.1, 34,1008,XX
AL,19,2012102300, 03,EE16, 36,27.5,-48.4, 29,1009,XX
AL,19,2012102300, 03,EE02, 36,27.6,-47.7, 33,1008,XX
AL,19,2012102300, 03,EE48, 36,27.7,-46.6, 31,1011,XX
AL,19,2012102300, 03,EE00, 36,27.8,-48.0, 30,1009,XX
AL,19,2012102300, 03,EE05, 36,27.9,-47.9, 32,1010,XX
AL,19,2012102300, 03,EE19, 36,28.0,-48.1, 30,1010,XX
AL,19,2012102300, 03,EE04, 36,28.1,-47.5, 29,1011,XX
AL,19,2012102300, 03,EE15, 36,28.2,-48.2, 36,1008,XX
AL,19,2012102300, 03,EE03, 36,28.3,-48.4, 37,1008,XX
AL,19,2012102300, 03,EE18, 36,28.4,-46.0, 47,1004,XX
