basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,14,2012093000, 03,EE28,  0,22.4,-110.0, 13,1009,XX
EP,14,2012093000, 03,EE46,  0,23.4,-108.8, 12,1009,XX
EP,14,2012093000, 03,EE10,  0,24.3,-108.5, 14,1008,XX
EP,14,2012093000, 03,EE19,  0,24.4,-107.5, 15,1008,XX
EP,14,2012093000, 03,EE33, 12,21.0,-105.7, 18,1009,XX
EP,14,2012093000, 03,EE10, 12,21.1,-105.6, 18,1010,XX
EP,14,2012093000, 03,EE39, 12,21.2,-105.6, 16,1009,XX
EP,14,2012093000, 03,EE10, 24,19.4,-105.2, 19,1006,XX
EP,14,2012093000, 03,EE19, 24,19.8,-105.6, 19,1006,XX
EP,14,2012093000, 03,EE39, 24,22.3,-105.7, 20,1005,XX
EP,14,2012093000, 03,EE19, 36,15.9,-105.0, 14,1008,XX
EP,14,2012093000, 03,EE46, 36,16.3,-103.1, 14,1008,XX
EP,14,2012093000, 03,EE10, 36,18.4,-104.1, 17,1008,XX
EP,14,2012093000, 03,EE39, 36,19.4,-105.6, 13,1008,XX
EP,14,2012093000, 03,EE19, 48,14.4,-103.7, 10,1008,XX
EP,14,2012093000, 03,EE46, 48,15.7,-104.4, 14,1007,XX
EP,14,2012093000, 03,EE39, 48,18.4,-104.1, 15,1007,XX
EP,14,2012093000, 03,EE30, 48,18.9,-105.1, 12,1007,XX
EP,14,2012093000, 03,EE10, 48,19.5,-105.6, 12,1007,XX
EP,14,2012093000, 03,EE33, 48,19.8,-105.6, 14,1006,XX
EP,14,2012093000, 03,EE39, 60,14.2,-102.6, 13,1008,XX
EP,14,2012093000, 03,EE19, 60,15.4,-104.9, 13,1009,XX
EP,14,2012093000, 03,EE33, 60,18.3,-106.5, 14,1008,XX
EP,14,2012093000, 03,EE30, 60,19.9,-105.7, 11,1008,XX
EP,14,2012093000, 03,EE10, 60,21.0,-107.2, 12,1009,XX
EP,14,2012093000, 03,EE19, 72,14.7,-104.9, 13,1009,XX
EP,14,2012093000, 03,EE39, 72,15.2,-104.1, 20,1007,XX
EP,14,2012093000, 03,EE33, 72,15.5,-107.3, 11,1007,XX
EP,14,2012093000, 03,EE10, 72,16.8,-106.3, 13,1009,XX
EP,14,2012093000, 03,EE30, 72,21.9,-105.6, 18,1006,XX
EP,14,2012093000, 03,EE46, 72,22.0,-105.7, 12,1007,XX
EP,14,2012093000, 03,EE10, 84,12.0,-104.8, 11,1010,XX
EP,14,2012093000, 03,EE19, 84,12.6,-105.8, 13,1010,XX
EP,14,2012093000, 03,EE39, 84,13.2,-106.9, 24,1008,XX
EP,14,2012093000, 03,EE33, 84,16.6,-106.1, 16,1009,XX
EP,14,2012093000, 03,EE30, 84,18.3,-108.5, 12,1010,XX
EP,14,2012093000, 03,EE10, 96,10.8,-101.5, 13,1009,XX
EP,14,2012093000, 03,EE19, 96,11.4,-108.0, 12,1010,XX
EP,14,2012093000, 03,EE39, 96,12.4,-107.1, 13,1008,XX
EP,14,2012093000, 03,EE30, 96,14.4,-107.4, 13,1010,XX
EP,14,2012093000, 03,EE19,108,10.8,-110.8, 10,1012,XX
EP,14,2012093000, 03,EE19,120,11.0,-111.9, 11,1010,XX
EP,14,2012093000, 03,EE30,120,13.4,-104.3, 13,1009,XX
EP,14,2012093000, 03,EE39,108,12.0,-107.3, 14,1010,XX
EP,14,2012093000, 03,EE30,108,13.5,-104.1, 17,1010,XX
EP,14,2012093000, 03,EE10,120,13.9,-103.0, 23,1009,XX
EP,14,2012093000, 03,EE10,108,13.0,-100.8, 26,1009,XX
