basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
EP,15,2012100912, 03,EE08,  0,11.5,-121.9, 17,1010,XX
EP,15,2012100912, 03,EE50,  0,11.6,-121.6, 16,1010,XX
EP,15,2012100912, 03,EE30,  0,11.7,-121.5, 16,1010,XX
EP,15,2012100912, 03,EE06,  0,11.8,-121.5, 16,1010,XX
EP,15,2012100912, 03,EE32,  0,12.1,-123.9, 23,1009,XX
EP,15,2012100912, 03,EE16,  0,12.3,-121.1, 18,1010,XX
EP,15,2012100912, 03,EE09,  0,12.5,-121.1, 17,1010,XX
EP,15,2012100912, 03,EE37,  0,13.3,-122.4, 23,1010,XX
EP,15,2012100912, 03,EE14,  0,13.4,-121.1, 18,1010,XX
EP,15,2012100912, 03,EE17,  0,13.5,-122.4, 22,1010,XX
EP,15,2012100912, 03,EE34,  0,13.9,-121.4, 21,1010,XX
EP,15,2012100912, 03,EE44,  0,14.1,-122.6, 20,1009,XX
EP,15,2012100912, 03,EE04,  0,14.2,-122.8, 19,1010,XX
EP,15,2012100912, 03,EE11,  0,14.3,-121.5, 20,1009,XX
EP,15,2012100912, 03,ECMF,  0,14.4,-122.8, 20,1010,XX
EP,15,2012100912, 03,EE02,  0,14.5,-123.0, 20,1010,XX
EP,15,2012100912, 03,EE07,  0,14.6,-122.9, 21,1010,XX
EP,15,2012100912, 03,EE23,  0,14.7,-123.2, 23,1010,XX
EP,15,2012100912, 03,EE18,  0,14.8,-121.0, 21,1010,XX
EP,15,2012100912, 03,EE12,  0,14.9,-120.2, 20,1011,XX
EP,15,2012100912, 03,EE10,  0,15.3,-123.0, 22,1010,XX
EP,15,2012100912, 03,EE19,  0,16.0,-122.9, 24,1010,XX
EP,15,2012100912, 03,EE26, 36,9.4,-129.1, 21,1009,XX
EP,15,2012100912, 03,EE20, 36,9.8,-126.9, 21,1009,XX
EP,15,2012100912, 03,EE43, 48,6.0,-127.2, 25,1010,XX
EP,15,2012100912, 03,EE31, 48,6.4,-125.1, 21,1010,XX
EP,15,2012100912, 03,EE20, 48,6.6,-126.5, 26,1008,XX
EP,15,2012100912, 03,EE28, 48,7.8,-129.5, 23,1010,XX
EP,15,2012100912, 03,EE25, 48,9.6,-132.3, 17,1011,XX
EP,15,2012100912, 03,EE08, 48,9.8,-126.8, 10,1011,XX
EP,15,2012100912, 03,EE43, 60,2.9,-128.1, 23,1009,XX
EP,15,2012100912, 03,EE20, 60,6.6,-127.0, 34,1008,XX
EP,15,2012100912, 03,EE08, 60,7.7,-124.1, 19,1009,XX
EP,15,2012100912, 03,EE13, 60,7.8,-127.6, 32,1008,XX
EP,15,2012100912, 03,EE48, 60,8.7,-131.0, 17,1009,XX
EP,15,2012100912, 03,EE28, 60,9.0,-130.5, 18,1009,XX
EP,15,2012100912, 03,EE42, 60,9.1,-132.6, 18,1009,XX
EP,15,2012100912, 03,EE02, 60,9.6,-129.6, 12,1009,XX
EP,15,2012100912, 03,EE09, 60,9.8,-129.9, 17,1008,XX
EP,15,2012100912, 03,ECMF,  6,14.0,-123.8, 24,1012,XX
EP,15,2012100912, 03,EE43, 72,4.6,-131.4, 20,1010,XX
EP,15,2012100912, 03,EE31, 72,5.0,-127.8, 15,1010,XX
EP,15,2012100912, 03,EE42, 72,6.3,-134.3, 15,1010,XX
EP,15,2012100912, 03,EE14, 72,6.6,-132.0, 15,1010,XX
EP,15,2012100912, 03,EE47, 72,7.3,-132.8,  9,1010,XX
EP,15,2012100912, 03,EE28, 72,7.6,-132.0, 17,1009,XX
EP,15,2012100912, 03,EE02, 72,8.5,-128.5, 27,1010,XX
EP,15,2012100912, 03,EE08, 72,8.7,-124.2, 22,1010,XX
EP,15,2012100912, 03,EE20, 72,9.5,-129.0, 22,1010,XX
EP,15,2012100912, 03,EE35, 72,9.6,-132.6, 17,1011,XX
EP,15,2012100912, 03,EE29, 72,9.9,-132.5, 11,1010,XX
EP,15,2012100912, 03,EE43, 84,5.9,-136.7, 16,1010,XX
EP,15,2012100912, 03,EE32, 84,6.9,-133.8, 13,1011,XX
EP,15,2012100912, 03,EE45, 84,7.0,-133.3, 10,1011,XX
EP,15,2012100912, 03,EE06, 84,7.1,-135.2, 10,1010,XX
EP,15,2012100912, 03,EE02, 84,7.9,-128.0, 16,1010,XX
EP,15,2012100912, 03,EE28, 84,8.0,-133.5, 11,1009,XX
EP,15,2012100912, 03,EE48, 84,8.1,-131.0, 25,1010,XX
EP,15,2012100912, 03,EE09, 84,8.3,-131.9, 15,1009,XX
EP,15,2012100912, 03,EE33, 84,8.4,-133.4,  9,1010,XX
EP,15,2012100912, 03,EE08, 84,8.5,-124.2, 17,1010,XX
EP,15,2012100912, 03,EE13, 84,8.9,-130.5, 11,1010,XX
EP,15,2012100912, 03,EE14, 84,9.0,-134.0, 14,1010,XX
EP,15,2012100912, 03,EE20, 84,9.4,-134.6, 13,1009,XX
EP,15,2012100912, 03,EE10, 84,9.5,-133.2, 10,1011,XX
EP,15,2012100912, 03,EE32, 96,7.5,-134.2, 12,1012,XX
EP,15,2012100912, 03,EE28, 96,8.0,-138.3, 13,1012,XX
EP,15,2012100912, 03,EE43, 96,8.3,-143.0, 23,1010,XX
EP,15,2012100912, 03,EE06, 96,8.5,-139.1, 13,1012,XX
EP,15,2012100912, 03,EE48, 96,9.0,-133.0, 15,1011,XX
EP,15,2012100912, 03,EE11, 96,9.8,-136.4, 18,1010,XX
EP,15,2012100912, 03,ECMF, 96,9.9,-138.5, 17,1012,XX
EP,15,2012100912, 03,EE32, 12,12.2,-124.6, 24,1008,XX
EP,15,2012100912, 03,EE39, 12,12.3,-122.4, 18,1010,XX
EP,15,2012100912, 03,EE43, 12,12.6,-124.0, 17,1009,XX
EP,15,2012100912, 03,EE08, 12,12.9,-122.7, 21,1009,XX
EP,15,2012100912, 03,EE09, 12,13.0,-123.5, 24,1009,XX
EP,15,2012100912, 03,EE03, 12,13.1,-123.5, 22,1009,XX
EP,15,2012100912, 03,EE16, 12,13.2,-123.8, 21,1010,XX
EP,15,2012100912, 03,EE14, 12,13.3,-123.5, 21,1009,XX
EP,15,2012100912, 03,ECMF, 12,13.5,-123.9, 21,1009,XX
EP,15,2012100912, 03,EE23, 12,13.6,-124.5, 22,1010,XX
EP,15,2012100912, 03,EE21, 12,13.7,-123.4, 24,1008,XX
EP,15,2012100912, 03,EE04, 12,13.8,-124.0, 20,1009,XX
EP,15,2012100912, 03,EE02, 12,13.9,-124.0, 24,1009,XX
EP,15,2012100912, 03,EE07, 12,14.0,-124.2, 22,1010,XX
EP,15,2012100912, 03,EE35, 12,14.1,-124.1, 23,1009,XX
EP,15,2012100912, 03,EE18, 12,14.2,-123.4, 22,1010,XX
EP,15,2012100912, 03,ECMF, 18,13.0,-124.5, 18,1013,XX
EP,15,2012100912, 03,EE43, 24,10.0,-127.0, 17,1010,XX
EP,15,2012100912, 03,EE03, 24,10.5,-124.9, 16,1010,XX
EP,15,2012100912, 03,EE26, 24,10.6,-126.3, 19,1010,XX
EP,15,2012100912, 03,EE09, 24,11.5,-122.4, 19,1010,XX
EP,15,2012100912, 03,EE06, 24,11.9,-125.5, 21,1010,XX
EP,15,2012100912, 03,EE34, 24,12.0,-126.4, 20,1010,XX
EP,15,2012100912, 03,EE24, 24,12.1,-125.1, 21,1010,XX
EP,15,2012100912, 03,EE05, 24,12.3,-124.2, 14,1011,XX
EP,15,2012100912, 03,EE21, 24,12.4,-125.0, 19,1010,XX
EP,15,2012100912, 03,ECMF, 24,12.5,-126.0, 19,1010,XX
