basin,number,time,tech,model,forecastHr,lat,lon,vmax,mslp,
AL,15,2012100512, 03,EE03,  0,23.3,-37.5, 43,1002,XX
AL,15,2012100512, 03,EE16,  0,23.4,-37.5, 39,1002,XX
AL,15,2012100512, 03,EE05,  0,23.5,-37.5, 37,1002,XX
AL,15,2012100512, 03,ECMF,  0,23.6,-37.5, 42,1001,XX
AL,15,2012100512, 03,EE01,  0,23.7,-37.5, 45,1001,XX
AL,15,2012100512, 03,EE19,  0,24.1,-37.2, 41,1001,XX
AL,15,2012100512, 03,EE06,  0,24.3,-37.5, 48,1000,XX
AL,15,2012100512, 03,EE04,  0,24.4,-37.6, 42,1000,XX
AL,15,2012100512, 03,EE15,  0,24.6,-37.5, 46,1000,XX
AL,15,2012100512, 03,EE08,  0,24.8,-38.0, 38,1002,XX
AL,15,2012100512, 03,EE02,  0,24.9,-37.8, 40,1002,XX
AL,15,2012100512, 03,ECMF,  6,26.3,-35.7, 57, 998,XX
AL,15,2012100512, 03,EE45, 12,28.2,-32.4, 62, 993,XX
AL,15,2012100512, 03,EE50, 12,28.2,-32.5, 65, 996,XX
AL,15,2012100512, 03,EE37, 12,28.2,-32.2, 60, 997,XX
AL,15,2012100512, 03,EE30, 12,28.2,-32.4, 57, 998,XX
AL,15,2012100512, 03,EE36, 12,28.5,-31.7, 57,1001,XX
AL,15,2012100512, 03,EE06, 12,28.5,-32.4, 56, 996,XX
AL,15,2012100512, 03,EE18, 12,28.5,-32.4, 62, 997,XX
AL,15,2012100512, 03,EE31, 12,28.5,-32.6, 55, 998,XX
AL,15,2012100512, 03,EE21, 12,28.5,-32.4, 56, 999,XX
AL,15,2012100512, 03,EE39, 12,28.6,-32.4, 60, 996,XX
AL,15,2012100512, 03,EE03, 12,28.6,-32.5, 56, 998,XX
AL,15,2012100512, 03,EE32, 12,28.7,-32.4, 60, 996,XX
AL,15,2012100512, 03,EE14, 12,28.8,-32.3, 58, 995,XX
AL,15,2012100512, 03,EE19, 12,28.8,-32.2, 59, 996,XX
AL,15,2012100512, 03,EE01, 12,28.8,-32.4, 60, 998,XX
AL,15,2012100512, 03,EE15, 12,28.9,-32.2, 66, 991,XX
AL,15,2012100512, 03,EE34, 12,28.9,-32.8, 61, 994,XX
AL,15,2012100512, 03,EE04, 12,28.9,-32.4, 56, 996,XX
AL,15,2012100512, 03,EE09, 12,28.9,-32.5, 54, 997,XX
AL,15,2012100512, 03,EE42, 12,29.0,-32.4, 65, 988,XX
AL,15,2012100512, 03,EE35, 12,29.0,-32.0, 77, 989,XX
AL,15,2012100512, 03,EE23, 12,29.0,-32.0, 62, 994,XX
AL,15,2012100512, 03,EE27, 12,29.0,-32.6, 59, 995,XX
AL,15,2012100512, 03,EE07, 12,29.0,-32.5, 56, 997,XX
AL,15,2012100512, 03,EE02, 12,29.1,-32.4, 58, 993,XX
AL,15,2012100512, 03,EE38, 12,29.3,-32.5, 58, 994,XX
AL,15,2012100512, 03,EE29, 12,29.3,-32.3, 68, 995,XX
AL,15,2012100512, 03,EE20, 12,29.4,-32.2, 62, 996,XX
AL,15,2012100512, 03,ECMF, 12,29.4,-32.3, 63, 997,XX
AL,15,2012100512, 03,EE40, 12,29.5,-32.4, 67, 994,XX
AL,15,2012100512, 03,EE08, 12,29.5,-32.1, 57, 996,XX
AL,15,2012100512, 03,EE48, 12,29.5,-32.1, 54, 997,XX
AL,15,2012100512, 03,EE28, 12,29.5,-32.1, 59, 998,XX
AL,15,2012100512, 03,EE22, 12,29.6,-32.3, 60, 993,XX
AL,15,2012100512, 03,EE49, 12,29.8,-32.2, 57, 997,XX
AL,15,2012100512, 03,ECMF, 18,32.0,-28.6, 76, 990,XX
AL,15,2012100512, 03,EE31, 24,34.1,-25.7, 68, 991,XX
AL,15,2012100512, 03,EE45, 24,34.5,-25.5, 71, 992,XX
AL,15,2012100512, 03,EE21, 24,34.8,-25.1, 75, 992,XX
AL,15,2012100512, 03,EE33, 24,34.9,-25.5, 64, 992,XX
AL,15,2012100512, 03,EE07, 24,34.9,-25.4, 60, 998,XX
AL,15,2012100512, 03,EE18, 24,35.0,-24.9, 88, 983,XX
AL,15,2012100512, 03,EE03, 24,35.0,-25.6, 70, 994,XX
AL,15,2012100512, 03,EE41, 24,35.1,-24.9, 79, 987,XX
AL,15,2012100512, 03,EE01, 24,35.1,-25.0, 71, 990,XX
AL,15,2012100512, 03,EE50, 24,35.3,-25.5, 81, 988,XX
AL,15,2012100512, 03,EE06, 24,35.5,-25.0, 72, 986,XX
AL,15,2012100512, 03,EE38, 24,35.5,-25.3, 71, 988,XX
AL,15,2012100512, 03,EE12, 24,35.6,-25.5, 72, 992,XX
AL,15,2012100512, 03,EE20, 24,35.6,-24.5, 64, 995,XX
AL,15,2012100512, 03,EE14, 24,35.7,-25.0, 69, 991,XX
AL,15,2012100512, 03,EE46, 24,35.8,-25.4, 68, 989,XX
AL,15,2012100512, 03,EE09, 24,35.8,-25.5, 63, 990,XX
AL,15,2012100512, 03,ECMF, 24,35.8,-25.0, 64, 994,XX
AL,15,2012100512, 03,EE26, 24,35.9,-25.0, 72, 990,XX
AL,15,2012100512, 03,EE28, 24,35.9,-24.4, 71, 992,XX
AL,15,2012100512, 03,EE13, 24,35.9,-25.5, 62, 993,XX
AL,15,2012100512, 03,EE37, 24,36.0,-25.9, 80, 981,XX
AL,15,2012100512, 03,EE19, 24,36.0,-25.9, 75, 986,XX
AL,15,2012100512, 03,EE32, 24,36.0,-25.0, 71, 990,XX
AL,15,2012100512, 03,EE02, 24,36.0,-25.0, 67, 992,XX
AL,15,2012100512, 03,EE36, 24,36.0,-25.9, 64, 996,XX
AL,15,2012100512, 03,EE49, 24,36.3,-24.6, 74, 990,XX
AL,15,2012100512, 03,EE23, 24,36.4,-25.2, 71, 984,XX
AL,15,2012100512, 03,EE29, 24,36.5,-25.9, 75, 987,XX
AL,15,2012100512, 03,EE48, 24,36.5,-25.0, 68, 991,XX
